"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-DCATAPVL"	"{D2C5F338-FCFC-4f4e-94EC-212DEFA9BA81}"	""	""	""	""	""	""	""	""	""	""	""	""	"http://data.vlaanderen.be/ns/"	"dcatapvl"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-DCATAPVL"	"DatasetCatalogus"	"{CF9EF572-9998-4f51-AA32-F81D8248BC24}"	""	""	""	""	"Datasetcatalogus"	"Een Open Data datasetcatalogus is een verzameling van Open Data datasets."	""	"Datasetcatalogus"	"Een Open Data datasetcatalogus is een verzameling van Open Data datasets."	""	""	"true"	"http://www.w3.org/ns/dcat#"	"Catalog"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-DCATAPVL"	"Dataset"	"{BF0250F0-446B-4104-9A83-EC4638B23361}"	""	""	""	""	"Dataset"	"Een verzameling van data, gepubliseerd en/of beheerd door een bronbeheerder, en beschikbaar in een of meerdere formaten. "	""	"Dataset"	"Een verzameling van data, gepubliseerd en/of beheerd door een bronbeheerder, en beschikbaar in een of meerdere formaten. "	""	""	"true"	"http://www.w3.org/ns/dcat#"	"Dataset"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-DCATAPVL"	"Distributie"	"{5B8A63D9-5D7F-48cf-A8CF-F939972090E1}"	""	""	""	""	"Distributie"	"een diistributie is een vorm waarin de daatset wordt gepubliceerd. Dit kan als een filedump zijn, maar ook door  een API."	""	"Distributie"	"een diistributie is een vorm waarin de daatset wordt gepubliceerd. Dit kan als een filedump zijn, maar ook door  een API."	""	""	"true"	"http://www.w3.org/ns/dcat#"	"Distribution"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-DCATAPVL"	"LicentieDocument"	"{7F1E3328-B5B2-4d2b-AEFF-6F158A2DFE88}"	""	""	""	""	"Licentiedocument"	"Een wettelijk document dat de voorwaarden waaronder men een resource mag gebruiken."	""	"Licentiedocument"	"Een wettelijk document dat de voorwaarden waaronder men een resource mag gebruiken."	""	""	"true"	"http://purl.org/dc/terms/"	"LicenseDocument"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Organisatie"	"PubliekeOrganisatie"	"{4BF889A0-DBB7-4d4d-83DB-86FFBADEC61A}"	"Agent"	""	""	""	"Publieke Organisatie"	"Een Organisatie die volgens een wettelijk kader behoort tot de publieke sector, ongeacht het bestuursniveau waarop dat kader van kracht is."	"De overheids- en semioverheidsorganisaties die tot men zo tot de publieke sector kan rekenen worden in Europese richtlijn 2003/98/EG ""openbaar lichaam"" genoemd en gedefinieerd als: ""de staat, zijn territoriale lichamen, publiekrechtelijke instellingen, en verenigingen gevormd door een of meer van deze lichamen of een of meer van deze publiekrechtelijke instellingen"". En onder een publiekrechtelijke instelling verstaat men "" iedere instelling die a) is opgericht met het specifieke doel te voorzien in behoeften van algemeen belang die niet van industriële of commerciële aard zijn, en b) rechtspersoonlijkheid heeft, en c) waarvan hetzij de activiteiten in hoofdzaak door de staat of zijn territoriale lichamen of andere publiekrechtelijke instellingen worden gefinancierd, hetzij het beheer is onderworpen aan toezicht door deze laatste, hetzij de leden van het bestuursorgaan, het leidinggevend orgaan of het toezichthoudend orgaan voor meer dan de helft door de staat, zijn territoriale lichamen of andere publiekrechtelijke instellingen zijn aangewezen."".
"	"Publieke Organisatie"	"Een Organisatie die volgens een wettelijk kader behoort tot de publieke sector, ongeacht het bestuursniveau waarop dat kader van kracht is."	"De overheids- en semioverheidsorganisaties die tot men zo tot de publieke sector kan rekenen worden in Europese richtlijn 2003/98/EG ""openbaar lichaam"" genoemd en gedefinieerd als: ""de staat, zijn territoriale lichamen, publiekrechtelijke instellingen, en verenigingen gevormd door een of meer van deze lichamen of een of meer van deze publiekrechtelijke instellingen"". En onder een publiekrechtelijke instelling verstaat men "" iedere instelling die a) is opgericht met het specifieke doel te voorzien in behoeften van algemeen belang die niet van industriële of commerciële aard zijn, en b) rechtspersoonlijkheid heeft, en c) waarvan hetzij de activiteiten in hoofdzaak door de staat of zijn territoriale lichamen of andere publiekrechtelijke instellingen worden gefinancierd, hetzij het beheer is onderworpen aan toezicht door deze laatste, hetzij de leden van het bestuursorgaan, het leidinggevend orgaan of het toezichthoudend orgaan voor meer dan de helft door de staat, zijn territoriale lichamen of andere publiekrechtelijke instellingen zijn aangewezen."".
"	""	"true"	"http://data.europa.eu/m8g/"	"PublicOrganisation"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://www.w3.org/ns/org#Organization, http://xmlns.com/foaf/0.1/Agent"	""	""
"DATATYPE"	"OSLO-DCATAPVL"	"Contactinfo"	"{2E34F92D-E9C2-4971-84BA-E4502DA554BB}"	""	""	""	""	"contactpunt"	"een beschrijving van contact informatie."	""	"contactpunt"	"een beschrijving van contact informatie."	""	""	"true"	"http://www.w3.org/2006/vcard/ns#"	"Kind"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-DCATAPVL"	"Agent"	"{D55680D7-C7A2-47c9-85F8-3845760F15B3}"	""	""	""	""	"Agent"	"De agent in zijn rol als uitgever  is de organisatie die verantwoordelijk is voor het toegankelijk maken, dus de publicatie, van een datasetcatalogus of dataset."	""	"Agent"	"De agent in zijn rol als uitgever  is de organisatie die verantwoordelijk is voor het toegankelijk maken, dus de publicatie, van een datasetcatalogus of dataset."	""	""	"true"	"http://xmlns.com/foaf/0.1/"	"Agent"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"connector"	""	"heeftLicentie"	"{FF5B5E01-ACCA-4f8c-8717-D6BC7D62F231}"	""	"Distributie"	"{5B8A63D9-5D7F-48cf-A8CF-F939972090E1}"	"LicentieDocument"	"licentie"	"De licentie van de distributie"	""	"licentie"	"De licentie van de distributie"	""	""	"true"	"http://purl.org/dc/terms/"	"license"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://www.w3.org/ns/dcat#Distribution"	"http://purl.org/dc/terms/LicenseDocument"	""	"1"	"1"
"connector"	""	"heeftLicentie"	"{0D2AA7BC-C9C5-4f4c-AC59-5E34D045AB70}"	""	"DatasetCatalogus"	"{CF9EF572-9998-4f51-AA32-F81D8248BC24}"	"LicentieDocument"	"licentie"	"De licentie van de datasetcatalogus."	"De licentie voor het Vlaams Open Data Portaal is vastgelegd op https://data.vlaanderen.be/id/licentie/creative-commons-zero-verklaring/v1.0 ."	"licentie"	"De licentie van de datasetcatalogus."	"De licentie voor het Vlaams Open Data Portaal is vastgelegd op https://data.vlaanderen.be/id/licentie/creative-commons-zero-verklaring/v1.0 ."	""	"true"	"http://purl.org/dc/terms/"	"license"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://www.w3.org/ns/dcat#Catalog"	"http://purl.org/dc/terms/LicenseDocument"	""	"1"	"1"
"connector"	""	"heeftDistributie"	"{57528CFA-6F47-4076-83DF-74CB331C00A9}"	""	"Dataset"	"{BF0250F0-446B-4104-9A83-EC4638B23361}"	"Distributie"	"heeft distributie"	"De distributie van een dataset."	""	"heeft distributie"	"De distributie van een dataset."	""	""	"true"	"http://www.w3.org/ns/dcat#"	"distribution"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://www.w3.org/ns/dcat#Dataset"	"http://www.w3.org/ns/dcat#Distribution"	""	"1"	"*"
"connector"	""	"heeftUitgever"	"{0033AE3C-6294-4e4f-BCF6-7AEF87C4AF87}"	""	"DatasetCatalogus"	"{CF9EF572-9998-4f51-AA32-F81D8248BC24}"	"Agent"	"heeftUitgever"	"de uitgever van de datasetcatalogus"	""	"heeftUitgever"	"de uitgever van de datasetcatalogus"	""	""	"true"	"http://purl.org/dc/terms/"	"publisher"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://www.w3.org/ns/dcat#Catalog"	"http://xmlns.com/foaf/0.1/Agent"	""	"1"	"1"
"connector"	""	"heeftUitgever"	"{EC2B0C78-CCA9-4a60-B2DB-649CFF8B32ED}"	""	"Dataset"	"{BF0250F0-446B-4104-9A83-EC4638B23361}"	"Agent"	"heeftUitgever"	"De uitgever van de dataset. "	""	"heeftUitgever"	"De uitgever van de dataset. "	""	""	"true"	"http://purl.org/dc/terms/"	"publisher"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://www.w3.org/ns/dcat#Dataset"	"http://xmlns.com/foaf/0.1/Agent"	""	"1"	"1"
"connector"	""	"heeftDataset"	"{AC0E6B4D-0403-4d40-8D51-4E8CD45632EA}"	""	"DatasetCatalogus"	"{CF9EF572-9998-4f51-AA32-F81D8248BC24}"	"Dataset"	"heeft dataset"	"Een dataset die behoort tot de datasetcatalogus"	""	"heeft dataset"	"Een dataset die behoort tot de datasetcatalogus"	""	""	"true"	"http://www.w3.org/ns/dcat#"	"dataset"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://www.w3.org/ns/dcat#Catalog"	"http://www.w3.org/ns/dcat#Dataset"	""	"1"	"*"
"attribute"	"OSLO-DCATAPVL"	"beschrijving"	"{B5015B37-892E-4bc5-B182-89DA9102670B}"	""	"DatasetCatalogus"	"{CF9EF572-9998-4f51-AA32-F81D8248BC24}"	"TaalString"	"beschrijving"	"Een bondige omschrijving van de datasetcatalogus. "	""	"beschrijving"	"Een bondige omschrijving van de datasetcatalogus. "	""	""	"true"	"http://purl.org/dc/terms/"	"description"	"http://www.w3.org/2002/07/owl#DatatypeProperty"	"http://www.w3.org/ns/dcat#Catalog"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#langString"	""	"1"	"n"
"attribute"	"OSLO-DCATAPVL"	"titel"	"{3F3B67A9-4853-472a-8F24-DD328184FE2D}"	""	"DatasetCatalogus"	"{CF9EF572-9998-4f51-AA32-F81D8248BC24}"	"TaalString"	"titel"	"De naam van de datasetcatalogus."	""	"titel"	"De naam van de datasetcatalogus."	""	""	"true"	"http://purl.org/dc/terms/"	"title"	"http://www.w3.org/2002/07/owl#DatatypeProperty"	"http://www.w3.org/ns/dcat#Catalog"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#langString"	""	"1"	"n"
"attribute"	"OSLO-DCATAPVL"	"titel"	"{535918FC-0EBF-44dc-BC4E-C8DC98AA221A}"	""	"Dataset"	"{BF0250F0-446B-4104-9A83-EC4638B23361}"	"TaalString"	"titel"	"De naam van de dataset"	""	"titel"	"De naam van de dataset"	""	""	"true"	"http://purl.org/dc/terms/"	"title"	"http://www.w3.org/2002/07/owl#DatatypeProperty"	"http://www.w3.org/ns/dcat#Dataset"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#langString"	""	"1"	"1"
"attribute"	"OSLO-DCATAPVL"	"beschrijving"	"{CD97D484-3EAA-4306-B4AC-2AA29EAFAC3F}"	""	"Dataset"	"{BF0250F0-446B-4104-9A83-EC4638B23361}"	"TaalString"	"beschrijving"	"Een bondige omschrijving van de dataset."	""	"beschrijving"	"Een bondige omschrijving van de dataset."	""	""	"true"	"http://purl.org/dc/terms/"	"description"	"http://www.w3.org/2002/07/owl#DatatypeProperty"	"http://www.w3.org/ns/dcat#Dataset"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#langString"	""	"1"	"1"
"attribute"	"OSLO-DCATAPVL"	"contactinfo"	"{5934966B-4916-4230-B281-0B6F4AC89597}"	""	"Dataset"	"{BF0250F0-446B-4104-9A83-EC4638B23361}"	"Contactinfo"	"contactinfo"	"De contactinformatie via men in contact kan treden met de verantwoordelijken van de dataset. "	""	"contactinfo"	"De contactinformatie via men in contact kan treden met de verantwoordelijken van de dataset. "	""	""	"true"	"http://www.w3.org/ns/dcat#"	"contactPoint"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://www.w3.org/ns/dcat#Dataset"	"http://www.w3.org/2006/vcard/ns#Kind"	""	"1"	"1"
"attribute"	"OSLO-DCATAPVL"	"accessrights"	"{89B2B04F-D159-4d50-BFE7-703212803A44}"	""	"Dataset"	"{BF0250F0-446B-4104-9A83-EC4638B23361}"	"Code"	"toegankelijkheid"	"De toegankelijkheidscategorie van de dataset."	""	"toegankelijkheid"	"De toegankelijkheidscategorie van de dataset."	""	""	"true"	"http://purl.org/dc/terms/"	"accessRights"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://www.w3.org/ns/dcat#Dataset"	"http://www.w3.org/2004/02/skos/core#Concept"	""	"1"	"1"
"attribute"	"OSLO-DCATAPVL"	"thema"	"{C918FE55-18A4-4320-A486-3BD1D5BC1C7A}"	""	"Dataset"	"{BF0250F0-446B-4104-9A83-EC4638B23361}"	"Code"	"thema"	"Het thema waartoe de dataset behoort."	""	"thema"	"Het thema waartoe de dataset behoort."	""	""	"true"	"http://www.w3.org/ns/dcat#"	"theme"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://www.w3.org/ns/dcat#Dataset"	"http://www.w3.org/2004/02/skos/core#Concept"	""	"1"	"1"
"attribute"	"OSLO-DCATAPVL"	"titel"	"{EA83BAC1-7A98-4c3d-8A47-3D6A2586327D}"	""	"Distributie"	"{5B8A63D9-5D7F-48cf-A8CF-F939972090E1}"	"TaalString"	"titel"	"een naam voor de distributie"	""	"titel"	"een naam voor de distributie"	""	""	"true"	"http://purl.org/dc/terms/"	"title"	"http://www.w3.org/2002/07/owl#DatatypeProperty"	"http://www.w3.org/ns/dcat#Distribution"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#langString"	""	"1"	"1"
"attribute"	"OSLO-DCATAPVL"	"toegangsURL"	"{42A9C4D4-863B-4dee-A6CC-3BA341F2B05B}"	""	"Distributie"	"{5B8A63D9-5D7F-48cf-A8CF-F939972090E1}"	"String"	"toegangsURL"	"De URL waar de data waarnaar de distributie verwijst kan gevonden worden."	""	"toegangsURL"	"De URL waar de data waarnaar de distributie verwijst kan gevonden worden."	""	""	"true"	"http://www.w3.org/ns/dcat#"	"accessURL"	"http://www.w3.org/2002/07/owl#DatatypeProperty"	"http://www.w3.org/ns/dcat#Distribution"	"http://www.w3.org/2001/XMLSchema#string"	""	"1"	"1"
