"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-DCATAPVL"	"{D2C5F338-FCFC-4f4e-94EC-212DEFA9BA81}"	""	""	""	""	""	""	""	""	""	""	""	""	"http://data.vlaanderen.be/ns/"	"dcatapvl"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-DCATAPVL"	"DatasetCatalogus"	"{CF9EF572-9998-4f51-AA32-F81D8248BC24}"	""	""	""	""	"Datasetcatalogus"	"Een Open Data datasetcatalogus is een verzameling van Open Data datasets."	""	"Datasetcatalogus"	"Een Open Data datasetcatalogus is een verzameling van Open Data datasets."	""	""	"true"	"http://www.w3.org/ns/dcat#"	"Catalog"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-DCATAPVL"	"Dataset"	"{BF0250F0-446B-4104-9A83-EC4638B23361}"	""	""	""	""	"Dataset"	"Een verzameling van data, gepubliseerd en/of beheerd door een bronbeheerder, en beschikbaar in een of meerdere formaten. "	"Datasets worden geïndentificeerd door hun URI. Het gebruik volgt de DCAT-AP aanbeveling https://joinup.ec.europa.eu/release/dcat-ap-how-use-identifiers-datasets-and-distributions .
"	"Dataset"	"Een verzameling van data, gepubliseerd en/of beheerd door een bronbeheerder, en beschikbaar in een of meerdere formaten. "	"Datasets worden geïndentificeerd door hun URI. Het gebruik volgt de DCAT-AP aanbeveling https://joinup.ec.europa.eu/release/dcat-ap-how-use-identifiers-datasets-and-distributions .
"	""	"true"	"http://www.w3.org/ns/dcat#"	"Dataset"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-DCATAPVL"	"Distributie"	"{5B8A63D9-5D7F-48cf-A8CF-F939972090E1}"	""	""	""	""	"Distributie"	"Een distributie is een vorm waarin de dataset wordt gepubliceerd. Dit kan als een filedump zijn, maar ook door  een API."	""	"Distributie"	"Een distributie is een vorm waarin de dataset wordt gepubliceerd. Dit kan als een filedump zijn, maar ook door  een API."	""	""	"true"	"http://www.w3.org/ns/dcat#"	"Distribution"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-DCATAPVL"	"LicentieDocument"	"{7F1E3328-B5B2-4d2b-AEFF-6F158A2DFE88}"	""	""	""	""	"Licentiedocument"	"Een wettelijk document dat de voorwaarden waaronder men een resource mag gebruiken."	"Het Vlaams Open Data descreet definieert een aantal licenties. PURIs voor de verschillende mogelijkheden zijn te vinden hier: https://data.vlaanderen.be/doc/licentie/"	"Licentiedocument"	"Een wettelijk document dat de voorwaarden waaronder men een resource mag gebruiken."	"Het Vlaams Open Data descreet definieert een aantal licenties. PURIs voor de verschillende mogelijkheden zijn te vinden hier: https://data.vlaanderen.be/doc/licentie/"	""	"true"	"http://purl.org/dc/terms/"	"LicenseDocument"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-DCATAPVL"	"Contactinfo "	"{2E34F92D-E9C2-4971-84BA-E4502DA554BB}"	""	""	""	""	"Contactinfo"	"Een beschrijving van contact informatie."	""	"Contactinfo"	"Een beschrijving van contact informatie."	""	""	"true"	"http://www.w3.org/2006/vcard/ns#"	"Kind"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-DCATAPVL"	"Agent"	"{D55680D7-C7A2-47c9-85F8-3845760F15B3}"	""	""	""	""	"Uitgever"	"De agent in zijn rol als uitgever  is de organisatie die verantwoordelijk is voor het toegankelijk maken, dus de publicatie, van een datasetcatalogus of dataset."	"Bij voorkeur wordt de persistente identificator uit het organisatieregister gebruikt."	"Uitgever"	"De agent in zijn rol als uitgever  is de organisatie die verantwoordelijk is voor het toegankelijk maken, dus de publicatie, van een datasetcatalogus of dataset."	"Bij voorkeur wordt de persistente identificator uit het organisatieregister gebruikt."	""	"true"	"http://xmlns.com/foaf/0.1/"	"Agent"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"attribute"	"OSLO-DCATAPVL"	"beschrijving"	"{B5015B37-892E-4bc5-B182-89DA9102670B}"	""	"DatasetCatalogus"	"{CF9EF572-9998-4f51-AA32-F81D8248BC24}"	"TaalString"	"beschrijving"	"Een bondige omschrijving van de datasetcatalogus. "	"Omwille van de meertaligheid kunnen er meerdere waarden zijn. De gewenste interpretatie van de cardinaliteit is: per taal slechts 1 waarde."	"beschrijving"	"Een bondige omschrijving van de datasetcatalogus. "	"Omwille van de meertaligheid kunnen er meerdere waarden zijn. De gewenste interpretatie van de cardinaliteit is: per taal slechts 1 waarde."	""	"true"	"http://purl.org/dc/terms/"	"description"	"http://www.w3.org/2002/07/owl#DatatypeProperty"	"http://www.w3.org/ns/dcat#Catalog"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#langString"	""	"1"	"n"
"attribute"	"OSLO-DCATAPVL"	"titel"	"{3F3B67A9-4853-472a-8F24-DD328184FE2D}"	""	"DatasetCatalogus"	"{CF9EF572-9998-4f51-AA32-F81D8248BC24}"	"TaalString"	"titel"	"De naam van de datasetcatalogus."	"Omwille van de meertaligheid kunnen er meerdere waarden zijn. De gewenste interpretatie van de cardinaliteit is: per taal slechts 1 waarde."	"titel"	"De naam van de datasetcatalogus."	"Omwille van de meertaligheid kunnen er meerdere waarden zijn. De gewenste interpretatie van de cardinaliteit is: per taal slechts 1 waarde."	""	"true"	"http://purl.org/dc/terms/"	"title"	"http://www.w3.org/2002/07/owl#DatatypeProperty"	"http://www.w3.org/ns/dcat#Catalog"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#langString"	""	"1"	"n"
"attribute"	"OSLO-DCATAPVL"	"titel"	"{535918FC-0EBF-44dc-BC4E-C8DC98AA221A}"	""	"Dataset"	"{BF0250F0-446B-4104-9A83-EC4638B23361}"	"TaalString"	"titel"	"De naam van de dataset"	"Omwille van de meertaligheid kunnen er meerdere waarden zijn. De gewenste interpretatie van de cardinaliteit is: per taal slechts 1 waarde."	"titel"	"De naam van de dataset"	"Omwille van de meertaligheid kunnen er meerdere waarden zijn. De gewenste interpretatie van de cardinaliteit is: per taal slechts 1 waarde."	""	"true"	"http://purl.org/dc/terms/"	"title"	"http://www.w3.org/2002/07/owl#DatatypeProperty"	"http://www.w3.org/ns/dcat#Dataset"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#langString"	""	"1"	"n"
"attribute"	"OSLO-DCATAPVL"	"beschrijving"	"{CD97D484-3EAA-4306-B4AC-2AA29EAFAC3F}"	""	"Dataset"	"{BF0250F0-446B-4104-9A83-EC4638B23361}"	"TaalString"	"beschrijving"	"Een bondige omschrijving van de dataset."	"Omwille van de meertaligheid kunnen er meerdere waarden zijn. De gewenste interpretatie van de cardinaliteit is: per taal slechts 1 waarde."	"beschrijving"	"Een bondige omschrijving van de dataset."	"Omwille van de meertaligheid kunnen er meerdere waarden zijn. De gewenste interpretatie van de cardinaliteit is: per taal slechts 1 waarde."	""	"true"	"http://purl.org/dc/terms/"	"description"	"http://www.w3.org/2002/07/owl#DatatypeProperty"	"http://www.w3.org/ns/dcat#Dataset"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#langString"	""	"1"	"n"
"attribute"	"OSLO-DCATAPVL"	"contactinfo"	"{5934966B-4916-4230-B281-0B6F4AC89597}"	""	"Dataset"	"{BF0250F0-446B-4104-9A83-EC4638B23361}"	"Contactinfo "	"contactinfo"	"De contactinformatie via men in contact kan treden met de verantwoordelijken van de dataset. "	""	"contactinfo"	"De contactinformatie via men in contact kan treden met de verantwoordelijken van de dataset. "	""	""	"true"	"http://www.w3.org/ns/dcat#"	"contactPoint"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://www.w3.org/ns/dcat#Dataset"	"http://www.w3.org/2006/vcard/ns#Kind"	""	"1"	"n"
"attribute"	"OSLO-DCATAPVL"	"toegankelijkheid"	"{89B2B04F-D159-4d50-BFE7-703212803A44}"	""	"Dataset"	"{BF0250F0-446B-4104-9A83-EC4638B23361}"	"Code"	"toegankelijkheid"	"De toegankelijkheidscategorie van de dataset."	"De waarde hiervan is steeds publiek voor Open Data. Beperkende waarden zoals 'beperkte toegang' of 'niet-publiek' worden niet opgenomen als waarde. De waarde is dus steeds http://publications.europa.eu/resource/authority/access-right/PUBLIC ."	"toegankelijkheid"	"De toegankelijkheidscategorie van de dataset."	"De waarde hiervan is steeds publiek voor Open Data. Beperkende waarden zoals 'beperkte toegang' of 'niet-publiek' worden niet opgenomen als waarde. De waarde is dus steeds http://publications.europa.eu/resource/authority/access-right/PUBLIC ."	"https://publications.europa.eu/en/web/eu-vocabularies/at-dataset/-/resource/dataset/access-right"	"true"	"http://purl.org/dc/terms/"	"accessRights"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://www.w3.org/ns/dcat#Dataset"	"http://www.w3.org/2004/02/skos/core#Concept"	""	"1"	"1"
"attribute"	"OSLO-DCATAPVL"	"thema"	"{1854FA37-EE1A-45fc-B1B3-35E73B738CE7}"	""	"Dataset"	"{BF0250F0-446B-4104-9A83-EC4638B23361}"	"Code"	"thema"	"Het thema waartoe de dataset behoort."	"Gebruik bij voorkeur de Belgische dcat:theme lijst, al dan niet aanvullend t.o.v. andere codelijsten. De Belgische dcat:theme lijst is een uitbreiding van de verplichte Europese codelijst. Het is dus voldoende om enkel de Belgische lijst te gebruiken."	"thema"	"Het thema waartoe de dataset behoort."	"Gebruik bij voorkeur de Belgische dcat:theme lijst, al dan niet aanvullend t.o.v. andere codelijsten. De Belgische dcat:theme lijst is een uitbreiding van de verplichte Europese codelijst. Het is dus voldoende om enkel de Belgische lijst te gebruiken."	"https://vocab.belgif.be/auth/datatheme"	"true"	"http://www.w3.org/ns/dcat#"	"theme"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://www.w3.org/ns/dcat#Dataset"	"http://www.w3.org/2004/02/skos/core#Concept"	""	"0"	"n"
"attribute"	"OSLO-DCATAPVL"	"titel"	"{EA83BAC1-7A98-4c3d-8A47-3D6A2586327D}"	""	"Distributie"	"{5B8A63D9-5D7F-48cf-A8CF-F939972090E1}"	"TaalString"	"titel"	"Een naam voor de distributie"	"Omwille van de meertaligheid kunnen er meerdere waarden zijn. De gewenste interpretatie van de cardinaliteit is: per taal slechts 1 waarde."	"titel"	"Een naam voor de distributie"	"Omwille van de meertaligheid kunnen er meerdere waarden zijn. De gewenste interpretatie van de cardinaliteit is: per taal slechts 1 waarde."	""	"true"	"http://purl.org/dc/terms/"	"title"	"http://www.w3.org/2002/07/owl#DatatypeProperty"	"http://www.w3.org/ns/dcat#Distribution"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#langString"	""	"1"	"n"
"attribute"	"OSLO-DCATAPVL"	"toegangsURL"	"{42A9C4D4-863B-4dee-A6CC-3BA341F2B05B}"	""	"Distributie"	"{5B8A63D9-5D7F-48cf-A8CF-F939972090E1}"	"URI"	"toegangsURL"	"De URL waar de data kan gevonden worden."	"Een valide absolute URL is gewenst. Relatieve URLs worden geïnterpreteerd t.o.v. het document en dat levert in de praktijk ongewenste interpretatiefouten op. Daarom worden relatieve URLs niet toegelaten. "	"toegangsURL"	"De URL waar de data kan gevonden worden."	"Een valide absolute URL is gewenst. Relatieve URLs worden geïnterpreteerd t.o.v. het document en dat levert in de praktijk ongewenste interpretatiefouten op. Daarom worden relatieve URLs niet toegelaten. "	""	"true"	"http://www.w3.org/ns/dcat#"	"accessURL"	"http://www.w3.org/2002/07/owl#DatatypeProperty"	"http://www.w3.org/ns/dcat#Distribution"	"http://www.w3.org/2001/XMLSchema#anyURI"	""	"1"	"1"
"attribute"	"OSLO-DCATAPVL"	"e-mail"	"{51B7DB5B-4522-44cf-9877-95396DF309F1}"	""	"Contactinfo "	"{2E34F92D-E9C2-4971-84BA-E4502DA554BB}"	"URI"	"e-mail"	"Het e-mail adres waarmee je contact kan opnemen"	"Een e-mail adres in de vorm van een mailto URI volgens de standaard https://tools.ietf.org/html/rfc6068 ."	"e-mail"	"Het e-mail adres waarmee je contact kan opnemen"	"Een e-mail adres in de vorm van een mailto URI volgens de standaard https://tools.ietf.org/html/rfc6068 ."	""	"true"	"http://www.w3.org/2006/vcard/ns#"	"hasEmail"	"http://www.w3.org/2002/07/owl#DatatypeProperty"	"http://www.w3.org/2006/vcard/ns#Kind"	"http://www.w3.org/2001/XMLSchema#anyURI"	""	"1"	"1"
"attribute"	"OSLO-DCATAPVL"	"naam"	"{5A632542-36F8-4117-8188-3EC61C1B6590}"	""	"Agent"	"{D55680D7-C7A2-47c9-85F8-3845760F15B3}"	"TaalString"	"naam"	"De naam van de uitgever"	"Omwille van de meertaligheid kunnen er meerdere waarden zijn. De gewenste interpretatie van de cardinaliteit is: per taal slechts 1 waarde."	"naam"	"De naam van de uitgever"	"Omwille van de meertaligheid kunnen er meerdere waarden zijn. De gewenste interpretatie van de cardinaliteit is: per taal slechts 1 waarde."	""	"true"	"http://xmlns.com/foaf/0.1/"	"name"	"http://www.w3.org/2002/07/owl#DatatypeProperty"	"http://xmlns.com/foaf/0.1/Agent"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#langString"	""	"1"	"n"
