"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"BegroeidVoorkomen"	"{33028F34-3E92-4892-9018-78F017886236}"	""	""	""	""	""	""	""	""	""	""	""	""	"https://data.vlaanderen.be/ns/openbaardomein/"	"begroeidvoorkomen"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"BegroeidVoorkomen"	"Houtachtigen"	"{3DCD7E4E-1F91-40d7-8E15-25383F06E8C7}"	"BegroeidVoorkomen"	""	""	""	"Houtachtigen"	"Houtige planten of houtige gewassen (planta lignosa) zijn overblijvende planten die worden gekenmerkt door secundaire diktegroei, waardoor de takken, stammen en wortels veel hout bevatten."	""	"Houtachtigen"	"Houtige planten of houtige gewassen (planta lignosa) zijn overblijvende planten die worden gekenmerkt door secundaire diktegroei, waardoor de takken, stammen en wortels veel hout bevatten."	""	""	"false"	"https://data.vlaanderen.be/ns/openbaardomein/begroeidvoorkomen#"	"Houtachtigen"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/openbaardomein/begroeidvoorkomen#BegroeidVoorkomen"	""	""
"CLASS"	"BegroeidVoorkomen"	"BegroeidVoorkomen"	"{7265F46D-BC35-448a-983F-044380912A0F}"	"TerreinVoorkomen"	""	""	""	"Begroeid Voorkomen"	"De ruimtelijke massa van planten-individuen, in samenhang met de plaats waar zij groeien. "	""	"Begroeid Voorkomen"	"De ruimtelijke massa van planten-individuen, in samenhang met de plaats waar zij groeien. "	""	""	"false"	"https://data.vlaanderen.be/ns/openbaardomein/begroeidvoorkomen#"	"BegroeidVoorkomen"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/openbaardomein/terreindeel#TerreinVoorkomen"	""	""
"CLASS"	"BegroeidVoorkomen"	"Grasachtigen"	"{598EB11A-5E09-4a1a-94C8-9EDE9034D784}"	"BegroeidVoorkomen"	""	""	""	"Grasachtigen"	"Begroeiingen die overheersend bestaat uit grassen (behorende tot de Grassenfamilie, Poaceae)."	""	"Grasachtigen"	"Begroeiingen die overheersend bestaat uit grassen (behorende tot de Grassenfamilie, Poaceae)."	""	""	"false"	"https://data.vlaanderen.be/ns/openbaardomein/begroeidvoorkomen#"	"Grasachtigen"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/openbaardomein/begroeidvoorkomen#BegroeidVoorkomen"	""	""
"CLASS"	"BegroeidVoorkomen"	"Kruidachtigen"	"{318B5EC1-F425-4a7b-8852-9D8F384DC79F}"	"BegroeidVoorkomen"	""	""	""	"Kruidachtigen"	"Planten die geen blijvende houtige stengel vormen. Eenjarige, tweejarige of vaste planten, die in de winter tot de grond toe afsterven."	""	"Kruidachtigen"	"Planten die geen blijvende houtige stengel vormen. Eenjarige, tweejarige of vaste planten, die in de winter tot de grond toe afsterven."	""	""	"false"	"https://data.vlaanderen.be/ns/openbaardomein/begroeidvoorkomen#"	"Kruidachtigen"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/openbaardomein/begroeidvoorkomen#BegroeidVoorkomen"	""	""
"CLASS"	"BegroeidVoorkomen"	"Bloemenweide"	"{C44B766E-87D9-4e34-B6B1-C2CED620440F}"	"Grasachtigen"	""	""	""	"Bloemenweide"	"Grasland dat is ingezaaid met wilde- of half wilde soorten"	""	"Bloemenweide"	"Grasland dat is ingezaaid met wilde- of half wilde soorten"	""	""	"false"	"https://data.vlaanderen.be/ns/openbaardomein/begroeidvoorkomen#"	"Bloemenweide"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/openbaardomein/begroeidvoorkomen#Grasachtigen"	""	""
"CLASS"	"BegroeidVoorkomen"	"Gazon"	"{0757B884-B80B-4150-9EB2-6B1695BCCE19}"	"Grasachtigen"	""	""	""	"Gazon"	"Grasland zonder bloeiende grassen noch planten, gekenmerkt door een monotoon groen uiterlijk, lage soortendiversiteit en een kort vegetatiedek (enkele centimers hoogte) Een gazon wordt in stand gehouden door een intensief beheer (hoge maaifrequentie)"	""	"Gazon"	"Grasland zonder bloeiende grassen noch planten, gekenmerkt door een monotoon groen uiterlijk, lage soortendiversiteit en een kort vegetatiedek (enkele centimers hoogte) Een gazon wordt in stand gehouden door een intensief beheer (hoge maaifrequentie)"	""	""	"false"	"https://data.vlaanderen.be/ns/openbaardomein/begroeidvoorkomen#"	"Gazon"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/openbaardomein/begroeidvoorkomen#Grasachtigen"	""	""
"CLASS"	"BegroeidVoorkomen"	"Grasdals"	"{39EEBEFF-E296-4a41-8EE1-68B0634B454E}"	"Grasachtigen"	""	""	""	"Grasdals"	"Gras- en kruidachtig vegetatietype dat voorzien is van een rastervormig kunststof verstevigingsmateriaal en bedoeld om de bodem te verstevigen."	"Ook gekend onder de term 'grasbetontegel', NOTE cf. GRB-skeletaanvulling detail: WSV1003: grasdal"	"Grasdals"	"Gras- en kruidachtig vegetatietype dat voorzien is van een rastervormig kunststof verstevigingsmateriaal en bedoeld om de bodem te verstevigen."	"Ook gekend onder de term 'grasbetontegel', NOTE cf. GRB-skeletaanvulling detail: WSV1003: grasdal"	""	"false"	"https://data.vlaanderen.be/ns/openbaardomein/begroeidvoorkomen#"	"Grasdals"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/openbaardomein/begroeidvoorkomen#Grasachtigen"	""	""
"CLASS"	"BegroeidVoorkomen"	"Grindgazon"	"{B7BA8694-E9E1-47fa-BF7C-DBE0178B9230}"	"Gazon"	""	""	""	"Grindgazon"	"Gazontype specifiek op een gestabiliseerde ondergrond."	""	"Grindgazon"	"Gazontype specifiek op een gestabiliseerde ondergrond."	""	""	"false"	"https://data.vlaanderen.be/ns/openbaardomein/begroeidvoorkomen#"	"Grindgazon"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/openbaardomein/begroeidvoorkomen#Gazon"	""	""
"CLASS"	"BegroeidVoorkomen"	"Ruigte"	"{859C769E-C57D-458c-980C-3713F30CF568}"	"Kruidachtigen"	""	""	""	"Ruigte"	"Terrein of zoomvegetatie gedomineerd door ruigtekruiden of riet."	""	"Ruigte"	"Terrein of zoomvegetatie gedomineerd door ruigtekruiden of riet."	""	""	"false"	"https://data.vlaanderen.be/ns/openbaardomein/begroeidvoorkomen#"	"Ruigte"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/openbaardomein/begroeidvoorkomen#Kruidachtigen"	""	""
