"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Mobiliteit"	"{60AB9703-327C-4eb2-9FE9-68F8547A39B4}"	""	""	""	""	""	""	""	""	""	""	""	""	"https://data.vlaanderen.be/ns/"	"mobiliteit"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Mobiliteit"	"Verkeersteken"	"{B292EEC2-81DB-46a2-933C-93D6A7042248}"	""	""	""	""	"Verkeersteken"	"De voorstelling van een aanwijzing ten behoeve van de weggebruikers die verbonden wordt aan het aankondigen of opleggen van een bepaalde verkeersmaatregel zoals bepaald in de wegcode."	"Dit kan een verkeersbord,verkeerslicht of wegmarkering zijn. Merk op: het gaat hier om de conceptuele weergave en niet om de fysieke wegsignalisatie op het openbaar domein."	"Verkeersteken"	"De voorstelling van een aanwijzing ten behoeve van de weggebruikers die verbonden wordt aan het aankondigen of opleggen van een bepaalde verkeersmaatregel zoals bepaald in de wegcode."	""	""	"false"	"https://data.vlaanderen.be/ns/mobiliteit#"	"Verkeersteken"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Besluit"	"Voorwaarde"	"{7D59D384-A074-407b-8E3E-452F73ED5750}"	""	""	""	""	"Voorwaarde"	"Datgene waaraan moet voldaan worden om een geldig besluit te zijn."	""	"Voorwaarde"	"Datgene waaraan moet voldaan worden om een geldig besluit te zijn."	""	""	"true"	"http://data.vlaanderen.be/ns/besluit#"	"Voorwaarde"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Besluit"	"Signalisatievergunning"	"{7727F855-21F1-47be-88AE-C6D6E0953AFD}"	"Vergunning"	""	""	""	"Signalisatievergunning"	"Een vergunning voor het tijdelijk aanbrengen of wijzigen van signalisatie op het openbaar domein of privaat domein met openbaar karakter."	""	"Signalisatievergunning"	"Een vergunning voor het tijdelijk aanbrengen of wijzigen van signalisatie op het openbaar domein of privaat domein met openbaar karakter."	""	""	"true"	"http://data.vlaanderen.be/ns/besluit#"	"Signalisatievergunning"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/besluit#Vergunning"	""	""
"CLASS"	"OSLO-Besluit"	"Innamevergunning"	"{5D1A162B-5055-4cd0-97C2-89F1918BC295}"	"Vergunning"	""	""	""	"Innamevergunning"	"De vergunning voor het tijdelijk in gebruik nemen van het openbaar domein."	""	"Innamevergunning"	"De vergunning voor het tijdelijk in gebruik nemen van het openbaar domein."	""	""	"true"	"http://data.vlaanderen.be/ns/besluit#"	"Innamevergunning"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/besluit#Vergunning"	""	""
"CLASS"	"OSLO-Besluit"	"Vergunning"	"{7B8EF8C9-BAD7-4e01-A50E-3C8D7ECAF881}"	"Besluit"	""	""	""	"Vergunning"	"Een toelating om in een bepaalde tijdspanne een bepaalde activiteit uit te voeren die anders verboden is."	""	"Vergunning"	"Een toelating om in een bepaalde tijdspanne een bepaalde activiteit uit te voeren die anders verboden is."	""	""	"true"	"http://data.vlaanderen.be/ns/besluit#"	"Vergunning"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/besluit#Besluit"	""	""
"CLASS"	"OSLO-Besluit"	"Artikel"	"{9DAC824C-3DF4-40ba-9860-326AEEEE50BD}"	""	""	""	""	"Artikel"	"Formeel afgebakend onderdeel van een besluit,dat een of meer van de beoogde rechtsgevolgen beschrijft."	""	"Artikel"	"Formeel afgebakend onderdeel van een besluit,dat een of meer van de beoogde rechtsgevolgen beschrijft."	""	""	"true"	"http://data.vlaanderen.be/ns/besluit#"	"Artikel"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://purl.org/vocab/cpsv#FormalFramework, http://data.europa.eu/eli/ontology#LegalExpression"	""	""
"CLASS"	"OSLO-Besluit"	"TijdelijkReglement"	"{2C61FA60-3DE2-4e27-A6C9-23FC1A7D1E1A}"	"AanvullendReglement"	""	""	""	"Tijdelijk Reglement"	"Een aanvullend reglement op de politie van het wegverkeer met een tijdelijke geldigheid."	""	"Tijdelijk Reglement"	"Een aanvullend reglement op de politie van het wegverkeer met een tijdelijke geldigheid."	""	""	"true"	"http://data.vlaanderen.be/ns/besluit#"	"TijdelijkReglement"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/besluit#AanvullendReglement"	""	""
"CLASS"	"OSLO-Besluit"	"AanvullendReglement"	"{BB061C3C-6959-432a-88FF-234FCA4A62FE}"	"Besluit"	""	""	""	"Aanvullend Reglement"	"Een aanvullend reglement op de politie van het wegverkeer is een besluit met betrekking tot de aanpassing van de algemene wegcode aan plaatselijke omstandigheden met een blijvend of periodiek karakter."	""	"Aanvullend Reglement"	"Een aanvullend reglement op de politie van het wegverkeer is een besluit met betrekking tot de aanpassing van de algemene wegcode aan plaatselijke omstandigheden met een blijvend of periodiek karakter."	""	""	"true"	"http://data.vlaanderen.be/ns/besluit#"	"AanvullendReglement"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/besluit#Besluit"	""	""
"CLASS"	"OSLO-Besluit"	"Besluit"	"{D93AB3DF-4EC4-4c5c-ACC0-9C369F0FB503}"	""	""	""	""	"Besluit"	"De authentieke schriftelijke neerslag van een beslissing van een bestuursorgaan. Deze beslissing houdt een rechtshandeling in waarbij sprake is van een beoogd rechtsgevolg."	"Hieronder vallen zowel individuele besluiten (rechtshandelingen met een individueel karakter zoals het toekennen van een subsidie) als besluiten van algemene strekking (beslissingen van algemene reglementaire strekking die niet gericht zijn op een individu maar op een groep, zoals de verkeersregels)."	"Besluit"	"De authentieke schriftelijke neerslag van een beslissing van een bestuursorgaan. Deze beslissing houdt een rechtshandeling in waarbij sprake is van een beoogd rechtsgevolg."	""	""	"true"	"http://data.vlaanderen.be/ns/besluit#"	"Besluit"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://purl.org/vocab/cpsv#FormalFramework, http://data.europa.eu/eli/ontology#LegalExpression, http://xmlns.com/foaf/0.1/Document"	""	""
"CLASS"	"OSLO-Mobiliteit"	"Signalisatieplan"	"{B1774308-115E-4198-857A-4AB7A132EA9C}"	""	""	""	""	"Signalisatieplan"	"Grafische weergave van de tijdelijke of permanente signalisatie die nodig is voor de gegeven situatie."	""	"Signalisatieplan"	"Grafische weergave van de tijdelijke of permanente signalisatie die nodig is voor de gegeven situatie."	""	""	"false"	"https://data.vlaanderen.be/ns/mobiliteit#"	"Signalisatieplan"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Mobiliteit"	"OSLO-Weg::TransportLinkSet"	"{1B18DEEF-1545-492e-9817-1E4E690AB959}"	""	""	""	""	"Transport Link Set"	"Een verzameling transportlinksequenties en/of individuele transportlinks die een specifieke functie of betekenis hebben in een transportnetwerk."	""	"Transport Link Set"	"Een verzameling transportlinksequenties en/of individuele transportlinks die een specifieke functie of betekenis hebben in een transportnetwerk."	""	""	"true"	"https://data.vlaanderen.be/ns/weg#"	"TransportLinkSet"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Wetgeving"	"Rechtsgrondonderdeel"	"{83E7B058-9E2D-4942-AE79-0FB64D02EA3B}"	""	""	""	""	"Rechtsgrondonderdeel"	"Een deel van een rechtsgrond,op een arbitrair niveau van precisie,zoals een hoofdstuk,artikel,paragraaf of lijst element."	""	"Rechtsgrondonderdeel"	"Een deel van een rechtsgrond,op een arbitrair niveau van precisie,zoals een hoofdstuk,artikel,paragraaf of lijst element."	""	""	"true"	"http://data.europa.eu/eli/ontology#"	"LegalResourceSubdivision"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.europa.eu/eli/ontology#LegalResource"	""	""
"CLASS"	"OSLO-Mobiliteit"	"Omleiding"	"{D88CF314-F86F-4a5b-8213-22943768CDC4}"	"Verkeersmaatregel"	""	""	""	"Omleiding"	"Tijdelijke route die aanbevolen wordt te volgen door de betreffende weggebruiker."	""	"Omleiding"	"Tijdelijke route die aanbevolen wordt te volgen door de betreffende weggebruiker."	""	""	"false"	"https://data.vlaanderen.be/ns/mobiliteit#"	"Omleiding"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/mobiliteit#Verkeersmaatregel"	""	""
"CLASS"	"OSLO-Mobiliteit"	"Verkeersmaatregel"	"{D8C7D5D0-6759-4772-A714-12B12AE2021F}"	"Mobiliteitsmaatregel"	""	""	""	"Verkeersmaatregel"	"Maatregel waarvan de aard,omvang en plaatsing zijn omschreven in de wegcode en uitvoeringsbesluiten."	""	"Verkeersmaatregel"	"Maatregel waarvan de aard,omvang en plaatsing zijn omschreven in de wegcode en uitvoeringsbesluiten."	""	""	"false"	"https://data.vlaanderen.be/ns/mobiliteit#"	"Verkeersmaatregel"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/mobiliteit#Mobiliteitsmaatregel"	""	""
"CLASS"	"OSLO-Mobiliteit"	"Mobiliteitsmaatregel"	"{4E0CEB2B-DF35-4354-9A4D-644EA94B01B6}"	""	""	""	""	"Mobiliteitsmaatregel"	"Maatregel om de beweging en verplaatsing van de weggebruiker op het openbaar domein of privé domein met openbaar karakter te organiseren."	""	"Mobiliteitsmaatregel"	"Maatregel om de beweging en verplaatsing van de weggebruiker op het openbaar domein of privé domein met openbaar karakter te organiseren."	""	""	"false"	"https://data.vlaanderen.be/ns/mobiliteit#"	"Mobiliteitsmaatregel"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Mobiliteit"	"Mobiliteitshinder"	"{DB009375-219E-45e9-89F6-CE78F012E397}"	""	""	""	""	"Mobiliteitshinder"	"Verstoring van de normale mobiliteit op het openbaar domein of privé domein met openbaar karakter."	""	"Mobiliteitshinder"	"Verstoring van de normale mobiliteit op het openbaar domein of privé domein met openbaar karakter."	""	""	"false"	"https://data.vlaanderen.be/ns/mobiliteit#"	"Mobiliteitshinder"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Mobiliteit"	"Inname"	"{481DE049-778F-4c29-BBF2-6AB8737E23E0}"	""	""	""	""	"Inname"	"Een tijdelijke activiteit die een bepaalde ruimte inneemt,met gevolgen voor het openbaar domein of privédomein met openbaar karakter."	""	"Inname"	"Een tijdelijke activiteit die een bepaalde ruimte inneemt,met gevolgen voor het openbaar domein of privédomein met openbaar karakter."	""	""	"false"	"https://data.vlaanderen.be/ns/mobiliteit#"	"Inname"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"connector"	""	"heeftGerelateerdVerkeersteken"	"{2B908485-2F23-4223-8531-D635F37D0D50}"	""	"Verkeersteken"	"{B292EEC2-81DB-46a2-933C-93D6A7042248}"	"Verkeersteken"	"heeft gerelateerd verkeersteken"	"Verkeersteken dat hieraan gerelateerd is."	"Dit duidt de feitelijke relatie aan tussen 2 verkeerstekens. Bijvoorbeeld: begin en einde van een parkeerzone."	"heeft gerelateerd verkeersteken"	"Verkeersteken dat hieraan gerelateerd is."	"Dit duidt de feitelijke relatie aan tussen 2 verkeerstekens. Bijvoorbeeld: begin en einde van een parkeerzone."	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"related"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"https://data.vlaanderen.be/ns/mobiliteit#Verkeersteken"	"https://data.vlaanderen.be/ns/mobiliteit#Verkeersteken"	""	"0"	"*"
"connector"	""	"heeftOnderbord"	"{B4CB8417-756C-4355-BABD-D7203F190791}"	""	"Verkeersteken"	"{B292EEC2-81DB-46a2-933C-93D6A7042248}"	"Verkeersteken"	"heeft onderbord"	"Onderbord dat behoort tot dit verkeersteken."	""	"heeft onderbord"	"Onderbord dat behoort tot dit verkeersteken."	""	""	"false"	"https://data.vlaanderen.be/ns/mobiliteit#"	"heeftOnderbord"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"https://data.vlaanderen.be/ns/mobiliteit#Verkeersteken"	"https://data.vlaanderen.be/ns/mobiliteit#Verkeersteken"	""	"0"	"*"
"connector"	""	"heeftRoute"	"{B47052CA-3DAC-472d-9588-1A36449F9025}"	""	"Omleiding"	"{D88CF314-F86F-4a5b-8213-22943768CDC4}"	"OSLO-Weg::TransportLinkSet"	""	"Traject van de omleiding."	""	""	"Traject van de omleiding."	""	""	"true"	"https://data.vlaanderen.be/ns/mobiliteit#"	"heeftRoute"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"https://data.vlaanderen.be/ns/mobiliteit#Omleiding"	"https://data.vlaanderen.be/ns/weg#TransportLinkSet"	""	"1"	"1"
"connector"	""	"vergunt"	"{DC1B87FA-382A-46fa-A9CD-E34F2ECF77B1}"	""	"Signalisatievergunning"	"{7727F855-21F1-47be-88AE-C6D6E0953AFD}"	"Verkeersteken"	"vergunt"	"Verkeersteken (Verkeersbord, Wegmarkering of Verkeerslicht) dat vergunt is in de signalisatievergunning."	""	"vergunt"	"Verkeersteken (Verkeersbord, Wegmarkering of Verkeerslicht) dat vergunt is in de signalisatievergunning."	""	""	"true"	"https://data.vlaanderen.be/ns/mobiliteit#"	"vergunt"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://data.vlaanderen.be/ns/besluit#Signalisatievergunning"	"https://data.vlaanderen.be/ns/mobiliteit#Verkeersteken"	""	"1"	"*"
