"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Subsidie"	"{BCA4962A-F3B8-48e4-A2BD-55A8E363DB25}"	""	""	""	""	""	""	""	""	""	""	""	""	"http://data.vlaanderen.be/ns/"	"subsidie"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Generiek"	"Agent"	"{9373B7C5-B37B-4c94-A47B-44AC43F34274}"	""	""	""	""	"Agent"	"Iemand die of iets dat kan handelen of een effect kan teweeg brengen."	""	"Agent"	"Iemand die of iets dat kan handelen of een effect kan teweeg brengen."	""	""	"true"	"http://purl.org/dc/terms/"	"Agent"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Organisatie"	"PubliekeOrganisatie"	"{4BF889A0-DBB7-4d4d-83DB-86FFBADEC61A}"	"Organisatie"	""	""	""	"Publieke Organisatie"	"Een Organisatie die volgens een wettelijk kader behoort tot de publieke sector, ongeacht het bestuursniveau waarop dat kader van kracht is."	"De overheids- en semioverheidsorganisaties die tot men zo tot de publieke sector kan rekenen worden in Europese richtlijn 2003/98/EG ""openbaar lichaam"" genoemd en gedefinieerd als: ""de staat, zijn territoriale lichamen, publiekrechtelijke instellingen, en verenigingen gevormd door een of meer van deze lichamen of een of meer van deze publiekrechtelijke instellingen"". En onder een publiekrechtelijke instelling verstaat men "" iedere instelling die a) is opgericht met het specifieke doel te voorzien in behoeften van algemeen belang die niet van industriële of commerciële aard zijn, en b) rechtspersoonlijkheid heeft, en c) waarvan hetzij de activiteiten in hoofdzaak door de staat of zijn territoriale lichamen of andere publiekrechtelijke instellingen worden gefinancierd, hetzij het beheer is onderworpen aan toezicht door deze laatste, hetzij de leden van het bestuursorgaan, het leidinggevend orgaan of het toezichthoudend orgaan voor meer dan de helft door de staat, zijn territoriale lichamen of andere publiekrechtelijke instellingen zijn aangewezen."".
"	"Publieke Organisatie"	"Een Organisatie die volgens een wettelijk kader behoort tot de publieke sector, ongeacht het bestuursniveau waarop dat kader van kracht is."	"De overheids- en semioverheidsorganisaties die tot men zo tot de publieke sector kan rekenen worden in Europese richtlijn 2003/98/EG ""openbaar lichaam"" genoemd en gedefinieerd als: ""de staat, zijn territoriale lichamen, publiekrechtelijke instellingen, en verenigingen gevormd door een of meer van deze lichamen of een of meer van deze publiekrechtelijke instellingen"". En onder een publiekrechtelijke instelling verstaat men "" iedere instelling die a) is opgericht met het specifieke doel te voorzien in behoeften van algemeen belang die niet van industriële of commerciële aard zijn, en b) rechtspersoonlijkheid heeft, en c) waarvan hetzij de activiteiten in hoofdzaak door de staat of zijn territoriale lichamen of andere publiekrechtelijke instellingen worden gefinancierd, hetzij het beheer is onderworpen aan toezicht door deze laatste, hetzij de leden van het bestuursorgaan, het leidinggevend orgaan of het toezichthoudend orgaan voor meer dan de helft door de staat, zijn territoriale lichamen of andere publiekrechtelijke instellingen zijn aangewezen."".
"	""	"true"	"http://data.europa.eu/m8g/"	"PublicOrganisation"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://www.w3.org/ns/org#Organization"	""	""
"CLASS"	"OSLO-Organisatie"	"Organisatie"	"{97967501-FF7A-42c9-A4BF-951FE4EE92BC}"	"Agent"	""	""	""	"Organisatie"	"Een aantal mensen georganiseerd in een gemeenschap of andere sociale, commerciële of politieke structuur. De groep heeft een gemeenschappelijk doel of bestaansreden die de individuele leden ervan overstijgt en kan handelen als Agent. Een organisatie heeft dikwijls een hiërarchische structuur."	""	"Organisatie"	"Een aantal mensen georganiseerd in een gemeenschap of andere sociale, commerciële of politieke structuur. De groep heeft een gemeenschappelijk doel of bestaansreden die de individuele leden ervan overstijgt en kan handelen als Agent. Een organisatie heeft dikwijls een hiërarchische structuur."	""	""	"true"	"http://www.w3.org/ns/org#"	"Organization"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/generiek#Object, http://purl.org/dc/terms/Agent"	""	""
"CLASS"	"OSLO-Subsidie"	"Beoordeling"	"{F3D98CED-2933-472b-9BF4-85581C6DA7E1}"	""	""	""	""	"Beoordeling"	"De motivering van de subsidiebeslissing, gebaseerd op criteriumbeoordelingen en adviezen."	""	"Beoordeling"	"De motivering van de subsidiebeslissing, gebaseerd op criteriumbeoordelingen en adviezen."	""	""	"false"	"http://data.vlaanderen.be/ns/subsidie#"	"Beoordeling"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://www.w3.org/ns/prov#Activity"	""	""
"CLASS"	"OSLO-Subsidie"	"CriteriumBeoordeling"	"{A06AE816-1F60-41c1-916E-8C76F82DB1AE}"	""	""	""	""	"Criteriumbeoordeling"	"De vaststelling of de consumptie al dan niet voldoet aan de criterium of criteriumvereiste."	""	"Criteriumbeoordeling"	"De vaststelling of de consumptie al dan niet voldoet aan de criterium of criteriumvereiste."	""	""	"true"	"http://schema.org/"	"Review"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Subsidie"	"SubsidieUitbetalingsbeslissing"	"{9F6CA702-C4F4-44c9-9738-28F954F980F2}"	"Subsidiebeslissing"	""	""	""	"Subsidie Uitbetalingsbeslissing"	"De beslissing die erkent dat de begunstigde voldoet aan de criteria voor het uitbetalen van de subsidiemaatregel en bijgevolg recht heeft op een financiële transactie."	""	"Subsidie Uitbetalingsbeslissing"	"De beslissing die erkent dat de begunstigde voldoet aan de criteria voor het uitbetalen van de subsidiemaatregel en bijgevolg recht heeft op een financiële transactie."	""	""	"false"	"http://data.vlaanderen.be/ns/subsidie#"	"SubsidieUitbetalingsbeslissing"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/subsidie#Subsidiebeslissing"	""	""
"CLASS"	"OSLO-Subsidie"	"VereistenGroep"	"{C6CF892A-2119-4230-8F14-FA3499275889}"	""	""	""	""	"Vereistengroep"	"Vereistengroep is de set vereisten waaraan moet worden voldaan om een criterium te valideren."	""	"Vereistengroep"	"Vereistengroep is de set vereisten waaraan moet worden voldaan om een criterium te valideren."	""	""	"true"	"http://data.europa.eu/m8g/"	"RequirementGroup"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Subsidie"	"Criterium"	"{9AF628EB-1D43-4939-9D02-FCA02E0821C4}"	""	""	""	""	"Criterium"	"Een criterium beschrijft wat nodig is om recht te hebben op de toekenning of uitbetaling van een subsidiemaatregel. Op een criterium kan beoordeeld worden."	""	"Criterium"	"Een criterium beschrijft wat nodig is om recht te hebben op de toekenning of uitbetaling van een subsidiemaatregel. Op een criterium kan beoordeeld worden."	""	""	"true"	"http://data.europa.eu/m8g/"	"Criterion"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Subsidie"	"Subsidiebeslissing"	"{546A10C0-1D71-4dfb-9F14-E0FB879F8FF9}"	""	""	""	""	"Subsidiebeslissing"	"Het oordeel van een bevoegd orgaan over de consumptie van een subsidiemaatregel."	""	"Subsidiebeslissing"	"Het oordeel van een bevoegd orgaan over de consumptie van een subsidiemaatregel."	""	""	"false"	"http://data.vlaanderen.be/ns/subsidie#"	"Subsidiebeslissing"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.europa.eu/eli/ontology#LegalResource"	""	""
"CLASS"	"OSLO-Subsidie"	"SubsidieNietToekenning"	"{C4E6D838-E90E-499d-91C7-AD73933D35FC}"	"Subsidiebeslissing"	""	""	""	"Subsidie Niet-toekenning"	"De beslissing die aangeeft dat de begunstigde niet voldoet aan de criteria voor het toekennen van een subsidiemaatregel."	""	"Subsidie Niet-toekenning"	"De beslissing die aangeeft dat de begunstigde niet voldoet aan de criteria voor het toekennen van een subsidiemaatregel."	""	""	"false"	"http://data.vlaanderen.be/ns/subsidie#"	"SubsidieNietToekenning"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/subsidie#Subsidiebeslissing"	""	""
"CLASS"	"OSLO-Subsidie"	"Participatie"	"{EEAADBFA-7BDF-4ae2-8E42-163EE3469696}"	""	""	""	""	"Participatie"	"Deelname aan een publieke dienstverlening door een agent."	""	"Participatie"	"Deelname aan een publieke dienstverlening door een agent."	""	""	"true"	"http://data.europa.eu/m8g/"	"Participation"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Subsidie"	"FinanciëleTransactie"	"{EEE1131C-6C4E-4626-97C0-B7FE21FC554D}"	""	""	""	""	"Financiële Transactie"	"De handeling waarbij een bedrag wordt uitbetaald."	""	"Financiële Transactie"	"De handeling waarbij een bedrag wordt uitbetaald."	""	""	"false"	"http://data.vlaanderen.be/ns/subsidie#"	"FinanciëleTransactie"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.europa.eu/m8g/Output, http://www.w3.org/ns/prov#Activity"	""	""
