"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-CultureelErfgoed-Object"	"{19F5FB76-9AE2-4d86-B9A1-8B00E8BE6383}"	""	""	""	""	""	""	""	""	""	""	""	""	"https://data.vlaanderen.be/ns/"	"cultureel-erfgoed"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-CultureelErfgoed-Object"	"Opnamewerk"	"{B456022D-54B4-4097-81EC-FF5E3B47087F}"	"Werk"	""	""	""	"Opnamewerk"	"TO DO"	"TO DO"	"Opnamewerk"	"TO DO"	"TO DO"	""	"true"	"https://wherever/"	"TODO"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wherever/TODO"	""	""
"CLASS"	"OSLO-CultureelErfgoed-Object"	"Voorstelling"	"{AA832CBC-72B9-4be3-884E-82AC3F9A76B0}"	"Werk"	""	""	""	"Voorstelling"	"TO DO"	"TO DO"	"Voorstelling"	"TO DO"	"TO DO"	""	"true"	"https://wherever/"	"TODO"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wherever/TODO"	""	""
"CLASS"	"OSLO-CultureelErfgoed-Object"	"Publicatiewerk"	"{8429EFC0-9661-4a68-B5F8-D24D50A3A858}"	"Werk"	""	""	""	"Publicatiewerk"	"TO DO"	"TO DO"	"Publicatiewerk"	"TO DO"	"TO DO"	""	"true"	"https://wherever/"	"TODO"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wherever/TODO"	""	""
"CLASS"	"OSLO-CultureelErfgoed-Object"	"Containerwerk"	"{B1A62EE2-941A-43bd-B34C-3BB8281507BB}"	"Werk"	""	""	""	"Containerwerk"	"TO DO"	"TO DO"	"Containerwerk"	"TO DO"	"TO DO"	""	"true"	"https://wherever/"	"TODO"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wherever/TODO"	""	""
"CLASS"	"OSLO-CultureelErfgoed-Object"	"SerieelWerk"	"{BC34CFC3-0830-4de5-A5C9-BB7339D06AF1}"	"Werk"	""	""	""	"Serieel Werk"	"TO DO"	"TO DO"	"Serieel Werk"	"TO DO"	"TO DO"	""	"true"	"https://wherever/"	"TODO"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wherever/TODO"	""	""
"CLASS"	"OSLO-CultureelErfgoed-Object"	"ComplexWerk"	"{5188845E-5FB3-496c-B95F-C62EFF2488CE}"	"Werk"	""	""	""	"Complex Werk"	"TO DO"	"TO DO"	"Complex Werk"	"TO DO"	"TO DO"	""	"true"	"https://wherever/"	"TODO"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wherever/TODO"	""	""
"CLASS"	"OSLO-CultureelErfgoed-Object"	"Aggregatiewerk"	"{97F35AE8-74FB-4a5a-9A48-CD96C3CC4D8B}"	"Werk"	""	""	""	"Aggregatiewerk"	"TO DO"	"TO DO"	"Aggregatiewerk"	"TO DO"	"TO DO"	""	"true"	"https://wherever/"	"TODO"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wherever/TODO"	""	""
"CLASS"	"OSLO-CultureelErfgoed-Object"	"IndividueelWerk"	"{CB64DEB4-0B03-49bb-A251-30B10E901C0E}"	"Werk"	""	""	""	"Individueel Werk"	"TO DO"	"TO DO"	"Individueel Werk"	"TO DO"	"TO DO"	""	"true"	"https://wherever/"	"TODO"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wherever/TODO"	""	""
"CLASS"	"OSLO-CultureelErfgoed-Object"	"Opname"	"{3C07905A-0A8F-4836-A78D-BE4CA83C1F16}"	"ZelfstandigeExpressie"	""	""	""	"Opname"	"TO DO"	"TO DO"	"Opname"	"TO DO"	"TO DO"	""	"true"	"https://wherever/"	"TODO"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wherever/TODO"	""	""
"CLASS"	"OSLO-CultureelErfgoed-Object"	"Publicatieexpressie"	"{74AFA62B-817C-4a31-9CB9-FA424456C086}"	"ZelfstandigeExpressie"	""	""	""	"Publicatieexpressie"	"TO DO"	"TO DO"	"Publicatieexpressie"	"TO DO"	"TO DO"	""	"true"	"https://wherever/"	"TODO"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wherever/TODO"	""	""
"CLASS"	"OSLO-CultureelErfgoed-Object"	"Voorstellingsplan"	"{CA03608F-9F22-4be9-B607-C811FD3EA21F}"	"ZelfstandigeExpressie"	""	""	""	"Voorstellingsplan"	"TO DO"	"TO DO"	"Voorstellingsplan"	"TO DO"	"TO DO"	""	"true"	"https://wherever/"	"TODO"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wherever/TODO"	""	""
"CLASS"	"OSLO-CultureelErfgoed-Object"	"Taalobject"	"{4570E47B-9C3A-4ae9-AD1E-C7F4CF62C0F0}"	"InformatieObject"	""	""	""	"Taalobject"	"TO DO"	"TO DO"	"Taalobject"	"TO DO"	"TO DO"	""	"true"	"https://wherever/"	"TODO"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/cultureel-erfgoed#InformatieObject"	""	""
"CLASS"	"OSLO-CultureelErfgoed-Object"	"VisueelItem"	"{74B9AEFF-D0A3-494e-BD81-273DBC83738B}"	"InformatieObject"	""	""	""	"Visueel Item"	"TO DO"	"TO DO"	"Visueel Item"	"TO DO"	"TO DO"	""	"true"	"https://wherever/"	"TODO"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/cultureel-erfgoed#InformatieObject"	""	""
