"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"MijnDomeinAP"	"{7DDB89E6-818B-40cb-90C1-5D7AD21192E9}"	""	""	""	""	""	""	""	""	""	""	""	""	"https://data.vlaanderen.be/ns/"	"mijndomein"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"MijnDomeinAP"	"M07B"	"{191630A0-B0ED-4597-A640-93CEEA72341E}"	"K07B"	""	""	""	"L07B"	"Definitie L07B etc."	""	"L07B"	"Definitie L07B etc."	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"M07B"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/mijndomein#K07B"	""	""
"CLASS"	"MijnDomeinAP"	"M07A"	"{FE89F150-D3E6-43cd-83D4-21B053E4EBF7}"	"K07A"	""	""	""	"L07A"	"Definitie L07A etc."	""	"L07A"	"Definitie L07A etc."	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"M07A"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/mijndomein#K07A"	""	""
"CLASS"	"MijnDomeinAP"	"L07B"	"{02911425-6EDA-4b58-91DA-91B484DB8F5A}"	"K07B"	""	""	""	"L07B"	"Definitie L07B etc."	""	"L07B"	"Definitie L07B etc."	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"L07B"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/mijndomein#K07B"	""	""
"CLASS"	"MijnDomeinAP"	"L07A"	"{1E01D0CC-6BBB-4b10-BA98-64EFC3309010}"	"K07A"	""	""	""	"L07A"	"Definitie L07A etc."	""	"L07A"	"Definitie L07A etc."	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"L07A"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/mijndomein#K07A"	""	""
"CLASS"	"MijnDomeinAP"	"Heeft07"	"{68303915-5A38-4cc8-8473-50BF357FB333}"	""	""	""	""	"Heeft07"	"AP Definitie Heeft07 (associatieklasse, eerste afdaling) etc."	""	"Heeft07"	"AP Definitie Heeft07 (associatieklasse, eerste afdaling) etc."	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"Heeft07"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinAP"	"K07B"	"{5B6BC8F3-1B52-44ce-980C-864CF3717F4F}"	""	""	""	""	"K07B"	"Definitie K07B etc."	""	"K07B"	"Definitie K07B etc."	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"K07B"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinAP"	"K07A"	"{C7820033-B249-4f73-9D0F-C18B75787B50}"	""	""	""	""	"K07A"	"Definitie K07A etc."	""	"K07A"	"Definitie K07A etc."	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"K07A"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinAP"	"M06B"	"{5AA4FCB0-565D-4881-9F39-8E4F8CB5CEE1}"	"K06B"	""	""	""	"M06B"	"Definitie M06B etc."	""	"M06B"	"Definitie M06B etc."	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"M06B"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/mijndomein#K06B"	""	""
"CLASS"	"MijnDomeinAP"	"M06A"	"{71E7AE3B-4105-4810-8DE3-D359563DD515}"	"K06A"	""	""	""	"M06A"	"Definitie M06A etc."	""	"M06A"	"Definitie M06A etc."	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"M06A"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/mijndomein#K06A"	""	""
"CLASS"	"MijnDomeinAP"	"L06B"	"{5A9B12E5-5266-4ed8-AE76-428EDC8EBE50}"	"K06B"	""	""	""	"L06B"	"Definitie L06B etc."	""	"L06B"	"Definitie L06B etc."	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"L06B"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/mijndomein#K06B"	""	""
"CLASS"	"MijnDomeinAP"	"L06A"	"{09CA7012-2FA4-4f8a-8126-1D49DC94512B}"	"K06A"	""	""	""	"L06A"	"Definitie L06A etc."	""	"L06A"	"Definitie L06A etc."	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"L06A"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/mijndomein#K06A"	""	""
"CLASS"	"MijnDomeinAP"	"K06B"	"{2527BB25-1F1F-487b-B5FD-6137F1DD2EEC}"	""	""	""	""	"K06B"	"Definitie K06B etc."	""	"K06B"	"Definitie K06B etc."	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"K06B"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinAP"	"Heeft06"	"{D1D67D99-692F-4d0a-A069-B7BC62B958C0}"	""	""	""	""	"Heeft06"	"AP Definitie Heeft06 (associatieklasse, eerste afdaling) etc."	""	"Heeft06"	"AP Definitie Heeft06 (associatieklasse, eerste afdaling) etc."	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"Heeft06"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinAP"	"K06A"	"{3B21F109-19FD-4c9d-A907-C10DD7BF65E2}"	""	""	""	""	"K06A"	"Definitie K06A etc."	""	"K06A"	"Definitie K06A etc."	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"K06A"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinAP"	"L03B"	"{CF308363-94BE-4387-96D1-78CA295256DA}"	"K03B"	""	""	""	"K03B"	"Definitie K03B etc."	""	"K03B"	"Definitie K03B etc."	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"L03B"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/mijndomein#K03B"	""	""
"CLASS"	"MijnDomeinAP"	"L03A"	"{DAB58304-8624-4702-8769-8A021E34CBDF}"	"K03A"	""	""	""	"L03A"	"Definitie L03A etc."	""	"L03A"	"Definitie L03A etc."	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"L03A"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/mijndomein#K03A"	""	""
"CLASS"	"MijnDomeinAP"	"L02B"	"{76E1E832-CEA2-4165-953A-FFA28849F3C9}"	"K02B"	""	""	""	"L02B"	"Definitie L02B etc."	""	"L02B"	"Definitie L02B etc."	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"L02B"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/mijndomein#K02B"	""	""
"CLASS"	"MijnDomeinAP"	"L02A"	"{A5B9B1E3-01B0-41df-9064-F5F083EDF550}"	"K02A"	""	""	""	"L02A"	"Definitie L02A etc."	""	"L02A"	"Definitie L02A etc."	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"L02A"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/mijndomein#K02A"	""	""
"CLASS"	"MijnDomeinAP"	"K03B"	"{F4908E3F-EE3C-4879-99EF-C807698E8E14}"	""	""	""	""	"K03B"	"Definitie K03B etc."	""	"K03B"	"Definitie K03B etc."	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"K03B"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
