"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"MijnAfdaalDomeinAP"	"{9BEA794A-76CA-4d3a-BF28-F38F8CFFEBDE}"	""	""	""	""	""	""	""	""	""	""	""	""	"https://data.vlaanderen.be/ns/"	"mijnafdaaldomein"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"MijnAfdaalDomeinAP"	"Heeft07_1"	"{5EDF3573-66C8-407b-AB38-7532824F3270}"	""	""	""	""	"Heeft07_1"	"AP Definitie Heeft07 (associatieklasse,eerste afdaling) etc."	""	"Heeft07_1"	"AP Definitie Heeft07 (associatieklasse,eerste afdaling) etc."	""	""	"false"	"https://data.vlaanderen.be/ns/mijnafdaaldomein#"	"Heeft07"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnAfdaalDomeinAP"	"Heeft06_1"	"{D69FE9CC-851C-42db-BFF4-36F02D110B4D}"	""	""	""	""	"Heeft06_1"	"AP Definitie Heeft06 (associatieklasse,eerste afdaling) etc."	""	"Heeft06_1"	"AP Definitie Heeft06 (associatieklasse,eerste afdaling) etc."	""	""	"false"	"https://data.vlaanderen.be/ns/mijnafdaaldomein#"	"Heeft06"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnAfdaalDomeinAP"	"Heeft07_2"	"{AE546C51-73C2-4622-B15C-16A9FA39B5E5}"	""	""	""	""	"Heeft07_2"	"AP Definitie Heeft07 (associatieklasse,tweed afdaling) etc."	""	"Heeft07_2"	"AP Definitie Heeft07 (associatieklasse,tweed afdaling) etc."	""	""	"false"	"https://data.vlaanderen.be/ns/mijnafdaaldomein#"	"Heeft07"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnAfdaalDomeinAP"	"Heeft06_2"	"{B8556712-6DC4-4b84-8E9B-A2CA7BEE7A2E}"	""	""	""	""	"Heeft06_2"	"AP Definitie Heeft06 (associatieklasse,tweede afdaling) etc."	""	"Heeft06_2"	"AP Definitie Heeft06 (associatieklasse,tweede afdaling) etc."	""	""	"false"	"https://data.vlaanderen.be/ns/mijnafdaaldomein#"	"Heeft06"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnAfdaalDomeinAP"	"M07B"	"{507527D4-3DFC-439f-B2B4-F6C4A41D4D62}"	"K07B"	""	""	""	"M07B"	"Definitie M07B etc."	""	"M07B"	"Definitie M07B etc."	""	""	"false"	"https://data.vlaanderen.be/ns/mijnafdaaldomein#"	"M07B"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/mijnafdaaldomein#K07B"	""	""
"CLASS"	"MijnAfdaalDomeinAP"	"M07A"	"{5E664A10-0F3F-4e23-9406-25069B60EE1F}"	"K07A"	""	""	""	"M07A"	"Definitie M07A etc."	""	"M07A"	"Definitie M07A etc."	""	""	"false"	"https://data.vlaanderen.be/ns/mijnafdaaldomein#"	"M07A"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/mijnafdaaldomein#K07A"	""	""
"CLASS"	"MijnAfdaalDomeinAP"	"L07B"	"{A27ED6EF-A42D-40b4-9433-938AA9DA1C11}"	"K07B"	""	""	""	"L07B"	"Definitie L07B etc."	""	"L07B"	"Definitie L07B etc."	""	""	"false"	"https://data.vlaanderen.be/ns/mijnafdaaldomein#"	"L07B"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/mijnafdaaldomein#K07B"	""	""
"CLASS"	"MijnAfdaalDomeinAP"	"L07A"	"{454E761C-7474-4c4a-9332-CBE1876B6A73}"	"K07A"	""	""	""	"L07A"	"Definitie L07A etc."	""	"L07A"	"Definitie L07A etc."	""	""	"false"	"https://data.vlaanderen.be/ns/mijnafdaaldomein#"	"L07A"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/mijnafdaaldomein#K07A"	""	""
"CLASS"	"MijnAfdaalDomeinAP"	"K07B"	"{4FF993EB-1DBC-4ec5-842A-22F163FDD9DC}"	""	""	""	""	"K07B"	"Definitie K07B etc."	""	"K07B"	"Definitie K07B etc."	""	""	"false"	"https://data.vlaanderen.be/ns/mijnafdaaldomein#"	"K07B"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
