"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"MijnDomeinMetNameTags2"	"{67AC5B83-AC31-4d67-B96E-C98AEFE7D746}"	""	""	""	""	""	""	""	""	""	""	""	""	"https://data.vlaanderen.be/ns/"	"mijndomein"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"MijnDomeinMetNameTags2"	"K23"	"{F3604363-60D8-4360-8116-C2D4C0C0B2CF}"	""	""	""	""	"K23"	"Definitie K23 etc."	""	"K23"	"Definitie K23 etc."	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"K23"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetNameTags2"	"K22"	"{14D1AB1B-7690-491d-BB7D-A87E4242AAD6}"	""	""	""	""	"K22"	"Definitie K22 etc."	""	"K22"	"Definitie K22 etc."	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"K22"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetNameTags2"	"K21"	"{8237981F-AF7E-4749-89B4-27E7B7A8F0F8}"	""	""	""	""	"K21"	"Definitie K21 etc."	""	"K21"	"Definitie K21 etc."	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"K21"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetNameTags2"	"Heeft26"	"{3DF15C80-4764-4c48-927D-E7507EE9A7A7}"	""	""	""	""	"Heeft26"	"Definitie Heeft26 (associatieklasse) etc."	""	"Heeft26"	"Definitie Heeft26 (associatieklasse) etc."	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"Heeft26"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetNameTags2"	"K26"	"{8B923B56-AC7E-466d-A711-F670A742B72F}"	""	""	""	""	"K26"	"Definitie K26 etc."	""	"K26"	"Definitie K26 etc."	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"K26"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetNameTags2"	"Heeft25"	"{9109C780-0ABE-4ef2-A520-263FB7632BFB}"	""	""	""	""	"Heeft25"	"Definitie Heeft25 (associatieklasse) etc."	""	"Heeft25"	"Definitie Heeft25 (associatieklasse) etc."	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"Heeft25"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetNameTags2"	"K25"	"{CEE917FB-6F6A-46fa-AE73-1FF04E2D5934}"	""	""	""	""	"K25"	"Definitie K25 etc."	""	"K25"	"Definitie K25 etc."	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"K25"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetNameTags2"	"Heeft06"	"{15718C84-7CB6-4537-8FA6-D6F4ED251BED}"	""	""	""	""	"Heeft06"	"Definitie Heeft06 (associatieklasse) etc."	""	"Heeft06"	"Definitie Heeft06 (associatieklasse) etc."	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"Heeft06"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetNameTags2"	"K06B"	"{E095FB39-441C-4f6b-9FE8-06C7944DFF8A}"	""	""	""	""	"K06B"	"Definitie K06B etc."	""	"K06B"	"Definitie K06B etc."	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"K06B"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
