"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"MijnDomeinMetPackages2"	"{5F80612C-B977-4838-9540-A6BD24288628}"	""	""	""	""	""	""	""	""	""	""	""	""	"https://data.vlaanderen.be/ns/"	"mijndomein"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"MijnDomeinMetPackages2"	"Heeft07b"	"{4B5E3E19-A7C0-4b82-93DE-A9478C7BDFC7}"	""	""	""	""	"Heeft07b"	"Definitie Heeft07b (associatieklasse) etc."	""	"Heeft07b"	"Definitie Heeft07b (associatieklasse) etc."	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"Heeft07b"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetPackages2"	"Heeft07"	"{3D9403E5-054D-46fb-83AC-900E4F69F833}"	""	""	""	""	"Heeft07"	"Definitie Heeft07 (associatieklasse) etc."	""	"Heeft07"	"Definitie Heeft07 (associatieklasse) etc."	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"Heeft07"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetPackages2"	"K07A"	"{CC564BCD-A9A1-41cd-AE06-E1E8B2917351}"	""	""	""	""	"K07A"	"Definitie K07A etc."	""	"K07A"	"Definitie K07A etc."	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"K07A"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetPackages2"	"Heeft06"	"{A494E6A0-99FF-4ba5-B406-58973957EB06}"	""	""	""	""	"Heeft06"	"Definitie Heeft06 (associatieklasse) etc."	""	"Heeft06"	"Definitie Heeft06 (associatieklasse) etc."	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"Heeft06"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetPackages2"	"K06A"	"{619B0BEB-77CA-47ff-8CFF-16D41E910643}"	""	""	""	""	"K06A"	"Definitie K06A etc."	""	"K06A"	"Definitie K06A etc."	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"K06A"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetPackages2"	"Heeft04"	"{3387A74D-3EBB-4c1b-B493-4CCBA712B34F}"	""	""	""	""	"Heeft04"	"Definitie Heeft04 (associatieklasse) etc."	""	"Heeft04"	"Definitie Heeft04 (associatieklasse) etc."	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"Heeft04"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetPackages2"	"K04A"	"{6DA6E9FE-2A7E-41ce-8360-FC623F692F4A}"	""	""	""	""	"K04A"	"Definitie K04A etc."	""	"K04A"	"Definitie K04A etc."	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"K04A"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetPackages2"	"Heeft05"	"{07341DA4-2448-43e1-B254-56BD42596C30}"	""	""	""	""	"Heeft05"	"Definitie Heeft05 (associatieklasse) etc."	""	"Heeft05"	"Definitie Heeft05 (associatieklasse) etc."	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"Heeft05"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetPackages2"	"K05A"	"{C9630E84-18B9-493f-B9F0-11D111736FAF}"	""	""	""	""	"K05A"	"Definitie K05A etc."	""	"K05A"	"Definitie K05A etc."	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"K05A"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
