"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"MijnDomein"	"{A3FCB40F-436A-4ed6-A392-97390E805190}"	""	""	""	""	""	""	""	""	""	""	""	""	"http://"	"fixme.com"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"MijnDomein"	"01A"	"{90CF3F14-6F28-45ef-800A-F9EBFB7EFBEB}"	""	""	""	""	"Label 01A"	"Definitie 01A etc."	""	"Label 01A"	"Definitie 01A etc."	""	""	"false"	"http://fixme.com#"	""	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomein"	"01B"	"{96FCBF24-15C8-4159-A6FB-DF1E186B1C23}"	""	""	""	""	"Label 01B"	"Definitie 01B etc."	""	"Label 01B"	"Definitie 01B etc."	""	""	"false"	"http://fixme.com#"	""	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomein"	"02A"	"{DFFD9EC1-066A-4ca4-9B62-5C494E7203AF}"	""	""	""	""	"Label 02A"	"Definitie 02A etc."	""	"Label 02A"	"Definitie 02A etc."	""	""	"false"	"http://fixme.com#"	""	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomein"	"02B"	"{F59AA6C9-000F-44fd-AB70-F27B31BAC62F}"	""	""	""	""	"Label 02B"	"Definitie 02B etc."	""	"Label 02B"	"Definitie 02B etc."	""	""	"false"	"http://fixme.com#"	""	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomein"	"03A"	"{330D109C-95DD-40e5-A42B-DBCCF08169E3}"	""	""	""	""	"Label 03A"	"Definitie 03A etc."	""	"Label 03A"	"Definitie 03A etc."	""	""	"false"	"http://fixme.com#"	""	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomein"	"03B"	"{6591A095-44DF-4ca0-8353-7F119F6BB480}"	""	""	""	""	"Label 03B"	"Definitie 03B etc."	""	"Label 03B"	"Definitie 03B etc."	""	""	"false"	"http://fixme.com#"	""	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomein"	"04A"	"{ABA70F45-E276-4cda-8744-17172352BE7C}"	""	""	""	""	"Label 04A"	"Definitie 04A etc."	""	"Label 04A"	"Definitie 04A etc."	""	""	"false"	"http://fixme.com#"	""	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomein"	"04B"	"{8A021D78-7EB8-4878-8AA4-ADB311FBFA93}"	""	""	""	""	"Label 04B"	"Definitie 04B etc."	""	"Label 04B"	"Definitie 04B etc."	""	""	"false"	"http://fixme.com#"	""	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomein"	"05A"	"{EEB57B91-7E2C-48a7-81D6-DE46444F89EF}"	""	""	""	""	"05A"	"definitie etc."	""	"05A"	"definitie etc."	""	""	"false"	"http://fixme.com#"	""	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomein"	"05B"	"{0FC3A8F0-C267-46d1-875E-DF7A406DD4EA}"	""	""	""	""	"05B"	"definitie etc."	""	"05B"	"definitie etc."	""	""	"false"	"http://fixme.com#"	""	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomein"	"06A"	"{12F270D3-B349-41a5-85F0-69A46FC542B6}"	""	""	""	""	"Label 06A"	"Definitie 06A etc."	""	"Label 06A"	"Definitie 06A etc."	""	""	"false"	"http://fixme.com#"	""	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomein"	"06B"	"{45B8501B-19B1-4a7e-93E4-15B7DC5BC3AB}"	""	""	""	""	"Label 06B"	"Definitie 06B etc."	""	"Label 06B"	"Definitie 06B etc."	""	""	"false"	"http://fixme.com#"	""	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomein"	"Heeft06B"	"{74CA5391-5BEA-46c1-AB19-0A23EB9418F9}"	""	""	""	""	"Label Heeft06B (associatieklasse)"	"Definitie Heeft06B (associatieklasse) etc."	""	"Label Heeft06B (associatieklasse)"	"Definitie Heeft06B (associatieklasse) etc."	""	""	"false"	"http://fixme.com#"	""	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomein"	"07A"	"{54EC4833-0575-47fa-8A9F-9F8460EA56D9}"	""	""	""	""	"Label 07A"	"Definitie 07A etc."	""	"Label 07A"	"Definitie 07A etc."	""	""	"false"	"http://fixme.com#"	""	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomein"	"07B"	"{D6E6912D-F80E-482b-B274-A4572C690C9F}"	""	""	""	""	"Label 07B"	"Definitie 07B etc."	""	"Label 07B"	"Definitie 07B etc."	""	""	"false"	"http://fixme.com#"	""	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomein"	"Heeft07B"	"{CC93B619-A78A-4c2c-AB77-0009F5259A08}"	""	""	""	""	"Label Heeft07B (associatieklasse)"	"Definitie Heeft07B (associatieklasse) etc."	""	"Label Heeft07B (associatieklasse)"	"Definitie Heeft07B (associatieklasse) etc."	""	""	"false"	"http://fixme.com#"	""	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
