"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Generiek"	"{E96ECBD0-C841-44bc-BFCB-D25C3FE215AE}"	""	""	""	""	""	""	""	""	""	""	""	""	"https://data.vlaanderen.be/ns/"	"generiek"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"DATATYPE"	"OSLO-Generiek"	"Tijdschema"	"{03E2DCC8-4176-4984-BBC4-C55A882440D1}"	""	""	""	""	"Tijdschema"	"Overzicht van de tijdstippen waarop iets plaatsvindt."	"Tijdstippen (meervoud) ipv tijdstip (enkelvoud),het gaat maw over iets (bv vergadering,taak,gebeurtenis) dat herhaaldelijk plaatsvindt,typisch volgens een regelmatig patroon (bv repetitie elke vrijdag)."	"Tijdschema"	"Overzicht van de tijdstippen waarop iets plaatsvindt."	"Tijdstippen (meervoud) ipv tijdstip (enkelvoud),het gaat maw over iets (bv vergadering,taak,gebeurtenis) dat herhaaldelijk plaatsvindt,typisch volgens een regelmatig patroon (bv repetitie elke vrijdag)."	""	"true"	"https://schema.org/"	"Schedule"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Generiek"	"Gebeurtenis"	"{6B402320-5D1D-401c-A1C1-3D002B4A083B}"	""	""	""	""	"Gebeurtenis"	"Iets dat gebeurt of plaatsvindt,doorgaans iets van enig belag."	"Bv een concert,lezing,festival,vergadering,wedstrijd..."	"Gebeurtenis"	"Iets dat gebeurt of plaatsvindt,doorgaans iets van enig belag."	"Bv een concert,lezing,festival,vergadering,wedstrijd..."	""	"true"	"https://schema.org/"	"Event"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Generiek"	"Periode"	"{5FAE62CA-C292-407a-9B26-0EA90415B6E8}"	""	""	""	""	"Periode"	"Min of meer afgebakende tijdsduur."	"Typisch volgt de duur uit het opgeven ve begin- en eindtijdstip."	"Periode"	"Min of meer afgebakende tijdsduur."	"Typisch volgt de duur uit het opgeven ve begin- en eindtijdstip."	""	"true"	"http://data.europa.eu/m8g/"	"PeriodOfTime"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Generiek"	"StandaardEenheid"	"{73B8FB7E-7BC3-4de2-9E07-9296AD1A5ABD}"	""	""	""	""	"Standaard Eenheid"	"Eenheid vastgelegd door een standaardiserende organisatie."	"Datatype kan een URI zijn of een GetypeerdeString. In het eerste geval wordt verwezen naar op het web gepubliceerde eenheden, bij voorkeur deze van qudt, bv http://qudt.org/vocab/unit/M voor meter. In het geval van een  GetypeerdeString gaat de voorkeur naar de UCUM-codes, bv ""km/h""^^http://w3id.org/lindt/custom_datatypes#ucumunit."	"Standaard Eenheid"	"Eenheid vastgelegd door een standaardiserende organisatie."	"Datatype kan een URI zijn of een GetypeerdeString. In het eerste geval wordt verwezen naar op het web gepubliceerde eenheden, bij voorkeur deze van qudt, bv http://qudt.org/vocab/unit/M voor meter. In het geval van een  GetypeerdeString gaat de voorkeur naar de UCUM-codes, bv ""km/h""^^http://w3id.org/lindt/custom_datatypes#ucumunit."	""	"false"	"https://data.vlaanderen.be/ns/generiek#"	"StandaardEenheid"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Generiek"	"Getal"	"{39C07049-8B0E-4ec5-B9D3-A0CCE01D5625}"	""	""	""	""	"Getal"	"Aanduiding van een hoeveelheid."	"In praktijk de primitieve datatypes waarmee een hoeveelheid kan worden aangeduid,zie xsd datatypes float,double,decimal,integer etc."	"Getal"	"Aanduiding van een hoeveelheid."	"In praktijk de primitieve datatypes waarmee een hoeveelheid kan worden aangeduid,zie xsd datatypes float,double,decimal,integer etc."	""	"true"	"https://schema.org/"	"Number"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Generiek"	"KwantitatieveWaarde"	"{8634208A-64A0-4eb4-B2B8-5473C0C03915}"	""	""	""	""	"Kwantitatieve Waarde"	"Aanduiding van de kwantiteit van een bepaald kenmerk van een object."	"Bv de hoogte van een object,het gewicht,de temperatuur etc. Het gaat om een kenmerk dat numeriek uitgedrukt kan worden en in een bepaalde eenheid. Kwalitatieve aanduidingen zoals hoog,laag ed vallen hier dus niet onder."	"Kwantitatieve Waarde"	"Aanduiding van de kwantiteit van een bepaald kenmerk van een object."	"Bv de hoogte van een object,het gewicht,de temperatuur etc. Het gaat om een kenmerk dat numeriek uitgedrukt kan worden en in een bepaalde eenheid. Kwalitatieve aanduidingen zoals hoog,laag ed vallen hier dus niet onder."	""	"true"	"https://schema.org/"	"QuantitativeValue"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Generiek"	"Gemeente"	"{B227E010-5AAA-4875-BA56-9FC45AE2E23E}"	""	""	""	""	"Gemeente"	"Officiële administratieve zone van het Belgisch grondgebied. De gemeente is het kleinste administratieve deel van het Belgisch grondgebied waarvan de grenzen enkel door de wetgever kunnen worden gewijzigd."	""	"Gemeente"	"Officiële administratieve zone van het Belgisch grondgebied. De gemeente is het kleinste administratieve deel van het Belgisch grondgebied waarvan de grenzen enkel door de wetgever kunnen worden gewijzigd."	""	""	"false"	"https://data.vlaanderen.be/ns/generiek#"	"Gemeente"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://www.w3.org/ns/prov#Entity"	""	""
"DATATYPE"	"OSLO-Adres"	"Adresvoorstelling"	"{06183018-B72A-4e23-BCAC-B1AB81F06926}"	""	""	""	""	"Adresvoorstelling"	"Meer leesbare voorstelling met enkel de basisgegevens van het adres,bedoeld voor het gebruik van een adres als attribuut van een ander object."	"Bv als attribuut ve persoon of gebouw... De adresvoorstelling heeft niet enkel betrekking op Belgische adressen, ze kan gebruikt worden om buitenlandse adressen weer te geven (waar mogelijk andere adresaanduidingen dan huisnummer of busnummer worden gebruikt of waar adrescomponenten zoals adresgebieden voorkomen)."	"Adresvoorstelling"	"Meer leesbare voorstelling met enkel de basisgegevens van het adres,bedoeld voor het gebruik van een adres als attribuut van een ander object."	"Bv als attribuut ve persoon of gebouw... De adresvoorstelling heeft niet enkel betrekking op Belgische adressen, ze kan gebruikt worden om buitenlandse adressen weer te geven (waar mogelijk andere adresaanduidingen dan huisnummer of busnummer worden gebruikt of waar adrescomponenten zoals adresgebieden voorkomen)."	""	"true"	"http://www.w3.org/ns/locn#"	"Address"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Generiek"	"DocumentOnderdeel"	"{D5F86E73-AE78-4d08-B967-57ADB24DDDD9}"	""	""	""	""	"Documentonderdeel"	"Een apart onderdeel van een groter document of verzameld document."	"Bv artikel,hoofdstuk,paragraaf..."	"Documentonderdeel"	"Een apart onderdeel van een groter document of verzameld document."	"Bv artikel,hoofdstuk,paragraaf..."	""	"false"	"https://data.vlaanderen.be/ns/generiek#"	"DocumentOnderdeel"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
