"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Melding"	"{3E0CB0D1-4675-4f53-90CA-573221BE2BF3}"	""	""	""	""	""	""	""	""	""	""	""	""	"https://data.vlaanderen.be/ns/"	"melding"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Melding"	"Terugmelding"	"{A70B6D7D-2B3B-4fa2-995E-FB9693811E92}"	""	""	""	""	"Terugmelding"	"Een terugmelding kan gebruikt worden om bijvoorbeeld een foutief adres te melden op een website of een fout in de digitale weergave van een diploma."	""	"Terugmelding"	"Een terugmelding kan gebruikt worden om bijvoorbeeld een foutief adres te melden op een website of een fout in de digitale weergave van een diploma."	""	""	"false"	"https://data.vlaanderen.be/ns/melding#"	"Terugmelding"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/melding#Melding"	""	""
"DATATYPE"	"OSLO-Generiek"	"Geometrie"	"{56CA910B-216F-45f0-A9F1-CEB56DF563D0}"	""	""	""	""	"Geometrie"	"Vorm- en positiekenmerken van een object."	"Beschrijft deze kenmerken dmv punten,lijnen,polygonen en coördinaten."	"Geometrie"	"Vorm- en positiekenmerken van een object."	"Beschrijft deze kenmerken dmv punten,lijnen,polygonen en coördinaten."	""	"true"	"http://www.w3.org/ns/locn#"	"Geometry"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Organisatie"	"PubliekeOrganisatie"	"{F4AC2D56-5B83-4e37-A2E1-30AFE3E46FAE}"	"Organisatie"	""	""	""	"Publieke Organisatie"	"Een Organisatie die volgens een wettelijk kader behoort tot de publieke sector,ongeacht het bestuursniveau waarop dat kader van kracht is."	""	"Publieke Organisatie"	"Een Organisatie die volgens een wettelijk kader behoort tot de publieke sector,ongeacht het bestuursniveau waarop dat kader van kracht is."	""	""	"true"	"http://data.europa.eu/m8g/"	"PublicOrganisation"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://www.w3.org/ns/org#Organization"	""	""
"CLASS"	"OSLO-Organisatie"	"OrganisatieEenheid"	"{CDADD5EC-2556-4900-AB1B-33DFF29BA8C0}"	"Organisatie"	""	""	""	"Organisatie-eenheid"	"Een organisatie zoals een afdeling of dienst die deel uitmaakt van de grotere organisatie en zijn bestaansreden daaraan ontleent. Heeft geen juridische status op zich."	""	"Organisatie-eenheid"	"Een organisatie zoals een afdeling of dienst die deel uitmaakt van de grotere organisatie en zijn bestaansreden daaraan ontleent. Heeft geen juridische status op zich."	""	""	"true"	"http://www.w3.org/ns/org#"	"OrganizationalUnit"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://www.w3.org/ns/org#Organization"	""	""
"CLASS"	"OSLO-Persoon"	"GeregistreerdPersoon"	"{259533E4-1B9F-4f50-AE13-1DE5E3ECD1C3}"	"Persoon"	""	""	""	"Geregistreerd Persoon"	"Persoon waarvan de gegevens zijn ingeschreven in een register."	"Doorgaans is dit register een bevolkingsregister maar het kan bv ook een kiesregister zijn. De ingeschreven gegevens hebben betrekking op de identeit (vb naam en voornaam) en de Verblijfplaats vd persoon en op belangrijke levensgebeurtenissen zoals geboor"	"Geregistreerd Persoon"	"Persoon waarvan de gegevens zijn ingeschreven in een register."	"Doorgaans is dit register een bevolkingsregister maar het kan bv ook een kiesregister zijn. De ingeschreven gegevens hebben betrekking op de identeit (vb naam en voornaam) en de Verblijfplaats vd persoon en op belangrijke levensgebeurtenissen zoals geboor"	""	"true"	"https://data.vlaanderen.be/ns/persoon#"	"GeregistreerdPersoon"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://www.w3.org/ns/person#Person"	""	""
"CLASS"	"OSLO-Melding"	"Applicatie"	"{BCE5AFBC-1A2E-4e4e-9013-560BF2E18E4F}"	"Agent"	""	""	""	"Applicatie"	"Een artificiële agent in een softwareomgeving."	""	"Applicatie"	"Een artificiële agent in een softwareomgeving."	""	""	"false"	"https://data.vlaanderen.be/ns/melding#"	"Applicatie"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://purl.org/dc/terms/Agent"	""	""
"DATATYPE"	"OSLO-Melding"	"Meldingstatus"	"{3D30AB3B-E3BB-47a6-B5F7-9832155457F9}"	""	""	""	""	"Meldingstatus"	"De Status van de Melding in het verwerkingsproces op een bepaald tijdstip."	"De Melding kan gelinkt zijn aan meerdere Status objecten,elk ervan geeft de status op een bepaald tijdstip weer."	"Meldingstatus"	"De Status van de Melding in het verwerkingsproces op een bepaald tijdstip."	"De Melding kan gelinkt zijn aan meerdere Status objecten,elk ervan geeft de status op een bepaald tijdstip weer."	""	"false"	"https://data.vlaanderen.be/ns/melding#"	"Meldingstatus"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Melding"	"MeldingsobjectAttribuut"	"{60C0A0A0-7687-4156-856E-F864F136407A}"	""	""	""	""	"Meldingsobject Attribuut"	"Beschrijft een attribuut van het Meldingsobject."	""	"Meldingsobject Attribuut"	"Beschrijft een attribuut van het Meldingsobject."	""	""	"false"	"https://data.vlaanderen.be/ns/melding#"	"MeldingsobjectAttribuut"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Melding"	"Concept"	"{1D6DEDFB-7033-483a-A88A-76453C171D28}"	""	""	""	""	"Concept"	"Een mogelijke waarde voor de Eigenschap."	"Het is aangeraden de mogelijke waarden voor de stellen als een skos:ConceptScheme (https://www.w3.org/TR/skos-primer/)"	"Concept"	"Een mogelijke waarde voor de Eigenschap."	"Het is aangeraden de mogelijke waarden voor de stellen als een skos:ConceptScheme (https://www.w3.org/TR/skos-primer/)"	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Melding"	"MeldingBody"	"{C0948C07-C94A-481b-8BA5-D1D7525D3D9A}"	""	""	""	""	"Melding Body"	"De body van de Melding,deze omvat relevante informatie voor de verdere afhandeling van een melding."	""	"Melding Body"	"De body van de Melding,deze omvat relevante informatie voor de verdere afhandeling van een melding."	""	""	"false"	"https://data.vlaanderen.be/ns/melding#"	"MeldingBody"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Persoon"	"Persoon"	"{5008F0B2-566E-400b-8908-F4B6EC066F47}"	"Agent"	""	""	""	"Persoon"	"Natuurlijk persoon."	"In de rechtspraak betreft het een persoon (in de wettelijke betekenis, ttz met eigen rechtspersoonlijkheid) van de menselijke soort, ttz een fysiek persoon. Tegenhanger is de rechtspersoon, een juridische constructie die een private of publieke Organisatie dezelfde rechtspersoonlijkheid geeft als een natuurlijk persoon (kan bv ook schulden hebben, contracten afsluiten, aangeklaagd worden etc)."	"Persoon"	"Natuurlijk persoon."	""	""	"true"	"http://www.w3.org/ns/person#"	"Person"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://purl.org/dc/terms/Agent"	""	""
"CLASS"	"OSLO-Organisatie"	"Organisatie"	"{1A3C38B2-5F1A-4639-8D76-5127BF41D7A9}"	"Agent"	""	""	""	"Organisatie"	"Een aantal mensen georganiseerd in een gemeenschap of andere sociale, commerciële of politieke structuur. De groep heeft een gemeenschappelijk doel of bestaanreden die de individuele leden ervan overstijgt en kan handelen als Agent. Een organisatie heeft dikwijls een hiërarchische structuur."	""	"Organisatie"	"Een aantal mensen georganiseerd in een gemeenschap of andere sociale, commerciële of politieke structuur. De groep heeft een gemeenschappelijk doel of bestaanreden die de individuele leden ervan overstijgt en kan handelen als Agent. Een organisatie heeft dikwijls een hiërarchische structuur."	""	""	"true"	"https://www.w3.org/ns/org#"	"Organization"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://purl.org/dc/terms/Agent"	""	""
"CLASS"	"OSLO-Melding"	"Eigenschap"	"{0C1E6B42-5EDB-4e53-94AE-DCF954765E02}"	""	""	""	""	"Eigenschap"	"De klasse voor het beschrijven van de data velden waaruit een dataset bestaat."	"In het kader van meldingen met betrekking op informatievelden met foutieve of ontbrekende gegevens kan de Eigenschap klasse gebruikt worden om voor elke Dataset weer te geven op welke informatievelden kan teruggemeld worden. Elke Eigenschap kan worden toegewezen aan een andere Organisatie die verantwoordelijk is voor het verwerken van de feedback.
"	"Eigenschap"	"De klasse voor het beschrijven van de data velden waaruit een dataset bestaat."	"In het kader van meldingen met betrekking op informatievelden met foutieve of ontbrekende gegevens kan de Eigenschap klasse gebruikt worden om voor elke Dataset weer te geven op welke informatievelden kan teruggemeld worden. Elke Eigenschap kan worden toegewezen aan een andere Organisatie die verantwoordelijk is voor het verwerken van de feedback.
"	""	"false"	"https://data.vlaanderen.be/ns/melding#"	"Eigenschap"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Organisatie"	"Hoedanigheid"	"{C44BC785-7D77-4c47-8B04-9A0A3BC7E1EC}"	"Agent"	""	""	""	"Hoedanigheid"	"Agent met een Functie."	"Laat een Functie toe om te handelen,bv ihkv een Dienstverlening (bv diversiteitsplan wordt opgemaakt door diversieteitsambtenaar)."	"Hoedanigheid"	"Agent met een Functie."	"Laat een Functie toe om te handelen,bv ihkv een Dienstverlening (bv diversiteitsplan wordt opgemaakt door diversieteitsambtenaar)."	""	"true"	"https://data.vlaanderen.be/ns/organisatie#"	"Hoedanigheid"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://purl.org/dc/terms/Agent"	""	""
"CLASS"	"OSLO-Generiek"	"Agent"	"{AEB5D5B5-381A-4468-85C0-941C354F25B0}"	""	""	""	""	"Agent"	"Iemand die of iets dat kan handelen of een effect kan teweeg brengen."	""	"Agent"	"Iemand die of iets dat kan handelen of een effect kan teweeg brengen."	""	""	"true"	"http://purl.org/dc/terms/"	"Agent"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Melding"	"Dataset"	"{583F38D8-96D4-463a-A241-5D679423DDBE}"	""	""	""	""	"Dataset"	"De Dataset klasse beschrijft de gegevensbron waarop de terugmelding betrekking heeft."	""	"Dataset"	"De Dataset klasse beschrijft de gegevensbron waarop de terugmelding betrekking heeft."	""	""	"true"	"http://purl.org/dc/dcmitype/"	"Dataset"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Melding"	"TijdToestand"	"{ACE1B5CB-1CA5-4c49-ACEC-6EFDB29A44CB}"	""	""	""	""	"TijdToestand"	"Een TijdToestand legt de datum en het tijdstip vast waarop het Meldingsobject dient geïnterpreteerd te worden."	""	"TijdToestand"	"Een TijdToestand legt de datum en het tijdstip vast waarop het Meldingsobject dient geïnterpreteerd te worden."	""	""	"true"	"http://www.w3.org/ns/oa#"	"TimeState"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Melding"	"Meldingsobject"	"{C2FD90CA-B747-4e3a-B322-51CD7AC0190D}"	""	""	""	""	"Meldingsobject"	"Het Meldingsobject identificeert een resource,een specifiek deel van een resource,een bepaalde representatie van een resource of een combinatie hiervan welke gebruikt wordt binnen de Melding."	"Het model beschrijft geen attributen voor het Meldingsobject. In de praktijk kan het Meldingsobject beschreven worden aan de hand van instanties van de klasse Eigenschap."	"Meldingsobject"	"Het Meldingsobject identificeert een resource,een specifiek deel van een resource,een bepaalde representatie van een resource of een combinatie hiervan welke gebruikt wordt binnen de Melding."	"Het model beschrijft geen attributen voor het Meldingsobject. In de praktijk kan het Meldingsobject beschreven worden aan de hand van instanties van de klasse Eigenschap."	""	"false"	"https://data.vlaanderen.be/ns/melding#"	"Meldingsobject"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"connector"	""	"melder"	"{F13BDF15-DE00-458a-8CF0-E5E90EBC0A27}"	""	"Terugmelding"	"{A70B6D7D-2B3B-4fa2-995E-FB9693811E92}"	"Agent"	"melder"	"De Agent die het probleem waarover gemeld wordt opmerkte."	"De melder zal niet telkens gekend zijn. Bijvoorbeeld in het geval van een anonieme melding via een website."	"melder"	"De Agent die het probleem waarover gemeld wordt opmerkte."	"De melder zal niet telkens gekend zijn. Bijvoorbeeld in het geval van een anonieme melding via een website."	""	"false"	"https://data.vlaanderen.be/ns/melding#"	"melder"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"https://data.vlaanderen.be/ns/melding#Terugmelding"	"http://purl.org/dc/terms/Agent"	""	"0"	"1"
"connector"	""	"behandelaar"	"{76DCAAA5-46D0-4034-8017-19FC3FEB5755}"	""	"Terugmelding"	"{A70B6D7D-2B3B-4fa2-995E-FB9693811E92}"	"Agent"	"behandelaar"	"Agent die werd aangewezen om de melding op te volgen en af te handelen."	""	"behandelaar"	"Agent die werd aangewezen om de melding op te volgen en af te handelen."	""	""	"false"	"https://data.vlaanderen.be/ns/melding#"	"behandelaar"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://www.w3.org/2000/01/rdf-schema#Resource"	"http://purl.org/dc/terms/Agent"	""	"1"	"1"
"connector"	""	"mogelijkeWaarden"	"{0A0B9FD2-FC43-49cd-9DC2-20C38164E7E9}"	""	"Eigenschap"	"{0C1E6B42-5EDB-4e53-94AE-DCF954765E02}"	"Concept"	"mogelijke waarden"	"Associeert de Eigenschap met een exhaustieve lijst aan mogelijk waarden (bv. een codelijst)."	"Het is aangeraden de mogelijke waarden voor te stellen als een skos:ConceptScheme (https://www.w3.org/TR/skos-primer/)"	"mogelijke waarden"	"Associeert de Eigenschap met een exhaustieve lijst aan mogelijk waarden (bv. een codelijst)."	"Het is aangeraden de mogelijke waarden voor te stellen als een skos:ConceptScheme (https://www.w3.org/TR/skos-primer/)"	""	"false"	"https://data.vlaanderen.be/ns/melding#"	"mogelijkeWaarden"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"https://data.vlaanderen.be/ns/melding#Eigenschap"	"http://www.w3.org/2004/02/skos/core#Concept"	""	"0"	"*"
"connector"	""	"heeftDoelwit"	"{8F17A073-BCD1-4f49-9662-F0CF72F99DAF}"	""	"Terugmelding"	"{A70B6D7D-2B3B-4fa2-995E-FB9693811E92}"	"Meldingsobject"	"heeft doelwit"	"De relatie tussen de Melding en het doelwit, het Meldingsobject waarop de melding slaat."	""	"heeft doelwit"	"De relatie tussen de Melding en het doelwit, het Meldingsobject waarop de melding slaat."	""	""	"true"	"http://www.w3.org/ns/oa#"	"hasTarget"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"https://data.vlaanderen.be/ns/melding#Terugmelding"	"https://data.vlaanderen.be/ns/melding#Meldingsobject"	""	"0"	"*"
"connector"	""	"betrokkene"	"{0B6A12C6-E52A-4b84-8A93-107C19F3AF35}"	""	"Terugmelding"	"{A70B6D7D-2B3B-4fa2-995E-FB9693811E92}"	"Agent"	"betrokkene"	"Agent die als derde belang heeft bij de Melding of geïmpacteerd is door de behandeling ervan."	"Bijvoorbeeld indien de melding werd aangemaakt door een derde, bijvoorbeeld een ambtenaar van de gemeente op vraag van een burger."	"betrokkene"	"Agent die als derde belang heeft bij de Melding of geïmpacteerd is door de behandeling ervan."	"Bijvoorbeeld indien de melding werd aangemaakt door een derde, bijvoorbeeld een ambtenaar van de gemeente op vraag van een burger."	""	"false"	"https://data.vlaanderen.be/ns/melding#"	"betrokkene"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"https://data.vlaanderen.be/ns/melding#Terugmelding"	"http://purl.org/dc/terms/Agent"	""	"0"	"*"
"connector"	""	"eigenschap"	"{E5002527-DFCA-4efa-BBD9-53021A04E370}"	""	"MeldingsobjectAttribuut"	"{60C0A0A0-7687-4156-856E-F864F136407A}"	"Eigenschap"	"eigenschap"	"Verwijst naar de Eigenschap die deel uitmaakt van een bepaalde Dataset."	"Als waarde wordt de identificator opgenomen van de Eigenschap zoals gedefinieerd bij de configuratie van de Dataset bij de Generieke Terugmeldfaciliteit."	"eigenschap"	"Verwijst naar de Eigenschap die deel uitmaakt van een bepaalde Dataset."	"Als waarde wordt de identificator opgenomen van de Eigenschap zoals gedefinieerd bij de configuratie van de Dataset bij de Generieke Terugmeldfaciliteit."	""	"false"	"https://data.vlaanderen.be/ns/melding#"	"eigenschap"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://www.w3.org/2000/01/rdf-schema#Resource"	"https://data.vlaanderen.be/ns/melding#Eigenschap"	""	""	""
"connector"	""	"heeftBron"	"{A4207F23-6935-4b1c-B292-25FDBFA51BD5}"	""	"Meldingsobject"	"{C2FD90CA-B747-4e3a-B322-51CD7AC0190D}"	"Dataset"	"heeftBron"	"De bron (Dataset) waar het Meldingsobject in voor komt."	"Dit attribuut is relevant in het kader van meldingen op concrete informatievelden zoals foutieve of ontbrekende gegevens (terugmeldingen)."	"heeftBron"	"De bron (Dataset) waar het Meldingsobject in voor komt."	"Dit attribuut is relevant in het kader van meldingen op concrete informatievelden zoals foutieve of ontbrekende gegevens (terugmeldingen)."	""	"true"	"http://www.w3.org/ns/oa#"	"hasSource"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"https://data.vlaanderen.be/ns/melding#Meldingsobject"	"http://purl.org/dc/dcmitype/Dataset"	""	"1"	"1"
"connector"	""	"heeftToestand"	"{875503EC-4AC1-4fa8-96C5-9B9F66C9F60B}"	""	"Meldingsobject"	"{C2FD90CA-B747-4e3a-B322-51CD7AC0190D}"	"TijdToestand"	"heeft toestand"	"De relatie tussen het Meldingsobject en een TijdToestand."	""	"heeft toestand"	"De relatie tussen het Meldingsobject en een TijdToestand."	""	""	"true"	"http://www.w3.org/ns/oa#"	"hasState"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"https://data.vlaanderen.be/ns/melding#Meldingsobject"	"http://www.w3.org/ns/oa#TimeState"	""	"0"	"1"
"connector"	""	"heeftEenheid"	"{0EFC9DD5-C257-44e0-9FB7-3A92B8020847}"	""	"Organisatie"	"{1A3C38B2-5F1A-4639-8D76-5127BF41D7A9}"	"OrganisatieEenheid"	"heeft eenheid"	"Verwijst naar een organisatie-eenheid die deel uitmaakt van de organisatie, bv een afdeling.	"	""	"heeft eenheid"	"Verwijst naar een organisatie-eenheid die deel uitmaakt van de organisatie, bv een afdeling.	"	""	""	"true"	"http://www.w3.org/ns/org#"	"hasUnit"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"https://www.w3.org/ns/org#Organization"	"http://www.w3.org/ns/org#OrganizationalUnit"	""	"0"	"*"
"connector"	""	"isEenheidVan"	"{43AFF0A5-8217-48a3-934D-282122927E2C}"	""	"OrganisatieEenheid"	"{CDADD5EC-2556-4900-AB1B-33DFF29BA8C0}"	"Organisatie"	"is eenheid van"	"Organisatie waarvan de organisatie-eenheid deel uitmaakt."	""	"is eenheid van"	"Organisatie waarvan de organisatie-eenheid deel uitmaakt."	""	""	"true"	"http://www.w3.org/ns/org#"	"unitOf"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://www.w3.org/ns/org#OrganizationalUnit"	"https://www.w3.org/ns/org#Organization"	""	"1"	"1"
"connector"	""	"indiener"	"{1A412DED-D3D4-4915-9DB6-3B0E1A8CA8D1}"	""	"Terugmelding"	"{A70B6D7D-2B3B-4fa2-995E-FB9693811E92}"	"Agent"	"indiener"	"Agent die de Melding heeft aangemaakt en/of ingediend."	""	"indiener"	"Agent die de Melding heeft aangemaakt en/of ingediend."	""	""	"false"	"https://data.vlaanderen.be/ns/melding#"	"indiener"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"https://data.vlaanderen.be/ns/melding#Terugmelding"	"http://purl.org/dc/terms/Agent"	""	"1"	"1"
"connector"	""	"behandelaar"	"{928A03C1-B514-4d4c-862A-34A9BB1D02A1}"	""	"Meldingsobject"	"{C2FD90CA-B747-4e3a-B322-51CD7AC0190D}"	"Organisatie"	"behandelaar"	"Agent die werd aangewezen om het meldingsobject op te volgen en af te handelen."	""	"behandelaar"	"Agent die werd aangewezen om het meldingsobject op te volgen en af te handelen."	""	""	"false"	"https://data.vlaanderen.be/ns/melding#"	"behandelaar"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://www.w3.org/2000/01/rdf-schema#Resource"	"http://purl.org/dc/terms/Agent"	""	"1"	"*"
"connector"	""	"eigenschap"	"{D239B448-3FF5-46ab-AF54-B1BE6A425E40}"	""	"Dataset"	"{583F38D8-96D4-463a-A241-5D679423DDBE}"	"Eigenschap"	"eigenschap"	"Verwijst naar de Eigenschap die deel uitmaakt van de Dataset."	""	"eigenschap"	"Verwijst naar de Eigenschap die deel uitmaakt van de Dataset."	""	""	"false"	"https://data.vlaanderen.be/ns/melding#"	"eigenschap"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://www.w3.org/2000/01/rdf-schema#Resource"	"https://data.vlaanderen.be/ns/melding#Eigenschap"	""	"0"	"*"
"connector"	""	"bronhouder"	"{483943AC-6FE4-4c88-B228-3D40E718B7CB}"	""	"Dataset"	"{583F38D8-96D4-463a-A241-5D679423DDBE}"	"Organisatie"	"bronhouder"	"De bronhouder is verantwoordelijk voor het opnemen van gegevens in de dataset en het bewaken van de kwaliteit daarvan."	"Een dataset kan meerdere bronhouders hebben in geval van decentraal beheer. "	"bronhouder"	"De bronhouder is verantwoordelijk voor het opnemen van gegevens in de dataset en het bewaken van de kwaliteit daarvan."	"Een dataset kan meerdere bronhouders hebben in geval van decentraal beheer. "	""	"false"	"https://data.vlaanderen.be/ns/melding#"	"bronhouder"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://www.w3.org/2000/01/rdf-schema#Resource"	"https://www.w3.org/ns/org#Organization"	""	"0"	"1"
"connector"	""	"bronhouder"	"{1C925A5B-B6FF-4727-99AB-42CE29FFCEB2}"	""	"Concept"	"{1D6DEDFB-7033-483a-A88A-76453C171D28}"	"Organisatie"	"bronhouder"	"De bronhouder is verantwoordelijk voor het opnemen van gegevens in de dataset en het bewaken van de kwaliteit daarvan."	"In dit geval is de bronhouder enkel verantwoordelijk voor een bepaald veld in de dataset. De melding kan naar de desbetreffende organisatie gedispatched worden indien het meldingsobject betrekking heeft op deze eigenschap."	"bronhouder"	"De bronhouder is verantwoordelijk voor het opnemen van gegevens in de dataset en het bewaken van de kwaliteit daarvan."	"In dit geval is de bronhouder enkel verantwoordelijk voor een bepaald veld in de dataset. De melding kan naar de desbetreffende organisatie gedispatched worden indien het meldingsobject betrekking heeft op deze eigenschap."	""	"false"	"https://data.vlaanderen.be/ns/melding#"	"bronhouder"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://www.w3.org/2000/01/rdf-schema#Resource"	"https://www.w3.org/ns/org#Organization"	""	"0"	"1"
