"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-OTL-Grondwerken"	"{66BA7E9E-4586-46ca-9F8D-E3744C6294AE}"	""	""	""	""	""	""	""	""	""	""	""	""	"https://data.vlaanderen.be/ns/"	"wegenenverkeerassets"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"ENUMERATION"	"OSLO-OTL-Grondwerken"	"GrondBijmengingHoeveelheidCode"	"{8847F1B4-9C0F-478e-BA01-36F554D8868A}"	""	""	""	""	""	""	""	""	"TODO"	""	""	"false"	"https://data.vlaanderen.be/ns/wegenenverkeerassets#"	"GrondBijmengingHoeveelheidCode"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-OTL-Grondwerken"	"GrondHoofdnaamCode"	"{62086B01-B7EF-461c-9F25-2AA52CAAB03F}"	""	""	""	""	""	""	""	""	"TODO"	""	""	"false"	"https://data.vlaanderen.be/ns/wegenenverkeerassets#"	"GrondHoofdnaamCode"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-OTL-Grondwerken"	"GrondBijmenging"	"{EEECED90-0B07-49b8-BE07-D836559D4372}"	""	""	""	""	"Grond bijmenging"	""	""	"Grond bijmenging"	"TODO"	""	""	"false"	"https://data.vlaanderen.be/ns/wegenenverkeerassets#"	"GrondBijmenging"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-OTL-Grondwerken"	"PiezometrischeBuis"	"{5470D1BD-1043-47c1-B0E3-3F8CA6D94FEF}"	""	""	""	""	"Piezometrische buis"	"Een buis om waterstanden bij grondverlaging te meten."	""	"Piezometrische buis"	"Een buis om waterstanden bij grondverlaging te meten."	""	""	"false"	"https://data.vlaanderen.be/ns/wegenenverkeerassets#"	"PiezometrischeBuis"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-OTL-Grondwerken"	"GrondSoortWerk"	"{A4F7E70F-5415-4d71-BBCA-5599760EA27C}"	""	""	""	""	""	""	""	""	"TODO"	""	""	"false"	"https://data.vlaanderen.be/ns/wegenenverkeerassets#"	"GrondSoortWerk"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-OTL-VerhardingFundering"	"LaagDikte"	"{B866DD1D-FBBC-4ea7-BDEC-C9C679CB17AA}"	""	""	""	""	"Laag dikte"	"Abstracte voor de dikte van de laag"	""	"Laag dikte"	"Abstracte voor de dikte van de laag"	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeerassets#"	"LaagDikte"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-OTL-Grondwerken"	"GrondToevoegsel"	"{5A1E0D01-3EE6-451f-9101-EE2252F682C9}"	""	""	""	""	""	""	""	""	"TODO"	""	""	"false"	"https://data.vlaanderen.be/ns/wegenenverkeerassets#"	"GrondToevoegsel"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-OTL-Grondwerken"	"GrondAfdekking"	"{9AD39FF0-9248-4b30-8BD6-A241B9961693}"	""	""	""	""	"Grond afdekking"	""	""	"Grond afdekking"	"TODO"	""	""	"false"	"https://data.vlaanderen.be/ns/wegenenverkeerassets#"	"GrondAfdekking"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-OTL-Grondwerken"	"GrondBestemming"	"{602D1C38-CECC-4c5e-8997-436628038F84}"	""	""	""	""	""	""	""	""	"TODO"	""	""	"false"	"https://data.vlaanderen.be/ns/wegenenverkeerassets#"	"GrondBestemming"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
