"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Mobiliteit"	"{68F94FC4-29CE-441e-B9AE-5E9EECBEB28E}"	""	""	""	""	""	""	""	""	""	""	""	""	"https://data.vlaanderen.be/ns/"	"mobiliteit"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"DATATYPE"	"OSLO-Mobiliteit"	"TijdsintervalMetDuur"	"{D41F93E6-3294-4895-94B6-3E6D0C462C17}"	"Tijdsinterval"	""	""	""	"TijdsintervalMetDuur"	"De tijdsperiode wanneer iets start en eindigt en hoelang deze hiertussen effectief duurt."	""	"TijdsintervalMetDuur"	"De tijdsperiode wanneer iets start en eindigt en hoelang deze hiertussen effectief duurt."	""	""	"false"	"https://data.vlaanderen.be/ns/mobiliteit#"	"TijdsintervalMetDuur"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.europa.eu/m8g/PeriodOfTime"	""	""
"DATATYPE"	"OSLO-Generiek"	"Tijdsinterval"	"{13FC6F74-EE6F-4582-B048-4BF683F56A34}"	""	""	""	""	"TijdsInterval"	"De tijdsperiode tussen twee momenten in de tijd."	""	"TijdsInterval"	"De tijdsperiode tussen twee momenten in de tijd."	""	""	"true"	"http://data.europa.eu/m8g/"	"PeriodOfTime"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Mobiliteit"	"Organisatie (in rol)"	"{37A113D5-F681-462e-AE0D-2DE8AAD1FCC7}"	"Organisatie"	""	""	""	"Organisatie (in rol)"	"Een organisatie die een rol speelt bij een inname en gecontacteerd kan worden."	""	"Organisatie (in rol)"	"Een organisatie die een rol speelt bij een inname en gecontacteerd kan worden."	""	""	"true"	"http://www.w3.org/ns/org#"	"Organization"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://www.w3.org/ns/org#Organization"	""	""
"CLASS"	"OSLO-Organisatie"	"Organisatie"	"{B81EEAD2-2310-4016-B6B3-7FAA4BEBED52}"	""	""	""	""	"Organisatie"	"Een aantal mensen georganiseerd in een gemeenschap of andere sociale, commerciële of politieke structuur. De groep heeft een gemeenschappelijk doel of bestaansreden die de individuele leden ervan overstijgt en kan handelen als Agent. Een organisatie heeft dikwijls een hiërarchische structuur."	""	"Organisatie"	"Een aantal mensen georganiseerd in een gemeenschap of andere sociale, commerciële of politieke structuur. De groep heeft een gemeenschappelijk doel of bestaansreden die de individuele leden ervan overstijgt en kan handelen als Agent. Een organisatie heeft dikwijls een hiërarchische structuur."	""	""	"true"	"http://www.w3.org/ns/org#"	"Organization"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://purl.org/dc/terms/Agent"	""	""
"CLASS"	"OSLO-Mobiliteit"	"Evenement"	"{446705A0-402A-4578-A81C-B9E6E0C0B0FD}"	"Inname"	""	""	""	"Evenement"	"Een gebeurtenis op een bepaald tijdsstip en locatie, zoals een markt, festival..."	""	"Evenement"	"Een gebeurtenis op een bepaald tijdsstip en locatie, zoals een markt, festival..."	""	""	"true"	"https://schema.org/"	"Event"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/mobiliteit#Inname"	""	""
"CLASS"	"OSLO-Mobiliteit"	"Mobiliteitshindergevolg"	"{A598CF25-1B99-4be3-B57F-2785B2A9B5F4}"	""	""	""	""	"Mobiliteitshindergevolg"	"Verzameling doelgroepen die eenzelfde gevolg ondervinden door de mobiliteitshinder."	""	"Mobiliteitshindergevolg"	"Verzameling doelgroepen die eenzelfde gevolg ondervinden door de mobiliteitshinder."	""	""	"false"	"https://data.vlaanderen.be/ns/mobiliteit#"	"Mobiliteitshindergevolg"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Mobiliteit"	"Grondwerk"	"{48126D2D-977B-424c-92DA-751924519423}"	"Inname"	""	""	""	"Grondwerk"	"inname waarbij het openbaar domein of privaat domein met openbaar karakter wordt opengebroken voor wegenis-, riolerings- en/of nutwerken en waarvoor een aanvraag tot werken noodzakelijk is of waarvoor een algemene vergunning tot uivoering van werken geldt."	"Waarvoor een aanvraag tot werken noodzakelijk is of waarvoor een algemene vergunning tot uitvoering van werken geldt."	"Grondwerk"	"inname waarbij het openbaar domein of privaat domein met openbaar karakter wordt opengebroken voor wegenis-, riolerings- en/of nutwerken en waarvoor een aanvraag tot werken noodzakelijk is of waarvoor een algemene vergunning tot uivoering van werken geldt."	""	""	"false"	"https://data.vlaanderen.be/ns/mobiliteit#"	"Grondwerk"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/mobiliteit#Inname"	""	""
"DATATYPE"	"OSLO-Generiek"	"ContactInfo"	"{ACB96150-C6D2-44ec-89F1-542A790BC425}"	""	""	""	""	"Contactinfo"	"Informatie zoals email,telefoon,adres die toelaat om iemand of iets te contacteren."	"Bvb een persoon of organisatie of dienstverlening Mogelijke vormen van contact: bellen,mailen etc."	"Contactinfo"	"Informatie zoals email,telefoon,adres die toelaat om iemand of iets te contacteren."	"Bvb een persoon of organisatie of dienstverlening Mogelijke vormen van contact: bellen,mailen etc."	""	"true"	"http://schema.org/"	"ContactPoint"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Besluit"	"Voorwaarde"	"{1D44A4F4-DA1A-4d30-9C03-1A0817601188}"	""	""	""	""	"Voorwaarde"	"Datgene waaraan moet voldaan worden om een geldig besluit te zijn."	""	"Voorwaarde"	"Datgene waaraan moet voldaan worden om een geldig besluit te zijn."	""	""	"true"	"http://data.vlaanderen.be/ns/besluit#"	"Voorwaarde"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
