"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Mobiliteit"	"{68F94FC4-29CE-441e-B9AE-5E9EECBEB28E}"	""	""	""	""	""	""	""	""	""	""	""	""	"https://data.vlaanderen.be/ns/"	"mobiliteit"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"DATATYPE"	"OSLO-Generiek"	"ContactInfo"	"{ACB96150-C6D2-44ec-89F1-542A790BC425}"	""	""	""	""	"Contactinfo"	"Informatie zoals email,telefoon,adres die toelaat om iemand of iets te contacteren."	"Bvb een persoon of organisatie of dienstverlening Mogelijke vormen van contact: bellen,mailen etc."	"Contactinfo"	"Informatie zoals email,telefoon,adres die toelaat om iemand of iets te contacteren."	"Bvb een persoon of organisatie of dienstverlening Mogelijke vormen van contact: bellen,mailen etc."	""	"true"	"http://schema.org/"	"ContactPoint"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Dienst"	"OpeningsurenSpecificatie"	"{47BAE58D-B910-421c-9019-DC58D12D367E}"	""	""	""	""	"Openingsurenspecificatie"	""	""	"Openingsurenspecificatie"	"TODO"	""	""	"true"	"http://schema.org/"	"OpeningHoursSpecification"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Mobiliteit"	"PeriodeStatus"	"{77266F31-D64F-4e63-9308-77B6F3E2C996}"	""	""	""	""	""	""	""	""	"TODO"	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Mobiliteit"	"OpeningsurenSpecificatieMetStatus"	"{E1BA1C43-E9B6-4bfa-8A30-BFDD5AFA6A4D}"	"OpeningsurenSpecificatie"	""	""	""	"OpeningsurenSpecificatieMetStatus"	""	""	"OpeningsurenSpecificatieMetStatus"	"TODO"	""	""	"false"	"https://data.vlaanderen.be/ns/mobiliteit#"	"OpeningsurenSpecificatieMetStatus"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://schema.org/OpeningHoursSpecification"	""	""
"CLASS"	"OSLO-Generiek"	"Agent"	"{04E5CA3A-941D-4fcf-B593-EDEBC714AB06}"	""	""	""	""	"Agent"	"Iemand die of iets dat kan handelen of een effect kan teweeg brengen."	""	"Agent"	"Iemand die of iets dat kan handelen of een effect kan teweeg brengen."	""	""	"true"	"http://purl.org/dc/terms/"	"Agent"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Besluit"	"Voorwaarde"	"{1D44A4F4-DA1A-4d30-9C03-1A0817601188}"	""	""	""	""	"Voorwaarde"	"Datgene waaraan moet voldaan worden om een geldig besluit te zijn."	""	"Voorwaarde"	"Datgene waaraan moet voldaan worden om een geldig besluit te zijn."	""	""	"true"	"http://data.vlaanderen.be/ns/besluit#"	"Voorwaarde"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Mobiliteit"	"Beoordeling"	"{5B77309F-EF17-4577-A19D-97A134DF47E3}"	""	""	""	""	""	""	""	""	"TODO"	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Mobiliteit"	"Signalisatie"	"{17DCF0C4-1BD0-4964-8D78-74FB81C32FED}"	""	""	""	""	"Signalisatie"	"Aanwijzing ten behoeve van de weggebruikers."	""	"Signalisatie"	"Aanwijzing ten behoeve van de weggebruikers."	""	""	"false"	"https://data.vlaanderen.be/ns/mobiliteit#"	"Signalisatie"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Besluit"	"Signalisatievergunning"	"{E98C0A93-5B32-4bfb-BFB2-90A9FDEDCD80}"	""	""	""	""	"Signalisatievergunning"	"Een vergunning voor het tijdelijk aanbrengen of wijzigen van signalisatie op het openbaar domein of privaat domein met openbaar karakter."	""	"Signalisatievergunning"	"Een vergunning voor het tijdelijk aanbrengen of wijzigen van signalisatie op het openbaar domein of privaat domein met openbaar karakter."	""	""	"true"	"http://data.vlaanderen.be/ns/besluit#"	"Signalisatievergunning"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/besluit#Vergunning"	""	""
"CLASS"	"OSLO-Besluit"	"Innamevergunning"	"{709712C2-7751-40e0-8A58-C7FC6232FC22}"	""	""	""	""	"Innamevergunning"	"De vergunning voor het tijdelijk in gebruik nemen van het openbaar domein."	""	"Innamevergunning"	"De vergunning voor het tijdelijk in gebruik nemen van het openbaar domein."	""	""	"true"	"http://data.vlaanderen.be/ns/besluit#"	"Innamevergunning"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/besluit#Vergunning"	""	""
