"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-OTL-LijnvormigeElementen"	"{C73C6925-D88A-49c0-84F2-409BB9A573F1}"	""	""	""	""	""	""	""	""	""	""	""	""	"https://data.vlaanderen.be/ns/"	"wegenenverkeerassets"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-OTL-LijnvormigeElementen"	"GestandariseerdeKantopsluitingType"	"{2AD102A8-DADB-4299-98B8-8E62C0B5FD1F}"	""	""	""	""	"Gestandariseerde kantopsluiting type"	"abstracte/verzameling van de gemeenschappelijke eigenschappen voor de gestandariseerde kantopsluiting types"	""	"Gestandariseerde kantopsluiting type"	"abstracte/verzameling van de gemeenschappelijke eigenschappen voor de gestandariseerde kantopsluiting types"	""	""	"false"	"https://data.vlaanderen.be/ns/wegenenverkeerassets#"	"GestandariseerdeKantopsluitingType"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-OTL-LijnvormigeElementen"	"TrottoirbandAfw"	"{519FE46D-7161-46f7-AC03-841D9E827E50}"	"AfwijkendeKantopsluiting"	""	""	""	"Trottoirband afw"	"Kantopsluiting bestemd om de rand van de verharding te beschermen en te versterken."	""	"Trottoirband afw"	"Kantopsluiting bestemd om de rand van de verharding te beschermen en te versterken."	""	""	"false"	"https://data.vlaanderen.be/ns/wegenenverkeerassets#"	"TrottoirbandAfw"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/wegenenverkeerassets#AfwijkendeKantopsluiting"	""	""
"CLASS"	"OSLO-OTL-LijnvormigeElementen"	"WatergreppelAfw"	"{1455340D-C3E8-4667-B99E-1F8291404695}"	"AfwijkendeKantopsluiting"	""	""	""	"Watergreppel afw"	"Kantopsluiting bestemd om water van de verharding op te vangen en af te voeren."	""	"Watergreppel afw"	"Kantopsluiting bestemd om water van de verharding op te vangen en af te voeren."	""	""	"false"	"https://data.vlaanderen.be/ns/wegenenverkeerassets#"	"WatergreppelAfw"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/wegenenverkeerassets#AfwijkendeKantopsluiting"	""	""
"CLASS"	"OSLO-OTL-LijnvormigeElementen"	"TrottoirbandWatergreppelAfw"	"{5E3CD29C-631F-4a5b-9820-4B7E09BA6686}"	"AfwijkendeKantopsluiting"	""	""	""	"Trottoirband watergreppel afw"	"Kantopsluiting die een trottoirband en een watergreppel combineert in een geheel."	""	"Trottoirband watergreppel afw"	"Kantopsluiting die een trottoirband en een watergreppel combineert in een geheel."	""	""	"false"	"https://data.vlaanderen.be/ns/wegenenverkeerassets#"	"TrottoirbandWatergreppelAfw"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/wegenenverkeerassets#AfwijkendeKantopsluiting"	""	""
"CLASS"	"OSLO-OTL-LijnvormigeElementen"	"KantstrookAfw"	"{AA4FF97F-F25D-4673-9FB3-60629AC48646}"	"AfwijkendeKantopsluiting"	""	""	""	"Kantstrook afw"	"Kantopsluiting bestemd om de verharding steun te geven."	""	"Kantstrook afw"	"Kantopsluiting bestemd om de verharding steun te geven."	""	""	"false"	"https://data.vlaanderen.be/ns/wegenenverkeerassets#"	"KantstrookAfw"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/wegenenverkeerassets#AfwijkendeKantopsluiting"	""	""
"CLASS"	"OSLO-OTL-LijnvormigeElementen"	"SchampkantAfw"	"{848EBDAB-D754-457f-BD5B-0A43CBB016A3}"	"AfwijkendeKantopsluiting"	""	""	""	"Schampkant afw"	"Kantopsluiting die zones van voertuigenverkeer onderling of voertuigenzones van andere
verkeerszones scheidt en de overschrijding door voertuigen bemoeilijkt maar geen voertuigkerende
functie heeft."	""	"Schampkant afw"	"Kantopsluiting die zones van voertuigenverkeer onderling of voertuigenzones van andere
verkeerszones scheidt en de overschrijding door voertuigen bemoeilijkt maar geen voertuigkerende
functie heeft."	""	""	"false"	"https://data.vlaanderen.be/ns/wegenenverkeerassets#"	"SchampkantAfw"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/wegenenverkeerassets#AfwijkendeKantopsluiting"	""	""
"CLASS"	"OSLO-OTL-LijnvormigeElementen"	"SchampkantStdType"	"{2D0CDEA7-5803-4329-9F91-0F3405EBF290}"	"GestandariseerdeKantopsluitingType"	""	""	""	"Schampkant std type"	"Type object voor gestandardiseerde schampkant"	""	"Schampkant std type"	"Type object voor gestandardiseerde schampkant"	""	""	"false"	"https://data.vlaanderen.be/ns/wegenenverkeerassets#"	"SchampkantStdType"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/wegenenverkeerassets#GestandariseerdeKantopsluitingType"	""	""
"CLASS"	"OSLO-OTL-LijnvormigeElementen"	"KantstrookStdType"	"{12BDFC88-187F-4f55-AC9D-ADA4D54EE8A5}"	"GestandariseerdeKantopsluitingType"	""	""	""	"Kantstrook std type"	"Type object voor gestandardiseerde kantstrook"	""	"Kantstrook std type"	"Type object voor gestandardiseerde kantstrook"	""	""	"false"	"https://data.vlaanderen.be/ns/wegenenverkeerassets#"	"KantstrookStdType"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/wegenenverkeerassets#GestandariseerdeKantopsluitingType"	""	""
"CLASS"	"OSLO-OTL-LijnvormigeElementen"	"TrottoirbandWatergreppelStdType"	"{938FDC76-692D-473c-A41E-C38C325BBA9C}"	"GestandariseerdeKantopsluitingType"	""	""	""	"Trottoirband watergreppel std type"	"Type object voor gestandardiseerde trottoirband_watergreppel"	""	"Trottoirband watergreppel std type"	"Type object voor gestandardiseerde trottoirband_watergreppel"	""	""	"false"	"https://data.vlaanderen.be/ns/wegenenverkeerassets#"	"TrottoirbandWatergreppelStdType"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/wegenenverkeerassets#GestandariseerdeKantopsluitingType"	""	""
