"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Mandaat"	"{5FE3ADA3-5799-49be-92EC-0020AD89D048}"	""	""	""	""	""	""	""	""	""	""	""	""	"http://data.vlaanderen.be/ns/"	"mandaat"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"DATATYPE"	"OSLO-Generiek"	"Opheffing"	"{50A43238-89AD-4419-BBD5-3EE461F30179}"	""	""	""	""	"Opheffing"	"Het starten vh vernietigen/beëindigen/uitdoven ve entiteit dmv een activiteit."	"De entiteit is daarna niet meer beschikbaar voor gebruik of kan daarna niet meer vervallen. Gebruik of creatie gaan aan opheffing vooraf."	"Opheffing"	"Het starten vh vernietigen/beëindigen/uitdoven ve entiteit dmv een activiteit."	"De entiteit is daarna niet meer beschikbaar voor gebruik of kan daarna niet meer vervallen. Gebruik of creatie gaan aan opheffing vooraf."	""	"true"	"http://www.w3.org/ns/prov#"	"Invalidation"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Generiek"	"Creatie"	"{FB662F0E-5849-41a8-9F66-47651C4E2981}"	""	""	""	""	"Creatie"	"Het voltooien vd productie ve nieuwe entiteit dmv een activiteit."	"De entiteit bestond niet voorafgaand aan de creatie en is daarna beschikbaar voor gebruik."	"Creatie"	"Het voltooien vd productie ve nieuwe entiteit dmv een activiteit."	"De entiteit bestond niet voorafgaand aan de creatie en is daarna beschikbaar voor gebruik."	""	"true"	"http://www.w3.org/ns/prov#"	"Generation"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Generiek"	"Versie"	"{BE70C753-1A3C-4420-9D6D-468C398D40EC}"	""	""	""	""	"Versie"	"Stelt een entiteit voor in één specifieke periode."	""	"Versie"	"Stelt een entiteit voor in één specifieke periode."	""	""	"true"	"https://data.vlaanderen.be/ns/generiek#"	"Versie"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://www.w3.org/ns/prov#Entity"	""	""
"CLASS"	"OSLO-Generiek"	"VersieVolgensGeldigeTijd"	"{629AC33D-4DDE-4f0d-8FCA-DCBFE369DA38}"	"Versie"	""	""	""	"Versie volgens Geldige Tijd"	"De versie stelt de entiteit voor gedurende een bepaalde periode in de gemodelleerde werkelijkheid."	""	"Versie volgens Geldige Tijd"	"De versie stelt de entiteit voor gedurende een bepaalde periode in de gemodelleerde werkelijkheid."	""	""	"true"	"https://data.vlaanderen.be/ns/generiek#"	"VersieVolgensGeldigeTijd"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/generiek#Versie"	""	""
"CLASS"	"OSLO-Mandaat"	"Lidmaatschap"	"{C4C34CA8-400A-4380-8228-42E25A27DE1F}"	""	""	""	""	"Lidmaatschap"	"Geeft de kenmerken weer vh lidmaatschap van een Mandataris van een Fractie."	""	"Lidmaatschap"	"Geeft de kenmerken weer vh lidmaatschap van een Mandataris van een Fractie."	""	""	"true"	"http://www.w3.org/ns/org#"	"Membership"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Persoon"	"Geboorte"	"{462B67CB-6DBE-403f-A81D-45899EC8DA8F}"	""	""	""	""	"Geboorte"	"Het ter wereld komen vd persoon."	""	"Geboorte"	"Het ter wereld komen vd persoon."	""	""	"true"	"https://data.vlaanderen.be/ns/persoon#"	"Geboorte"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/persoon#Persoonsgebeurtenis"	""	""
"CLASS"	"OSLO-Persoon"	"Persoon"	"{142E27D1-4B2A-4d59-ACFD-512BD6089387}"	""	""	""	""	"Persoon"	"Natuurlijk persoon."	"In de rechtspraak betreft het een persoon (in de wettelijke betekenis, ttz met eigen rechtspersoonlijkheid) van de menselijke soort, ttz een fysiek persoon. Tegenhanger is de rechtspersoon, een juridische constructie die een private of publieke Organisatie dezelfde rechtspersoonlijkheid geeft als een natuurlijk persoon (kan bv ook schulden hebben, contracten afsluiten, aangeklaagd worden etc)."	"Persoon"	"Natuurlijk persoon."	"In de rechtspraak betreft het een persoon (in de wettelijke betekenis, ttz met eigen rechtspersoonlijkheid) van de menselijke soort, ttz een fysiek persoon. Tegenhanger is de rechtspersoon, een juridische constructie die een private of publieke Organisatie dezelfde rechtspersoonlijkheid geeft als een natuurlijk persoon (kan bv ook schulden hebben, contracten afsluiten, aangeklaagd worden etc)."	""	"true"	"http://www.w3.org/ns/person#"	"Person"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://www.w3.org/ns/prov#Entity, http://purl.org/dc/terms/Agent"	""	""
"CLASS"	"OSLO-Wetgeving"	"Rechtsgrond"	"{3A27CE15-0DA1-4b54-8881-E49BB70CC10A}"	""	""	""	""	"Rechtsgrond"	"Een legaal concept dat los staat van een bepaalde vorm (het achterliggende idee)."	"Een rechtsgrond kan zowel een geheel (bvb: wet,besluit) voorstellen als een onderdeel eruit (bvb: artikel)."	"Rechtsgrond"	"Een legaal concept dat los staat van een bepaalde vorm (het achterliggende idee)."	"Een rechtsgrond kan zowel een geheel (bvb: wet,besluit) voorstellen als een onderdeel eruit (bvb: artikel)."	""	"true"	"http://data.europa.eu/eli/ontology#"	"LegalResource"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/wetgeving#UnieRGLV"	""	""
"CLASS"	"OSLO-Mandaat"	"Bestuursorgaan (in bestuursperiode)"	"{88D19680-A327-43f3-B0FD-614C32296922}"	"VersieVolgensGeldigeTijd"	""	""	""	"Bestuursorgaan (in bestuursperiode)"	"Een bestuursorgaan,beperkt tot een bepaalde bestuursperiode."	""	"Bestuursorgaan (in bestuursperiode)"	"Een bestuursorgaan,beperkt tot een bepaalde bestuursperiode."	""	""	"true"	"http://data.vlaanderen.be/ns/besluit#"	"Bestuursorgaan"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/generiek#VersieVolgensGeldigeTijd"	""	""
