"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Mobiliteit-Trips-En-Aanbod"	"{D91B4580-9C91-4ed9-BB9F-78A4871F263B}"	""	""	""	""	""	""	""	""	""	""	""	""	"https://data.vlaanderen.be/ns/mobiliteit/"	"trips-en-aanbod"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Mobiliteit-Trips-En-Aanbod"	"Route"	"{0EACA0CD-FE2B-4d5a-9F54-51E605D0E4CB}"	""	""	""	""	"Route"	"Mogelijke, gekozen of afgelegde weg tussen twee Locaties (resp het vertrekpunt en het aankomstpunt)."	""	"Route"	"Mogelijke, gekozen of afgelegde weg tussen twee Locaties (resp het vertrekpunt en het aankomstpunt)."	""	""	"false"	"https://data.vlaanderen.be/ns/mobiliteit/trips-en-aanbod#"	"Route"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Mobiliteit-Trips-En-Aanbod"	"Routesegment"	"{B7ABB2D4-1CC2-456e-B5F8-3F699487F2BB}"	"Route"	""	""	""	"Routesegment"	"Deel van een Route dat zonder Overstap wordt afgelegd met hetzelfde vervoermiddel."	""	"Routesegment"	"Deel van een Route dat zonder Overstap wordt afgelegd met hetzelfde vervoermiddel."	""	""	"false"	"https://data.vlaanderen.be/ns/mobiliteit/trips-en-aanbod#"	"Routesegment"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/mobiliteit/trips-en-aanbod#Route"	""	""
"CLASS"	"OSLO-Mobiliteit-Trips-En-Aanbod"	"Reiziger"	"{6B2BE1C3-8CA5-4df0-8C6D-05F30B6BB8CE}"	""	""	""	""	"Reiziger"	"Persoon die een Reis onderneemt of wil ondernemen."	""	"Reiziger"	"Persoon die een Reis onderneemt of wil ondernemen."	""	""	"false"	"https://data.vlaanderen.be/ns/mobiliteit/trips-en-aanbod#"	"Reiziger"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://purl.org/dc/terms/Agent"	""	""
"DATATYPE"	"OSLO-Mobiliteit-Trips-En-Aanbod"	"Routebeschrijving"	"{E6272A95-932C-44b8-A834-E16BFC627894}"	""	""	""	""	"Routebeschrijving"	"Beschrijving van een Route."	"Typisch de beschrijving zoals ze in een Routeplanner zou worden getoond."	"Routebeschrijving"	"Beschrijving van een Route."	""	""	"false"	"https://data.vlaanderen.be/ns/mobiliteit/trips-en-aanbod#"	"Routebeschrijving"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Mobiliteit-Trips-En-Aanbod"	"Routetype"	"{317948E4-D3F2-464b-A291-6E87AD866748}"	""	""	""	""	"Routetype"	"TODO"	""	"Routetype"	"TODO"	""	"https://wherever/TODO"	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Mobiliteit-Trips-En-Aanbod"	"Vervoermiddel"	"{804E2916-72F0-46dc-A2FB-1601658336FB}"	""	""	""	""	"Vervoermiddel"	"TODO"	""	"Vervoermiddel"	"TODO"	""	"https://wherever/TODO"	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Mobiliteit-Trips-En-Aanbod"	"Routeknoop"	"{35453307-F7E3-4052-B532-CC571E30CE34}"	""	""	""	""	"Routeknoop"	"Significante positie in de Route die steeds samenvalt met het begin of het einde van een Routesegment."	""	"Routeknoop"	"Significante positie in de Route die steeds samenvalt met het begin of het einde van een Routesegment."	""	""	"false"	"https://data.vlaanderen.be/ns/mobiliteit/trips-en-aanbod#"	"Routeknoop"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Mobiliteit-Trips-En-Aanbod"	"Reis"	"{457E1E23-40B0-4ca6-840C-49CD251C9EDD}"	""	""	""	""	"Reis"	"Vrijwillige verplaatsing van een Persoon van de ene Locatie naar een andere Locatie."	"De reis verloopt eventueel via andere Locaties. De Locatie waar de Reis begint kan gelijk zijn aan deze waar de Reis eindigt (bv heen- en terugreis)."	"Reis"	"Vrijwillige verplaatsing van een Persoon van de ene Locatie naar een andere Locatie."	""	""	"false"	"https://data.vlaanderen.be/ns/mobiliteit/trips-en-aanbod#"	"Reis"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Mobiliteit-Trips-En-Aanbod"	"Resourcetype"	"{1D35890C-8883-47b9-9896-C1325B5B89A8}"	""	""	""	""	"Resourcetype"	"TODO"	""	"Resourcetype"	"TODO"	""	"https://wherever/TODO"	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
