"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-OTL-Proeven"	"{7894C2D0-489A-4b97-B914-1F6E563EF6C4}"	""	""	""	""	""	""	""	""	""	""	""	""	"https://data.vlaanderen.be/ns/"	"wegenenverkeerassets"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"DATATYPE"	"OSLO-OTL-Proeven"	"GeluidstestRapport"	"{B2BF9ACF-E5A1-44ba-8557-135C743616DF}"	""	""	""	""	"Geluidstest rapport"	""	""	"Geluidstest rapport"	"TODO"	""	""	"false"	"https://data.vlaanderen.be/ns/wegenenverkeerassets#"	"GeluidstestRapport"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-OTL-Proeven"	"ProefAPosterioriAndereLagen"	"{843BCF93-BAA8-464b-ADB3-935A6725F31B}"	"ProefStroefheid"	""	""	""	"Proef a posteriori andere lagen"	"Verzameling van de a posteriori proeven voor Andere_lagen"	""	"Proef a posteriori andere lagen"	"Verzameling van de a posteriori proeven voor Andere_lagen"	""	""	"false"	"https://data.vlaanderen.be/ns/wegenenverkeerassets#"	"ProefAPosterioriAndereLagen"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/wegenenverkeerassets#ProefStroefheid"	""	""
"CLASS"	"OSLO-OTL-Proeven"	"ProefAPosterioriAndereVerhardingen"	"{A99679F5-BD3E-4cdc-A318-40B3E79729ED}"	"ProefDraagvermogen, ProefGemetenDikte, ProefVlakheid"	""	""	""	"Proef a posteriori andere verhardingen"	"Verzameling van de a posteriori proeven voor Andere_verhardingen"	""	"Proef a posteriori andere verhardingen"	"Verzameling van de a posteriori proeven voor Andere_verhardingen"	""	""	"false"	"https://data.vlaanderen.be/ns/wegenenverkeerassets#"	"ProefAPosterioriAndereVerhardingen"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/wegenenverkeerassets#ProefGemetenDikte, https://data.vlaanderen.be/ns/wegenenverkeerassets#ProefVlakheid, https://data.vlaanderen.be/ns/wegenenverkeerassets#ProefDraagvermogen"	""	""
"CLASS"	"OSLO-OTL-Proeven"	"ProefAPosterioriAndereVerhardingenWalsbeton"	"{2E96D9D2-476A-4c8d-A50B-EC341E8D5D94}"	"ProefDruksterkte, ProefGemetenDikte, ProefVlakheid"	""	""	""	"Proef a posteriori andere verhardingen walsbeton"	"Verzameling van de a posteriori proeven voor Andere_verhardingen_walsbeton"	""	"Proef a posteriori andere verhardingen walsbeton"	"Verzameling van de a posteriori proeven voor Andere_verhardingen_walsbeton"	""	""	"false"	"https://data.vlaanderen.be/ns/wegenenverkeerassets#"	"ProefAPosterioriAndereVerhardingenWalsbeton"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/wegenenverkeerassets#ProefGemetenDikte, https://data.vlaanderen.be/ns/wegenenverkeerassets#ProefVlakheid, https://data.vlaanderen.be/ns/wegenenverkeerassets#ProefDruksterkte"	""	""
"CLASS"	"OSLO-OTL-Proeven"	"ProefAPosterioriBestrating"	"{4A6E4628-F86E-48e0-9798-A4648C783F66}"	"ProefVlakheid"	""	""	""	"Proef a posteriori bestrating"	"Verzameling van de a posteriori proeven voor Bestrating"	""	"Proef a posteriori bestrating"	"Verzameling van de a posteriori proeven voor Bestrating"	""	""	"false"	"https://data.vlaanderen.be/ns/wegenenverkeerassets#"	"ProefAPosterioriBestrating"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/wegenenverkeerassets#ProefVlakheid"	""	""
"CLASS"	"OSLO-OTL-Proeven"	"ProefAPosterioriBestratingBetonstraatstenen"	"{B36103B0-5A4D-411d-99B8-F7EE756A5DC4}"	"ProefLangsvlakheid"	""	""	""	"Proef a posteriori bestrating betonstraatstenen"	"Abstracte voor proef betonstraatstenen."	""	"Proef a posteriori bestrating betonstraatstenen"	"Abstracte voor proef betonstraatstenen."	""	""	"false"	"https://data.vlaanderen.be/ns/wegenenverkeerassets#"	"ProefAPosterioriBestratingBetonstraatstenen"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/wegenenverkeerassets#ProefLangsvlakheid"	""	""
"CLASS"	"OSLO-OTL-Proeven"	"ProefAPosterioriBitumineuze"	"{94037F19-50E3-49de-B0E2-FCB6A823A89B}"	"ProefAPosterioriBitumineuzeCementbetonLaag, ProefPctHolleruimte"	""	""	""	"Proef a posteriori bitumineuze"	"Verzameling van de a posteriori proeven voor Bitumineuze verhardingen."	""	"Proef a posteriori bitumineuze"	"Verzameling van de a posteriori proeven voor Bitumineuze verhardingen."	""	""	"false"	"https://data.vlaanderen.be/ns/wegenenverkeerassets#"	"ProefAPosterioriBitumineuze"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/wegenenverkeerassets#ProefPctHolleruimte, https://data.vlaanderen.be/ns/wegenenverkeerassets#ProefAPosterioriBitumineuzeCementbetonLaag"	""	""
"CLASS"	"OSLO-OTL-Proeven"	"ProefAPosterioriBitumineuzeCementbetonLaag"	"{2F674444-D51C-4edb-85C7-5AC2A4E64370}"	"ProefLangsvlakheid, ProefStroefheid, ProefVlakheid"	""	""	""	"Proef a posteriori bitumineuze cementbeton laag"	"Verzameling van de a posteriori proeven voor Bitumineuze en cementbeton verhardingen."	""	"Proef a posteriori bitumineuze cementbeton laag"	"Verzameling van de a posteriori proeven voor Bitumineuze en cementbeton verhardingen."	""	""	"false"	"https://data.vlaanderen.be/ns/wegenenverkeerassets#"	"ProefAPosterioriBitumineuzeCementbetonLaag"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/wegenenverkeerassets#ProefLangsvlakheid, https://data.vlaanderen.be/ns/wegenenverkeerassets#ProefVlakheid, https://data.vlaanderen.be/ns/wegenenverkeerassets#ProefStroefheid"	""	""
"CLASS"	"OSLO-OTL-Proeven"	"ProefAPosterioriCementbetonverharding"	"{9109A5BC-9D07-4bf0-BAF4-3ACDFBF05BC3}"	"ProefAPosterioriBitumineuzeCementbetonLaag, ProefDruksterkte"	""	""	""	"Proef a posteriori cementbetonverharding"	"Verzameling van de proeven voor betonverhardingen."	""	"Proef a posteriori cementbetonverharding"	"Verzameling van de proeven voor betonverhardingen."	""	""	"false"	"https://data.vlaanderen.be/ns/wegenenverkeerassets#"	"ProefAPosterioriCementbetonverharding"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/wegenenverkeerassets#ProefAPosterioriBitumineuzeCementbetonLaag, https://data.vlaanderen.be/ns/wegenenverkeerassets#ProefDruksterkte"	""	""
