"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"VegetatieElement"	"{99D19FFB-4A48-4801-8B07-70BB6FF81568}"	""	""	""	""	""	""	""	""	""	""	""	""	"https://data.vlaanderen.be/ns/openbaardomein/"	"vegetatie"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"VegetatieElement"	"Boomvorm"	"{8CF872B2-4D21-4e9d-8CF0-2E4FB09F4E7E}"	"VegetatieElement"	""	""	""	"Boomvorm"	"Individueel te onderscheiden vegetatie-element. Een boom is een overblijvende plant met een verhoute stam en een kroon (kruin)."	""	"Boomvorm"	"Individueel te onderscheiden vegetatie-element. Een boom is een overblijvende plant met een verhoute stam en een kroon (kruin)."	""	""	"false"	"https://data.vlaanderen.be/ns/openbaardomein/vegetatie#"	"Boomvorm"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/openbaardomein/vegetatie#VegetatieElement"	""	""
"CLASS"	"VegetatieElement"	"VegetatieElement"	"{52FD4FDA-B761-4088-B40A-A6CA79215492}"	"Element"	""	""	""	"Vegetatie Element"	"Solitaire plant in de ruimte."	""	"Vegetatie Element"	"Solitaire plant in de ruimte."	""	""	"false"	"https://data.vlaanderen.be/ns/openbaardomein/vegetatie#"	"VegetatieElement"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/openbaardomein#Element"	""	""
"CLASS"	"VegetatieElement"	"Plantbakvorm"	"{438E0A15-B91A-47c6-A0F3-021E27D517D8}"	"VegetatieElement"	""	""	""	"Plantbakvorm"	"Beplanting die niet in volle grond werd aangebracht, maar in bakvorm."	""	"Plantbakvorm"	"Beplanting die niet in volle grond werd aangebracht, maar in bakvorm."	""	""	"false"	"https://data.vlaanderen.be/ns/openbaardomein/vegetatie#"	"Plantbakvorm"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/openbaardomein/vegetatie#VegetatieElement"	""	""
"CLASS"	"VegetatieElement"	"Klimvorm"	"{721B8F8E-51CF-4432-9312-03685236CACB}"	"VegetatieElement"	""	""	""	"Klimvorm"	"Plant met buigzame stengels die zich aan muren, bomen, enz. hecht en zodoende omhoog klimt."	""	"Klimvorm"	"Plant met buigzame stengels die zich aan muren, bomen, enz. hecht en zodoende omhoog klimt."	""	""	"false"	"https://data.vlaanderen.be/ns/openbaardomein/vegetatie#"	"Klimvorm"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/openbaardomein/vegetatie#VegetatieElement"	""	""
"ENUMERATION"	"Codelijsten"	"BoomvormconditieKlassen"	"{B1F94142-23DA-4dfa-93FC-F534B7A2BBCA}"	""	""	""	""	"Boomvormconditie Klassen"	"De conditie beoordeeld volgens de kronenstructuur van Dr. A. Roloff, gelet op de scheutlengte ontwikkeling en vorming van dood hout."	""	"Boomvormconditie Klassen"	"De conditie beoordeeld volgens de kronenstructuur van Dr. A. Roloff, gelet op de scheutlengte ontwikkeling en vorming van dood hout."	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"VegetatieElement"	"Plantbak"	"{C176CDA5-8EAD-4218-BAC1-DD570E564D27}"	"Plantbakvorm"	""	""	""	"Plantbak"	"Bak waarin planten in kuntsmatig aangevoerde grond worden geplant."	""	"Plantbak"	"Bak waarin planten in kuntsmatig aangevoerde grond worden geplant."	""	""	"false"	"https://data.vlaanderen.be/ns/openbaardomein/vegetatie#"	"Plantbak"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/openbaardomein/vegetatie#Plantbakvorm"	""	""
"CLASS"	"VegetatieElement"	"Bloemenmand"	"{D518730F-2DA7-46b6-A7DA-9DADC2CDC66C}"	"Plantbakvorm"	""	""	""	"Bloemenmand"	"Plantbak die doelbewust verhoogd opgehangen wordt."	""	"Bloemenmand"	"Plantbak die doelbewust verhoogd opgehangen wordt."	""	""	"false"	"https://data.vlaanderen.be/ns/openbaardomein/vegetatie#"	"Bloemenmand"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/openbaardomein/vegetatie#Plantbakvorm"	""	""
"CLASS"	"VegetatieElement"	"Bloementoren"	"{E9D88BF1-8306-4b8e-98CF-B564FB8F9B4A}"	"Plantbakvorm"	""	""	""	"Bloementoren"	"Torenvormige constructie door een combinatie van individuele plantbakken."	""	"Bloementoren"	"Torenvormige constructie door een combinatie van individuele plantbakken."	""	""	"false"	"https://data.vlaanderen.be/ns/openbaardomein/vegetatie#"	"Bloementoren"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/openbaardomein/vegetatie#Plantbakvorm"	""	""
"CLASS"	"VegetatieElement"	"Vormboom"	"{E4875EFA-4922-4a84-BEB8-31276A6AFFAA}"	"Boomvorm"	""	""	""	"Vormboom"	"Een kunstmatig gevormde boom die geleid en gesnoeid is in diverse geometrische, fantasie- of diervormen. De vorm wordt bepaald bij het jonge plantgoed en tijdens de eerste vormsnoei van de gesteltakken. Het beheer wordt uitgevoerd in periodieke scheerbeurten, één of meerdere keren per jaar."	"Definitie naar erfgoedtype 'topiary' van Vlaams agentschap Onroerend Erfgoed: https://id.erfgoed.net/thesauri/erfgoedtypes/1709"	"Vormboom"	"Een kunstmatig gevormde boom die geleid en gesnoeid is in diverse geometrische, fantasie- of diervormen. De vorm wordt bepaald bij het jonge plantgoed en tijdens de eerste vormsnoei van de gesteltakken. Het beheer wordt uitgevoerd in periodieke scheerbeurten, één of meerdere keren per jaar."	""	""	"false"	"https://data.vlaanderen.be/ns/openbaardomein/vegetatie#"	"Vormboom"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/openbaardomein/vegetatie#Boomvorm"	""	""
