"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-OTL-Vegetatie"	"{66F731DB-6107-4f15-B7A2-467CA8189FD5}"	""	""	""	""	""	""	""	""	""	""	""	""	"http://"	"fixme.com"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-OTL-Vegetatie"	"BegroeidVoorkomen"	"{09E5710C-6AD7-4d52-B15A-6D3A563007B0}"	""	""	""	""	"BegroeidVoorkomen"	"Abstracte die alle eigenschappen omtrent begroeid voorkomen opsomt."	""	"BegroeidVoorkomen"	"Abstracte die alle eigenschappen omtrent begroeid voorkomen opsomt."	""	""	"false"	"http://fixme.com#"	"BegroeidVoorkomen"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-OTL-Vegetatie"	"AanlegBoomvorm"	"{5F680186-4B1B-4f3e-8DF9-D0B057AD1B2E}"	"VegetatieElement"	""	""	""	"AanlegBoomvorm"	"Abstracte om de aanleg van een boomvorm te capteren"	""	"AanlegBoomvorm"	"Abstracte om de aanleg van een boomvorm te capteren"	""	""	"false"	"http://fixme.com#"	"AanlegBoomvorm"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://fixme.com#VegetatieElement"	""	""
"CLASS"	"OSLO-OTL-Proeven"	"ProefBoomtoestand"	"{AC9CAE62-34FC-4f4c-8140-036CB0ECF37D}"	""	""	""	""	"ProefBoomtoestand"	"Abstracte om de proeven die info geven over de toestand van de boom samen te vatten"	""	"ProefBoomtoestand"	"Abstracte om de proeven die info geven over de toestand van de boom samen te vatten"	""	""	"true"	"http://fixme.com#"	"ProefBoomtoestand"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-OTL-Vegetatie"	"Leiboom"	"{6816A17E-ED80-4a17-A390-8747B2AB46CE}"	"Boomvorm"	""	""	""	"Leiboom"	"Een leiboom is een boom waarvan alle gesteltakken gedwongen worden in één (verticaal) vlak te groeien door geleiding. Soms worden de geleide bomen tegen een muur geleid of wordt er in een leidconstructie voorzien."	""	"Leiboom"	"Een leiboom is een boom waarvan alle gesteltakken gedwongen worden in één (verticaal) vlak te groeien door geleiding. Soms worden de geleide bomen tegen een muur geleid of wordt er in een leidconstructie voorzien."	""	""	"false"	"http://fixme.com#"	"Leiboom"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://fixme.com#Boomvorm"	""	""
"CLASS"	"OSLO-OTL-Vegetatie"	"Knotboom"	"{777C7DB1-469E-49e4-8466-5F5B15B2104A}"	"Boomvorm"	""	""	""	"Knotboom"	"Snoeivorm waarbij periodiek alle takken afgezaagd worden tot op een verdikte knot bovenaan de stam."	""	"Knotboom"	"Snoeivorm waarbij periodiek alle takken afgezaagd worden tot op een verdikte knot bovenaan de stam."	""	""	"false"	"http://fixme.com#"	"Knotboom"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://fixme.com#Boomvorm"	""	""
"CLASS"	"OSLO-OTL-Vegetatie"	"GeschorenBoom"	"{C8D2538E-DF24-4db1-8F5A-2888E8CE61F9}"	"Boomvorm"	""	""	""	"GeschorenBoom"	"Bomen waarvan de kruinen in een min of meer strakke vorm zijn geschoren. De vorm werd bepaald bij de eerste vormsnoei van de gesteltakken en werd uitgevoerd op jonge bomen. Het beheer wordt uitgevoerd in periodieke scheerbeurten, één of meerdere keren per jaar."	""	"GeschorenBoom"	"Bomen waarvan de kruinen in een min of meer strakke vorm zijn geschoren. De vorm werd bepaald bij de eerste vormsnoei van de gesteltakken en werd uitgevoerd op jonge bomen. Het beheer wordt uitgevoerd in periodieke scheerbeurten, één of meerdere keren per jaar."	""	""	"false"	"http://fixme.com#"	"GeschorenBoom"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://fixme.com#Boomvorm"	""	""
"CLASS"	"OSLO-OTL-Vegetatie"	"GekandelaardeBoom"	"{3A7FFEEF-32BE-4609-9EAD-1243CC848A03}"	"Boomvorm"	""	""	""	"GekandelaardeBoom"	"Een gekandelaarde boom is een boom waarvan alle gesteltakken periodiek op een bepaalde lengte worden afgezet en die hierop opnieuw uitlopen."	""	"GekandelaardeBoom"	"Een gekandelaarde boom is een boom waarvan alle gesteltakken periodiek op een bepaalde lengte worden afgezet en die hierop opnieuw uitlopen."	""	""	"false"	"http://fixme.com#"	"GekandelaardeBoom"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://fixme.com#Boomvorm"	""	""
"CLASS"	"OSLO-OTL-Vegetatie"	"VegetatieElement"	"{AD10D488-167D-4022-B9E1-B9F509DED2DA}"	""	""	""	""	"VegetatieElement"	"Solitaire plant in de ruimte."	""	"VegetatieElement"	"Solitaire plant in de ruimte."	""	""	"false"	"http://fixme.com#"	"VegetatieElement"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-OTL-Vegetatie"	"TerreinDeel"	"{43920497-0087-49dd-B486-722F6122CD8D}"	""	""	""	""	"TerreinDeel"	"Gedeelte van het aardoppervlak, met een gelijkaardige functie, dat geen deel uitmaakt van 'waterdeel'"	""	"TerreinDeel"	"Gedeelte van het aardoppervlak, met een gelijkaardige functie, dat geen deel uitmaakt van 'waterdeel'"	""	""	"false"	"http://fixme.com#"	"TerreinDeel"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-OTL-Vegetatie"	"SolitaireHeester"	"{92D86A68-ECA1-4a5b-ADE8-59D844E84EFF}"	"VegetatieElement"	""	""	""	"SolitaireHeester"	"Afzonderlijk te onderscheiden heester."	""	"SolitaireHeester"	"Afzonderlijk te onderscheiden heester."	""	""	"false"	"http://fixme.com#"	"SolitaireHeester"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://fixme.com#VegetatieElement"	""	""
"CLASS"	"OSLO-OTL-Vegetatie"	"Plantbakvorm"	"{E495A69B-7C88-4ae5-9496-EA033F0E2C39}"	"VegetatieElement"	""	""	""	"Plantbakvorm"	"Beplanting die niet in volle grond werd aangebracht, maar in bakvorm."	""	"Plantbakvorm"	"Beplanting die niet in volle grond werd aangebracht, maar in bakvorm."	""	""	"false"	"http://fixme.com#"	"Plantbakvorm"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://fixme.com#VegetatieElement"	""	""
