"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-OTL-VerhardingFundering"	"{94DCD3E7-C2B7-44c9-A67F-B1ECD48A6E26}"	""	""	""	""	""	""	""	""	""	""	""	""	"https://data.vlaanderen.be/ns/"	"wegenenverkeerassets"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-OTL-VerhardingFundering"	"Noppendrainage"	"{FFE7D281-FBEA-4b41-9F71-70EC664C1020}"	"AndereLagen"	""	""	""	"Noppendrainage"	"Een noppendrainveld zorgt voor een verticale afwatering van het overtollige water."	""	"Noppendrainage"	"Een noppendrainveld zorgt voor een verticale afwatering van het overtollige water."	""	""	"false"	"https://data.vlaanderen.be/ns/wegenenverkeerassets#"	"Noppendrainage"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/wegenenverkeerassets#AndereLagen"	""	""
"CLASS"	"OSLO-OTL-VerhardingFundering"	"GeexpandeerdPolystyreen"	"{F912BC94-C61E-4007-AAC7-CA2FB64C621A}"	"AndereLagen"	""	""	""	"Geexpandeerd polystyreen"	"Geëxpandeerd polystyreen of PS-hardschuim is een karakteristieke en vrijwel altijd witte kunststof, in de volksmond piepschuim genoemd"	""	"Geexpandeerd polystyreen"	"Geëxpandeerd polystyreen of PS-hardschuim is een karakteristieke en vrijwel altijd witte kunststof, in de volksmond piepschuim genoemd"	""	""	"false"	"https://data.vlaanderen.be/ns/wegenenverkeerassets#"	"GeexpandeerdPolystyreen"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/wegenenverkeerassets#AndereLagen"	""	""
"CLASS"	"OSLO-OTL-VerhardingFundering"	"Stortsteen"	"{33DEB3E0-D114-4dd8-89FC-B035691760C2}"	"AndereLagen"	""	""	""	"Stortsteen"	"een natuursteen van onregelmatige vorm"	""	"Stortsteen"	"een natuursteen van onregelmatige vorm"	""	""	"false"	"https://data.vlaanderen.be/ns/wegenenverkeerassets#"	"Stortsteen"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/wegenenverkeerassets#AndereLagen"	""	""
"CLASS"	"OSLO-OTL-VerhardingFundering"	"Onderbouw"	"{084ABA64-0354-4040-A3E0-3CF4FE02E870}"	"Laag, LaagDikte"	""	""	""	"Onderbouw"	"Gedeelte van het baanlichaam dat tussen het baanbed en de verharding ligt. Deze omvat onderfundering, fundering en evetueel de straatlaag."	""	"Onderbouw"	"Gedeelte van het baanlichaam dat tussen het baanbed en de verharding ligt. Deze omvat onderfundering, fundering en evetueel de straatlaag."	""	""	"false"	"https://data.vlaanderen.be/ns/wegenenverkeerassets#"	"Onderbouw"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/wegenenverkeerassets#Laag, https://data.vlaanderen.be/ns/wegenenverkeerassets#LaagDikte, https://data.vlaanderen.be/ns/wegenenverkeerassets#ProefAPosterioriOnderbouw"	""	""
"CLASS"	"OSLO-OTL-VerhardingFundering"	"GeplastificeerdeStaaldraad"	"{63DEC7B9-60B7-424c-9961-8A91207FD7D7}"	"AndereLagen"	""	""	""	"Geplastificeerde staaldraad"	"Geplastificieerde staaldraad."	""	"Geplastificeerde staaldraad"	"Geplastificieerde staaldraad."	""	""	"false"	"https://data.vlaanderen.be/ns/wegenenverkeerassets#"	"GeplastificeerdeStaaldraad"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/wegenenverkeerassets#AndereLagen"	""	""
"CLASS"	"OSLO-OTL-VerhardingFundering"	"Schanskorven"	"{D38ED1F9-112E-4553-B1F2-EE919005B1C5}"	"AndereVerhardingen"	""	""	""	"Schanskorven"	"Een schanskorf bestaat uit een metalen gaasnet dat wordt gevuld met steenachtige materialen."	""	"Schanskorven"	"Een schanskorf bestaat uit een metalen gaasnet dat wordt gevuld met steenachtige materialen."	""	""	"false"	"https://data.vlaanderen.be/ns/wegenenverkeerassets#"	"Schanskorven"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/wegenenverkeerassets#AndereVerhardingen"	""	""
"CLASS"	"OSLO-OTL-VerhardingFundering"	"ColloidaalBeton"	"{4D71E5E4-AF25-42fb-8F12-635DD1DD935E}"	"AndereVerhardingen"	""	""	""	"Colloidaal beton"	"Betonspecie voor toepassing onder water, waarvan de samenhang is verbeterd door toevoeging van een waterretentiemiddel"	""	"Colloidaal beton"	"Betonspecie voor toepassing onder water, waarvan de samenhang is verbeterd door toevoeging van een waterretentiemiddel"	""	""	"false"	"https://data.vlaanderen.be/ns/wegenenverkeerassets#"	"ColloidaalBeton"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/wegenenverkeerassets#AndereVerhardingen"	""	""
"CLASS"	"OSLO-OTL-VerhardingFundering"	"LaagProductidentificatiecode"	"{8D480E53-5E7A-48b3-B64E-549B86BF8946}"	""	""	""	""	"Laag productidentificatiecode"	"abstracte productidentificatiecode"	""	"Laag productidentificatiecode"	"abstracte productidentificatiecode"	""	""	"false"	"https://data.vlaanderen.be/ns/wegenenverkeerassets#"	"LaagProductidentificatiecode"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-OTL-VerhardingFundering"	"ArtificieleLagen"	"{3E6084F6-AA3D-421b-B29E-2368565169A6}"	"LaagProductidentificatiecode, Laag, LaagDikte"	""	""	""	"Artificiele lagen"	"abstracte _Artificiële_Lagen"	""	"Artificiele lagen"	"abstracte _Artificiële_Lagen"	""	""	"false"	"https://data.vlaanderen.be/ns/wegenenverkeerassets#"	"ArtificieleLagen"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/wegenenverkeerassets#Laag, https://data.vlaanderen.be/ns/wegenenverkeerassets#LaagDikte, https://data.vlaanderen.be/ns/wegenenverkeerassets#LaagProductidentificatiecode"	""	""
