"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"Applicatieprofiel Vlaamse Codex"	"{1EEA4C4E-943F-467a-99C8-02F40FB973F4}"	""	""	""	""	""	""	""	""	""	""	""	""	"https://data.vlaanderen.be/ns/"	"wetgeving"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Generiek"	"Agent"	"{6B55E266-AF2A-432a-8F0F-F80B5A5A74F2}"	""	""	""	""	"Agent"	"Iemand die of iets dat kan handelen of een effect kan teweeg brengen."	" "	"Agent"	"Iemand die of iets dat kan handelen of een effect kan teweeg brengen."	" "	""	"true"	"http://purl.org/dc/terms/"	"Agent"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Generiek"	"Identificator"	"{D16E0487-960F-423c-83C3-4794D406EFA2}"	""	""	""	""	"Identificator"	"Informatie gebruikt om een object uniek te identificeren. "	"Uitgangspunt hier is dat deze string door een organisatie wordt toegekend en dat dit gebeurt volgens een welbepaald systeem."	"Identificator"	"Informatie gebruikt om een object uniek te identificeren. "	"Uitgangspunt hier is dat deze string door een organisatie wordt toegekend en dat dit gebeurt volgens een welbepaald systeem."	""	"true"	"http://www.w3.org/ns/adms#"	"Identifier"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"Codelijsten"	"TypeRechtsbrononderdeel"	"{CB84CD32-0BE3-4068-A74F-95BE06C4D063}"	""	""	""	""	"Type rechtsbron onderdeel"	"Het type van de subdivsie van de rechtsbron."	""	"Type rechtsbron onderdeel"	"Het type van de subdivsie van de rechtsbron."	""	"https://data.vlaanderen.be/id/conceptscheme/TypeRechtsbrononderdeel"	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"Codelijsten"	"AardWetgeving"	"{582CC952-68A4-41e0-93D2-95EF379221A9}"	""	""	""	""	"aard van de wetgeving"	"Het type van de rechtsbron."	""	"aard van de wetgeving"	"Het type van de rechtsbron."	""	"https://data.vlaanderen.be/id/conceptscheme/AardWetgeving"	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"Applicatieprofiel Vlaamse Codex"	"Rechtsbrononderdeel"	"{8AB13A2B-EF07-45ab-8AC4-06277741D748}"	"Rechtsbron"	""	""	""	"Rechtsbrononderdeel"	"Een onderdeel van een rechtshandeling, op een willekeurig niveau van nauwkeurigheid, zoals een hoofdstuk, een artikel, een alinea, een alinea of een lijstitem."	""	"Rechtsbrononderdeel"	"Een onderdeel van een rechtshandeling, op een willekeurig niveau van nauwkeurigheid, zoals een hoofdstuk, een artikel, een alinea, een alinea of een lijstitem."	""	""	"true"	"http://data.europa.eu/eli/ontology#"	"LegalResourceSubdivision"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.europa.eu/eli/ontology#LegalResource"	""	""
"CLASS"	"Applicatieprofiel Vlaamse Codex"	"Verschijningsvorm"	"{5088725C-DA84-443e-A602-467604D2B54A}"	""	""	""	""	"Verschijningsvorm"	"De intellectuele realisatie van een rechtsbron in de vorm van een ""reeks van tekens"" (meestal alfanumerieke tekens in een juridische context)."	""	"Verschijningsvorm"	"De intellectuele realisatie van een rechtsbron in de vorm van een ""reeks van tekens"" (meestal alfanumerieke tekens in een juridische context)."	""	""	"true"	"http://data.europa.eu/eli/ontology#"	"LegalExpression"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"Applicatieprofiel Vlaamse Codex"	"Rechtsbron"	"{FDE3161F-ADDA-429b-89A8-5B41A6095502}"	""	""	""	""	"Rechtsbron"	"Een legaal concept dat los staat van een bepaalde vorm (het achterliggende idee)."	""	"Rechtsbron"	"Een legaal concept dat los staat van een bepaalde vorm (het achterliggende idee)."	""	""	"true"	"http://data.europa.eu/eli/ontology#"	"LegalResource"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"connector"	""	"ingetrokkenBij"	"{EDFB1E7B-CFC5-47f0-825D-31DCC175DB96}"	""	"Rechtsbron"	"{FDE3161F-ADDA-429b-89A8-5B41A6095502}"	"Rechtsbron"	"ingetrokken bij"	"Geeft aan dat deze bron volledig wordt geannuleerd door een andere bron."	""	"ingetrokken bij"	"Geeft aan dat deze bron volledig wordt geannuleerd door een andere bron."	""	""	"false"	"https://data.vlaanderen.be/ns/wetgeving#"	"ingetrokkenBij"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://data.europa.eu/eli/ontology#LegalResource"	"http://data.europa.eu/eli/ontology#LegalResource"	"http://data.europa.eu/eli/ontology#repealed_by"	"0"	"*"
"connector"	""	"vervangt"	"{4925CD2A-5DFB-46d8-B5C3-762B4FDA95B1}"	""	"Rechtsbron"	"{FDE3161F-ADDA-429b-89A8-5B41A6095502}"	"Rechtsbron"	"vervangt"	"Geeft aan dat deze bron een andere volledig vernieuwt."	""	"vervangt"	"Geeft aan dat deze bron een andere volledig vernieuwt."	""	""	"false"	"https://data.vlaanderen.be/ns/wetgeving#"	"vervangt"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://data.europa.eu/eli/ontology#LegalResource"	"http://data.europa.eu/eli/ontology#LegalResource"	"http://data.europa.eu/eli/ontology#repeals"	"0"	"*"
