"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"TIOD-Leuven"	"{E7912694-5C1F-4cd4-AEAC-CA4774BB5DF8}"	""	""	""	""	""	""	""	""	""	""	""	""	"https://data.leuven.be/ns/"	"tiod"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Mobiliteit"	"Inname"	"{D2D45131-180D-4a10-B21B-0BDF7BD2AF9A}"	""	""	""	""	"Inname"	"Een tijdelijke activiteit die een bepaalde ruimte inneemt,met gevolgen voor het openbaar domein of privédomein met openbaar karakter."	""	"Inname"	"Een tijdelijke activiteit die een bepaalde ruimte inneemt,met gevolgen voor het openbaar domein of privédomein met openbaar karakter."	""	""	"true"	"https://data.vlaanderen.be/ns/mobiliteit#"	"Inname"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Besluit"	"Innamevergunning"	"{30126DB1-030C-4e2a-B626-C4A0C62C9016}"	"Vergunning"	""	""	""	"Innamevergunning"	"De vergunning voor het tijdelijk in gebruik nemen van het openbaar domein."	""	"Innamevergunning"	"De vergunning voor het tijdelijk in gebruik nemen van het openbaar domein."	""	""	"true"	"http://data.vlaanderen.be/ns/besluit#"	"Innamevergunning"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/besluit#Vergunning"	""	""
"CLASS"	"OSLO-Besluit"	"Vergunning"	"{5E81ECBA-A7A0-4f97-A911-C54E9422F654}"	""	""	""	""	"Vergunning"	"Een toelating om in een bepaalde tijdspanne een bepaalde activiteit uit te voeren die anders verboden is."	""	"Vergunning"	"Een toelating om in een bepaalde tijdspanne een bepaalde activiteit uit te voeren die anders verboden is."	""	""	"true"	"http://data.vlaanderen.be/ns/besluit#"	"Vergunning"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/besluit#Besluit"	""	""
"CLASS"	"OSLO-Mobiliteit"	"Zone"	"{C9B9F460-3F63-4bb4-AA3A-F42413F93EF2}"	""	""	""	""	"Zone"	"Ruimtelijk gebied"	""	"Zone"	"Ruimtelijk gebied"	""	""	"true"	"https://data.vlaanderen.be/ns/mobiliteit#"	"Zone"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Generiek"	"Geometrie"	"{A26CF520-3F07-470f-8B30-AEAE507ED57A}"	""	""	""	""	"Geometrie"	""	""	"Geometrie"	"TODO"	""	""	"true"	"http://www.w3.org/ns/locn#"	"Geometry"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"TIOD-Leuven"	"Aanvrager"	"{DAC8CDCE-D863-455a-8384-2A5B199F3BF7}"	""	""	""	""	"Aanvrager"	"Agent die de Inname aanvraagt."	""	"Aanvrager"	"Agent die de Inname aanvraagt."	""	""	"false"	"https://data.leuven.be/ns/tiod#"	"Aanvrager"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://purl.org/dc/terms/Agent"	""	""
"CLASS"	"TIOD-Leuven"	"Beheerder"	"{289BDE83-5182-4b9e-A0FB-BA61C70400C3}"	""	""	""	""	"Beheerder"	"Agent die de Vergunning beheert."	""	"Beheerder"	"Agent die de Vergunning beheert."	""	""	"false"	"https://data.leuven.be/ns/tiod#"	"Beheerder"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://purl.org/dc/terms/Agent"	""	""
"ENUMERATION"	"OSLO-Besluit"	"Innametype"	"{4B900F42-6827-4ac4-A1BC-176A36CB472D}"	""	""	""	""	""	""	""	""	"TODO"	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Generiek"	"Periode"	"{ECE8AF45-73B2-4f80-BB2C-CB9DF9E4D36E}"	""	""	""	""	"Periode"	"De tijdsperiode tussen twee momenten in de tijd."	""	"Periode"	"De tijdsperiode tussen twee momenten in de tijd."	""	""	"true"	"http://data.europa.eu/m8g/"	"PeriodOfTime"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Mobiliteit"	"Zonetype"	"{B687FCDF-4A34-4ec4-8A42-B10155B59DF9}"	""	""	""	""	""	""	""	""	"TODO"	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"attribute"	"OSLO-Mobiliteit"	"adresVoorstelling"	"{06F36E90-D9F3-40f6-97F1-1BF04CDD810E}"	""	"Inname"	"{D2D45131-180D-4a10-B21B-0BDF7BD2AF9A}"	"Adresvoorstelling"	"adresvoorstelling"	"Hiermee wordt bedoeld dat de inname in de buurt van dit adres doorgaat, bijvoorbeeld voor een put aan de straatkant."	""	"adresvoorstelling"	"Hiermee wordt bedoeld dat de inname in de buurt van dit adres doorgaat, bijvoorbeeld voor een put aan de straatkant."	""	""	"true"	"http://www.w3.org/ns/locn#"	"address"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"https://data.vlaanderen.be/ns/mobiliteit#Inname"	"http://www.w3.org/ns/locn#Address"	""	"0"	"*"
