"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-AWV_Object"	"{59B23BC7-F258-4405-897B-5BBD10DF6798}"	""	""	""	""	""	""	""	""	""	""	""	""	"http://"	"fixme.com"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"Profielelement"	"{7E2EF56D-D920-42ef-B5F4-CE53FEE9627B}"	"AWVObject"	""	""	""	"Profielelement"	"Geprefabriceerd element dat besstaat uit al dan niet gewapende betonelementen die,
samengevoegd, een doorlopend open kanaal vormen."	""	"Profielelement"	"Geprefabriceerd element dat besstaat uit al dan niet gewapende betonelementen die,
samengevoegd, een doorlopend open kanaal vormen."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#"	""	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#"	""	""
"CLASS"	"OSLO-Onderdeel"	"Oeverrol"	"{188FA92E-2D91-48e4-8170-D57364286B08}"	"AWVObject"	""	""	""	"Oeverrol"	"Een oeverrol is samenvoeging van vezelstoffen tot een cilindrische structuur en wordt onder water aan de teen van een watergang geplaatst met als doel de oever of talud te verstevigen door de vergroeiing met de wortels van de oeverplanten."	""	"Oeverrol"	"Een oeverrol is samenvoeging van vezelstoffen tot een cilindrische structuur en wordt onder water aan de teen van een watergang geplaatst met als doel de oever of talud te verstevigen door de vergroeiing met de wortels van de oeverplanten."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#"	""	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#"	""	""
"CLASS"	"OSLO-Installatie"	"TeenOnderwatertalud"	"{6BAF2B53-1000-42d9-B3D8-129D5D361966}"	"AWVObject"	""	""	""	"Teenonderwatertalud"	"Snijlijn van een taludvlak met het bodemvlak."	""	"Teenonderwatertalud"	"Snijlijn van een taludvlak met het bodemvlak."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/installatie#"	""	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#"	""	""
"CLASS"	"OSLO-Abstracten"	"Bovenrand_onderwatertalud"	"{F37AB3D0-4593-47c5-8286-AEC1C2B9A6B5}"	"AWVObject"	""	""	""	"Bovenrand onderwatertalud"	"Het peil van de waterloop bij gemiddelde hoogwaterstand."	""	"Bovenrand onderwatertalud"	"Het peil van de waterloop bij gemiddelde hoogwaterstand."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#"	""	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#"	""	""
"CLASS"	"OSLO-Abstracten"	"Waterlooptalud"	"{5BF3FAD5-11AE-46fc-AD65-A093E0061FDB}"	"AWVObject"	""	""	""	"Bovenrandonderwatertalud"	"De zijkanten van de waterloop."	""	"Bovenrandonderwatertalud"	"De zijkanten van de waterloop."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#"	""	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#"	""	""
"CLASS"	"OSLO-Abstracten"	"Waterloopbodem"	"{BC2C1985-71F9-4da1-AEB8-3B3750874542}"	"AWVObject"	""	""	""	"Waterloopbodem"	"Het (theoretisch) horizontale vlak van de bedding."	""	"Waterloopbodem"	"Het (theoretisch) horizontale vlak van de bedding."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#"	""	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#, https://wegenenverkeer.data.vlaanderen.be/ns/proefenmeting#"	""	""
"CLASS"	"OSLO-Onderdeel"	"Taludinsteek"	"{F74A32D2-B63A-4d33-94C2-996542FCF09B}"	"AWVObject"	""	""	""	"Taludinsteek"	"Snijlijn van het maaiveld met een waterlooptalud."	""	"Taludinsteek"	"Snijlijn van het maaiveld met een waterlooptalud."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#"	""	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#"	""	""
"CLASS"	"OSLO-Abstracten"	"Betuining"	"{C3571288-0624-42a9-828D-A08D7EB1079A}"	"AWVObject"	""	""	""	"Betuining"	"Een lijnvormig element die de stabiliteit van de teen van het onderwatertalud verzekert."	""	"Betuining"	"Een lijnvormig element die de stabiliteit van de teen van het onderwatertalud verzekert."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#"	""	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#"	""	""
"CLASS"	"OSLO-Abstracten"	"Plasberm"	"{F1D58034-581D-4140-BB68-155DBB5FAA71}"	"AWVObject"	""	""	""	"Plasberm"	"Een plasberm is een onderdeel van de bedding van de waterloop waarvan het bodempeil onder de waterlijn ligt."	""	"Plasberm"	"Een plasberm is een onderdeel van de bedding van de waterloop waarvan het bodempeil onder de waterlijn ligt."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#"	""	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#"	""	""
