"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Brandleiding"	"{F1BC036A-CA1B-4084-B195-31C1D9192EA6}"	""	""	""	""	""	""	""	""	""	""	""	""	"http://"	"fixme.com"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"VulpuntBrandweer"	"{16CB4BDA-5F30-4e9a-B430-D7FBED0B1541}"	"Brandvoorziening"	""	""	""	"vulpunt brandweer"	"Klep in de brandleiding waar een vulwagen van de brandweer het debiet van de brandleiding kan verhogen door water toe voegen."	""	"vulpunt brandweer"	"Klep in de brandleiding waar een vulwagen van de brandweer het debiet van de brandleiding kan verhogen door water toe voegen."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"VulpuntBrandweer"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Brandvoorziening"	""	""
"CLASS"	"OSLO-Onderdeel"	"StuurklepBrandleiding"	"{E26C10B1-9948-483b-8425-E8482C2F1D21}"	"Brandvoorziening"	""	""	""	"stuurklep brandleiding"	"Een afsluiter die vanop afstand bediend wordt om te verhinderen dat er water in de leidnig blijft staan."	""	"stuurklep brandleiding"	"Een afsluiter die vanop afstand bediend wordt om te verhinderen dat er water in de leidnig blijft staan."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"StuurklepBrandleiding"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Brandvoorziening"	""	""
"CLASS"	"OSLO-Onderdeel"	"OntluchterBrandleiding"	"{210958F3-3323-45d8-8E19-23567B7016C3}"	"Brandvoorziening"	""	""	""	"ontluchter brandleiding"	"Klep in de brandleiding die toelaat de leiding te ontluchten bij een droge blusleiding."	""	"ontluchter brandleiding"	"Klep in de brandleiding die toelaat de leiding te ontluchten bij een droge blusleiding."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"OntluchterBrandleiding"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Brandvoorziening"	""	""
"CLASS"	"OSLO-Abstracten"	"Brandvoorziening"	"{811EE1B7-088A-434d-BA16-9C32CB222B81}"	""	""	""	""	"Verwarmd linkend element"	"Abstracte voor linkende elementen die voorzien kunnen worden van verwarming om hun werkzaamheid in extreme omstandigheden te garanderen."	""	"Verwarmd linkend element"	"Abstracte voor linkende elementen die voorzien kunnen worden van verwarming om hun werkzaamheid in extreme omstandigheden te garanderen."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"Brandvoorziening"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AIMNaamObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"Persleiding"	"{DD261B7C-088B-43b7-A3BB-116968D4A8B8}"	"Buis"	""	""	""	"Persleiding"	"Ondergronds kanaal of pijp voor afvoer van water onder druk."	""	"Persleiding"	"Ondergronds kanaal of pijp voor afvoer van water onder druk."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Persleiding"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Buis"	""	""
"CLASS"	"OSLO-Abstracten"	"Buis"	"{109B9A6C-E5A5-43f3-B463-6E4AE80A19AF}"	""	""	""	""	"Buis"	"Abstracte om de gemeenschappelijke eigenschappen en relaties van de verschillende soorten buizen onder één noemer te houden."	""	"Buis"	"Abstracte om de gemeenschappelijke eigenschappen en relaties van de verschillende soorten buizen onder één noemer te houden."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"Buis"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AIMObject"	""	""
"CLASS"	"OSLO-Abstracten"	"LinkendElement"	"{BBFAE0F1-4CE1-482d-8EFF-E4AE46242E0E}"	""	""	""	""	"Linkend element"	"Abstracte bedoeld om alle eigenschappen en relaties van linkende elementen te groeperen. Linkende elementen zijn objecten die aansluiten op een buis."	""	"Linkend element"	"Abstracte bedoeld om alle eigenschappen en relaties van linkende elementen te groeperen. Linkende elementen zijn objecten die aansluiten op een buis."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"LinkendElement"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AIMObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"Drukverhogingsgroep"	"{1F8FDB31-CC3D-470e-89BF-6762203A1685}"	"Brandvoorziening"	""	""	""	"Drukverhogingsgroep"	"Onderdeel dat de druk van het aangevoerde water regelt."	""	"Drukverhogingsgroep"	"Onderdeel dat de druk van het aangevoerde water regelt."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Drukverhogingsgroep"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Brandvoorziening"	""	""
"CLASS"	"OSLO-Onderdeel"	"Brandleiding"	"{DD4332CE-158B-47e2-8969-61E83A14E29D}"	"Persleiding"	""	""	""	"Brandleiding"	"Segment uit de leiding die water aanvoert voor het blussen van een brand."	""	"Brandleiding"	"Segment uit de leiding die water aanvoert voor het blussen van een brand."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Brandleiding"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#Persleiding"	""	""
"CLASS"	"OSLO-Onderdeel"	"Stroomkring"	"{B8871150-5416-447f-9F27-97E0BDF48EE3}"	""	""	""	""	"Stroomkring"	"Ook wel vertrek of vertrekkende kabel genoemd. Afgezekerde elektrische geleiders waarmee de applicaties voorzien worden van de nodige voeding"	""	"Stroomkring"	"Ook wel vertrek of vertrekkende kabel genoemd. Afgezekerde elektrische geleiders waarmee de applicaties voorzien worden van de nodige voeding"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Stroomkring"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AIMNaamObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"Brandhaspel"	"{C7FB8471-F220-458d-9E85-F2B0DB7BA3D9}"	"Brandvoorziening"	""	""	""	"Brandhaspel"	"Een brandslag met spuitmond,opgerold op een haspel."	""	"Brandhaspel"	"Een brandslag met spuitmond,opgerold op een haspel."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Brandhaspel"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Brandvoorziening"	""	""
"CLASS"	"OSLO-Onderdeel"	"IOKaart"	"{56D9765A-BDD5-42d5-AB29-BE7C8EA9CCB7}"	""	""	""	""	"IO-Kaart"	"Een kaart of module die gebruikt wordt voor de ingang of uitgang van een verwerkingseenheid (bv. een PLC). Op de IO-kaart worden perifere toestellen en sensoren aangesloten."	""	"IO-Kaart"	"Een kaart of module die gebruikt wordt voor de ingang of uitgang van een verwerkingseenheid (bv. een PLC). Op de IO-kaart worden perifere toestellen en sensoren aangesloten."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"IOKaart"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AIMObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"Verwarmingslint"	"{65623259-2078-4947-8F4C-C52FFCBD0EFA}"	""	""	""	""	"Verwarmingslint"	"Verwarmbare omwikkeling voor onderdelen die moeten beschermd worden tegen bevriezing."	""	"Verwarmingslint"	"Verwarmbare omwikkeling voor onderdelen die moeten beschermd worden tegen bevriezing."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Verwarmingslint"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AIMObject"	""	""
