"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Complexe-datatypes"	"{063EBBB9-B445-47ba-A5B8-1C3328834A62}"	""	""	""	""	""	""	""	""	""	""	""	""	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/complexe-datatypes/ontwerpdocument/"	"alt"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"DATATYPE"	"OSLO²-Generiek"	"DtcKwantitatieveWaarde"	"{8A625681-DAB0-4668-B9DA-E3C6F3051773}"	""	""	""	""	"Kwantitatieve waarde"	"Complex datatype voor kwantitatieve waarde. Bij kwantitatieve waarden gaat het om meetbare gegevens, zoals bv.temperatuur, snelheid of gewicht."	""	"Kwantitatieve waarde"	"Complex datatype voor kwantitatieve waarde. Bij kwantitatieve waarden gaat het om meetbare gegevens, zoals bv.temperatuur, snelheid of gewicht."	""	""	"true"	"https://data.vlaanderen.be/ns/generiek#"	"KwantitatieveWaarde"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Waterlopen"	"DtcBetuiningHout"	"{84FB40D4-1069-40d5-A349-3C53672AB793}"	""	""	""	""	"Plankenbetuining hout"	"Complex datatype voor een houten plankenbetuining of damwandbetuining."	""	"Plankenbetuining hout"	"Complex datatype voor een houten plankenbetuining of damwandbetuining."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/waterlopen/ontwerpdocument/alt#"	"DtcBetuiningHout"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Waterlopen"	"DtcBetuiningGerecycleerd"	"{CDDA3D77-BCD3-4ae6-9070-C8D314D0FDB8}"	""	""	""	""	"Plankenbetuining gerecycleerd"	"Complex datatype voor een gerecycleerde plankenbetuining of damwandbetuining."	""	"Plankenbetuining gerecycleerd"	"Complex datatype voor een gerecycleerde plankenbetuining of damwandbetuining."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/waterlopen/ontwerpdocument/alt#"	"DtcBetuiningGerecycleerd"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Waterlopen"	"DtcBetuiningBeton"	"{A306ECFE-9719-4cbd-B447-9A05DD983FA4}"	""	""	""	""	"Betuining van beton"	"Complex datatype voor een betonnen plankenbetuining of damwandbetuing."	""	"Betuining van beton"	"Complex datatype voor een betonnen plankenbetuining of damwandbetuing."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/waterlopen/ontwerpdocument/alt#"	"DtcBetuiningBeton"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Verhardingen-funderingen"	"DtcProfileerlaag"	"{4156EA7B-58B0-4543-A5B0-810355CC6011}"	""	""	""	""	"Profileerlaag"	"Complex datatype om extra informatie te capteren van de profilerende laag."	""	"Profileerlaag"	"Complex datatype om extra informatie te capteren van de profilerende laag."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/verhardingen-funderingen/ontwerpdocument/alt#"	"DtcProfileerlaag"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Vegetatie"	"DtcVegetatieSoortnaam"	"{10C9D2C4-EA68-4094-B41F-5421A8B495FB}"	""	""	""	""	"Vegetatie soortnaam"	"Complex datatype voor de soortnaam van een begroeiing."	""	"Vegetatie soortnaam"	"Complex datatype voor de soortnaam van een begroeiing."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/vegetatie/ontwerpdocument/alt#"	"DtcVegetatieSoortnaam"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Vegetatie"	"DtcHoutigeAanleg"	"{6DEFDE50-304C-4764-891E-57F35C17C9BB}"	""	""	""	""	"Houtige aanleg"	"De eigenschappen als complex datatype die de aanleg van houtige vegetatie beschrijft."	""	"Houtige aanleg"	"De eigenschappen als complex datatype die de aanleg van houtige vegetatie beschrijft."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/vegetatie/ontwerpdocument/alt#"	"DtcHoutigeAanleg"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Vegetatie"	"DtcBoomtoestand"	"{4CAF736F-DA20-4245-BC08-463B541BF157}"	""	""	""	""	"Boomtoestand"	"De toestand als complex datatype van een boom."	""	"Boomtoestand"	"De toestand als complex datatype van een boom."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/vegetatie/ontwerpdocument/alt#"	"DtcBoomtoestand"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/proeven-metingen/ontwerpdocument/alt#ProefBoomtoestand"	""	""
"DATATYPE"	"OSLO-Vegetatie"	"DtcSierbeplAanleg"	"{B5B62DE7-18C8-423e-87C2-C61EB9CD5220}"	""	""	""	""	"Sierbeplanting aanleg"	"De eigenschappen als complex datatype die de aanleg van sierbeplanting beschrijft."	""	"Sierbeplanting aanleg"	"De eigenschappen als complex datatype die de aanleg van sierbeplanting beschrijft."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/vegetatie/ontwerpdocument/alt#"	"DtcSierbeplAanleg"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Signalisatie"	"DtcOverlangsemarkeringOnderbroken"	"{83C21A58-8C5D-40c8-BBA9-CC94A8367BA0}"	""	""	""	""	"Overlangsemarkering onderbroken"	"Complex datatype voor een onderbroken overlangse markering."	""	"Overlangsemarkering onderbroken"	"Complex datatype voor een onderbroken overlangse markering."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/signalisatie/ontwerpdocument/alt#"	"DtcOverlangsemarkeringOnderbroken"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Signalisatie"	"DtcOverlangsemarkeringDoorlopend"	"{0EB8B25B-B3F6-4fc7-BD85-4C1F9AE30925}"	""	""	""	""	"Overlangsemarkering doorlopend"	"Complex datatype voor een doorlopende overlangse markering."	""	"Overlangsemarkering doorlopend"	"Complex datatype voor een doorlopende overlangse markering."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/signalisatie/ontwerpdocument/alt#"	"DtcOverlangsemarkeringDoorlopend"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Signalisatie"	"DtcDiamantkoppaal"	"{09537EF1-4583-4be6-B386-3894BB373104}"	""	""	""	""	"Diamantkoppaal"	"Complex datatype voor een diamantkoppaal."	""	"Diamantkoppaal"	"Complex datatype voor een diamantkoppaal."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/signalisatie/ontwerpdocument/alt#"	"DtcDiamantkoppaal"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
