"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Dynamische-borden"	"{F16E19F9-62E3-4978-B104-48F55A430E99}"	""	""	""	""	""	""	""	""	""	""	""	""	"http://"	"fixme.com"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"Poort"	"{FC27E283-3B8E-4b64-A8E6-16D40BE3B1EF}"	""	""	""	""	"Poort"	"Is de ingang van het toestel samen met component die erop zit bv. SFP, XFP, ...
"	""	"Poort"	"Is de ingang van het toestel samen met component die erop zit bv. SFP, XFP, ...
"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Poort"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"Netwerkelement"	"{2E80EBBF-F03C-42b1-9936-7A94910F6F7E}"	""	""	""	""	"Netwerkelement"	""	""	"Netwerkelement"	"TODO"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Netwerkelement"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Abstracten"	"BekledingComponent"	"{3C951E52-66AE-44b9-9955-0BA373F8483F}"	""	""	""	""	"Bekleding component"	""	""	"Bekleding component"	"TODO"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"BekledingComponent"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Abstracten"	"ConstructieElement"	"{917FBCD6-FAE5-4b0a-94ED-2D7B8053BE7C}"	""	""	""	""	"Constructie element"	"Abstracte voor de verschillende constructie elementen."	""	"Constructie element"	"Abstracte voor de verschillende constructie elementen."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"ConstructieElement"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"Zeebrugge"	"{3DB2024E-1EF0-411b-B715-F765BB9652D0}"	"LEDBordExclZ30"	""	""	""	"Zeebrugge"	""	""	"Zeebrugge"	"TODO"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Zeebrugge"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#LEDBordExclZ30"	""	""
"CLASS"	"OSLO-Onderdeel"	"PKBord"	"{382646EC-A956-4017-931F-EC09B0F91CE5}"	"LEDBordExclZ30"	""	""	""	"P k bord"	""	""	"P k bord"	"TODO"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"PKBord"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#LEDBordExclZ30"	""	""
"CLASS"	"OSLO-Onderdeel"	"VMSBord"	"{0BA6FC15-693F-4a05-B42B-2AEA98CD8768}"	"LEDBordExclZ30"	""	""	""	"V m s bord"	""	""	"V m s bord"	"TODO"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"VMSBord"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#LEDBordExclZ30"	""	""
"CLASS"	"OSLO-Onderdeel"	"RVMSBord"	"{98097D6C-5777-4bc5-99DB-726A029B58F1}"	"LEDBordExclZ30"	""	""	""	"R v m s bord"	""	""	"R v m s bord"	"TODO"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"RVMSBord"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#LEDBordExclZ30"	""	""
"CLASS"	"OSLO-Onderdeel"	"Debolle"	"{BAFF74AC-172F-4dab-9A9D-D03E3FEA0350}"	"LEDBordExclZ30"	""	""	""	"Debolle"	""	""	"Debolle"	"TODO"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Debolle"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#LEDBordExclZ30"	""	""
"CLASS"	"OSLO-Onderdeel"	"RSSBord"	"{B678A739-1585-46fa-A7E3-D04FCFC01685}"	"LEDBordExclZ30"	""	""	""	"R s s bord"	""	""	"R s s bord"	"TODO"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"RSSBord"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#LEDBordExclZ30"	""	""
"CLASS"	"OSLO-Abstracten"	"LEDBordType"	"{00E39381-6075-451e-AF85-72938A696AD0}"	""	""	""	""	"LED-bord type"	""	""	"LED-bord type"	"TODO"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"LEDBordType"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Abstracten"	"LEDBordExclZ30"	"{30D8DAD3-4B69-42d6-91EC-803D75A9808D}"	"LEDBordToegang"	""	""	""	"LED-bord excl z30"	""	""	"LED-bord excl z30"	"TODO"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"LEDBordExclZ30"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#LEDBordToegang"	""	""
"CLASS"	"OSLO-Abstracten"	"SoftwareToegang"	"{7E20EC09-A2A2-4c6f-B816-FE265A38B393}"	""	""	""	""	"Software toegang"	""	""	"Software toegang"	"TODO"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"SoftwareToegang"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"Stroomkring"	"{9E56032E-DD28-4ef8-8DCF-FF35647F878A}"	""	""	""	""	"Stroomkring"	"Ook wel vertrek of vertrekkende kabel genoemd. Afgezekerde elektrische geleiders waarmee de applicaties voorzien worden van de nodige voeding"	""	"Stroomkring"	"Ook wel vertrek of vertrekkende kabel genoemd. Afgezekerde elektrische geleiders waarmee de applicaties voorzien worden van de nodige voeding"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Stroomkring"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Abstracten"	"Draagconstructie"	"{C1093B52-E90F-4b82-A3D3-DB7D8AAE1271}"	""	""	""	""	"Draagconstructie"	"Abstracte voor alle draagconstructies."	""	"Draagconstructie"	"Abstracte voor alle draagconstructies."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"Draagconstructie"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"HoogtedetectieN60"	"{C89BB8E8-90F2-4c58-B5A9-E6F4A0EAE1E8}"	""	""	""	""	"Hoogtedetectie n60"	""	""	"Hoogtedetectie n60"	"TODO"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"HoogtedetectieN60"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"DebolleType"	"{6E0915CA-0246-4203-A2AF-F5CD96D13C1A}"	"LEDBordType"	""	""	""	"Debolle type"	"dynamische borden in Oostende De Bolle om het verkeer te managen rond de beweegbare bruggen"	""	"Debolle type"	"dynamische borden in Oostende De Bolle om het verkeer te managen rond de beweegbare bruggen"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"DebolleType"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#LEDBordType"	""	""
"CLASS"	"OSLO-Onderdeel"	"Z30Bord"	"{2DBA9F56-9737-4402-B442-14ADEC5DEFF2}"	"LEDBordToegang"	""	""	""	"Z30 bord"	""	""	"Z30 bord"	"TODO"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Z30Bord"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#LEDBordToegang"	""	""
"CLASS"	"OSLO-Onderdeel"	"ZeebruggeType"	"{E7FF19E6-793D-415c-A2B6-B49CCBFE5BC0}"	"LEDBordType"	""	""	""	"Zeebrugge type"	""	""	"Zeebrugge type"	"TODO"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"ZeebruggeType"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#LEDBordType"	""	""
"CLASS"	"OSLO-Onderdeel"	"PKBordType"	"{7CF23C22-B6DF-4091-8F2A-EA0ED5217BAB}"	"LEDBordType"	""	""	""	"PK bord type"	"Pijl/Kruis borden"	""	"PK bord type"	"Pijl/Kruis borden"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"PKBordType"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#LEDBordType"	""	""
