"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Ecologische-maatregelen"	"{1105CEF2-95A6-4e7b-A77D-4CBC3BF328E9}"	""	""	""	""	""	""	""	""	""	""	""	""	"http://"	"fixme.com"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Abstracten"	"ComplexeGeleiding"	"{A80860BB-CB2D-4fa7-97F4-AE3A2BF3787F}"	"Geleiding"	""	""	""	"Complexe geleiding"	"Een Abstracte die de SluitAanOp relatie mogelijk van voor de samenstellende onderdelen van een complexere geleiding."	""	"Complexe geleiding"	"Een Abstracte die de SluitAanOp relatie mogelijk van voor de samenstellende onderdelen van een complexere geleiding."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"ComplexeGeleiding"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Geleiding"	""	""
"CLASS"	"OSLO-Abstracten"	"AanlegBoomvorm"	"{E44C2124-A417-4f21-9E72-F0F0A56F39A9}"	""	""	""	""	"Aanleg boomvorm"	"Abstracte om alle gemeenschappelijke eigenschappen en relaties van de aanleg van een boomvorm onder 1 noemer te houden."	""	"Aanleg boomvorm"	"Abstracte om alle gemeenschappelijke eigenschappen en relaties van de aanleg van een boomvorm onder 1 noemer te houden."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"AanlegBoomvorm"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#VegetatieElement"	""	""
"CLASS"	"OSLO-Abstracten"	"Draagconstructie"	"{E7914198-5433-440f-981E-CF1FFDEBD085}"	""	""	""	""	"Draagconstructie"	"Abstracte voor alle draagconstructies."	""	"Draagconstructie"	"Abstracte voor alle draagconstructies."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"Draagconstructie"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"WWSvlakdetectie"	"{C05D26C4-B2DA-40ff-BD49-5637B0730C70}"	"WWSdetectie"	""	""	""	"Vlakdetectie"	"De vlakdetectie screent op een ruimere zone passerende dieren via sensoren."	""	"Vlakdetectie"	"De vlakdetectie screent op een ruimere zone passerende dieren via sensoren."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"WWSvlakdetectie"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#WWSdetectie"	""	""
"CLASS"	"OSLO-Onderdeel"	"WWSlijndetectie"	"{A2F0CF32-EBF7-4b35-A426-FD7A63FBD6ED}"	"WWSdetectie"	""	""	""	"Lijndetectie"	"De lijndetectie stuurt een systeem in werking als een infraroodstraal wordt onderbroken."	""	"Lijndetectie"	"De lijndetectie stuurt een systeem in werking als een infraroodstraal wordt onderbroken."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"WWSlijndetectie"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#WWSdetectie"	""	""
"CLASS"	"OSLO-Abstracten"	"WWSdetectie"	"{45873F43-F0DC-46e5-BB1F-9CD5A96DADFE}"	""	""	""	""	"Wildwaarschuwingsdetectie"	"Abstracte voor het wildwaarschuwingsdetectie systeem."	""	"Wildwaarschuwingsdetectie"	"Abstracte voor het wildwaarschuwingsdetectie systeem."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"WWSdetectie"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AIMObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"WWSsluis"	"{8C2EF1EF-C994-4e8a-8E6A-C37894D24D75}"	""	""	""	""	"Wildwaarschuwingssluis"	"Een onderbreking in het ecoraster waar een wildwaarschuwingssysteem is geïnstalleerd zodoende de voertuigen te waarschuwen voor overstekende dieren."	""	"Wildwaarschuwingssluis"	"Een onderbreking in het ecoraster waar een wildwaarschuwingssysteem is geïnstalleerd zodoende de voertuigen te waarschuwen voor overstekende dieren."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"WWSsluis"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AIMObject"	""	""
"CLASS"	"OSLO-Installatie"	"Gronddam"	"{32F089A6-4E2A-4382-BC05-40D104965A16}"	""	""	""	""	"Gronddam"	"Gronddammen zijn trapeziumvormige constructies bestaande uit zand,grond of steenachtige materialen. De onderkant van de gronddam wordt direct op het bestaand maaiveld aangebracht of op een vooraf aangebrachte grondverbetering."	""	"Gronddam"	"Gronddammen zijn trapeziumvormige constructies bestaande uit zand,grond of steenachtige materialen. De onderkant van de gronddam wordt direct op het bestaand maaiveld aangebracht of op een vooraf aangebrachte grondverbetering."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/installatie#"	"Gronddam"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AIMObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"Seinbrug"	"{A309238B-2D6A-4320-AB49-EEC285E800E5}"	""	""	""	""	"Seinbrug"	"Metalen constructie bestaande uit 2 of meer verticale steunen met voetplaat en uit een enkele of een dubbel uitgevoerde horizontale dwarsverbinding,allen kokervormig met rechthoekige doorsnede. Ook wel portiek of portaal genoemd"	""	"Seinbrug"	"Metalen constructie bestaande uit 2 of meer verticale steunen met voetplaat en uit een enkele of een dubbel uitgevoerde horizontale dwarsverbinding,allen kokervormig met rechthoekige doorsnede. Ook wel portiek of portaal genoemd"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Seinbrug"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#VRIDraagConstructie"	""	""
