"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Eenvoudige-datatypes"	"{DBF05509-7EE0-432e-B048-9D89E971FC6A}"	""	""	""	""	""	""	""	""	""	""	""	""	"http://"	"fixme.com"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"DATATYPE"	"OSLO-Implementatieelement"	"KwantWrdInKiloNewtonPerVierkanteMeter"	"{4034048F-C399-41d4-B048-C8A54B5049AC}"	""	""	""	""	"Kwantitatieve waarde in kN per vierkante meter"	"Een kwantitatieve waarde die een getal in KiloNewton per vierkante meter uitdrukt."	""	"Kwantitatieve waarde in kN per vierkante meter"	"Een kwantitatieve waarde die een getal in KiloNewton per vierkante meter uitdrukt."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#"	"KwantWrdInKiloNewtonPerVierkanteMeter"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Implementatieelement"	"DteIPv4Adres"	"{8D2FA01C-0286-473c-95E6-4D214A93B258}"	""	""	""	""	"IPv4-adres"	"Beschrijft een ip-adres volgens de ipv4 specificatie."	""	"IPv4-adres"	"Beschrijft een ip-adres volgens de ipv4 specificatie."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#"	"DteIPv4Adres"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"W3-XML-Schema"	"Time"	"{5C768B99-2459-43a8-A4EB-B33E41CE5310}"	""	""	""	""	"Tijd"	"Beschrijft een tijd volgens http://www.w3.org/2001/XMLSchema#time"	"https://www.w3.org/TR/xmlschema-2/#time"	"Tijd"	"Beschrijft een tijd volgens http://www.w3.org/2001/XMLSchema#time"	""	""	"true"	"http://www.w3.org/2001/XMLSchema#"	"time"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"W3-RDF-Schema"	"Literal"	"{A5EFCD8C-F059-4fe8-8044-FBB2A0B68AFF}"	""	""	""	""	"Literal"	"Beschrijft een constante."	"http://www.w3.org/2000/01/rdf-schema#Literal"	"Literal"	"Beschrijft een constante."	""	""	"true"	"http://www.w3.org/2000/01/rdf-schema#"	"Literal"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Implementatieelement"	"KwantWrdInKubiekeMeter"	"{DD8F4A12-E63D-4c1a-9EB4-9F36965EF80A}"	""	""	""	""	"Kwantitatieve waarde in kubieke meter"	"Een kwantitatieve waarde die een getal in kubieke meter uitdrukt."	""	"Kwantitatieve waarde in kubieke meter"	"Een kwantitatieve waarde die een getal in kubieke meter uitdrukt."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#"	"KwantWrdInKubiekeMeter"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Implementatieelement"	"KwantWrdInInch"	"{A3DF52BF-592D-452e-AB34-7E186015C072}"	""	""	""	""	"Kwantitatieve waarde in inch"	"Een kwantitatieve waarde die een getal in inches uitdrukt."	""	"Kwantitatieve waarde in inch"	"Een kwantitatieve waarde die een getal in inches uitdrukt."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#"	"KwantWrdInInch"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Implementatieelement"	"KwantWrdInBar"	"{C10E0F38-FE4D-470b-9CC0-4D65AA04ADDC}"	""	""	""	""	"Kwantitatieve waarde in bar"	"Een kwantitatieve waarde die een getal in bar uitdrukt."	""	"Kwantitatieve waarde in bar"	"Een kwantitatieve waarde die een getal in bar uitdrukt."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#"	"KwantWrdInBar"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Implementatieelement"	"KwantWrdInWatt"	"{EFD63993-CDA4-461d-89D3-FA918CB11AF5}"	""	""	""	""	"Kwantitatieve waarde in Watt"	"Een kwantitatieve waarde die een getal in Watt uitdrukt."	""	"Kwantitatieve waarde in Watt"	"Een kwantitatieve waarde die een getal in Watt uitdrukt."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#"	"KwantWrdInWatt"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Implementatieelement"	"KwantWrdInVolt"	"{48066199-E3B5-49fc-B947-32292AEDE460}"	""	""	""	""	"Kwantitatieve waarde in Volt"	"Een kwantitatieve waarde die een getal in Volt uitdrukt."	""	"Kwantitatieve waarde in Volt"	"Een kwantitatieve waarde die een getal in Volt uitdrukt."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#"	"KwantWrdInVolt"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
