"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Eenvoudige-datatypes"	"{AB1859F7-78A6-42dc-87B7-48B4061B61E3}"	""	""	""	""	""	""	""	""	""	""	""	""	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/eenvoudige-datatypes/ontwerpdocument/"	"alt"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"DATATYPE"	"OSLO-Eenvoudige-datatypes"	"DteURI"	"{720ACC1F-344F-43bb-9B65-5467749150DD}"	""	""	""	""	"URI"	"Een tekstwaarde die een verwijzing naar meer informatie van het element bevat volgens http://www.w3.org/2001/XMLSchema#anyURI ."	""	"URI"	"Een tekstwaarde die een verwijzing naar meer informatie van het element bevat volgens http://www.w3.org/2001/XMLSchema#anyURI ."	""	""	"true"	"http://www.w3.org/2001/XMLSchema#"	"anyURI"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Eenvoudige-datatypes"	"DteTekstblok"	"{E5E67991-BD15-468d-A90F-26B3A0821EF1}"	""	""	""	""	"Tekstblok"	"Een tekst welke uit meerdere zinnen bestaat, en ook regeleindes kan bevatten. Een tekstblok bevat maximaal 65.000 karakters."	""	"Tekstblok"	"Een tekst welke uit meerdere zinnen bestaat, en ook regeleindes kan bevatten. Een tekstblok bevat maximaal 65.000 karakters."	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/eenvoudige-datatypes/ontwerpdocument/alt#"	"DteTekstblok"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Eenvoudige-datatypes"	"String"	"{9154C721-7D7C-4c11-8FBF-C56FAEF9A4DA}"	""	""	""	""	"String"	"Beschrijft een tekstregel volgens http://www.w3.org/2001/XMLSchema#string"	""	"String"	"Beschrijft een tekstregel volgens http://www.w3.org/2001/XMLSchema#string"	""	""	"true"	"http://www.w3.org/2001/XMLSchema#"	"string"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Eenvoudige-datatypes"	"DteIPv4Adres"	"{AF96DFD7-4CAA-488b-A873-A338795310EB}"	""	""	""	""	"IPv4-adres"	"Beschrijft een ip-adres volgens de ipv4 specificatie."	""	"IPv4-adres"	"Beschrijft een ip-adres volgens de ipv4 specificatie."	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/eenvoudige-datatypes/ontwerpdocument/alt#"	"DteIPv4Adres"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Eenvoudige-datatypes"	"DateTime"	"{0DD21E21-29CC-461d-BC1D-FC45931957F0}"	""	""	""	""	"Datumtijd"	"Beschrijft een datumtijd volgens http://www.w3.org/2001/XMLSchema#datetime"	""	"Datumtijd"	"Beschrijft een datumtijd volgens http://www.w3.org/2001/XMLSchema#datetime"	""	""	"true"	"https://www.w3.org/2001/XMLSchema#"	"datetime"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Eenvoudige-datatypes"	"Date"	"{518CF17E-69E2-4b04-BFC0-208BB4C618A2}"	""	""	""	""	"Datum"	"Beschrijft een datum volgens http://www.w3.org/2001/XMLSchema#date"	""	"Datum"	"Beschrijft een datum volgens http://www.w3.org/2001/XMLSchema#date"	""	""	"true"	"https://www.w3.org/2001/XMLSchema#"	"date"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Eenvoudige-datatypes"	"Boolean"	"{C66810D0-4F93-4948-83F5-165137DEBF82}"	""	""	""	""	"Boolean"	"Beschrijft een boolean volgens http://www.w3.org/2001/XMLSchema#boolean"	""	"Boolean"	"Beschrijft een boolean volgens http://www.w3.org/2001/XMLSchema#boolean"	""	""	"true"	"http://www.w3.org/2001/XMLSchema#"	"boolean"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Eenvoudige-datatypes"	"Integer"	"{2CD576D2-B0D2-4c75-AF0D-5AFE65067E53}"	"Getal"	""	""	""	"Geheel getal"	"Beschrijft een geheel getal volgens http://www.w3.org/2001/XMLSchema#integer"	""	"Geheel getal"	"Beschrijft een geheel getal volgens http://www.w3.org/2001/XMLSchema#integer"	""	""	"true"	"http://www.w3.org/2001/XMLSchema#"	"integer"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/generiek#Getal"	""	""
"DATATYPE"	"OSLO-Eenvoudige-datatypes"	"NonNegativeInteger"	"{6B501216-6BB3-416b-8B5E-C532CB6FC474}"	"Getal"	""	""	""	"Natuurlijk getal"	"Beschrijft een natuurlijk getal volgens  http://www.w3.org/2001/XMLSchema#nonNegativeInteger"	""	"Natuurlijk getal"	"Beschrijft een natuurlijk getal volgens  http://www.w3.org/2001/XMLSchema#nonNegativeInteger"	""	""	"true"	"http://www.w3.org/2001/XMLSchema#"	"nonNegativeInteger"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/generiek#Getal"	""	""
"DATATYPE"	"OSLO-Eenvoudige-datatypes"	"Decimal"	"{3300D9AD-B706-43fe-B750-0EB2D8679F90}"	"Getal"	""	""	""	"Decimaal getal"	"Beschrijft een decimaal getal volgens http://www.w3.org/2001/XMLSchema#decimal"	""	"Decimaal getal"	"Beschrijft een decimaal getal volgens http://www.w3.org/2001/XMLSchema#decimal"	""	""	"true"	"http://www.w3.org/2001/XMLSchema#"	"decimal"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/generiek#Getal"	""	""
"DATATYPE"	"OSLO-Eenvoudige-datatypes"	"DteKleurRAL"	"{069C1580-90CD-4968-AD22-C6D8BAB47DF7}"	""	""	""	""	"RAL-kleur"	"Beschrijft een kleur volgens het RAL klassificatiesysteem. De waarde is een natuurlijk getal tussen 1000 en 9999."	""	"RAL-kleur"	"Beschrijft een kleur volgens het RAL klassificatiesysteem. De waarde is een natuurlijk getal tussen 1000 en 9999."	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/eenvoudige-datatypes/ontwerpdocument/alt#"	"DteKleurRAL"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO²-Generiek"	"StandaardEenheid"	"{F1F00AC0-E980-491e-9252-F3C9CD8C6C94}"	""	""	""	""	"Standaard eenheid"	"https://data.vlaanderen.be/ns/generiek#StandaardEenheid"	""	"Standaard eenheid"	"https://data.vlaanderen.be/ns/generiek#StandaardEenheid"	""	""	"true"	"https://data.vlaanderen.be/ns/generiek#"	"StandaardEenheid"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO²-Generiek"	"Getal"	"{C2BA9EC2-15A1-4765-932F-D7406BE54F78}"	""	""	""	""	"Getal"	"https://data.vlaanderen.be/ns/generiek#Getal"	""	"Getal"	"https://data.vlaanderen.be/ns/generiek#Getal"	""	""	"true"	"https://data.vlaanderen.be/ns/generiek#"	"Getal"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO²-Generiek"	"DtcKwantitatieveWaarde"	"{8A625681-DAB0-4668-B9DA-E3C6F3051773}"	""	""	""	""	"Kwantitatieve waarde"	"Complex datatype voor kwantitatieve waarde. Bij kwantitatieve waarden gaat het om meetbare gegevens, zoals bv.temperatuur, snelheid of gewicht."	""	"Kwantitatieve waarde"	"Complex datatype voor kwantitatieve waarde. Bij kwantitatieve waarden gaat het om meetbare gegevens, zoals bv.temperatuur, snelheid of gewicht."	""	""	"true"	"https://data.vlaanderen.be/ns/generiek#"	"KwantitatieveWaarde"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"attribute"	"OSLO-Eenvoudige-datatypes"	"waarde"	"{A468196C-AB3E-4cbb-B0AE-BC6ACC0AB1D6}"	""	"DteURI"	"{720ACC1F-344F-43bb-9B65-5467749150DD}"	"String"	"waarde"	"De string bestaat uit een URI volgens https://www.w3.org/2001/XMLSchema#anyURI ."	""	"waarde"	"De string bestaat uit een URI volgens https://www.w3.org/2001/XMLSchema#anyURI ."	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/eenvoudige-datatypes/ontwerpdocument/alt#"	"DteURI.waarde"	"http://www.w3.org/2002/07/owl#DatatypeProperty"	"http://www.w3.org/2001/XMLSchema#anyURI"	"http://www.w3.org/2001/XMLSchema#string"	""	"1"	"1"
"attribute"	"OSLO-Eenvoudige-datatypes"	"waarde"	"{2F1C4D3D-BD0B-4e3f-B90B-C0CCB9C869D2}"	""	"DteTekstblok"	"{E5E67991-BD15-468d-A90F-26B3A0821EF1}"	"String"	"waarde"	"De string welke uit meerdere zinnen bestaat, en ook regeleindes kan bevatten. Een tekstblok bevat maximaal 65.000 karakters."	""	"waarde"	"De string welke uit meerdere zinnen bestaat, en ook regeleindes kan bevatten. Een tekstblok bevat maximaal 65.000 karakters."	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/eenvoudige-datatypes/ontwerpdocument/alt#"	"DteTekstblok.waarde"	"http://www.w3.org/2002/07/owl#DatatypeProperty"	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/eenvoudige-datatypes/ontwerpdocument/alt#DteTekstblok"	"http://www.w3.org/2001/XMLSchema#string"	""	"1"	"1"
"attribute"	"OSLO-Eenvoudige-datatypes"	"waarde"	"{A873A027-A193-47a3-884B-720DEFF2B11E}"	""	"DteIPv4Adres"	"{AF96DFD7-4CAA-488b-A873-A338795310EB}"	"String"	"waarde"	"De string die het IPv4 adres representeert."	"Het formaat is een decimale notatie bv. 91.198.174.232"	"waarde"	"De string die het IPv4 adres representeert."	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/eenvoudige-datatypes/ontwerpdocument/alt#"	"DteIPv4Adres.waarde"	"http://www.w3.org/2002/07/owl#DatatypeProperty"	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/eenvoudige-datatypes/ontwerpdocument/alt#DteIPv4Adres"	"http://www.w3.org/2001/XMLSchema#string"	""	"1"	"1"
"attribute"	"OSLO-Eenvoudige-datatypes"	"waarde"	"{A8DB3CB3-2FCD-4d20-9B41-EC369E260100}"	""	"DteKleurRAL"	"{069C1580-90CD-4968-AD22-C6D8BAB47DF7}"	"String"	"waarde"	"Beschrijft een kleur volgens het RAL klassificatiesysteem"	"De waarde moet voldoen aan volgende regex: [1-9]\d{3}"	"waarde"	"Beschrijft een kleur volgens het RAL klassificatiesysteem"	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/eenvoudige-datatypes/ontwerpdocument/alt#"	"DteKleurRAL.waarde"	"http://www.w3.org/2002/07/owl#DatatypeProperty"	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/eenvoudige-datatypes/ontwerpdocument/alt#DteKleurRAL"	"http://www.w3.org/2001/XMLSchema#string"	""	"1"	"1"
"attribute"	"OSLO²-Generiek"	"standaardEenheid"	"{1AA1AF20-D31A-44cf-B319-90060935968D}"	""	"DtcKwantitatieveWaarde"	"{8A625681-DAB0-4668-B9DA-E3C6F3051773}"	"Literal"	"standaardeenheid"	"De standaard eenheid waarin de kwantitatieve waarde is uitgedrukt."	""	"standaardeenheid"	"De standaard eenheid waarin de kwantitatieve waarde is uitgedrukt."	""	""	"true"	"https://data.vlaanderen.be/ns/generiek#"	"KwantitatieveWaarde.standaardEenheid"	"http://www.w3.org/2002/07/owl#DatatypeProperty"	"https://data.vlaanderen.be/ns/generiek#KwantitatieveWaarde"	"http://www.w3.org/2000/01/rdf-schema#Literal"	""	"1"	"1"
"attribute"	"OSLO²-Generiek"	"waarde"	"{86DAA08E-5BAB-4149-98EC-A839EA5037F9}"	""	"DtcKwantitatieveWaarde"	"{8A625681-DAB0-4668-B9DA-E3C6F3051773}"	"Getal"	"waarde"	"De waarde uitgedrukt in een getal."	""	"waarde"	"De waarde uitgedrukt in een getal."	""	""	"true"	"https://data.vlaanderen.be/ns/generiek#"	"KwantitatieveWaarde.waarde"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"https://data.vlaanderen.be/ns/generiek#KwantitatieveWaarde"	"https://data.vlaanderen.be/ns/generiek#Getal"	""	"1"	"1"
