"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Grondwerken"	"{C0EB4F72-B0D0-4679-B832-38D6CDC3879D}"	""	""	""	""	""	""	""	""	""	""	""	""	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/grondwerken/ontwerpdocument/"	"alt"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"DATATYPE"	"OSLO-Grondwerken"	"DtcGrondbijmenging"	"{EEECED90-0B07-49b8-BE07-D836559D4372}"	""	""	""	""	"Grondbijmenging"	"Complex datatype om extra informatie van de bijmenging van grond te capteren."	""	"Grondbijmenging"	"Complex datatype om extra informatie van de bijmenging van grond te capteren."	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/grondwerken/ontwerpdocument/alt#"	"DtcGrondbijmenging"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Grondwerken"	"PiezometrischeBuis"	"{5470D1BD-1043-47c1-B0E3-3F8CA6D94FEF}"	""	""	""	""	"Piezometrische buis"	"Een al dan niet permanente buis om waterstanden bij grondverlaging te meten."	""	"Piezometrische buis"	"Een al dan niet permanente buis om waterstanden bij grondverlaging te meten."	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/grondwerken/ontwerpdocument/alt#"	"PiezometrischeBuis"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/awv-object/ontwerpdocument/alt#AWVObject"	""	""
"CLASS"	"OSLO-Verhardingen-funderingen"	"LaagDikte"	"{B866DD1D-FBBC-4ea7-BDEC-C9C679CB17AA}"	""	""	""	""	"Laagdikte"	"Abstracte waarmee aan een laag het atribuut dikte wordt toegekend."	""	"Laagdikte"	"Abstracte waarmee aan een laag het atribuut dikte wordt toegekend."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/verhardingen-funderingen/ontwerpdocument/alt#"	"LaagDikte"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Grondwerken"	"DtcGrondafdekking"	"{9AD39FF0-9248-4b30-8BD6-A241B9961693}"	""	""	""	""	"Grondafdekking"	"Complex datatype om extra informatie van de afdekking van grond te capteren."	""	"Grondafdekking"	"Complex datatype om extra informatie van de afdekking van grond te capteren."	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/grondwerken/ontwerpdocument/alt#"	"DtcGrondafdekking"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Grondwerken"	"DtcGrondAfgravinguitgraving"	"{A8BD9015-EAF5-4147-8F17-9AAD0E2C2C5D}"	""	""	""	""	"Grondafgraving en gronduitgraving"	"Complex datatype voor de afgraving of uitgraving van grond."	""	"Grondafgraving en gronduitgraving"	"Complex datatype voor de afgraving of uitgraving van grond."	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/grondwerken/ontwerpdocument/alt#"	"DtcGrondAfgravinguitgraving"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Grondwerken"	"DtcGrondophoging"	"{0CE5453B-23F5-49bf-9BF9-CA3D03034AD4}"	""	""	""	""	"Grondophoging"	"Complex datatype om extra informatie van ophoging van grond te capteren."	""	"Grondophoging"	"Complex datatype om extra informatie van ophoging van grond te capteren."	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/grondwerken/ontwerpdocument/alt#"	"DtcGrondophoging"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Grondwerken"	"DtuSoortGrondwerk"	"{24F22FD0-5713-4f31-876A-C5040F923B0E}"	""	""	""	""	"Soort grondwerk"	"Union datatype voor het soort werk waar de grond van afkomstig is of voor dient."	""	"Soort grondwerk"	"Union datatype voor het soort werk waar de grond van afkomstig is of voor dient."	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/grondwerken/ontwerpdocument/alt#"	"DtuSoortGrondwerk"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Grondwerken"	"DtcGrondsoort"	"{02A3E994-84B7-4455-A23D-D3D589E21DDF}"	""	""	""	""	"Grondsoort"	"Complex datatype om het soort grond te bepalen."	""	"Grondsoort"	"Complex datatype om het soort grond te bepalen."	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/grondwerken/ontwerpdocument/alt#"	"DtcGrondsoort"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Grondwerken"	"Grond"	"{DB77B560-3D97-4890-BE0B-D006E3593781}"	"Laag, LaagDikte"	""	""	""	"Grond"	"Lithologisch hoofd- en nevenbestanddeel (als code) van de laag zoals gebruikt bij Databank Ondergrond Vlaanderen (gecodeerde lithologie en geotechnische codering)."	""	"Grond"	"Lithologisch hoofd- en nevenbestanddeel (als code) van de laag zoals gebruikt bij Databank Ondergrond Vlaanderen (gecodeerde lithologie en geotechnische codering)."	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/grondwerken/ontwerpdocument/alt#"	"Grond"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/verhardingen-funderingen/ontwerpdocument/alt#LaagDikte, https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/verhardingen-funderingen/ontwerpdocument/alt#Laag"	""	""
