"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Grondwerken"	"{C0EB4F72-B0D0-4679-B832-38D6CDC3879D}"	""	""	""	""	""	""	""	""	""	""	""	""	"http://"	"fixme.com"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"DATATYPE"	"OSLO-Onderdeel"	"Grondbijmenging"	"{EEECED90-0B07-49b8-BE07-D836559D4372}"	""	""	""	""	"Grondbijmenging"	""	""	"Grondbijmenging"	"TODO"	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/onderdeel#"	"Grondbijmenging"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"PiezometrischeBuis"	"{5470D1BD-1043-47c1-B0E3-3F8CA6D94FEF}"	""	""	""	""	"Piezometrische buis"	"Een al dan niet permanente buis om waterstanden bij grondverlaging te meten."	""	"Piezometrische buis"	"Een al dan niet permanente buis om waterstanden bij grondverlaging te meten."	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/onderdeel#"	"PiezometrischeBuis"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#AWVObject"	""	""
"CLASS"	"OSLO-Abstracten"	"LaagDikte"	"{B866DD1D-FBBC-4ea7-BDEC-C9C679CB17AA}"	""	""	""	""	"Laagdikte"	"Abstracte waarmee aan een laag het atribuut dikte wordt toegekend."	""	"Laagdikte"	"Abstracte waarmee aan een laag het atribuut dikte wordt toegekend."	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/abstracten#"	"LaagDikte"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Onderdeel"	"Grondafdekking"	"{9AD39FF0-9248-4b30-8BD6-A241B9961693}"	""	""	""	""	"Grondafdekking"	"Complex datatype om de grondafdekking te specifiëren."	""	"Grondafdekking"	"Complex datatype om de grondafdekking te specifiëren."	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/onderdeel#"	"Grondafdekking"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Onderdeel"	"GrondAfgravinguitgraving"	"{A8BD9015-EAF5-4147-8F17-9AAD0E2C2C5D}"	""	""	""	""	"Grond-afgraving en grond-uitgraving"	"Complex datatype voor de afgraving of uitgraving van grond."	""	"Grond-afgraving en grond-uitgraving"	"Complex datatype voor de afgraving of uitgraving van grond."	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/onderdeel#"	"GrondAfgravinguitgraving"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Onderdeel"	"Grondophoging"	"{0CE5453B-23F5-49bf-9BF9-CA3D03034AD4}"	""	""	""	""	"Grond ophoging"	"Complex datatype voor de grondophoging."	""	"Grond ophoging"	"Complex datatype voor de grondophoging."	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/onderdeel#"	"Grondophoging"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Onderdeel"	"SoortGrondwerk"	"{24F22FD0-5713-4f31-876A-C5040F923B0E}"	""	""	""	""	"Soort grondwerk"	"Het soort werk waar de grond van afkomstig is of voor dient."	""	"Soort grondwerk"	"Het soort werk waar de grond van afkomstig is of voor dient."	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/onderdeel#"	"SoortGrondwerk"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Onderdeel"	"Grondsoort"	"{02A3E994-84B7-4455-A23D-D3D589E21DDF}"	""	""	""	""	"Grondsoort"	"Complex datatype om de grondsoort te bepalen."	""	"Grondsoort"	"Complex datatype om de grondsoort te bepalen."	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/onderdeel#"	"Grondsoort"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"Grond"	"{DB77B560-3D97-4890-BE0B-D006E3593781}"	"Laag, LaagDikte"	""	""	""	"Grond"	"Een mengsel van verweerd vast materiaal (sediment), water en lucht dat aan het aardoppervlak of (vlak) daaronder voorkomt."	""	"Grond"	"Een mengsel van verweerd vast materiaal (sediment), water en lucht dat aan het aardoppervlak of (vlak) daaronder voorkomt."	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/onderdeel#"	"Grond"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/wegenenverkeer/abstracten#LaagDikte, https://data.vlaanderen.be/ns/wegenenverkeer/abstracten#Laag"	""	""
