"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Hulpposten"	"{93219741-F934-4762-84F5-EBCE862C13C7}"	""	""	""	""	""	""	""	""	""	""	""	""	"http://"	"fixme.com"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"Aanstraalverlichting"	"{718FDF7A-0C4B-4e0b-B718-67627A6D8D03}"	""	""	""	""	"Aanstraalverlichting"	"TODO"	""	"Aanstraalverlichting"	"TODO"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Aanstraalverlichting"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"InwendigVerlichtPictogram"	"{9915A4EA-0296-45db-A3B8-2D44477714B6}"	""	""	""	""	"Inwendig verlicht pictogram"	"TODO"	""	"Inwendig verlicht pictogram"	"TODO"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"InwendigVerlichtPictogram"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Abstracten"	"ConstructieElement"	"{917FBCD6-FAE5-4b0a-94ED-2D7B8053BE7C}"	""	""	""	""	"Constructie element"	"Abstracte voor de verschillende constructie elementen."	""	"Constructie element"	"Abstracte voor de verschillende constructie elementen."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"ConstructieElement"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Abstracten"	"BekledingComponent"	"{3C951E52-66AE-44b9-9955-0BA373F8483F}"	""	""	""	""	"Bekleding component"	"TODO"	""	"Bekleding component"	"TODO"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"BekledingComponent"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"Stroomkring"	"{9E56032E-DD28-4ef8-8DCF-FF35647F878A}"	""	""	""	""	"Stroomkring"	"Ook wel vertrek of vertrekkende kabel genoemd. Afgezekerde elektrische geleiders waarmee de applicaties voorzien worden van de nodige voeding"	""	"Stroomkring"	"Ook wel vertrek of vertrekkende kabel genoemd. Afgezekerde elektrische geleiders waarmee de applicaties voorzien worden van de nodige voeding"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Stroomkring"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"Brandhaspel"	"{0ECADCC5-E6C9-4b85-AD22-0CA0346124C6}"	""	""	""	""	"Brandhaspel"	"TODO"	""	"Brandhaspel"	"TODO"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Brandhaspel"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"Stopcontact"	"{8EE2D5F5-A4E3-4c5d-915F-9B04DB5B0C2D}"	""	""	""	""	"Stopcontact"	"TODO"	""	"Stopcontact"	"TODO"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Stopcontact"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"IOKaart"	"{3ABC664E-5A1A-4e30-B70F-F5748EF344ED}"	""	""	""	""	"IOKaart"	"TODO"	""	"IOKaart"	"TODO"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"IOKaart"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"PLC"	"{387EDE6E-A7C0-48a6-B1B2-996DABF755B2}"	""	""	""	""	"Tunnel PLC"	"TODO"	""	"Tunnel PLC"	"TODO"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"PLC"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"Contactpunt"	"{30856300-529A-4102-ADE5-1C51BD1EFFDC}"	""	""	""	""	"Contactpunt"	"Een contactpunt van een hulppostkast meet of de brandblusser nog aanwezig is of niet,verwijderen van de brandblusser geeft alarm bij de operator."	""	"Contactpunt"	"Een contactpunt van een hulppostkast meet of de brandblusser nog aanwezig is of niet,verwijderen van de brandblusser geeft alarm bij de operator."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Contactpunt"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"IntercomToestel"	"{047B3E2B-3D64-4bd8-A5BD-EA9BBDA6AE25}"	""	""	""	""	"Intercom"	"Het toestel dat deel uitmaakt van een intercomsysteem en audio- en/of videocommuniicatie tussen twee personen mogelijk maakt"	""	"Intercom"	"Het toestel dat deel uitmaakt van een intercomsysteem en audio- en/of videocommuniicatie tussen twee personen mogelijk maakt"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"IntercomToestel"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"Hydrant"	"{E8B006D6-7BD8-418c-BF76-8054BEBCE93D}"	""	""	""	""	"Hydrant"	"TODO"	""	"Hydrant"	"TODO"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Hydrant"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"Hulppostkast"	"{1D7FCE16-5999-4c8f-B8A6-2813BCD29AE4}"	""	""	""	""	"Hulppostkast"	"TODO"	""	"Hulppostkast"	"TODO"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Hulppostkast"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"Brandblusser"	"{8152446E-E3A5-4499-AC7C-78759EAA9FE7}"	""	""	""	""	"Brandblusser"	"TODO"	""	"Brandblusser"	"TODO"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Brandblusser"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
