"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Inbreuken-zwaar-vervoer"	"{7134C08C-7E98-4b14-BC98-E5FF923F3FAD}"	""	""	""	""	""	""	""	""	""	""	""	""	"http://"	"fixme.com"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Abstracten"	"Kast"	"{C34D1F0B-246C-4d44-B60D-0124A28BA175}"	""	""	""	""	"Kast"	"Abstracte voor allerlei types kasten."	""	"Kast"	"Abstracte voor allerlei types kasten."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"Kast"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Behuizing"	""	""
"CLASS"	"OSLO-Abstracten"	"SoftwareToegang"	"{18A8DC5D-85FA-40e2-B512-F82BCB436696}"	""	""	""	""	"Software toegang"	"Een abstracte waarmee een object kan connecteren naar software,al dan niet door gebruik te maken van de logische poort."	""	"Software toegang"	"Een abstracte waarmee een object kan connecteren naar software,al dan niet door gebruik te maken van de logische poort."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"SoftwareToegang"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AIMNaamObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"Neerslagsensor"	"{A692FB0D-952B-44fa-B475-60ED968760FB}"	""	""	""	""	"Neerslagsensor"	"Detectie van neerslag(hoeveelheid/intensiteit)."	""	"Neerslagsensor"	"Detectie van neerslag(hoeveelheid/intensiteit)."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Neerslagsensor"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AIMNaamObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"Afmetingsensor"	"{0BEC8981-E6CB-49e1-8CAD-56F2F5FBB8CE}"	""	""	""	""	"Afmetingsensor"	"Registratie van voertuigafmetingen."	""	"Afmetingsensor"	"Registratie van voertuigafmetingen."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Afmetingsensor"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AIMNaamObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"Rack"	"{76AF36A9-3182-404e-A122-A460DEFBE0EA}"	""	""	""	""	"Rack"	"Interne draagstructuur binnen een behuizing voor (elektromechanische) toestellen."	""	"Rack"	"Interne draagstructuur binnen een behuizing voor (elektromechanische) toestellen."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Rack"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AIMNaamObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"Wegkantkast"	"{677C00C9-E1C5-4a30-B583-B5CC5B215D3A}"	""	""	""	""	"Wegkantkast"	"Behuizing in de vorm van kast typisch gebruikt buiten,langs de kant van de weg."	""	"Wegkantkast"	"Behuizing in de vorm van kast typisch gebruikt buiten,langs de kant van de weg."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Wegkantkast"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Buitenkast"	""	""
"CLASS"	"OSLO-Onderdeel"	"Netwerkpoort"	"{FA055CAA-95C1-414a-9057-0A6D8F8281BC}"	""	""	""	""	"Netwerkpoort"	"Is de ingang van het toestel samen met component die erop zit bv. SFP,XFP,..."	""	"Netwerkpoort"	"Is de ingang van het toestel samen met component die erop zit bv. SFP,XFP,..."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Netwerkpoort"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AIMNaamObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"Netwerkelement"	"{38597120-B794-4e5a-8B1F-A0BCA1EE7EE3}"	""	""	""	""	"Netwerkelement"	"Toestel,onderdeel van het netwerk,waarop netwerkverbindingen kunnen aangelegd worden."	""	"Netwerkelement"	"Toestel,onderdeel van het netwerk,waarop netwerkverbindingen kunnen aangelegd worden."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Netwerkelement"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AIMNaamObject"	""	""
"CLASS"	"OSLO-Installatie"	"Verkeersbordopstelling"	"{4CCF8538-7785-4d0d-9AA3-5DDDCF560DED}"	""	""	""	""	"Verkeersbordopstelling"	"Het geheel van verticale verkeersborden op éénzelfde geolocatie."	""	"Verkeersbordopstelling"	"Het geheel van verticale verkeersborden op éénzelfde geolocatie."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/installatie#"	"Verkeersbordopstelling"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AIMObject, https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Signalisatie"	""	""
