"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Kasten-Cabines-Behuizing"	"{F1BC036A-CA1B-4084-B195-31C1D9192EA6}"	""	""	""	""	""	""	""	""	""	""	""	""	"http://"	"fixme.com"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"Verankeringsmassief"	"{1961AC92-335D-44cd-A8B9-6167748C4A05}"	"Betonfundering"	""	""	""	"verankeringsmassief"	"Een fundering waarin ankers zijn aangebracht en die zorgen voor bevestiging en stabilisatie van een object."	""	"verankeringsmassief"	"Een fundering waarin ankers zijn aangebracht en die zorgen voor bevestiging en stabilisatie van een object."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Verankeringsmassief"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Betonfundering"	""	""
"CLASS"	"OSLO-Abstracten"	"Betonfundering"	"{46A6A168-8951-4d91-8906-183E503AD5E1}"	"Fundering"	""	""	""	"betonfundering"	"Abstracte voor funderingen in beton"	""	"betonfundering"	"Abstracte voor funderingen in beton"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"Betonfundering"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Fundering"	""	""
"CLASS"	"OSLO-Onderdeel"	"Sokkel"	"{E2CE6DFF-78F8-434a-B47F-4E74C9FBDD25}"	""	""	""	""	"Sokkel"	"Onderdeel dat zich voornamelijk voornamelijk boven het maaiveld bevindt en als doel heeft het object dat er op rust te verhogen, het object te omhullen ter bescherming of de ondergrond te nivelleren. Afhankelijk van de grootte van dat object en van de omvang van de sokkel, kan die ook zorgen voor nodige stabiliteit zoals een fundering."	""	"Sokkel"	"Onderdeel dat zich voornamelijk voornamelijk boven het maaiveld bevindt en als doel heeft het object dat er op rust te verhogen, het object te omhullen ter bescherming of de ondergrond te nivelleren. Afhankelijk van de grootte van dat object en van de omvang van de sokkel, kan die ook zorgen voor nodige stabiliteit zoals een fundering."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Sokkel"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"Funderingsplaat"	"{F34C60EB-D18E-4c5a-AF2A-93146FDC6013}"	"Betonfundering"	""	""	""	"funderingsplaat"	"Fundering die minstens het volledige grondvlak van het gefundeerd object omvat."	""	"funderingsplaat"	"Fundering die minstens het volledige grondvlak van het gefundeerd object omvat."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Funderingsplaat"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Betonfundering"	""	""
"CLASS"	"OSLO-Onderdeel"	"Funderingsmassief"	"{3F62FD66-F62B-4bde-8AEC-986C79565763}"	"Fundering"	""	""	""	"funderingsmassief"	"Een fundering waarop een object geplaatst wordt of er (in principe) onlosmakelijk in vastgezet wordt."	""	"funderingsmassief"	"Een fundering waarop een object geplaatst wordt of er (in principe) onlosmakelijk in vastgezet wordt."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Funderingsmassief"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Fundering"	""	""
"CLASS"	"OSLO-Abstracten"	"Fundering"	"{2AC4524A-37FE-4f97-AF42-FC78B301647E}"	""	""	""	""	"Fundering"	"Abstracte voor verschillende manieren om er voor te zorgen dat het eigen gewicht van het object dat de fundering krijgt en de krachten uitgeoefend op dat object, zoals nuttige belasting, sneeuw, winddruk, enzovoorts, worden overgedragen op de draagkrachtige ondergrond. Een fundering zit hoofdzakelijk onder het maaiveld en heeft tot doel het stabiliseren van een ander object."	""	"Fundering"	"Abstracte voor verschillende manieren om er voor te zorgen dat het eigen gewicht van het object dat de fundering krijgt en de krachten uitgeoefend op dat object, zoals nuttige belasting, sneeuw, winddruk, enzovoorts, worden overgedragen op de draagkrachtige ondergrond. Een fundering zit hoofdzakelijk onder het maaiveld en heeft tot doel het stabiliseren van een ander object."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"Fundering"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"Keuring"	"{6B855B57-A593-446b-8EC1-6531B087EBFF}"	""	""	""	""	"Keuring"	"Technische keuring uitgevoerd door een officiële keuringsinstantie."	""	"Keuring"	"Technische keuring uitgevoerd door een officiële keuringsinstantie."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Keuring"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"Hulppostkast"	"{0D7BB833-685D-4b59-BDBA-43A6D6FD4A55}"	"Buitenkast"	""	""	""	"Hulppostkast"	"Een kast waarin verschillende onderdelen verzameld worden voor bijstand in noodgevallen."	""	"Hulppostkast"	"Een kast waarin verschillende onderdelen verzameld worden voor bijstand in noodgevallen."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Hulppostkast"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Buitenkast"	""	""
"CLASS"	"OSLO-Abstracten"	"Buitenkast"	"{1596F034-93DC-4f42-8988-F5C0A3EA48D6}"	"Kast"	""	""	""	"Buitenkast"	"Abstracte voor kasten die typisch buiten staan en daarom bestand moeten zijn tegen de elementen en verfraaiing kunnen krijgen."	""	"Buitenkast"	"Abstracte voor kasten die typisch buiten staan en daarom bestand moeten zijn tegen de elementen en verfraaiing kunnen krijgen."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"Buitenkast"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Kast"	""	""
