"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Lijnvormige-elementen"	"{E388FA1A-BCB4-4fdd-84C0-0E646CFF3F89}"	""	""	""	""	""	""	""	""	""	""	""	""	"http://"	"fixme.com"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Abstracten"	"Fundering"	"{D09C8027-76AD-4b10-A93C-3F95EEC08F21}"	""	""	""	""	"Fundering"	"Abstracte voor verschillende manieren om er voor te zorgen dat het eigen gewicht van het object dat de fundering krijgt en de krachten uitgeoefend op dat object, zoals nuttige belasting, sneeuw, winddruk, enzovoorts, worden overgedragen op de draagkrachtige ondergrond. Een fundering zit hoofdzakelijk onder het maaiveld en heeft tot doel het stabiliseren van een ander object."	""	"Fundering"	"Abstracte voor verschillende manieren om er voor te zorgen dat het eigen gewicht van het object dat de fundering krijgt en de krachten uitgeoefend op dat object, zoals nuttige belasting, sneeuw, winddruk, enzovoorts, worden overgedragen op de draagkrachtige ondergrond. Een fundering zit hoofdzakelijk onder het maaiveld en heeft tot doel het stabiliseren van een ander object."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"Fundering"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AIMObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"Dilatatie"	"{7E50EDA2-5210-4a13-9595-CC55A93A512D}"	""	""	""	""	"Dilatatie"	"Dilataties zijn bedoeld om ervoor te zorgen dat bouwconstructies vrij kunnen krimpen en uitzetten bij onder andere temperatuurwisselingen."	""	"Dilatatie"	"Dilataties zijn bedoeld om ervoor te zorgen dat bouwconstructies vrij kunnen krimpen en uitzetten bij onder andere temperatuurwisselingen."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Dilatatie"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AIMObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"RetroreflecterendVerkeersbord"	"{BADFBCD5-2049-415c-8C1B-ABF1F7EDC492}"	""	""	""	""	"Retroreflecterend verkeersbord"	"Verkeersbord met op het beeldvlak een tekening en/of tekst die worden weergegeven met een geëigend bekledingsmateriaal."	""	"Retroreflecterend verkeersbord"	"Verkeersbord met op het beeldvlak een tekening en/of tekst die worden weergegeven met een geëigend bekledingsmateriaal."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"RetroreflecterendVerkeersbord"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AIMObject, https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Verkeersbord"	""	""
"CLASS"	"OSLO-Onderdeel"	"ReflectorInLijnvormigElement"	"{60EA18F5-D9CA-4fca-B52A-16EED4F2E072}"	""	""	""	""	"Reflector in lijnvormig element"	"Een reflector dat deel uitmaakt van een constructie met als doel de zichtbaarheid van deze constructie te verhogen."	""	"Reflector in lijnvormig element"	"Een reflector dat deel uitmaakt van een constructie met als doel de zichtbaarheid van deze constructie te verhogen."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"ReflectorInLijnvormigElement"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Bebakening"	""	""
"CLASS"	"OSLO-Onderdeel"	"Zonnepaneel"	"{AA295A49-DA4F-4de1-889A-151AFBE2BAF4}"	""	""	""	""	"Zonnepaneel"	"
Toestel om elektrische energie op te wekken uit zonlicht met als doel het voeden van een installatie. Ook wel fotovoltaïsche cellen of zonnecellen genoemd."	""	"Zonnepaneel"	"
Toestel om elektrische energie op te wekken uit zonlicht met als doel het voeden van een installatie. Ook wel fotovoltaïsche cellen of zonnecellen genoemd."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Zonnepaneel"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Voedingspunt"	""	""
"CLASS"	"OSLO-Onderdeel"	"TrottoirbandAfw"	"{B9AE9B4B-014F-484c-9A30-BFDE1635A7E3}"	"AfwijkendeKantopsluiting"	""	""	""	"Afwijkende trottoirband"	"Afwijkende kantopsluiting, bestemd om de rand van de verharding te beschermen en te versterken."	""	"Afwijkende trottoirband"	"Afwijkende kantopsluiting, bestemd om de rand van de verharding te beschermen en te versterken."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"TrottoirbandAfw"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#AfwijkendeKantopsluiting"	""	""
"CLASS"	"OSLO-Onderdeel"	"WatergreppelAfw"	"{3225EEF0-4397-43b8-9515-B7F054BA53AD}"	"AfwijkendeKantopsluiting"	""	""	""	"Afwijkende watergreppel"	"Afwijkende kantopsluiting, bestemd om water van de verharding op te vangen en af te voeren."	""	"Afwijkende watergreppel"	"Afwijkende kantopsluiting, bestemd om water van de verharding op te vangen en af te voeren."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"WatergreppelAfw"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#AfwijkendeKantopsluiting"	""	""
"CLASS"	"OSLO-Onderdeel"	"TrottoirbandWatergreppelAfw"	"{5FEFA1AF-7180-4639-BC7C-9876DC9D3938}"	"AfwijkendeKantopsluiting"	""	""	""	"Afwijkende trottoirband-watergreppel"	"Afwijkende kantopsluiting, die een trottoirband en een watergreppel combineert in een geheel."	""	"Afwijkende trottoirband-watergreppel"	"Afwijkende kantopsluiting, die een trottoirband en een watergreppel combineert in een geheel."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"TrottoirbandWatergreppelAfw"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#AfwijkendeKantopsluiting"	""	""
"CLASS"	"OSLO-Onderdeel"	"KantstrookAfw"	"{816FBBBA-6883-4068-98E3-F3932227449F}"	"AfwijkendeKantopsluiting"	""	""	""	"Afwijkende kantstrook"	"Afwijkende kantopsluiting, bestemd om de verharding steun te geven."	""	"Afwijkende kantstrook"	"Afwijkende kantopsluiting, bestemd om de verharding steun te geven."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"KantstrookAfw"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#AfwijkendeKantopsluiting"	""	""
