"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Lijnvormige-elementen"	"{AF4B4D14-F787-420b-8EF5-70532180A344}"	""	""	""	""	""	""	""	""	""	""	""	""	"http://"	"fixme.com"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Abstracten"	"GestandariseerdeKantopsluitingType"	"{2AD102A8-DADB-4299-98B8-8E62C0B5FD1F}"	""	""	""	""	"gestandariseerde kantopsluiting type"	"Abstracte van de gemeenschappelijke eigenschappen voor de gestandariseerde kantopsluiting types"	""	"gestandariseerde kantopsluiting type"	"Abstracte van de gemeenschappelijke eigenschappen voor de gestandariseerde kantopsluiting types"	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#"	"GestandariseerdeKantopsluitingType"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"TrottoirbandAfw"	"{519FE46D-7161-46f7-AC03-841D9E827E50}"	"AfwijkendeKantopsluiting"	""	""	""	"afwijkende trottoirband"	"Kantopsluiting bestemd om de rand van de verharding te beschermen en te versterken."	""	"afwijkende trottoirband"	"Kantopsluiting bestemd om de rand van de verharding te beschermen en te versterken."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#"	"TrottoirbandAfw"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#AfwijkendeKantopsluiting"	""	""
"CLASS"	"OSLO-Onderdeel"	"WatergreppelAfw"	"{1455340D-C3E8-4667-B99E-1F8291404695}"	"AfwijkendeKantopsluiting"	""	""	""	"afwijkende watergreppel"	"Kantopsluiting bestemd om water van de verharding op te vangen en af te voeren."	""	"afwijkende watergreppel"	"Kantopsluiting bestemd om water van de verharding op te vangen en af te voeren."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#"	"WatergreppelAfw"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#AfwijkendeKantopsluiting"	""	""
"CLASS"	"OSLO-Onderdeel"	"TrottoirbandWatergreppelAfw"	"{5E3CD29C-631F-4a5b-9820-4B7E09BA6686}"	"AfwijkendeKantopsluiting"	""	""	""	"afwijkende trottoirband-watergreppel"	"Kantopsluiting die een trottoirband en een watergreppel combineert in een geheel."	""	"afwijkende trottoirband-watergreppel"	"Kantopsluiting die een trottoirband en een watergreppel combineert in een geheel."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#"	"TrottoirbandWatergreppelAfw"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#AfwijkendeKantopsluiting"	""	""
"CLASS"	"OSLO-Onderdeel"	"KantstrookAfw"	"{AA4FF97F-F25D-4673-9FB3-60629AC48646}"	"AfwijkendeKantopsluiting"	""	""	""	"afwijkende kantstrook"	"Kantopsluiting bestemd om de verharding steun te geven."	""	"afwijkende kantstrook"	"Kantopsluiting bestemd om de verharding steun te geven."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#"	"KantstrookAfw"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#AfwijkendeKantopsluiting"	""	""
"CLASS"	"OSLO-Onderdeel"	"SchampkantAfw"	"{848EBDAB-D754-457f-BD5B-0A43CBB016A3}"	"AfwijkendeKantopsluiting"	""	""	""	"afwijkende schampkant"	"Kantopsluiting die zones van voertuigenverkeer onderling of voertuigenzones van andere
verkeerszones scheidt en de overschrijding door voertuigen bemoeilijkt maar geen voertuigkerende
functie heeft."	""	"afwijkende schampkant"	"Kantopsluiting die zones van voertuigenverkeer onderling of voertuigenzones van andere
verkeerszones scheidt en de overschrijding door voertuigen bemoeilijkt maar geen voertuigkerende
functie heeft."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#"	"SchampkantAfw"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#AfwijkendeKantopsluiting"	""	""
"CLASS"	"OSLO-Onderdeel"	"SchampkantStdType"	"{2D0CDEA7-5803-4329-9F91-0F3405EBF290}"	"GestandariseerdeKantopsluitingType"	""	""	""	"gestandaardiseerde schampkant type"	"Type object als template voor eigenschappen van de gestandaardiseerde schampkant."	""	"gestandaardiseerde schampkant type"	"Type object als template voor eigenschappen van de gestandaardiseerde schampkant."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#"	"SchampkantStdType"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#GestandariseerdeKantopsluitingType"	""	""
"CLASS"	"OSLO-Onderdeel"	"KantstrookStdType"	"{12BDFC88-187F-4f55-AC9D-ADA4D54EE8A5}"	"GestandariseerdeKantopsluitingType"	""	""	""	"gestandaardiseerde kantstrook type"	"Type object als template voor eigenschappen van de gestandaardiseerde kantstrook."	""	"gestandaardiseerde kantstrook type"	"Type object als template voor eigenschappen van de gestandaardiseerde kantstrook."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#"	"KantstrookStdType"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#GestandariseerdeKantopsluitingType"	""	""
"CLASS"	"OSLO-Onderdeel"	"TrottoirbandWatergreppelStdType"	"{938FDC76-692D-473c-A41E-C38C325BBA9C}"	"GestandariseerdeKantopsluitingType"	""	""	""	"gestandaardiseerde trottoirband-watergreppel type"	"Type object als template voor eigenschappen van de gestandaardiseerde trottoirband_watergreppel."	""	"gestandaardiseerde trottoirband-watergreppel type"	"Type object als template voor eigenschappen van de gestandaardiseerde trottoirband_watergreppel."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#"	"TrottoirbandWatergreppelStdType"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#GestandariseerdeKantopsluitingType"	""	""
