"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Luchtkwaliteit"	"{DC76DA0B-35B0-4d94-9E43-8247860D1B4D}"	""	""	""	""	""	""	""	""	""	""	""	""	"http://"	"fixme.com"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Implementatieelement"	"AWVNaamObject"	"{5C144615-47A1-4f8b-A119-B293BCFD84B5}"	"AWVObject"	""	""	""	"AWV naam object"	"Abstracte als de basisklasse voor elk OTL object dat benoemd wordt met een mensleesbare identificator. "	""	"AWV naam object"	"Abstracte als de basisklasse voor elk OTL object dat benoemd wordt met een mensleesbare identificator. "	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#"	"AWVNaamObject"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AWVObject"	""	""
"CLASS"	"OSLO-Abstracten"	"Controller"	"{ED1033C8-5031-478c-AA2F-4276A684A423}"	"AWVNaamObject"	""	""	""	"Controller"	"Abstracte voor allerlei types van controllers."	""	"Controller"	"Abstracte voor allerlei types van controllers."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"Controller"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AWVNaamObject"	""	""
"CLASS"	"OSLO-Implementatieelement"	"AWVObject"	"{C3CBD401-EC86-4363-9821-CCE89EB2F0A9}"	""	""	""	""	"AWV object"	"Abstracte als de basisklasse (super class) voor alle uniek geïdentificeerde OTL objecten met de basiseigenschappen die elk OTL object minstens heeft."	""	"AWV object"	"Abstracte als de basisklasse (super class) voor alle uniek geïdentificeerde OTL objecten met de basiseigenschappen die elk OTL object minstens heeft."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#"	"AWVObject"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"LKSensorDoorverbinddoos"	"{5D787D38-F4E3-419e-8EAF-3335CFE20713}"	"AWVObject"	""	""	""	"Sensor doorverbinddoos"	"TODO"	""	"Sensor doorverbinddoos"	"TODO"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"LKSensorDoorverbinddoos"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AWVObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"IOKaart"	"{3ABC664E-5A1A-4e30-B70F-F5748EF344ED}"	"AWVObject"	""	""	""	"IO-Kaart"	"TODO"	""	"IO-Kaart"	"TODO"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"IOKaart"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AWVObject"	""	""
"CLASS"	"OSLO-Installatie"	"Luchtkwaliteitsensor"	"{737988E1-5388-49d8-85B3-0EA0F065C90E}"	""	""	""	""	"Luchtkwaliteitsensor"	"TODO"	""	"Luchtkwaliteitsensor"	"TODO"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/installatie#"	"Luchtkwaliteitsensor"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"PLC"	"{387EDE6E-A7C0-48a6-B1B2-996DABF755B2}"	"Controller"	""	""	""	"PLC"	"TODO"	""	"PLC"	"TODO"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"PLC"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Controller"	""	""
"CLASS"	"OSLO-Abstracten"	"Luchtkwaliteit"	"{2C67CB02-505E-4cf0-B251-856D72EB6BA6}"	"AWVObject"	""	""	""	"Luchtkwaliteit"	"TODO"	""	"Luchtkwaliteit"	"TODO"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"Luchtkwaliteit"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AWVObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"LuchtkwaliteitControleUnit"	"{F53F76CD-FF15-499b-A0C9-A2306660305A}"	"Luchtkwaliteit"	""	""	""	"Luchtkwaliteit controle unit"	"TODO"	""	"Luchtkwaliteit controle unit"	"TODO"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"LuchtkwaliteitControleUnit"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Luchtkwaliteit"	""	""
