"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Master"	"{96C0791C-DE66-4916-A683-CB8B08C59A28}"	""	""	""	""	""	""	""	""	""	""	""	""	"http://"	"fixme.com"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Installatie"	"InspectieputRiolering"	"{5245F242-98A0-4444-8F83-F146C57FB153}"	""	""	""	""	"Inspectieput riolering"	"Dient om de aanwezige riolering te kunnen inspecteren,reinigen of onderhouden."	""	"Inspectieput riolering"	"Dient om de aanwezige riolering te kunnen inspecteren,reinigen of onderhouden."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/installatie#"	"InspectieputRiolering"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AIMObject, https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Put"	""	""
"CLASS"	"OSLO-Onderdeel"	"Riooltoegang"	"{D590AFF8-F111-47be-8827-2F78CC62D5F2}"	""	""	""	""	"Riooltoegang"	"Het uiteinde van een rioolbuis."	""	"Riooltoegang"	"Het uiteinde van een rioolbuis."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Riooltoegang"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AIMObject, https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Put"	""	""
"CLASS"	"OSLO-Onderdeel"	"Huisaansluitput"	"{E379EA60-80D2-480b-95CA-C35A6CB5DBD1}"	""	""	""	""	"Huisaansluitput"	"Het constructieonderdeel (putje of T-stuk) dat de verbinding vormt tussen de private riolering en de 
 huisaansluiting."	""	"Huisaansluitput"	"Het constructieonderdeel (putje of T-stuk) dat de verbinding vormt tussen de private riolering en de 
 huisaansluiting."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Huisaansluitput"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Put, https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#PutRelatie"	""	""
"CLASS"	"OSLO-Installatie"	"BlindePut"	"{E9687484-038F-451b-84C5-BA18FD190E5B}"	""	""	""	""	"Blinde put"	"Een put waar de riolering op aangesloten is maar die niet meer zichtbaar is."	""	"Blinde put"	"Een put waar de riolering op aangesloten is maar die niet meer zichtbaar is."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/installatie#"	"BlindePut"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AIMObject, https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Put"	""	""
"CLASS"	"OSLO-Onderdeel"	"Kopmuur"	"{75E36F54-2A91-4e33-A8D5-9CB85A14C344}"	""	""	""	""	"Kopmuur"	"Een kopmuur is een inrichtingselement van de wegbaan, dat gebruikt wordt voor de geleiding van verkeer bij grachten. Een kopmuur is een keermuur die een functie vervult van afwateringssysteem en is in de regel haaks op de hartlijn van de wegcorridor georiënteerd."	""	"Kopmuur"	"Een kopmuur is een inrichtingselement van de wegbaan, dat gebruikt wordt voor de geleiding van verkeer bij grachten. Een kopmuur is een keermuur die een functie vervult van afwateringssysteem en is in de regel haaks op de hartlijn van de wegcorridor georiënteerd."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Kopmuur"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AIMObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"Straatkolk"	"{00AAA6CF-1040-456d-A6CB-399463E4C654}"	""	""	""	""	"Straatkolk"	"De hemelwaterinlaatconstructie,meestal geplaatst in de straatgoot of watergreppel,waarlangs het 
 hemelwater van de verhardingen wordt afgevoerd."	""	"Straatkolk"	"De hemelwaterinlaatconstructie,meestal geplaatst in de straatgoot of watergreppel,waarlangs het 
 hemelwater van de verhardingen wordt afgevoerd."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Straatkolk"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Put, https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#PutRelatie"	""	""
"CLASS"	"OSLO-Onderdeel"	"Kamer"	"{AB2858A3-2186-4228-A0FD-136F34A56CEA}"	""	""	""	""	"Kamer"	"Een kamer is een aanééngesloten ondergrondse constructie waarbinnen vrije stroming van water over de
 bodem mogelijk is. Een constructie of inspectieput kan één of meerdere kamers hebben."	""	"Kamer"	"Een kamer is een aanééngesloten ondergrondse constructie waarbinnen vrije stroming van water over de
 bodem mogelijk is. Een constructie of inspectieput kan één of meerdere kamers hebben."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Kamer"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#PutRelatie"	""	""
"CLASS"	"OSLO-Proefenmeting"	"ProefGemetenDikte"	"{D32CDC35-9EA9-414b-993C-75DAEA1EBA1D}"	""	""	""	""	"Proef gemeten dikte"	"De effectieve dikte van de laag."	""	"Proef gemeten dikte"	"De effectieve dikte van de laag."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/proefenmeting#"	"ProefGemetenDikte"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Proef"	""	""
"CLASS"	"OSLO-Onderdeel"	"Schacht"	"{FEF6A58F-42A2-4665-85D7-E5AAB6EC1DA3}"	""	""	""	""	"Schacht"	"Gedeelte van de put tussen regeling en de kamer."	""	"Schacht"	"Gedeelte van de put tussen regeling en de kamer."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Schacht"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#PutRelatie"	""	""
