"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-OTL"	"{E219D48B-D93B-4a47-B625-594B6F94886A}"	""	""	""	""	""	""	""	""	""	""	""	""	"http://"	"fixme.com"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Abstracten"	"Geleiding"	"{7346FA01-2AB1-4c32-ABFB-E9444CC77577}"	"AWVObject"	""	""	""	""	""	""	""	"TODO"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"Geleiding"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AWVObject"	""	""
"CLASS"	"OSLO-Abstracten"	"WaterloopRelatie"	"{C81481D9-7417-48f8-A935-7605EF570082}"	"AWVNaamObject"	""	""	""	"Waterloop relatie"	"Abstracte om de gemeenschappelijke relaties van de verschillende soorten waterlopen onder 1 noemer te houden."	""	"Waterloop relatie"	"Abstracte om de gemeenschappelijke relaties van de verschillende soorten waterlopen onder 1 noemer te houden."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"WaterloopRelatie"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AWVNaamObject"	""	""
"CLASS"	"OSLO-Abstracten"	"GrensOeververharding"	"{168F0902-3C4A-4050-BE9F-3D7A24CB01CA}"	""	""	""	""	""	""	""	""	"TODO"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"GrensOeververharding"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Abstracten"	"GrensWaterloopbermen"	"{36FF8D96-2A54-48b2-B65F-905B04AEA795}"	""	""	""	""	""	""	""	""	"TODO"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"GrensWaterloopbermen"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Abstracten"	"GrensFunctiezone"	"{6351D230-2455-4c5b-9AA3-1C91435F7DF8}"	""	""	""	""	""	""	""	""	"TODO"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"GrensFunctiezone"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Abstracten"	"GrensVerhard"	"{8697FE4A-627A-4afd-B465-1860B3E189F2}"	""	""	""	""	""	""	""	""	"TODO"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"GrensVerhard"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Abstracten"	"GrensOnverhard"	"{CD55A078-DD64-46af-853F-088FC676BC9C}"	""	""	""	""	""	""	""	""	"TODO"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"GrensOnverhard"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Abstracten"	"AansluitendeConstructie"	"{0F7919D1-997B-45a5-973A-482A6E5131AA}"	"AfschermendeConstructie"	""	""	""	"Aansluitende constructie"	"Abstracte die alle aansluitende constructies samenbundelt."	""	"Aansluitende constructie"	"Abstracte die alle aansluitende constructies samenbundelt."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"AansluitendeConstructie"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#AfschermendeConstructie"	""	""
"CLASS"	"OSLO-Abstracten"	"GestandaardiseerdeKantopsluitingType"	"{2AD102A8-DADB-4299-98B8-8E62C0B5FD1F}"	""	""	""	""	"Gestandaardiseerde kantopsluiting type"	"Abstracte voor de gemeenschappelijke eigenschappen voor de gestandaardiseerde kantopsluiting types."	""	"Gestandaardiseerde kantopsluiting type"	"Abstracte voor de gemeenschappelijke eigenschappen voor de gestandaardiseerde kantopsluiting types."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"GestandaardiseerdeKantopsluitingType"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Abstracten"	"GestandaardiseerdeKantopsluiting"	"{2D14D96A-5311-422b-8C59-9402D4EE71DA}"	"Kantopsluiting"	""	""	""	"Gestandaardiseerde kantopsluiting"	"Abstracte voor een kantopsluiting die voldoet aan een bepaalde standaard."	""	"Gestandaardiseerde kantopsluiting"	"Abstracte voor een kantopsluiting die voldoet aan een bepaalde standaard."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"GestandaardiseerdeKantopsluiting"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Kantopsluiting"	""	""
