"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Optisch-Transport-Netwerk"	"{F6C96DBB-ECF4-4187-974D-AE18C0D78B85}"	""	""	""	""	""	""	""	""	""	""	""	""	"http://"	"fixme.com"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Abstracten"	"Voedingspunt"	"{AEA5D7F2-A679-4388-B1BB-5E545F18DF3A}"	""	""	""	""	"Voedingspunt"	"Abstracte voor het aansluitpunt van de voeding"	""	"Voedingspunt"	"Abstracte voor het aansluitpunt van de voeding"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"Voedingspunt"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Abstracten"	"ConstructieGroep"	"{E233D7D1-9013-4e8a-8C53-9F9310B5A7FD}"	""	""	""	""	"Constructie groep"	"TODO"	""	"Constructie groep"	"TODO"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"ConstructieGroep"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Abstracten"	"Ruimtes"	"{E469FF22-9017-4ec5-A947-52822DE9317B}"	"AWVNaamObject"	""	""	""	"Ruimtes"	"Abstracte voor alle ruimtes."	""	"Ruimtes"	"Abstracte voor alle ruimtes."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"Ruimtes"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AWVNaamObject"	""	""
"CLASS"	"OSLO-Installatie"	"ATOS"	"{F3BB98D8-FCAE-4c98-9340-6294470114ED}"	"NetwerkGroepering"	""	""	""	"ATOS"	"TODO"	""	"ATOS"	"TODO"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/installatie#"	"ATOS"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#NetwerkGroepering"	""	""
"CLASS"	"OSLO-Installatie"	"OTN"	"{2D3003A5-B989-4ab9-8680-520E5CB8FDCF}"	"NetwerkGroepering"	""	""	""	"OTN"	"TODO"	""	"OTN"	"TODO"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/installatie#"	"OTN"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#NetwerkGroepering"	""	""
"CLASS"	"OSLO-Installatie"	"WDM"	"{D97EA482-EDA9-44c5-AAF3-8CF6585B7207}"	"NetwerkGroepering"	""	""	""	"WDM"	"TODO"	""	"WDM"	"TODO"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/installatie#"	"WDM"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#NetwerkGroepering"	""	""
"CLASS"	"OSLO-Installatie"	"CEN"	"{DE7E90BD-0430-464e-B336-2329FBE5431C}"	"NetwerkGroepering"	""	""	""	"CEN"	"TODO"	""	"CEN"	"TODO"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/installatie#"	"CEN"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#NetwerkGroepering"	""	""
"CLASS"	"OSLO-Installatie"	"SDH"	"{DFCC12C9-7598-4f25-A7AB-3B9FE3EEBF24}"	"NetwerkGroepering"	""	""	""	"SDH"	"TODO"	""	"SDH"	"TODO"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/installatie#"	"SDH"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#NetwerkGroepering"	""	""
"CLASS"	"OSLO-Abstracten"	"NetwerkGroepering"	"{2DEDFFB3-89D8-410b-A844-C2B807083278}"	""	""	""	""	"Netwerk groepering"	"Abstracte die de aggregaties vat voor de verschillende  onderdelen van een netwerk ifv. de groepering."	""	"Netwerk groepering"	"Abstracte die de aggregaties vat voor de verschillende  onderdelen van een netwerk ifv. de groepering."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"NetwerkGroepering"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"Kast"	"{3EF2F3D8-F751-4012-8E69-2A37C90B436C}"	"Ruimtes"	""	""	""	"Kast"	"Omhullende behuizing bedoeld als bescherming van elektronische/elektrische apparatuur die erin geplaatst werd, hetzij laagspanningsschakelmateriaal, klemmenblokken..."	""	"Kast"	"Omhullende behuizing bedoeld als bescherming van elektronische/elektrische apparatuur die erin geplaatst werd, hetzij laagspanningsschakelmateriaal, klemmenblokken..."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Kast"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Ruimtes"	""	""
"CLASS"	"OSLO-Installatie"	"Lokaal"	"{73156F10-E61C-4253-B64E-0CCF91C761CE}"	"Ruimtes"	""	""	""	"Lokaal"	"TODO"	""	"Lokaal"	"TODO"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/installatie#"	"Lokaal"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Ruimtes"	""	""
"CLASS"	"OSLO-Onderdeel"	"Toezichtsput"	"{64A3BA2D-3E4E-4bea-9EAF-349B56D64CC5}"	"Ruimtes"	""	""	""	"Toezichtsput"	"Ondergrondse toezichtsput (manhole). Deze kan telecom installaties (glasvezel, koper) of elektriciteitskabels bevatten. 
Kan uit verschillende materialen bestaan: polycarbonaat, beton, gemetst, of staal. "	""	"Toezichtsput"	"Ondergrondse toezichtsput (manhole). Deze kan telecom installaties (glasvezel, koper) of elektriciteitskabels bevatten. 
Kan uit verschillende materialen bestaan: polycarbonaat, beton, gemetst, of staal. "	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Toezichtsput"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Ruimtes"	""	""
