"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Proeven-metingen"	"{E388FA1A-BCB4-4fdd-84C0-0E646CFF3F89}"	""	""	""	""	""	""	""	""	""	""	""	""	"http://"	"fixme.com"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Proefenmeting"	"ProefBindmiddeldosering"	"{93311489-545E-48dd-B237-D21C042C7B59}"	""	""	""	""	"Proef bindmiddeldosering"	"Proef om de hoeveelheid bindmiddel te bepalen die nodig is om de grond als funderingslaag te garanderen."	""	"Proef bindmiddeldosering"	"Proef om de hoeveelheid bindmiddel te bepalen die nodig is om de grond als funderingslaag te garanderen."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/proefenmeting#"	"ProefBindmiddeldosering"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Proef"	""	""
"CLASS"	"OSLO-Onderdeel"	"Boom"	"{9710C1B9-23C5-4338-8208-189716AF5DEB}"	""	""	""	""	"Boom"	"Een opgaande boom is een boom waarvan de vorm van de kruin overeenkomt met zijn natuurlijke, soortgebonden habitus. Opgaande bomen kunnen een hoge, lage, brede, smalle of een afwijkende groeivorm hebben, zoals zuil- en treurvormen. De boom kan zich op volstrekt natuurlijke wijze uitgezaaid hebben en zijn groeivorm kan bepaald zijn door de natuurlijke groeiomstandigheden (bv. natuurlijke snoei). Ontstond de boom in kunstmatige omstandigheden, dan is de groeivorm bepaald door de jeugdsnoei in de kwekerij en is het eindbeeld van de boom bepaald door de begeleidingssnoei of vormsnoei die wordt uitgevoerd vanaf het planten."	""	"Boom"	"Een opgaande boom is een boom waarvan de vorm van de kruin overeenkomt met zijn natuurlijke, soortgebonden habitus. Opgaande bomen kunnen een hoge, lage, brede, smalle of een afwijkende groeivorm hebben, zoals zuil- en treurvormen. De boom kan zich op volstrekt natuurlijke wijze uitgezaaid hebben en zijn groeivorm kan bepaald zijn door de natuurlijke groeiomstandigheden (bv. natuurlijke snoei). Ontstond de boom in kunstmatige omstandigheden, dan is de groeivorm bepaald door de jeugdsnoei in de kwekerij en is het eindbeeld van de boom bepaald door de begeleidingssnoei of vormsnoei die wordt uitgevoerd vanaf het planten."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Boom"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#VegetatieElement"	""	""
"CLASS"	"OSLO-Proefenmeting"	"ProefNaderOnderzoekTomograaf"	"{B05922AF-5829-4004-AE28-23D8E38E7745}"	""	""	""	""	"Proef nader onderzoek tomograaf"	"Een geluids- en/of elektrische weerstandstomografie is een niet-destructieve methode om rot en holtes in bomen op te sporen door gebruik van geluidsgolven en/of elektrische stroom."	""	"Proef nader onderzoek tomograaf"	"Een geluids- en/of elektrische weerstandstomografie is een niet-destructieve methode om rot en holtes in bomen op te sporen door gebruik van geluidsgolven en/of elektrische stroom."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/proefenmeting#"	"ProefNaderOnderzoekTomograaf"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Proef"	""	""
"CLASS"	"OSLO-Proefenmeting"	"ProefVerderOnderzoekTrekproef"	"{AC9CAE62-34FC-4f4c-8140-036CB0ECF37D}"	""	""	""	""	"Proef verder onderzoek trekproef"	"Een trekproef is een manier om nader te onderzoeken hoe het met de veiligheid van een (aangetaste of beschadigde) boom gesteld is. Door met een lier effectief aan een boom te trekken wordt de belasting bij storm in een model gegoten en getest."	""	"Proef verder onderzoek trekproef"	"Een trekproef is een manier om nader te onderzoeken hoe het met de veiligheid van een (aangetaste of beschadigde) boom gesteld is. Door met een lier effectief aan een boom te trekken wordt de belasting bij storm in een model gegoten en getest."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/proefenmeting#"	"ProefVerderOnderzoekTrekproef"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Proef"	""	""
"CLASS"	"OSLO-Proefenmeting"	"ProefBoomtoestand"	"{4CAF736F-DA20-4245-BC08-463B541BF157}"	""	""	""	""	"Proef boomtoestand"	"De toestand met waarnemingen per inspectie van een boom."	""	"Proef boomtoestand"	"De toestand met waarnemingen per inspectie van een boom."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/proefenmeting#"	"ProefBoomtoestand"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Proef"	""	""
"CLASS"	"OSLO-Proefenmeting"	"ProefZichtbaarheidBijNachtRegenweer"	"{C758FFD2-4130-44de-A09B-CF7717E29AF5}"	""	""	""	""	"Proef zichtbaarheid bij nacht en regenweer"	"Bepaling van het retroreflecterend vermogen van een markering bij nacht bij nat weer (tijdens regenbui)."	""	"Proef zichtbaarheid bij nacht en regenweer"	"Bepaling van het retroreflecterend vermogen van een markering bij nacht bij nat weer (tijdens regenbui)."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/proefenmeting#"	"ProefZichtbaarheidBijNachtRegenweer"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Proef"	""	""
"CLASS"	"OSLO-Proefenmeting"	"ProefZichtbaarheidBijNachtNatWegdek"	"{B827BA0F-10A3-43f5-9B49-569E7CCFB6C8}"	""	""	""	""	"Proef zichtbaarheid bij nacht bij nat wegdek"	"Bepaling van het retroreflecterend vermogen van een markering bij nacht bij nat wegdek."	""	"Proef zichtbaarheid bij nacht bij nat wegdek"	"Bepaling van het retroreflecterend vermogen van een markering bij nacht bij nat wegdek."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/proefenmeting#"	"ProefZichtbaarheidBijNachtNatWegdek"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Proef"	""	""
"CLASS"	"OSLO-Proefenmeting"	"ProefZichtbaarheidBijNacht"	"{B12C167F-3D29-4b18-8715-17C93D829D37}"	""	""	""	""	"Proef zichtbaarheid bij nacht"	"Bepaling van het retroreflecterend vermogen van een markering bij nacht."	""	"Proef zichtbaarheid bij nacht"	"Bepaling van het retroreflecterend vermogen van een markering bij nacht."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/proefenmeting#"	"ProefZichtbaarheidBijNacht"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Proef"	""	""
"CLASS"	"OSLO-Proefenmeting"	"ProefZichtbaarheidBijDagOfWV"	"{26449794-5B95-4603-A6FB-7B375E205E80}"	""	""	""	""	"Proef zichtbaarheid bij dag of wegverlichting"	"Bepaling van de luminantiecoëfficiënt bij diffuse verlichting van een gemarkeerd oppervlak (Qd) bij daglicht of onder openbare verlichting."	""	"Proef zichtbaarheid bij dag of wegverlichting"	"Bepaling van de luminantiecoëfficiënt bij diffuse verlichting van een gemarkeerd oppervlak (Qd) bij daglicht of onder openbare verlichting."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/proefenmeting#"	"ProefZichtbaarheidBijDagOfWV"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Proef"	""	""
"CLASS"	"OSLO-Proefenmeting"	"ProefLuminantie"	"{3B90D8D5-8304-4318-83A2-90C1156E5A4F}"	""	""	""	""	"Proef luminantie"	"Bij gebrek aan Qd-meting kan de luminantiefactor ß van wegmarkeringen gebruikt worden om het contrast met het wegdek en bijgevolg de dagzichtbaarheid te bepalen."	""	"Proef luminantie"	"Bij gebrek aan Qd-meting kan de luminantiefactor ß van wegmarkeringen gebruikt worden om het contrast met het wegdek en bijgevolg de dagzichtbaarheid te bepalen."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/proefenmeting#"	"ProefLuminantie"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Proef"	""	""
"CLASS"	"OSLO-Proefenmeting"	"ProefRetroreflectie"	"{B14F53F3-49EC-4a42-8BB2-1F5107E76323}"	""	""	""	""	"Proef retroreflectie"	"Het bepalen van de retroreflectiecoëfficiënt via een manuele retroreflectometer of via labotesten."	""	"Proef retroreflectie"	"Het bepalen van de retroreflectiecoëfficiënt via een manuele retroreflectometer of via labotesten."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/proefenmeting#"	"ProefRetroreflectie"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Proef"	""	""
"CLASS"	"OSLO-Onderdeel"	"RetroreflecterendVerkeersbord"	"{BADFBCD5-2049-415c-8C1B-ABF1F7EDC492}"	""	""	""	""	"Retroreflecterend verkeersbord"	"Verkeersbord met op het beeldvlak een tekening en/of tekst die worden weergegeven met een geëigend bekledingsmateriaal."	""	"Retroreflecterend verkeersbord"	"Verkeersbord met op het beeldvlak een tekening en/of tekst die worden weergegeven met een geëigend bekledingsmateriaal."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"RetroreflecterendVerkeersbord"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AIMObject, https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Verkeersbord"	""	""
"CLASS"	"OSLO-Abstracten"	"Markering"	"{B68FA608-8C6F-4708-B47C-B7936FF6EA10}"	""	""	""	""	"Markering"	"Abstracte als noemer voor de verschillende types van markeringen."	""	"Markering"	"Abstracte als noemer voor de verschillende types van markeringen."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"Markering"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AIMObject, https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Signalisatie"	""	""
"CLASS"	"OSLO-Proefenmeting"	"ProefLuchtdichtheid"	"{384A8D1E-0C3A-4af0-B1C5-9D4112ECEC66}"	""	""	""	""	"Proef luchtdichtheid"	"Testen van de drukval van het beproefde leidingsvak."	""	"Proef luchtdichtheid"	"Testen van de drukval van het beproefde leidingsvak."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/proefenmeting#"	"ProefLuchtdichtheid"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Proef"	""	""
"CLASS"	"OSLO-Abstracten"	"Put"	"{E7B646E5-1F24-4c7c-AC29-D842B3261824}"	""	""	""	""	"Put"	"Abstracte bedoeld om de verschillende soort putten onder te brengen en gemeenschappelijke eigenschappen over te dragen. De relaties worden overgedragen via de abstracte PutRelaties."	""	"Put"	"Abstracte bedoeld om de verschillende soort putten onder te brengen en gemeenschappelijke eigenschappen over te dragen. De relaties worden overgedragen via de abstracte PutRelaties."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"Put"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Proefenmeting"	"ProefWaterdichtheid"	"{17468210-5362-421d-9D91-C84C89D338BF}"	""	""	""	""	"Proef waterdichtheid"	"Testen van het waterverlies van het beproefde leidingsvak."	""	"Proef waterdichtheid"	"Testen van het waterverlies van het beproefde leidingsvak."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/proefenmeting#"	"ProefWaterdichtheid"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Proef"	""	""
"CLASS"	"OSLO-Abstracten"	"Buis"	"{71FC81DE-8AEC-4f3c-A5EB-409F128BB989}"	""	""	""	""	"Buis"	"Abstracte om de gemeenschappelijke eigenschappen en relaties van de verschillende soorten buizen onder één noemer te houden."	""	"Buis"	"Abstracte om de gemeenschappelijke eigenschappen en relaties van de verschillende soorten buizen onder één noemer te houden."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"Buis"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AIMObject"	""	""
"CLASS"	"OSLO-Proefenmeting"	"ProefStaalvezelgehalte"	"{5E292F0C-32BD-4a9a-A67A-AA73F85C595A}"	""	""	""	""	"Proef staalvezelgehalte"	"Bepaling van de hoeveelheid staalvezels in de cementbetonverharding."	""	"Proef staalvezelgehalte"	"Bepaling van de hoeveelheid staalvezels in de cementbetonverharding."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/proefenmeting#"	"ProefStaalvezelgehalte"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Proef"	""	""
"CLASS"	"OSLO-Proefenmeting"	"ProefWeerstandAfschilfering"	"{DD47DF4F-3D81-4679-9147-7F39C8FA8FA2}"	""	""	""	""	"Proef weerstand afschilfering"	"Controle van de vorst-dooiweerstand volgens CEN/TS 12390-9."	""	"Proef weerstand afschilfering"	"Controle van de vorst-dooiweerstand volgens CEN/TS 12390-9."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/proefenmeting#"	"ProefWeerstandAfschilfering"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Proef"	""	""
"CLASS"	"OSLO-Proefenmeting"	"ProefWatergehalte"	"{66C25D6D-0AF4-482d-8427-3C85072EBE9D}"	""	""	""	""	"Proef watergehalte"	"Bepaling van de hoeveelheid water die opgenomen kan worden in een betonverharding."	""	"Proef watergehalte"	"Bepaling van de hoeveelheid water die opgenomen kan worden in een betonverharding."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/proefenmeting#"	"ProefWatergehalte"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Proef"	""	""
"CLASS"	"OSLO-Proefenmeting"	"ProefVerankeringskracht"	"{22594C39-BE48-4487-95D8-2194EC615ABB}"	""	""	""	""	"Proef verankeringskracht"	"Een trekproef in situ om de verankering van de ankerstaven in een betonverharding te testen."	""	"Proef verankeringskracht"	"Een trekproef in situ om de verankering van de ankerstaven in een betonverharding te testen."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/proefenmeting#"	"ProefVerankeringskracht"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Proef"	""	""
"CLASS"	"OSLO-Proefenmeting"	"ProefHechtsterkte"	"{AA89C3EC-11E7-4697-9944-BA3CBD2E4316}"	""	""	""	""	"Proef hechtsterkte"	"Het resultaat van de trekproef waarbij een proefstuk wordt blootgesteld aan een stijgende spanning tot er een breuk optreedt."	""	"Proef hechtsterkte"	"Het resultaat van de trekproef waarbij een proefstuk wordt blootgesteld aan een stijgende spanning tot er een breuk optreedt."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/proefenmeting#"	"ProefHechtsterkte"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Proef"	""	""
"CLASS"	"OSLO-Onderdeel"	"Cementbetonverharding"	"{C52C6C90-17B6-498a-85F0-D214470280A2}"	""	""	""	""	"Cementbetonverharding"	"Stijve verharding met of zonder wapening verkregen door cementbeton te spreiden en mechanisch te verdichten."	""	"Cementbetonverharding"	"Stijve verharding met of zonder wapening verkregen door cementbeton te spreiden en mechanisch te verdichten."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Cementbetonverharding"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#LaagBouwklasse"	""	""
