"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Relaties"	"{7AA9595F-6E51-4ac7-8145-C41A579F67C1}"	""	""	""	""	""	""	""	""	""	""	""	""	"http://"	"fixme.com"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"NetwerkProtectie"	"{C2D583F0-421A-4e4d-B203-E31E89103CE7}"	""	""	""	""	"netwerk protectie"	"Deze relatie geeft aan wat de redundante paden/linken zijn van elkaar, dit is enkel in gebruik binnen het netwerk domein. Deze relatie heeft geen richting."	""	"netwerk protectie"	"Deze relatie geeft aan wat de redundante paden/linken zijn van elkaar, dit is enkel in gebruik binnen het netwerk domein. Deze relatie heeft geen richting."	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/onderdeel#"	"NetwerkProtectie"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"BestaatUit"	"{33933BBC-6918-403e-BC44-6AEB3A6ECD79}"	""	""	""	""	"bestaat uit"	"Deze relatie wordt gelegd tussen groeperingen en de onderdelen en/of groeperingen die hier deel van uitmaken."	""	"bestaat uit"	"Deze relatie wordt gelegd tussen groeperingen en de onderdelen en/of groeperingen die hier deel van uitmaken."	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/onderdeel#"	"BestaatUit"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"Bevestigd"	"{851E2395-627F-4352-8324-2E91CD6B80DE}"	""	""	""	""	"bevestigd"	"Deze relatie geeft aan dat 2 onderdelen direct fysiek op elkaar bevestigd zijn. Dit kan zowel aan de buitenkant als aan de binnenkant zijn zoals bv. een camera aan een paal of een laagspanningsbord in een kast. Deze relatie heeft geen richting."	""	"bevestigd"	"Deze relatie geeft aan dat 2 onderdelen direct fysiek op elkaar bevestigd zijn. Dit kan zowel aan de buitenkant als aan de binnenkant zijn zoals bv. een camera aan een paal of een laagspanningsbord in een kast. Deze relatie heeft geen richting."	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/onderdeel#"	"Bevestigd"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"HeeftGeometrie"	"{3C76BC49-2F47-4681-AB28-C24FA47DB38B}"	""	""	""	""	"heeft geometrie"	"Deze relatie legt een link tussen een fysiek object/onderdeel en de mogelijke geometrische representaties vanuit het LoG model. De richting loopt vanuit het fysiek object naar het geometrie object."	""	"heeft geometrie"	"Deze relatie legt een link tussen een fysiek object/onderdeel en de mogelijke geometrische representaties vanuit het LoG model. De richting loopt vanuit het fysiek object naar het geometrie object."	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/onderdeel#"	"HeeftGeometrie"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"LigtOp"	"{DD431B57-FDB0-484b-BF00-1921E46850DA}"	""	""	""	""	"ligt op"	"Deze relatie geeft aan dat 2 onderdelen direct fysiek op elkaar liggen. Deze relatie heeft geen richting."	""	"ligt op"	"Deze relatie geeft aan dat 2 onderdelen direct fysiek op elkaar liggen. Deze relatie heeft geen richting."	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/onderdeel#"	"LigtOp"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"NetwerkECC"	"{02589760-3C9A-4816-B275-69691BD8F937}"	""	""	""	""	"netwerk ECC"	"Deze relatie geeft aan hoe afgeschermde netwerkelementen bereikt kunnen worden vanuit het gewone netwerk. De relatie vertrekt steeds in het controlerende netwerkelement."	""	"netwerk ECC"	"Deze relatie geeft aan hoe afgeschermde netwerkelementen bereikt kunnen worden vanuit het gewone netwerk. De relatie vertrekt steeds in het controlerende netwerkelement."	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/onderdeel#"	"NetwerkECC"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"SluitAanOp"	"{81328BD8-BCDE-4489-A4CD-1D1011BEFC91}"	""	""	""	""	"sluit aan op"	"NOTES"	""	"sluit aan op"	"NOTES"	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/onderdeel#"	"SluitAanOp"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"Sturing"	"{13A4F9E6-F804-4033-81E8-9BC04BDF0DE7}"	""	""	""	""	"sturing"	"NOTES"	""	"sturing"	"NOTES"	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/onderdeel#"	"Sturing"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"SwGehostOp"	"{01F67A87-6D6C-41bd-8044-E1C1DC078312}"	""	""	""	""	"sw.gehost op"	"Deze relatie legt de link tussen een software en hardware onderdeel."	""	"sw.gehost op"	"Deze relatie legt de link tussen een software en hardware onderdeel."	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/onderdeel#"	"SwGehostOp"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
