"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Rioleringsgroepering"	"{C29F45B4-2485-459b-8E5A-47DF4B80B2FB}"	""	""	""	""	""	""	""	""	""	""	""	""	"http://"	"fixme.com"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Abstracten"	"WaterloopRelaties"	"{C81481D9-7417-48f8-A935-7605EF570082}"	""	""	""	""	"Waterloop relaties"	"Abstracte bedoeld om de relaties van de verschillende soorten waterlopen te groeperen."	""	"Waterloop relaties"	"Abstracte bedoeld om de relaties van de verschillende soorten waterlopen te groeperen."	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/abstracten#"	"WaterloopRelaties"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/proefenmeting#ProefBathymetrie, https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#AWVObject"	""	""
"CLASS"	"OSLO-Installatie"	"Riolering"	"{C1BC609F-3833-4730-B98C-81AF66ABBFE4}"	""	""	""	""	"Rioleringsgroepering"	"De groepering van de objecten die behoren tot de riolering."	""	"Rioleringsgroepering"	"De groepering van de objecten die behoren tot de riolering."	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/installatie#"	"Riolering"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#AWVObject"	""	""
"CLASS"	"OSLO-Abstracten"	"LinkendeElementen"	"{C21947AD-F6DC-4c97-8495-E1CF9D7DE221}"	""	""	""	""	"Linkende elementen"	"Abstracte bedoeld om alle attributen en relaties van linkende elementen te groeperen. Linkende elementen zijn objecten die aansluiten op een buis."	""	"Linkende elementen"	"Abstracte bedoeld om alle attributen en relaties van linkende elementen te groeperen. Linkende elementen zijn objecten die aansluiten op een buis."	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/abstracten#"	"LinkendeElementen"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#AWVObject"	""	""
"CLASS"	"OSLO-Abstracten"	"Buis"	"{71FC81DE-8AEC-4f3c-A5EB-409F128BB989}"	""	""	""	""	"Buis"	"Abstracte bedoeld om de gemeenschappelijke  attributen en relaties van de verschillende soorten buizen onder één noemer te houden."	""	"Buis"	"Abstracte bedoeld om de gemeenschappelijke  attributen en relaties van de verschillende soorten buizen onder één noemer te houden."	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/abstracten#"	"Buis"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#AWVObject, https://wegenenverkeer.data.vlaanderen.be/ns/proefenmeting#ProefBuis"	""	""
"CLASS"	"OSLO-Abstracten"	"PutRelaties"	"{0DACE256-8500-4cfc-8C13-97A76763C968}"	""	""	""	""	"Put relaties"	"Abstracte bedoeld om de relaties van de verschillende soorten putten te groeperen."	""	"Put relaties"	"Abstracte bedoeld om de relaties van de verschillende soorten putten te groeperen."	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/abstracten#"	"PutRelaties"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#AWVObject"	""	""
"attribute"	"OSLO-Installatie"	"rioleringsbeheerder"	"{11349BD8-B2CD-40ed-B020-A0A3DCB4B421}"	""	"Riolering"	"{C1BC609F-3833-4730-B98C-81AF66ABBFE4}"	"RioleringBeheerder"	"Rioleringsbeheerder"	"De beheerder van de rioleringsinfrastructuur."	""	"Rioleringsbeheerder"	"De beheerder van de rioleringsinfrastructuur."	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/installatie#"	"riolering.rioleringsbeheerder"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"https://data.vlaanderen.be/ns/wegenenverkeer/installatie#Riolering"	"https://data.vlaanderen.be/ns/wegenenverkeer/onderdeel#RioleringBeheerder"	""	"1"	"1"
"attribute"	"OSLO-Installatie"	"rioleringseigenaar"	"{714AD159-3A0F-4a91-BF47-F7347592E2B7}"	""	"Riolering"	"{C1BC609F-3833-4730-B98C-81AF66ABBFE4}"	"RioleringEigenaar"	"Rioleringseigenaar"	"De eigenaar van de rioleringsinfrastructuur zoals deze gekend is binnen AWIS 2.0."	""	"Rioleringseigenaar"	"De eigenaar van de rioleringsinfrastructuur zoals deze gekend is binnen AWIS 2.0."	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/installatie#"	"riolering.rioleringseigenaar"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"https://data.vlaanderen.be/ns/wegenenverkeer/installatie#Riolering"	"https://data.vlaanderen.be/ns/wegenenverkeer/onderdeel#RioleringEigenaar"	""	"1"	"1"
"attribute"	"OSLO-Installatie"	"rioleringsstelsel"	"{CE7F8C01-6B75-4383-9667-91BCCA946440}"	""	"Riolering"	"{C1BC609F-3833-4730-B98C-81AF66ABBFE4}"	"RioleringStelsel"	"Rioleringsstelsel"	"Geeft aan wat voor afvoerwater er door de riolering afgevoerd wordt."	""	"Rioleringsstelsel"	"Geeft aan wat voor afvoerwater er door de riolering afgevoerd wordt."	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/installatie#"	"riolering.rioleringsstelsel"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"https://data.vlaanderen.be/ns/wegenenverkeer/installatie#Riolering"	"https://data.vlaanderen.be/ns/wegenenverkeer/onderdeel#RioleringStelsel"	""	"1"	"1"
"attribute"	"OSLO-Abstracten"	"technischeFiche"	"{310BAEC8-42E9-4a15-87D8-7DCF2286AF8A}"	""	"LinkendeElementen"	"{C21947AD-F6DC-4c97-8495-E1CF9D7DE221}"	"AlgDocumenttype"	"Technische fiche"	"De technische fiche van een linkend element."	""	"Technische fiche"	"De technische fiche van een linkend element."	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/abstracten#"	"linkendeelementen.technischefiche"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"https://data.vlaanderen.be/ns/wegenenverkeer/abstracten#LinkendeElementen"	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#AlgDocumenttype"	""	"1"	"n"
"attribute"	"OSLO-Abstracten"	"bokAfwaarts"	"{C03A74B0-211E-475a-80A7-512B6EE869B2}"	""	"Buis"	"{71FC81DE-8AEC-4f3c-A5EB-409F128BB989}"	"MeterTAW"	"BOK-afwaarts"	"Peil in meter-TAW van de vloei aan de afwaartse kant van de buis."	""	"BOK-afwaarts"	"Peil in meter-TAW van de vloei aan de afwaartse kant van de buis."	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/abstracten#"	"buis.bokafwaarts"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"https://data.vlaanderen.be/ns/wegenenverkeer/abstracten#Buis"	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#MeterTAW"	""	"1"	"1"
"attribute"	"OSLO-Abstracten"	"bokOpwaarts"	"{6F7A411F-9E0F-476b-9096-AF555F4A7D4B}"	""	"Buis"	"{71FC81DE-8AEC-4f3c-A5EB-409F128BB989}"	"MeterTAW"	"Bok opwaarts"	"Peil in meter-TAW van de vloei aan de opwaartse kant van de buis."	""	"Bok opwaarts"	"Peil in meter-TAW van de vloei aan de opwaartse kant van de buis."	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/abstracten#"	"buis.bokopwaarts"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"https://data.vlaanderen.be/ns/wegenenverkeer/abstracten#Buis"	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#MeterTAW"	""	"1"	"1"
"attribute"	"OSLO-Abstracten"	"breedte"	"{5F80F989-1DF5-4a83-8E51-9AE4909685C8}"	""	"Buis"	"{71FC81DE-8AEC-4f3c-A5EB-409F128BB989}"	"Millimeter"	"Breedte"	"De breedte van de buis in millimeter."	""	"Breedte"	"De breedte van de buis in millimeter."	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/abstracten#"	"buis.breedte"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"https://data.vlaanderen.be/ns/wegenenverkeer/abstracten#Buis"	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#Millimeter"	""	"1"	"1"
"attribute"	"OSLO-Abstracten"	"diepteAfwaarts"	"{19E9E981-2449-487d-A2C6-F6F5F98E3029}"	""	"Buis"	"{71FC81DE-8AEC-4f3c-A5EB-409F128BB989}"	"KwantWrdInMeter"	"Diepte afwaarts"	"Diepte van de vloei aan de afwaartse kant van de buis tov de bovenkant van het deksel."	""	"Diepte afwaarts"	"Diepte van de vloei aan de afwaartse kant van de buis tov de bovenkant van het deksel."	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/abstracten#"	"buis.diepteafwaarts"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"https://data.vlaanderen.be/ns/wegenenverkeer/abstracten#Buis"	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#KwantWrdInMeter"	""	"1"	"1"
"attribute"	"OSLO-Abstracten"	"diepteOpwaarts"	"{C73ADBA1-AB34-48f0-8210-F2ACD8326DCD}"	""	"Buis"	"{71FC81DE-8AEC-4f3c-A5EB-409F128BB989}"	"KwantWrdInMeter"	"Diepte opwaarts"	"De diepte van de vloei aan de opwaartse kant van de buis tov de bovenkant van het deksel."	""	"Diepte opwaarts"	"De diepte van de vloei aan de opwaartse kant van de buis tov de bovenkant van het deksel."	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/abstracten#"	"buis.diepteopwaarts"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"https://data.vlaanderen.be/ns/wegenenverkeer/abstracten#Buis"	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#KwantWrdInMeter"	""	"1"	"1"
"attribute"	"OSLO-Abstracten"	"helling"	"{48691ACA-9688-4656-B6C4-F6A509E835DE}"	""	"Buis"	"{71FC81DE-8AEC-4f3c-A5EB-409F128BB989}"	"Promille"	"Helling"	"De helling van de buis in de lengterichting, uitgedrukt in ."	""	"Helling"	"De helling van de buis in de lengterichting, uitgedrukt in ."	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/abstracten#"	"buis.helling"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"https://data.vlaanderen.be/ns/wegenenverkeer/abstracten#Buis"	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#Promille"	""	"1"	"1"
