"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Rioleringsgroepering"	"{C29F45B4-2485-459b-8E5A-47DF4B80B2FB}"	""	""	""	""	""	""	""	""	""	""	""	""	"http://"	"fixme.com"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Abstracten"	"WaterloopRelatie"	"{C81481D9-7417-48f8-A935-7605EF570082}"	""	""	""	""	"Waterloop relatie"	"Abstracte om de gemeenschappelijke relaties van de verschillende soorten waterlopen onder 1 noemer te houden."	""	"Waterloop relatie"	"Abstracte om de gemeenschappelijke relaties van de verschillende soorten waterlopen onder 1 noemer te houden."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#"	"WaterloopRelatie"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Installatie"	"Riolering"	"{C1BC609F-3833-4730-B98C-81AF66ABBFE4}"	""	""	""	""	"Riolering"	"De groepering van de objecten die behoren tot de riolering."	""	"Riolering"	"De groepering van de objecten die behoren tot de riolering."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/installatie#"	"Riolering"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Abstracten"	"LinkendElement"	"{C21947AD-F6DC-4c97-8495-E1CF9D7DE221}"	""	""	""	""	"Linkend element"	"Abstracte bedoeld om alle eigenschappen en relaties van linkende elementen te groeperen. Linkende elementen zijn objecten die aansluiten op een buis."	""	"Linkend element"	"Abstracte bedoeld om alle eigenschappen en relaties van linkende elementen te groeperen. Linkende elementen zijn objecten die aansluiten op een buis."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#"	"LinkendElement"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Abstracten"	"Buis"	"{71FC81DE-8AEC-4f3c-A5EB-409F128BB989}"	""	""	""	""	"Buis"	"Abstracte om de gemeenschappelijke eigenschappen en relaties van de verschillende soorten buizen onder één noemer te houden."	""	"Buis"	"Abstracte om de gemeenschappelijke eigenschappen en relaties van de verschillende soorten buizen onder één noemer te houden."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#"	"Buis"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Abstracten"	"PutRelatie"	"{0DACE256-8500-4cfc-8C13-97A76763C968}"	""	""	""	""	"Put relatie"	"Abstracte om de relaties van de verschillende soorten putten te groeperen."	""	"Put relatie"	"Abstracte om de relaties van de verschillende soorten putten te groeperen."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#"	"PutRelatie"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"attribute"	"OSLO-Installatie"	"rioleringsbeheerder"	"{11349BD8-B2CD-40ed-B020-A0A3DCB4B421}"	""	"Riolering"	"{C1BC609F-3833-4730-B98C-81AF66ABBFE4}"	"KlRioleringBeheerder"	"rioleringsbeheerder"	"De beheerder van de rioleringsinfrastructuur."	""	"rioleringsbeheerder"	"De beheerder van de rioleringsinfrastructuur."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/installatie#"	"Riolering.rioleringsbeheerder"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"https://wegenenverkeer.data.vlaanderen.be/ns/installatie#Riolering"	"http://www.w3.org/2004/02/skos/core#Concept"	""	"1"	"1"
"attribute"	"OSLO-Installatie"	"rioleringseigenaar"	"{714AD159-3A0F-4a91-BF47-F7347592E2B7}"	""	"Riolering"	"{C1BC609F-3833-4730-B98C-81AF66ABBFE4}"	"KlRioleringEigenaar"	"rioleringseigenaar"	"De eigenaar van de rioleringsinfrastructuur zoals deze gekend is binnen AWIS 2.0."	""	"rioleringseigenaar"	"De eigenaar van de rioleringsinfrastructuur zoals deze gekend is binnen AWIS 2.0."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/installatie#"	"Riolering.rioleringseigenaar"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"https://wegenenverkeer.data.vlaanderen.be/ns/installatie#Riolering"	"http://www.w3.org/2004/02/skos/core#Concept"	""	"1"	"1"
"attribute"	"OSLO-Installatie"	"rioleringsstelsel"	"{CE7F8C01-6B75-4383-9667-91BCCA946440}"	""	"Riolering"	"{C1BC609F-3833-4730-B98C-81AF66ABBFE4}"	"KlRioleringStelsel"	"rioleringsstelsel"	"Geeft aan wat voor afvoerwater er door de riolering afgevoerd wordt."	""	"rioleringsstelsel"	"Geeft aan wat voor afvoerwater er door de riolering afgevoerd wordt."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/installatie#"	"Riolering.rioleringsstelsel"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"https://wegenenverkeer.data.vlaanderen.be/ns/installatie#Riolering"	"http://www.w3.org/2004/02/skos/core#Concept"	""	"1"	"1"
"attribute"	"OSLO-Abstracten"	"technischeFiche"	"{310BAEC8-42E9-4a15-87D8-7DCF2286AF8A}"	""	"LinkendElement"	"{C21947AD-F6DC-4c97-8495-E1CF9D7DE221}"	"DtcAWVDocument"	"technische fiche"	"De technische fiche van een linkend element."	""	"technische fiche"	"De technische fiche van een linkend element."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#"	"LinkendElement.technischeFiche"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#LinkendElement"	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#DtcAWVDocument"	""	"1"	"*"
