"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Signalisatie"	"{3F9DEFCA-1236-481d-B8D3-AFFA9FFA8C13}"	""	""	""	""	""	""	""	""	""	""	""	""	"http://"	"fixme.com"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"Verankeringsmassief"	"{56AC1BE5-7F47-4188-9BAA-B7D5B0621BEE}"	""	""	""	""	"verankeringsmassief"	"Een fundering waarin ankers zijn aangebracht en die zorgen voor bevestiging en stabilisatie van een object."	""	"verankeringsmassief"	"Een fundering waarin ankers zijn aangebracht en die zorgen voor bevestiging en stabilisatie van een object."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Verankeringsmassief"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Betonfundering"	""	""
"CLASS"	"OSLO-Onderdeel"	"Funderingsmassief"	"{9AEFFBA6-9203-4938-A99F-9D0BF6011245}"	""	""	""	""	"funderingsmassief"	"Een fundering waarop een object geplaatst wordt of er (in principe) onlosmakelijk in vastgezet wordt."	""	"funderingsmassief"	"Een fundering waarop een object geplaatst wordt of er (in principe) onlosmakelijk in vastgezet wordt."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Funderingsmassief"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Fundering"	""	""
"CLASS"	"OSLO-Abstracten"	"LEDBord"	"{F187537E-709C-46c3-BAB7-0F8CEE2BC9F4}"	"Verkeersbord"	""	""	""	"LED-bord"	"Abstracte klasse die de gemeenschappelijke eigenschappen van verschillende types dynamische verkeersborden groepeert."	""	"LED-bord"	"Abstracte klasse die de gemeenschappelijke eigenschappen van verschillende types dynamische verkeersborden groepeert."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"LEDBord"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AIMNaamObject, https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Verkeersbord"	""	""
"CLASS"	"OSLO-Onderdeel"	"RetroreflecterendeFolie"	"{6FF9C6D2-7395-4ab5-A9C0-F39F1456CC2C}"	""	""	""	""	"Retroreflecterende folie"	"Retroreflecterend bekledingsmateriaal,bijvoorbeeld van een divergentiepuntbebakeningselement,retroreflecterende koker,of het beeldvlak van een retroreflecterend verkeersbord."	""	"Retroreflecterende folie"	"Retroreflecterend bekledingsmateriaal,bijvoorbeeld van een divergentiepuntbebakeningselement,retroreflecterende koker,of het beeldvlak van een retroreflecterend verkeersbord."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"RetroreflecterendeFolie"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AIMObject"	""	""
"CLASS"	"OSLO-Abstracten"	"Verkeersbord"	"{1C34AFBE-AAAE-4db2-901C-11FD30255EB1}"	""	""	""	""	"Verkeersbord"	"Abstracte klasse voor borden die een fysieke drager van verkeerstekens kunnen zijn waarvan de betekenis bepaald wordt door een verkeersbordconcept."	""	"Verkeersbord"	"Abstracte klasse voor borden die een fysieke drager van verkeerstekens kunnen zijn waarvan de betekenis bepaald wordt door een verkeersbordconcept."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"Verkeersbord"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Abstracten"	"Kantopsluiting"	"{F9C4C786-FE87-4741-AF74-E700228CA681}"	""	""	""	""	"Kantopsluiting"	"Abstracte voor de gemeenschappelijke eigenschappen en relaties voor de kantopsluiting."	""	"Kantopsluiting"	"Abstracte voor de gemeenschappelijke eigenschappen en relaties voor de kantopsluiting."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"Kantopsluiting"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#LijnvormigElement"	""	""
"CLASS"	"OSLO-Onderdeel"	"Divergentiepuntbebakeningselement"	"{9209B4BD-4FBA-4293-A859-30D722787D26}"	"Signalisatie"	""	""	""	"Divergentiepuntbebakeningselement"	"Een constructie met als doel de zichtbaarheid van het divergentiepunt te vergroten."	""	"Divergentiepuntbebakeningselement"	"Een constructie met als doel de zichtbaarheid van het divergentiepunt te vergroten."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Divergentiepuntbebakeningselement"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AIMObject, https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Signalisatie"	""	""
"CLASS"	"OSLO-Onderdeel"	"BitumineuzeLaag"	"{F805CC8C-5250-4e0f-BF8B-C8483210D79B}"	""	""	""	""	"Bitumineuze laag"	"Flexibele verharding die meestal uit bitumineus gebonden materialen (asfalt of gietasfalt) bestaat en laagsgewijs wordt aangelegd."	""	"Bitumineuze laag"	"Flexibele verharding die meestal uit bitumineus gebonden materialen (asfalt of gietasfalt) bestaat en laagsgewijs wordt aangelegd."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"BitumineuzeLaag"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#LaagBouwklasse"	""	""
"CLASS"	"OSLO-Onderdeel"	"Cementbetonverharding"	"{88CAE559-640D-4dd8-B455-0272FE56FAE3}"	""	""	""	""	"Cementbetonverharding"	"Stijve verharding met of zonder wapening verkregen door cementbeton te spreiden en mechanisch te verdichten."	""	"Cementbetonverharding"	"Stijve verharding met of zonder wapening verkregen door cementbeton te spreiden en mechanisch te verdichten."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Cementbetonverharding"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#LaagBouwklasse"	""	""
"CLASS"	"OSLO-Abstracten"	"AfschermendeConstructie"	"{0B8AEA3E-11F9-4c16-A842-09CF25827667}"	""	""	""	""	"Afschermende constructie"	"Abstracte die,een lijn- of puntvormige constructie geïnstalleerd langs de weg om een kerend vermogen te bieden aan een dwalend voertuig,samenvat."	""	"Afschermende constructie"	"Abstracte die,een lijn- of puntvormige constructie geïnstalleerd langs de weg om een kerend vermogen te bieden aan een dwalend voertuig,samenvat."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"AfschermendeConstructie"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#LijnvormigElement"	""	""
"CLASS"	"OSLO-Onderdeel"	"DwarseMarkeringVerschuind"	"{0A8DC460-6CF4-4228-AE31-E90186096B93}"	"DwarseMarkeringToegang"	""	""	""	"Dwarse markering verschuind"	"Een schuine markering dwars op de weg aangebracht om het verkeer te waarschuwen,informeren of regelen."	""	"Dwarse markering verschuind"	"Een schuine markering dwars op de weg aangebracht om het verkeer te waarschuwen,informeren of regelen."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"DwarseMarkeringVerschuind"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#DwarseMarkeringToegang"	""	""
"CLASS"	"OSLO-Abstracten"	"DwarseMarkeringToegang"	"{34A9677D-4055-469d-A123-DB55E25B149E}"	"AOWSType, Markering"	""	""	""	"dwarse markering toegang"	"Abstracte als toegang tot de verschillende soorten dwarse markeringen."	""	"dwarse markering toegang"	"Abstracte als toegang tot de verschillende soorten dwarse markeringen."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"DwarseMarkeringToegang"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Markering, https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#AOWSType"	""	""
