"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Signalisatie"	"{620082E7-303F-40fe-9838-EAD6C0B548B7}"	""	""	""	""	""	""	""	""	""	""	""	""	"http://"	"fixme.com"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"Wegreflector"	"{7395D4D4-AF86-4438-873F-C6E4F1D5E229}"	"Bebakening"	""	""	""	"Wegreflector"	"Een wegreflector heeft als doel de zichtbaarheid van verkeerseilanden te verhogen en geleiding van de weggebruiker langs de weg"	""	"Wegreflector"	"Een wegreflector heeft als doel de zichtbaarheid van verkeerseilanden te verhogen en geleiding van de weggebruiker langs de weg"	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/onderdeel#"	"Wegreflector"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/wegenenverkeer/abstracten#Bebakening"	""	""
"CLASS"	"OSLO-Onderdeel"	"Reflectorpaal"	"{2996C91D-33E4-4eb5-857F-371C553DA782}"	"Bebakening"	""	""	""	"Reflectorpaal"	"Een kunstoffen paal met reflector met als doel langsgeleiding van de weggebruiker langs de weg"	""	"Reflectorpaal"	"Een kunstoffen paal met reflector met als doel langsgeleiding van de weggebruiker langs de weg"	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/onderdeel#"	"Reflectorpaal"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/wegenenverkeer/abstracten#Bebakening"	""	""
"CLASS"	"OSLO-Onderdeel"	"WegbebakeningAfschermendeConstructies"	"{4DE5A77F-D533-4cc4-871E-73A435E9E986}"	"Bebakening"	""	""	""	"Wegbebakening afschermende constructies"	"Een houder met reflector op een constructie met als doel het verkeer te geleiden en het verloop van de weg te zien"	""	"Wegbebakening afschermende constructies"	"Een houder met reflector op een constructie met als doel het verkeer te geleiden en het verloop van de weg te zien"	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/onderdeel#"	"WegbebakeningAfschermendeConstructies"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/wegenenverkeer/abstracten#Bebakening"	""	""
"CLASS"	"OSLO-Onderdeel"	"ReflectorInLijnvormigElement"	"{60EA18F5-D9CA-4fca-B52A-16EED4F2E072}"	"Bebakening"	""	""	""	"Reflector in lijnvormig element"	"Een reflector dat deel uitmaakt van een constructie met als doel de zichtbaarheid van deze constructie te verhogen"	""	"Reflector in lijnvormig element"	"Een reflector dat deel uitmaakt van een constructie met als doel de zichtbaarheid van deze constructie te verhogen"	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/onderdeel#"	"ReflectorInLijnvormigElement"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/wegenenverkeer/abstracten#Bebakening"	""	""
"CLASS"	"OSLO-Abstracten"	"Draagconstructies"	"{C1093B52-E90F-4b82-A3D3-DB7D8AAE1271}"	""	""	""	""	"Draagconstructies"	"Verzameling van alle draagconstructies"	""	"Draagconstructies"	"Verzameling van alle draagconstructies"	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/abstracten#"	"Draagconstructies"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"OmegaElement"	"{5887524D-B249-4ee7-9961-8BB6B2666A2A}"	"Straatmeubilair"	""	""	""	"Omega element"	"Een voetgangersafsluiting met als doel om de voetgangers te geleiden"	""	"Omega element"	"Een voetgangersafsluiting met als doel om de voetgangers te geleiden"	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/onderdeel#"	"OmegaElement"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/wegenenverkeer/abstracten#Straatmeubilair"	""	""
"CLASS"	"OSLO-Onderdeel"	"AntiParkeerpaal"	"{9446CC7E-3FD3-4e88-91C7-091AE1B62BB0}"	"Straatmeubilair"	""	""	""	"Anti parkeerpaal"	"Een hardhouten, hard kunststoffen of metalen paal met als doel het parkeren te verhinderen"	""	"Anti parkeerpaal"	"Een hardhouten, hard kunststoffen of metalen paal met als doel het parkeren te verhinderen"	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/onderdeel#"	"AntiParkeerpaal"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/wegenenverkeer/abstracten#Straatmeubilair"	""	""
"CLASS"	"OSLO-Onderdeel"	"Plooibaken"	"{733A1FDD-742D-4562-B086-2F9E2F761A9C}"	"Straatmeubilair"	""	""	""	"Plooibaken"	"Een zacht kunststoffen paal met verschillende diameter en 3 reflecterende banden"	""	"Plooibaken"	"Een zacht kunststoffen paal met verschillende diameter en 3 reflecterende banden"	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/onderdeel#"	"Plooibaken"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/wegenenverkeer/abstracten#Straatmeubilair"	""	""
"CLASS"	"OSLO-Installatie"	"VerkeersbordOpstelling"	"{805F65BB-EF14-45df-8034-FD9A3B6F8E4D}"	"Signalisatie"	""	""	""	""	""	""	""	"TODO"	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/installatie#"	"VerkeersbordOpstelling"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/wegenenverkeer/abstracten#Signalisatie"	""	""
"CLASS"	"OSLO-Abstracten"	"Signalisatie"	"{92092140-81B9-4aea-8495-C1CC94F9713F}"	""	""	""	""	"Signalisatie"	"abstracte voor de gemeenschappelijke attributen aanlegdatum en wegbeheerder"	""	"Signalisatie"	"abstracte voor de gemeenschappelijke attributen aanlegdatum en wegbeheerder"	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/abstracten#"	"Signalisatie"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"Wildreflector"	"{E7B9A61E-89E9-4678-8C44-DE48D034E043}"	"Bebakening"	""	""	""	"Wildreflector"	"Een wildreflector is een reflecterend afschrikkingssysteem voor groot en klein wild nabij een weg."	""	"Wildreflector"	"Een wildreflector is een reflecterend afschrikkingssysteem voor groot en klein wild nabij een weg."	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/onderdeel#"	"Wildreflector"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/wegenenverkeer/onderdeel#AndereEcologischeMaatregelen, https://data.vlaanderen.be/ns/wegenenverkeer/abstracten#Bebakening"	""	""
"CLASS"	"OSLO-Onderdeel"	"Verkeersspiegel"	"{E4929D6F-58E9-450d-B6DA-9241056F5875}"	"Signalisatie"	""	""	""	"Verkeersspiegel"	"Een verkeersspiegel is een spiegel die de zichtbaarheid verbetert van het aankomende verkeer."	""	"Verkeersspiegel"	"Een verkeersspiegel is een spiegel die de zichtbaarheid verbetert van het aankomende verkeer."	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/onderdeel#"	"Verkeersspiegel"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/wegenenverkeer/abstracten#Signalisatie"	""	""
"CLASS"	"OSLO-Abstracten"	"Straatmeubilair"	"{61B59B9B-57FC-4b6a-8EF3-740350B5BC57}"	"Signalisatie"	""	""	""	"Straatmeubilair"	"abstracte bedoeld om het straatmeubilair onder 1 noemer te houden"	""	"Straatmeubilair"	"abstracte bedoeld om het straatmeubilair onder 1 noemer te houden"	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/abstracten#"	"Straatmeubilair"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/wegenenverkeer/abstracten#Signalisatie"	""	""
