"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Software-Hardware"	"{7134C08C-7E98-4b14-BC98-E5FF923F3FAD}"	""	""	""	""	""	""	""	""	""	""	""	""	"http://"	"fixme.com"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"PLC"	"{0FC65F63-7DC6-46cc-9796-137666469704}"	""	""	""	""	"PLC"	"Een verwerkingseenheid die volgens een vaste cyclus op basis van informatie van zijn ingangen, zijn uitgangen aanstuurt op basis van zijn programma. Omwille van zijn vormfactor kan de eenheid gebruikt worden in een vijandige omgeving."	""	"PLC"	"Een verwerkingseenheid die volgens een vaste cyclus op basis van informatie van zijn ingangen, zijn uitgangen aanstuurt op basis van zijn programma. Omwille van zijn vormfactor kan de eenheid gebruikt worden in een vijandige omgeving."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"PLC"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Controller"	""	""
"CLASS"	"OSLO-Onderdeel"	"Dongle"	"{560A79A3-AC6C-4e88-9CD1-B5D7385596CC}"	""	""	""	""	"Dongle"	"Een hardwaresleutel."	""	"Dongle"	"Een hardwaresleutel."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Dongle"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AIMNaamObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"Netwerkpoort"	"{FA055CAA-95C1-414a-9057-0A6D8F8281BC}"	""	""	""	""	"Netwerkpoort"	"Is de ingang van het toestel samen met component die erop zit bv. SFP,XFP,..."	""	"Netwerkpoort"	"Is de ingang van het toestel samen met component die erop zit bv. SFP,XFP,..."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Netwerkpoort"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AIMNaamObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"Netwerkelement"	"{38597120-B794-4e5a-8B1F-A0BCA1EE7EE3}"	""	""	""	""	"Netwerkelement"	"Toestel,onderdeel van het netwerk,waarop netwerkverbindingen kunnen aangelegd worden."	""	"Netwerkelement"	"Toestel,onderdeel van het netwerk,waarop netwerkverbindingen kunnen aangelegd worden."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Netwerkelement"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AIMNaamObject"	""	""
"CLASS"	"OSLO-Abstracten"	"SoftwareToegang"	"{18A8DC5D-85FA-40e2-B512-F82BCB436696}"	""	""	""	""	"Software toegang"	"Een abstracte waarmee een object kan connecteren naar software,al dan niet door gebruik te maken van de logische poort."	""	"Software toegang"	"Een abstracte waarmee een object kan connecteren naar software,al dan niet door gebruik te maken van de logische poort."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"SoftwareToegang"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AIMNaamObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"LogischePoort"	"{94416584-E9E5-4b17-8476-0EC0605B58F1}"	"SoftwareToegang"	""	""	""	"Logische poort"	"Een 'logische' connectie waaraan een nummer tussen 0 en 65536 wordt toegewezen."	""	"Logische poort"	"Een 'logische' connectie waaraan een nummer tussen 0 en 65536 wordt toegewezen."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"LogischePoort"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#SoftwareToegang"	""	""
"CLASS"	"OSLO-Onderdeel"	"GPU"	"{A6ECDFD1-572A-4b89-B862-4E14BA3AB485}"	""	""	""	""	"GPU"	"Grafische verwerkingseenheid."	""	"GPU"	"Grafische verwerkingseenheid."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"GPU"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AIMNaamObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"Cluster"	"{CA15EBBD-2868-43a5-ADC0-29DAA21C16E0}"	""	""	""	""	"Cluster"	"Groep van servers die samenwerken om een gemeenschappelijk doel te bereiken (zowel voor groeperen van resources en/of redundantie)."	""	"Cluster"	"Groep van servers die samenwerken om een gemeenschappelijk doel te bereiken (zowel voor groeperen van resources en/of redundantie)."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Cluster"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AIMNaamObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"PCIKaart"	"{C95070FB-3E73-42f1-BD47-34F95870E8B3}"	""	""	""	""	"PCI-kaart"	"Peripheral Component Interconnect of uitbreidingssleuf."	""	"PCI-kaart"	"Peripheral Component Interconnect of uitbreidingssleuf."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"PCIKaart"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AIMNaamObject"	""	""
