"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Software-Hardware"	"{B9EB43EC-EE1B-4494-BD0C-EC5B0C3AD083}"	""	""	""	""	""	""	""	""	""	""	""	""	"http://"	"fixme.com"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Abstracten"	"Voedingspunt"	"{AEA5D7F2-A679-4388-B1BB-5E545F18DF3A}"	"AWVNaamObject"	""	""	""	"Voedingspunt"	"Abstracte voor het aansluitpunt van de voeding"	""	"Voedingspunt"	"Abstracte voor het aansluitpunt van de voeding"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"Voedingspunt"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AWVNaamObject"	""	""
"CLASS"	"OSLO-Implementatieelement"	"EmInfraToezicht"	"{008B71BF-513E-4ba7-996A-FBE5C5C9D849}"	""	""	""	""	"EM-infra toezicht"	"Abstracte die de attributen toevoegt die nodig zijn voor toezicht zoals gebruikt binnen EM-infra."	""	"EM-infra toezicht"	"Abstracte die de attributen toevoegt die nodig zijn voor toezicht zoals gebruikt binnen EM-infra."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#"	"EmInfraToezicht"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Implementatieelement"	"EmInfraLevenscyclus"	"{03A2745A-F7B7-407a-8949-663C7ABE9419}"	""	""	""	""	"EM-infra levenscyclus"	"Abstracte die de attributen toevoegt die nodig zijn voor de levenscyclus van een object zoals gebruikt binnen EM-infra."	""	"EM-infra levenscyclus"	"Abstracte die de attributen toevoegt die nodig zijn voor de levenscyclus van een object zoals gebruikt binnen EM-infra."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#"	"EmInfraLevenscyclus"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Implementatieelement"	"AWVObject"	"{C3CBD401-EC86-4363-9821-CCE89EB2F0A9}"	""	""	""	""	"AWV object"	"Abstracte als de basisklasse (super class) voor alle uniek geïdentificeerde OTL objecten met de basiseigenschappen die elk OTL object minstens heeft."	""	"AWV object"	"Abstracte als de basisklasse (super class) voor alle uniek geïdentificeerde OTL objecten met de basiseigenschappen die elk OTL object minstens heeft."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#"	"AWVObject"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Implementatieelement"	"AWVNaamObject"	"{5C144615-47A1-4f8b-A119-B293BCFD84B5}"	"AWVObject"	""	""	""	"AWV naam object"	"Abstracte als de basisklasse voor elk OTL object dat benoemd wordt met een mensleesbare identificator. "	""	"AWV naam object"	"Abstracte als de basisklasse voor elk OTL object dat benoemd wordt met een mensleesbare identificator. "	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#"	"AWVNaamObject"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AWVObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"Dongle"	"{10B00967-4B19-44f5-B84B-B20E45DE870B}"	"AWVNaamObject"	""	""	""	"Dongle"	""	""	"Dongle"	"TODO"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Dongle"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AWVNaamObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"Poort"	"{FC27E283-3B8E-4b64-A8E6-16D40BE3B1EF}"	"EmInfraLevenscyclus, AWVNaamObject, EmInfraToezicht"	""	""	""	"Poort"	"Is de ingang van het toestel samen met component die erop zit bv. SFP, XFP, ...
"	""	"Poort"	"Is de ingang van het toestel samen met component die erop zit bv. SFP, XFP, ...
"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Poort"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#EmInfraToezicht, https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#EmInfraLevenscyclus, https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AWVNaamObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"Netwerkelement"	"{2E80EBBF-F03C-42b1-9936-7A94910F6F7E}"	"AWVNaamObject, EmInfraLevenscyclus, EmInfraToezicht"	""	""	""	"Netwerkelement"	"TODO"	""	"Netwerkelement"	"TODO"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Netwerkelement"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#EmInfraToezicht, https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#EmInfraLevenscyclus, https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AWVNaamObject"	""	""
"CLASS"	"OSLO-Abstracten"	"SoftwareToegang"	"{7E20EC09-A2A2-4c6f-B816-FE265A38B393}"	"AWVNaamObject"	""	""	""	"Software toegang"	"TODO"	""	"Software toegang"	"TODO"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"SoftwareToegang"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AWVNaamObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"LogischePoort"	"{BE8BF74A-2D50-45f0-AF55-F7F71F24FE48}"	"SoftwareToegang"	""	""	""	"Logische poort"	""	""	"Logische poort"	"TODO"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"LogischePoort"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#SoftwareToegang"	""	""
"CLASS"	"OSLO-Onderdeel"	"GPU"	"{6209A411-6F33-48b1-B3A7-4C31F5B1BC5D}"	"AWVNaamObject"	""	""	""	"GPU"	""	""	"GPU"	"TODO"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"GPU"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AWVNaamObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"Cluster"	"{43A1FB19-186A-4717-BC67-33C9339C9914}"	"AWVNaamObject"	""	""	""	"Cluster"	"Groep van servers die samenwerken om een gemeenschappelijk doel te bereiken (zowel voor groeperen van resources en/of redundantie)"	""	"Cluster"	"Groep van servers die samenwerken om een gemeenschappelijk doel te bereiken (zowel voor groeperen van resources en/of redundantie)"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Cluster"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AWVNaamObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"PCIKaart"	"{DF03A242-EB26-4632-A7BD-352D3936F705}"	"AWVNaamObject"	""	""	""	"PCI-kaart"	"TODO"	""	"PCI-kaart"	"TODO"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"PCIKaart"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AWVNaamObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"UPS"	"{3D0A5E73-B44D-48a0-9E7A-4669D78BCE9F}"	"Voedingspunt"	""	""	""	"UPS"	"De UPS (Uninterruptable Power Supply = niet onderbreekbare voeding) zal elektrische energie leveren van een vastgelegde kwaliteit, onafhankelijk van de beschikbaarheid van een betrouwbare netspanning. Indien het openbare net niet langer bruikbaar is om als energiebron te fungeren, wordt de energievoorziening overgenomen door de accubatterij. Deze zal gedurende een bepaalde tijd, afhankelijk van de capaciteit, de stroomvoorziening verzorgen. De UPS dient om de (minimale) voeding ononderbroken te verzekeren"	""	"UPS"	"De UPS (Uninterruptable Power Supply = niet onderbreekbare voeding) zal elektrische energie leveren van een vastgelegde kwaliteit, onafhankelijk van de beschikbaarheid van een betrouwbare netspanning. Indien het openbare net niet langer bruikbaar is om als energiebron te fungeren, wordt de energievoorziening overgenomen door de accubatterij. Deze zal gedurende een bepaalde tijd, afhankelijk van de capaciteit, de stroomvoorziening verzorgen. De UPS dient om de (minimale) voeding ononderbroken te verzekeren"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"UPS"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Voedingspunt"	""	""
