"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Toegang"	"{5F3BBB98-6254-4250-9BA7-1EC6FC20C900}"	""	""	""	""	""	""	""	""	""	""	""	""	"http://"	"fixme.com"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"DATATYPE"	"OSLO-Implementatieelement"	"NatuurlijkPersoon"	"{B30BD3DB-A0B6-4d87-941F-A1224443D437}"	""	""	""	""	"natuurlijk persoon"	""	""	"natuurlijk persoon"	"TODO"	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#"	"NatuurlijkPersoon"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Implementatieelement"	"AWVIdentificator"	"{0A270AE5-3C56-44b7-8B06-DBC66BD6EB66}"	""	""	""	""	""	""	""	""	"TODO"	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#"	"AWVIdentificator"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Implementatieelement"	"ToegangsprocedureType"	"{079CA66C-CB09-4024-B279-4FBA1760F4F5}"	""	""	""	""	"toegangsprocedureType"	""	""	"toegangsprocedureType"	"TODO"	""	"https://data.vlaanderen.be/id/conceptscheme/ToegangsprocedureType"	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#"	"ToegangsprocedureType"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Implementatieelement"	"AWVDocument"	"{441527E2-4B20-4bca-899E-9DC151A2A981}"	""	""	""	""	"bestandsbijlage"	""	""	"bestandsbijlage"	"TODO"	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#"	"AWVDocument"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Implementatieelement"	"Aandachtspunttype"	"{8938113A-D779-43bb-9F73-8B4BF65E034A}"	""	""	""	""	"aandachtspunttype"	""	""	"aandachtspunttype"	"TODO"	""	"https://data.vlaanderen.be/id/conceptscheme/Aandachtspunttype"	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#"	"Aandachtspunttype"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Implementatieelement"	"Aandachtspunt"	"{846C7387-4447-42ac-89CF-43816CD7FD1A}"	""	""	""	""	""	""	""	""	"TODO"	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#"	"Aandachtspunt"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Implementatieelement"	"Adres"	"{0BE4CA53-E0D7-4149-9D89-4D6C4D6F0ED6}"	""	""	""	""	"adres"	""	""	"adres"	"TODO"	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#"	"Adres"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Implementatieelement"	"CoordLambert72"	"{73A65FAF-52A4-4d56-BF2F-EECB2D03C4F8}"	""	""	""	""	"coord lambert72"	""	""	"coord lambert72"	"TODO"	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#"	"CoordLambert72"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Implementatieelement"	"Derdenobject"	"{2E742FB9-8EC0-4b0c-B647-412FE90511F7}"	""	""	""	""	"derdenobject"	"Object niet in eigendom van AWV maar verbonden met een object van AWV"	""	"derdenobject"	"Object niet in eigendom van AWV maar verbonden met een object van AWV"	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#"	"Derdenobject"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
