"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Tunnelevacuatie"	"{AAACAEA2-6879-40b8-BEC9-9C19B7BF7D48}"	""	""	""	""	""	""	""	""	""	""	""	""	"http://"	"fixme.com"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"FiguratieMarkering"	"{E37EBED2-3227-45e8-B784-5B08AB696337}"	""	""	""	""	"Figuratiemarkering"	"Een markering als figuratie op de weg aangebracht om het verkeer te waarschuwen, informeren of regelen."	""	"Figuratiemarkering"	"Een markering als figuratie op de weg aangebracht om het verkeer te waarschuwen, informeren of regelen."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"FiguratieMarkering"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"IOKaart"	"{3ABC664E-5A1A-4e30-B70F-F5748EF344ED}"	""	""	""	""	"IOKaart"	""	""	"IOKaart"	"TODO"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"IOKaart"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Onderdeel"	"KlDienstdeurOpeningswijze"	"{F9EF65D7-F6D0-4ab3-B867-E4E834C66045}"	""	""	""	""	"Dienstdeur openingswijze"	""	""	"Dienstdeur openingswijze"	"TODO"	""	"https://wegenenverkeer-test.data.vlaanderen.be/id/conceptscheme/KlDienstdeurOpeningswijze"	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Onderdeel"	"KlDeurHandgreeptype"	"{FC83E88B-5305-437c-9DA2-1F7DF9BB27F8}"	""	""	""	""	"Deur handgreeptype"	""	""	"Deur handgreeptype"	"TODO"	""	"https://wegenenverkeer-test.data.vlaanderen.be/id/conceptscheme/KlDeurHandgreeptype"	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"Pictogram"	"{7C88131E-C34D-40ba-BEC9-48F64B96DABB}"	""	""	""	""	"Pictogram"	"Een bord dat een symbool of afbeelding bevat dat de plaats inneemt van een tekst."	""	"Pictogram"	"Een bord dat een symbool of afbeelding bevat dat de plaats inneemt van een tekst."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Pictogram"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"DynamischeVluchtwegindicatie"	"{0C1FE45F-C57C-4595-9607-D733F7F88F47}"	""	""	""	""	"Dynamische vluchtwegindicatie"	""	""	"Dynamische vluchtwegindicatie"	"TODO"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"DynamischeVluchtwegindicatie"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"Contourverlichting"	"{D1A364E9-1C8E-4e73-91DE-D22351BD83F0}"	""	""	""	""	"Contourverlichting"	""	""	"Contourverlichting"	"TODO"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Contourverlichting"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"Vluchtdeur"	"{AE084E17-E21F-4641-BBA1-F066609A5F96}"	"Deur"	""	""	""	"Vluchtdeur"	""	""	"Vluchtdeur"	"TODO"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Vluchtdeur"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Deur"	""	""
"CLASS"	"OSLO-Abstracten"	"Deur"	"{88F04013-3C39-4828-9595-B9C016824B88}"	""	""	""	""	"Deur"	"Abstracte voor de gemeenschappelijke eigenschappen en relaties. Een deur is een beweegbaar (bouwkundig) element ter afsluiting van een ruimte. In een gebouw is een deur meestal bevestigd in een kozijn, dat weer in een muur of wand is aangebracht."	""	"Deur"	"Abstracte voor de gemeenschappelijke eigenschappen en relaties. Een deur is een beweegbaar (bouwkundig) element ter afsluiting van een ruimte. In een gebouw is een deur meestal bevestigd in een kozijn, dat weer in een muur of wand is aangebracht."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"Deur"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
