"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Verharding-wegfundering"	"{A94ED658-0E89-4925-BDE5-69CFF320B099}"	""	""	""	""	""	""	""	""	""	""	""	""	"http://"	"fixme.com"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"Noppendrainage"	"{2C62B3C9-CD64-48e6-8830-DC2A1D37EDD5}"	"AndereLaag"	""	""	""	"Noppendrainage"	"Een noppendrainveld zorgt voor een verticale afwatering van het overtollige water."	""	"Noppendrainage"	"Een noppendrainveld zorgt voor een verticale afwatering van het overtollige water."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Noppendrainage"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#AndereLaag"	""	""
"CLASS"	"OSLO-Onderdeel"	"GeexpandeerdPolystyreen"	"{B55A20E0-9F7A-4ada-8B15-63D98CEEF285}"	"AndereLaag"	""	""	""	"Geexpandeerd polystyreen"	"Geëxpandeerd polystyreen of PS-hardschuim is een karakteristieke en vrijwel altijd witte kunststof,in de volksmond piepschuim genoemd."	""	"Geexpandeerd polystyreen"	"Geëxpandeerd polystyreen of PS-hardschuim is een karakteristieke en vrijwel altijd witte kunststof,in de volksmond piepschuim genoemd."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"GeexpandeerdPolystyreen"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#AndereLaag"	""	""
"CLASS"	"OSLO-Onderdeel"	"Stortsteen"	"{F08DAC6D-6B3C-4c4b-B142-242E8DF6618F}"	"AndereLaag"	""	""	""	"Stortsteen"	"Natuursteen van onregelmatige vorm,meestal gebruikt voor verstevigings- en beschermingsdoeleinden."	""	"Stortsteen"	"Natuursteen van onregelmatige vorm,meestal gebruikt voor verstevigings- en beschermingsdoeleinden."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Stortsteen"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#AndereLaag"	""	""
"CLASS"	"OSLO-Onderdeel"	"Onderbouw"	"{0AD8A5F8-2753-49d0-B9D8-D5E3F23EA756}"	"Laag, LaagDikte"	""	""	""	"Onderbouw"	"Gedeelte van het baanlichaam dat tussen het baanbed en de verharding ligt. Deze omvat onderfundering,fundering en de straatlaag."	""	"Onderbouw"	"Gedeelte van het baanlichaam dat tussen het baanbed en de verharding ligt. Deze omvat onderfundering,fundering en de straatlaag."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Onderbouw"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#LaagDikte, https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Laag"	""	""
"CLASS"	"OSLO-Onderdeel"	"Stortdraad"	"{406BA38D-CAD8-4934-B1D5-F885A49A8B1D}"	"AndereLaag"	""	""	""	"Geplastificieerd stortdraad"	"Staaldraad omwikkeld met een laag plastic ter bescherming tegen vocht. vooral gebruikt als stut voor stortsteen."	""	"Geplastificieerd stortdraad"	"Staaldraad omwikkeld met een laag plastic ter bescherming tegen vocht. vooral gebruikt als stut voor stortsteen."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Stortdraad"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#AndereLaag"	""	""
"CLASS"	"OSLO-Onderdeel"	"Schanskorf"	"{A1E695EC-EE86-4424-955A-FC6F25AFE05C}"	"AndereVerharding"	""	""	""	"Schanskorf"	"Een schanskorf bestaat uit een metalen gaasnet dat wordt gevuld met steenachtige materialen."	""	"Schanskorf"	"Een schanskorf bestaat uit een metalen gaasnet dat wordt gevuld met steenachtige materialen."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Schanskorf"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#AndereVerharding"	""	""
"CLASS"	"OSLO-Onderdeel"	"ColloidaalBeton"	"{B9076CE3-6EFA-4a06-B41E-BE4DA2DFFEA6}"	"AndereVerharding"	""	""	""	"Colloidaal beton"	"Betonspecie voor toepassing onder water,waarvan de samenhang is verbeterd door toevoeging van een waterretentiemiddel."	""	"Colloidaal beton"	"Betonspecie voor toepassing onder water,waarvan de samenhang is verbeterd door toevoeging van een waterretentiemiddel."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"ColloidaalBeton"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#AndereVerharding"	""	""
"CLASS"	"OSLO-Abstracten"	"LaagProductidentificatiecode"	"{8446B70B-2EF4-4902-9E1C-E4EF98E5FE6F}"	""	""	""	""	"Laag productidentificatiecode"	"Abstracte waarmee aan een laag de eigenschap productidentificatiecode wordt toegekend."	""	"Laag productidentificatiecode"	"Abstracte waarmee aan een laag de eigenschap productidentificatiecode wordt toegekend."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"LaagProductidentificatiecode"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Abstracten"	"ArtificieleLaag"	"{F74D0333-673C-41ba-AE8F-7F8C8CCBDF06}"	"LaagProductidentificatiecode, LaagDikte, Laag"	""	""	""	"Artificiële laag"	"Abstracte als noemer om de abstracten Laag,LaagProductidentificatiecode en LaagDikte te groeperen."	""	"Artificiële laag"	"Abstracte als noemer om de abstracten Laag,LaagProductidentificatiecode en LaagDikte te groeperen."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"ArtificieleLaag"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Laag, https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#LaagDikte, https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#LaagProductidentificatiecode"	""	""
"CLASS"	"OSLO-Onderdeel"	"Geotextiel"	"{5A188C61-C0AC-4bdb-B495-758263553D2F}"	"AndereLaag"	""	""	""	"Geotextiel"	"Geotextiel om grondoppervlakken,taluds en/of bodems te beschermen tegen
 erosie door wind,golfslag en/of stroming van water,afkomstig hetzij van afstromende neerslag,hetzij
 van afvloeiend oppervlaktewater."	""	"Geotextiel"	"Geotextiel om grondoppervlakken,taluds en/of bodems te beschermen tegen
 erosie door wind,golfslag en/of stroming van water,afkomstig hetzij van afstromende neerslag,hetzij
 van afvloeiend oppervlaktewater."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Geotextiel"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#AndereLaag"	""	""
"CLASS"	"OSLO-Onderdeel"	"OnbegroeidVoorkomen"	"{323E7E12-1C7E-4373-85FF-07B56A7B80A9}"	"AndereVerharding"	""	""	""	"Onbegroeid voorkomen"	"Een ander fysiek voorkomen van het aardoppervlak dat niet vegetatief is."	""	"Onbegroeid voorkomen"	"Een ander fysiek voorkomen van het aardoppervlak dat niet vegetatief is."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"OnbegroeidVoorkomen"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#AndereVerharding"	""	""
"CLASS"	"OSLO-Abstracten"	"LaagDikte"	"{70BAE488-1DAE-4f07-A36B-8F34762B828C}"	""	""	""	""	"Laagdikte"	"Abstracte waarmee aan een laag het attribuut dikte wordt toegekend."	""	"Laagdikte"	"Abstracte waarmee aan een laag het attribuut dikte wordt toegekend."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"LaagDikte"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Abstracten"	"LaagBouwklasse"	"{86C2EDAA-36CB-4cd2-8428-3D2B6D02473A}"	"ArtificieleLaag"	""	""	""	"Laag bouwklasse"	"Abstracte waarmee aan een laag het attribuut bouwklasse wordt toegekend."	""	"Laag bouwklasse"	"Abstracte waarmee aan een laag het attribuut bouwklasse wordt toegekend."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"LaagBouwklasse"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#ArtificieleLaag"	""	""
"CLASS"	"OSLO-Onderdeel"	"Slemlaag"	"{4BB7DB13-60F4-46fc-A0CC-717A69F48325}"	"AndereLaag"	""	""	""	"Slemlaag"	"Een slemlaag (slem) is een oppervlaktebehandeling die bestaat uit een mengsel dat ter plaatse bereid en verwerkt wordt."	""	"Slemlaag"	"Een slemlaag (slem) is een oppervlaktebehandeling die bestaat uit een mengsel dat ter plaatse bereid en verwerkt wordt."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Slemlaag"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#AndereLaag"	""	""
"CLASS"	"OSLO-Onderdeel"	"ScheurremmendeLaag"	"{2AE369DF-3CA2-4412-8006-E635A9A7C876}"	"AndereLaag"	""	""	""	"Scheurremmende laag"	"Een scheurremende laag is een laag onder andere bitumineuze lagen om reflectiescheurvorming tegen te gaan of een wegstructuur te versterken (asfaltwapening)."	""	"Scheurremmende laag"	"Een scheurremende laag is een laag onder andere bitumineuze lagen om reflectiescheurvorming tegen te gaan of een wegstructuur te versterken (asfaltwapening)."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"ScheurremmendeLaag"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#AndereLaag"	""	""
"CLASS"	"OSLO-Onderdeel"	"DunneOverlaging"	"{3577B1E0-40BC-4fbe-93C2-CF8BCF9ADFAF}"	"AndereLaag"	""	""	""	"Dunne overlaging"	"Een dunne overlaging kan bestaan uit een SME overlaging of een antisliplaag."	""	"Dunne overlaging"	"Een dunne overlaging kan bestaan uit een SME overlaging of een antisliplaag."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"DunneOverlaging"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#AndereLaag"	""	""
"CLASS"	"OSLO-Onderdeel"	"Bestrijking"	"{10FA75F5-FB68-4db5-818E-A127DFC1024A}"	"AndereLaag"	""	""	""	"Bestrijking"	"Een bestrijking bestaat in het sproeien op een verharding of een fundering van één of twee eenvormige 
lagen bindmiddel met een geschikte viscositeit."	""	"Bestrijking"	"Een bestrijking bestaat in het sproeien op een verharding of een fundering van één of twee eenvormige 
lagen bindmiddel met een geschikte viscositeit."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Bestrijking"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#AndereLaag"	""	""
"CLASS"	"OSLO-Abstracten"	"AndereLaag"	"{41F3C97A-2928-4356-959F-120833EF8A0F}"	"LaagProductidentificatiecode, Laag"	""	""	""	"Andere laag"	"Abstracte als tussenlaag voor de andere laag-objecten."	""	"Andere laag"	"Abstracte als tussenlaag voor de andere laag-objecten."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"AndereLaag"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Laag, https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#LaagProductidentificatiecode"	""	""
"CLASS"	"OSLO-Onderdeel"	"BestratingVanGebakkenStraatsteen"	"{96A1051C-CFED-4830-AF40-F4B444CBD8E7}"	"Bestrating"	""	""	""	"Bestrating van gebakken straatsteen"	"Bestrating van gebakken straatstenen."	""	"Bestrating van gebakken straatsteen"	"Bestrating van gebakken straatstenen."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"BestratingVanGebakkenStraatsteen"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Bestrating"	""	""
"CLASS"	"OSLO-Installatie"	"Baanlichaam"	"{B1894702-9092-4543-93E5-7F08996F53AF}"	""	""	""	""	"Baanlichaam"	"De lagen tussen het baanbed en het baanoppervlak."	""	"Baanlichaam"	"De lagen tussen het baanbed en het baanoppervlak."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/installatie#"	"Baanlichaam"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AIMObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"WaterdoorlatendeBestrating"	"{308738F7-03B1-4297-9561-764CDAD96BEB}"	"Bestrating"	""	""	""	"Waterdoorlatende bestrating"	"Bestrating van waterdoorlatende betonstraatstenen of betontegels."	""	"Waterdoorlatende bestrating"	"Bestrating van waterdoorlatende betonstraatstenen of betontegels."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"WaterdoorlatendeBestrating"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Bestrating"	""	""
"CLASS"	"OSLO-Onderdeel"	"BestratingVanNatuursteentegel"	"{5E289810-75D3-48cf-8162-914BA2DBA97E}"	"Bestrating"	""	""	""	"Bestrating van natuursteentegel"	"Bestrating van natuursteentegels."	""	"Bestrating van natuursteentegel"	"Bestrating van natuursteentegels."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"BestratingVanNatuursteentegel"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Bestrating"	""	""
"CLASS"	"OSLO-Onderdeel"	"BestratingVanMozaiekkei"	"{259F6C54-874B-44b1-A253-327BFE6B6856}"	"Bestrating"	""	""	""	"Bestrating van mozaiekkei"	"Bestrating van mozaïekkeien."	""	"Bestrating van mozaiekkei"	"Bestrating van mozaïekkeien."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"BestratingVanMozaiekkei"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Bestrating"	""	""
"CLASS"	"OSLO-Onderdeel"	"BestratingVanKassei"	"{B9E2C7CF-7520-4ece-90FE-C08A4EC9332C}"	"Bestrating"	""	""	""	"Bestrating van kassei"	"Bestrating van kasseien."	""	"Bestrating van kassei"	"Bestrating van kasseien."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"BestratingVanKassei"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Bestrating"	""	""
"CLASS"	"OSLO-Onderdeel"	"VerhardingGrasKunststofplaat"	"{196C4122-9780-42ad-9367-19ABD189EB4B}"	"Bestrating"	""	""	""	"Verharding gras-kunststofplaat"	"Verharding van gras-kunststofplaten."	""	"Verharding gras-kunststofplaat"	"Verharding van gras-kunststofplaten."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"VerhardingGrasKunststofplaat"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Bestrating"	""	""
"CLASS"	"OSLO-Onderdeel"	"BestratingVanBetontegel"	"{636CDE1D-9515-4f14-B506-11B754BA78BB}"	"Bestrating"	""	""	""	"Bestrating van betontegel"	"Bestrating van betontegels."	""	"Bestrating van betontegel"	"Bestrating van betontegels."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"BestratingVanBetontegel"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Bestrating"	""	""
"CLASS"	"OSLO-Onderdeel"	"BestratingVanBetonstraatsteen"	"{7D37665E-88AD-4293-A601-A587DBB0CBC1}"	"Bestrating"	""	""	""	"Bestrating van betonstraatsteen"	"Bestrating van betonstraatstenen."	""	"Bestrating van betonstraatsteen"	"Bestrating van betonstraatstenen."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"BestratingVanBetonstraatsteen"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Bestrating"	""	""
"CLASS"	"OSLO-Onderdeel"	"BestratingVanGrasbetontegel"	"{160092CD-6173-410c-B82F-2D73FF8251DA}"	"Bestrating"	""	""	""	"Bestrating van grasbetontegel"	"Bestrating van grasbetontegels."	""	"Bestrating van grasbetontegel"	"Bestrating van grasbetontegels."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"BestratingVanGrasbetontegel"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Bestrating"	""	""
"CLASS"	"OSLO-Onderdeel"	"Wegdekvoeg"	"{ABA56653-5FD9-478d-A3B7-9557671EA8DF}"	""	""	""	""	"Voeg"	"Dwarsvoegen en langsvoegen met uitzondering van de krimpvoegen."	""	"Voeg"	"Dwarsvoegen en langsvoegen met uitzondering van de krimpvoegen."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Wegdekvoeg"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AIMObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"Verankeringslandhoofd"	"{B4371843-424B-4d8b-98ED-E49DCCE63CED}"	""	""	""	""	"Verankeringslandhoofd"	"De verankeringsconstructie aan het einde van een cementbetonverharding."	""	"Verankeringslandhoofd"	"De verankeringsconstructie aan het einde van een cementbetonverharding."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Verankeringslandhoofd"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AIMObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"Walsbetonverharding"	"{845D1E9D-3B5F-4909-8A12-377479BFF349}"	"AndereVerharding"	""	""	""	"Walsbetonverharding"	"Een verharding van aardvochtig beton met maximum korrelafmeting (40mm) en cementgehalte tussen 200-250 kg per kubieke meter om hogere druksterktes (minimum 20 Newton) te bekomen,wordt zowel toegepast voor wegverharding als in funderingen."	""	"Walsbetonverharding"	"Een verharding van aardvochtig beton met maximum korrelafmeting (40mm) en cementgehalte tussen 200-250 kg per kubieke meter om hogere druksterktes (minimum 20 Newton) te bekomen,wordt zowel toegepast voor wegverharding als in funderingen."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Walsbetonverharding"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#AndereVerharding"	""	""
"CLASS"	"OSLO-Onderdeel"	"Ternairmengselverharding"	"{E7E1C358-97BD-4cd3-B9FD-575743006CCF}"	"AndereVerharding"	""	""	""	"Ternairmengselverharding"	"Een verharding van gebonden mengsel van grof brekerzand van natuurlijke stenen,eventueel gemengd met brekerzand van hoogovenslakken en steenslag."	""	"Ternairmengselverharding"	"Een verharding van gebonden mengsel van grof brekerzand van natuurlijke stenen,eventueel gemengd met brekerzand van hoogovenslakken en steenslag."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Ternairmengselverharding"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#AndereVerharding"	""	""
"CLASS"	"OSLO-Onderdeel"	"Steenslagverharding"	"{4930F1C6-6131-4f1c-9A5C-159A98EF0ADE}"	"AndereVerharding"	""	""	""	"Steenslagverharding"	"Een verharding van gebroken steen."	""	"Steenslagverharding"	"Een verharding van gebroken steen."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Steenslagverharding"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#AndereVerharding"	""	""
"CLASS"	"OSLO-Onderdeel"	"Dolomietverharding"	"{0037F07C-4B8A-4138-8D13-C6D7129E9FE2}"	"AndereVerharding"	""	""	""	"Dolomietverharding"	"Bedekking van een onverharde zone die opgebouwd is uit een niet-gecompacteerde groep van individuele componenten die voldoen aan de volgende specificaties: dolomiet (gele kleur,gemiddelde korrelgrootte),onregelmatige vorm,onregelmatig verband."	""	"Dolomietverharding"	"Bedekking van een onverharde zone die opgebouwd is uit een niet-gecompacteerde groep van individuele componenten die voldoen aan de volgende specificaties: dolomiet (gele kleur,gemiddelde korrelgrootte),onregelmatige vorm,onregelmatig verband."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Dolomietverharding"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#AndereVerharding"	""	""
