"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Verhardingen-funderingen"	"{1105CEF2-95A6-4e7b-A77D-4CBC3BF328E9}"	""	""	""	""	""	""	""	""	""	""	""	""	"http://"	"fixme.com"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"Noppendrainage"	"{D7780597-7706-46d8-9FA9-DBB48202BD93}"	"AndereLaag"	""	""	""	"Noppendrainage"	"Een noppendrainveld zorgt voor een verticale afwatering van het overtollige water."	""	"Noppendrainage"	"Een noppendrainveld zorgt voor een verticale afwatering van het overtollige water."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Noppendrainage"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#AndereLaag"	""	""
"CLASS"	"OSLO-Onderdeel"	"GeexpandeerdPolystyreen"	"{FB9DAABE-F719-48a6-AF34-65FF5193FC02}"	"AndereLaag"	""	""	""	"Geexpandeerd polystyreen"	"Geëxpandeerd polystyreen of PS-hardschuim is een karakteristieke en vrijwel altijd witte kunststof,in de volksmond piepschuim genoemd."	""	"Geexpandeerd polystyreen"	"Geëxpandeerd polystyreen of PS-hardschuim is een karakteristieke en vrijwel altijd witte kunststof,in de volksmond piepschuim genoemd."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"GeexpandeerdPolystyreen"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#AndereLaag"	""	""
"CLASS"	"OSLO-Onderdeel"	"Stortsteen"	"{4EBE8E66-AC7F-46d6-8408-731700EF5474}"	"AndereLaag"	""	""	""	"Stortsteen"	"Natuursteen van onregelmatige vorm,meestal gebruikt voor verstevings- en beschermingsdoeleinden."	""	"Stortsteen"	"Natuursteen van onregelmatige vorm,meestal gebruikt voor verstevings- en beschermingsdoeleinden."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Stortsteen"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#AndereLaag"	""	""
"CLASS"	"OSLO-Onderdeel"	"Onderbouw"	"{6BD1211D-6EA5-4bbd-B91E-7B16643630AC}"	"Laag, LaagDikte"	""	""	""	"Onderbouw"	"Gedeelte van het baanlichaam dat tussen het baanbed en de verharding ligt. Deze omvat onderfundering,fundering en de straatlaag."	""	"Onderbouw"	"Gedeelte van het baanlichaam dat tussen het baanbed en de verharding ligt. Deze omvat onderfundering,fundering en de straatlaag."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Onderbouw"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#LaagDikte, https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Laag"	""	""
"CLASS"	"OSLO-Onderdeel"	"Stortdraad"	"{CBE3F302-8C1D-4703-8AE9-D30FCA6F9D20}"	"AndereLaag"	""	""	""	"Geplastificieerd stortdraad"	"Staaldraad omwikkeld met een laag plastic ter bescherming tegen vocht. vooral gebruikt als stut voor stortsteen."	""	"Geplastificieerd stortdraad"	"Staaldraad omwikkeld met een laag plastic ter bescherming tegen vocht. vooral gebruikt als stut voor stortsteen."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Stortdraad"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#AndereLaag"	""	""
"CLASS"	"OSLO-Onderdeel"	"Schanskorf"	"{EFC03A5D-7B1A-495f-A56F-E2D2C3EB48EA}"	"AndereVerharding"	""	""	""	"Schanskorf"	"Een schanskorf bestaat uit een metalen gaasnet dat wordt gevuld met steenachtige materialen."	""	"Schanskorf"	"Een schanskorf bestaat uit een metalen gaasnet dat wordt gevuld met steenachtige materialen."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Schanskorf"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#AndereVerharding"	""	""
"CLASS"	"OSLO-Onderdeel"	"ColloidaalBeton"	"{1EE8673A-E3F0-45e9-86AE-64070CC798F9}"	"AndereVerharding"	""	""	""	"Colloidaal beton"	"Betonspecie voor toepassing onder water,waarvan de samenhang is verbeterd door toevoeging van een waterretentiemiddel."	""	"Colloidaal beton"	"Betonspecie voor toepassing onder water,waarvan de samenhang is verbeterd door toevoeging van een waterretentiemiddel."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"ColloidaalBeton"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#AndereVerharding"	""	""
"CLASS"	"OSLO-Abstracten"	"LaagProductidentificatiecode"	"{8F56056C-EE45-48ff-B40C-7C3C72EB30E7}"	""	""	""	""	"Laag productidentificatiecode"	"Abstracte waarmee aan een laag de eigenschap productidentificatiecode wordt toegekend."	""	"Laag productidentificatiecode"	"Abstracte waarmee aan een laag de eigenschap productidentificatiecode wordt toegekend."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"LaagProductidentificatiecode"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Abstracten"	"ArtificieleLaag"	"{8BF36DC6-C670-48eb-B030-BD7B32AD543B}"	"LaagProductidentificatiecode, LaagDikte, Laag"	""	""	""	"Artificiële laag"	"Abstracte als noemer om de abstracten Laag,LaagProductidentificatiecode en LaagDikte te groeperen."	""	"Artificiële laag"	"Abstracte als noemer om de abstracten Laag,LaagProductidentificatiecode en LaagDikte te groeperen."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"ArtificieleLaag"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Laag, https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#LaagDikte, https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#LaagProductidentificatiecode"	""	""
