"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Verhardingen-funderingen"	"{BC176985-8A32-4cac-8303-A360E1AB4C5E}"	""	""	""	""	""	""	""	""	""	""	""	""	"http://"	"fixme.com"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"DATATYPE"	"OSLO-Onderdeel"	"DtcProfileerlaag"	"{4156EA7B-58B0-4543-A5B0-810355CC6011}"	""	""	""	""	"Profileerlaag"	"Complex datatype om extra informatie te capteren van de profilerende laag."	""	"Profileerlaag"	"Complex datatype om extra informatie te capteren van de profilerende laag."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/Onderdeel#"	"DtcProfileerlaag"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Onderdeel"	"DtuBVLaagtypes"	"{A70DB281-AEFD-4b04-A551-5E71C814599E}"	""	""	""	""	"Laagtype van de bitumineuze verharding"	"Union datatype voor een laagtype anders dan de profileerlaag. Bij een profileerlaag kan men het gewicht toelichten."	""	"Laagtype van de bitumineuze verharding"	"Union datatype voor een laagtype anders dan de profileerlaag. Bij een profileerlaag kan men het gewicht toelichten."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/Onderdeel#"	"DtuBVLaagtypes"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"Noppendrainage"	"{FFE7D281-FBEA-4b41-9F71-70EC664C1020}"	"AndereLaag"	""	""	""	"Noppendrainage"	"Een noppendrainveld zorgt voor een verticale afwatering van het overtollige water."	""	"Noppendrainage"	"Een noppendrainveld zorgt voor een verticale afwatering van het overtollige water."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/Onderdeel#"	"Noppendrainage"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#AndereLaag"	""	""
"CLASS"	"OSLO-Onderdeel"	"GeexpandeerdPolystyreen"	"{F912BC94-C61E-4007-AAC7-CA2FB64C621A}"	"AndereLaag"	""	""	""	"Geexpandeerd polystyreen"	"Geëxpandeerd polystyreen of PS-hardschuim is een karakteristieke en vrijwel altijd witte kunststof, in de volksmond piepschuim genoemd."	""	"Geexpandeerd polystyreen"	"Geëxpandeerd polystyreen of PS-hardschuim is een karakteristieke en vrijwel altijd witte kunststof, in de volksmond piepschuim genoemd."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/Onderdeel#"	"GeexpandeerdPolystyreen"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#AndereLaag"	""	""
"CLASS"	"OSLO-Onderdeel"	"Stortsteen"	"{33DEB3E0-D114-4dd8-89FC-B035691760C2}"	"AndereLaag"	""	""	""	"Stortsteen"	"Natuursteen van onregelmatige vorm"	""	"Stortsteen"	"Natuursteen van onregelmatige vorm"	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/Onderdeel#"	"Stortsteen"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#AndereLaag"	""	""
"CLASS"	"OSLO-Onderdeel"	"Onderbouw"	"{084ABA64-0354-4040-A3E0-3CF4FE02E870}"	"LaagDikte, Laag"	""	""	""	"Onderbouw"	"Gedeelte van het baanlichaam dat tussen het baanbed en de verharding ligt. Deze omvat onderfundering, fundering en de straatlaag."	""	"Onderbouw"	"Gedeelte van het baanlichaam dat tussen het baanbed en de verharding ligt. Deze omvat onderfundering, fundering en de straatlaag."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/Onderdeel#"	"Onderbouw"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#LaagDikte, https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Laag"	""	""
"CLASS"	"OSLO-Onderdeel"	"Stortdraad"	"{63DEC7B9-60B7-424c-9961-8A91207FD7D7}"	"AndereLaag"	""	""	""	"Geplastificieerd stortdraad"	"Staaldraad omwikkeld met een laag plastic ter bescherming tegen vocht. vooral gebruikt als stut voor stortsteen."	""	"Geplastificieerd stortdraad"	"Staaldraad omwikkeld met een laag plastic ter bescherming tegen vocht. vooral gebruikt als stut voor stortsteen."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/Onderdeel#"	"Stortdraad"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#AndereLaag"	""	""
"CLASS"	"OSLO-Onderdeel"	"Schanskorf"	"{D38ED1F9-112E-4553-B1F2-EE919005B1C5}"	"AndereVerharding"	""	""	""	"Schanskorf"	"Een schanskorf bestaat uit een metalen gaasnet dat wordt gevuld met steenachtige materialen."	""	"Schanskorf"	"Een schanskorf bestaat uit een metalen gaasnet dat wordt gevuld met steenachtige materialen."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/Onderdeel#"	"Schanskorf"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#AndereVerharding"	""	""
"CLASS"	"OSLO-Onderdeel"	"ColloidaalBeton"	"{4D71E5E4-AF25-42fb-8F12-635DD1DD935E}"	"AndereVerharding"	""	""	""	"Colloidaal beton"	"Betonspecie voor toepassing onder water, waarvan de samenhang is verbeterd door toevoeging van een waterretentiemiddel."	""	"Colloidaal beton"	"Betonspecie voor toepassing onder water, waarvan de samenhang is verbeterd door toevoeging van een waterretentiemiddel."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/Onderdeel#"	"ColloidaalBeton"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#AndereVerharding"	""	""
