"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Verkeersregelinstallatie"	"{F1BC036A-CA1B-4084-B195-31C1D9192EA6}"	""	""	""	""	""	""	""	""	""	""	""	""	"http://"	"fixme.com"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Abstracten"	"BekledingComponent"	"{554D7E05-8EEF-4011-A9E0-4E199436724F}"	""	""	""	""	"Bekleding component"	"Abstracte voor componenten die als bekleding worden bevestigd op andere elementen."	""	"Bekleding component"	"Abstracte voor componenten die als bekleding worden bevestigd op andere elementen."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"BekledingComponent"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Abstracten"	"ConstructieElement"	"{88B021C3-9071-457e-ADB9-AA09915D962A}"	""	""	""	""	"Constructie element"	"Abstracte voor de verschillende constructie elementen."	""	"Constructie element"	"Abstracte voor de verschillende constructie elementen."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"ConstructieElement"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AIMObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"Contactor"	"{C4A2DA84-0435-4d66-8582-D2D516338E0A}"	""	""	""	""	"Contactor"	"Toestel dat ter plaatste of op afstand aangestuurd wordt om (grote) vermogensstromen af te schakelen."	""	"Contactor"	"Toestel dat ter plaatste of op afstand aangestuurd wordt om (grote) vermogensstromen af te schakelen."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Contactor"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AIMObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"PLC"	"{A29E677D-EF22-47df-8904-E364F4DBCB8B}"	""	""	""	""	"PLC"	"Een verwerkingseenheid die volgens een vaste cyclus op basis van informatie van zijn ingangen, zijn uitgangen aanstuurt op basis van zijn programma. Omwille van zijn vormfactor kan de eenheid gebruikt worden in een vijandige omgeving."	""	"PLC"	"Een verwerkingseenheid die volgens een vaste cyclus op basis van informatie van zijn ingangen, zijn uitgangen aanstuurt op basis van zijn programma. Omwille van zijn vormfactor kan de eenheid gebruikt worden in een vijandige omgeving."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"PLC"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Controller"	""	""
"CLASS"	"OSLO-Abstracten"	"ZenderOntvangerToegang"	"{7322D962-C6ED-4473-8775-C97258ACF68D}"	""	""	""	""	"Communicatieapparatuur"	"Abstracte voor relaties van Zender,Ontvanger en Repeater met andere apparatuur."	""	"Communicatieapparatuur"	"Abstracte voor relaties van Zender,Ontvanger en Repeater met andere apparatuur."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#"	"ZenderOntvangerToegang"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Communicatieapparatuur, https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#FirmwareObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"Wegkantkast"	"{43701CC8-A963-4f84-8C21-7D763B172D74}"	""	""	""	""	"Wegkantkast"	"Behuizing in de vorm van kast typisch gebruikt buiten,langs de kant van de weg."	""	"Wegkantkast"	"Behuizing in de vorm van kast typisch gebruikt buiten,langs de kant van de weg."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Wegkantkast"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Buitenkast"	""	""
"CLASS"	"OSLO-Onderdeel"	"Lichtsensor"	"{1BE3B859-0578-4496-9CD1-6F8C0B2A5ADB}"	""	""	""	""	"Lichtsensor"	"Sensor die de intensiteit van het invallende licht meet."	""	"Lichtsensor"	"Sensor die de intensiteit van het invallende licht meet."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Lichtsensor"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AIMNaamObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"IOKaart"	"{56D9765A-BDD5-42d5-AB29-BE7C8EA9CCB7}"	""	""	""	""	"IO-Kaart"	"Een kaart of module die gebruikt wordt voor de ingang of uitgang van een verwerkingseenheid (bv. een PLC). Op de IO-kaart worden perifere toestellen en sensoren aangesloten."	""	"IO-Kaart"	"Een kaart of module die gebruikt wordt voor de ingang of uitgang van een verwerkingseenheid (bv. een PLC). Op de IO-kaart worden perifere toestellen en sensoren aangesloten."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"IOKaart"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AIMObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"StroomMeetmodule"	"{EC62EFA8-00B1-41aa-996D-999BB7348394}"	""	""	""	""	"StroomMeetmodule"	"Differentieel dat de spanning detecteert op de leidingen detecteert en fouten doorgeeft naar de PLC."	""	"StroomMeetmodule"	"Differentieel dat de spanning detecteert op de leidingen detecteert en fouten doorgeeft naar de PLC."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"StroomMeetmodule"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AIMNaamObject"	""	""
