"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Waterlopen"	"{1105CEF2-95A6-4e7b-A77D-4CBC3BF328E9}"	""	""	""	""	""	""	""	""	""	""	""	""	"http://"	"fixme.com"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"Paal"	"{70DE1BDC-1926-4d54-AB7F-EE9D14BB62E0}"	""	""	""	""	"Paal"	"Een paal is een langwerpig voorwerp van hout,beton of een metaal dat rechtop in de grond staat bijv. voor fundering."	""	"Paal"	"Een paal is een langwerpig voorwerp van hout,beton of een metaal dat rechtop in de grond staat bijv. voor fundering."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Paal"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"Perkoen"	"{2CC4E326-5F1F-46af-89E0-7BB25F7DBBA2}"	""	""	""	""	"Perkoen"	"Ronde houten paal als ankerpunt in een oeververdediging."	""	"Perkoen"	"Ronde houten paal als ankerpunt in een oeververdediging."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Perkoen"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AIMObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"Kokosblok"	"{9CDAC376-DBE8-4c8d-A98D-2E807BB43176}"	""	""	""	""	"Kokosblok"	"Een kokosblok is een samenvoeging van vezelstoffen bestaande uit kokos en wordt ter hoogte van de gemiddeld hoogwaterstand geplaatst,tegen de erodering van oevers van wind en water."	""	"Kokosblok"	"Een kokosblok is een samenvoeging van vezelstoffen bestaande uit kokos en wordt ter hoogte van de gemiddeld hoogwaterstand geplaatst,tegen de erodering van oevers van wind en water."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Kokosblok"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AIMObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"ErosiewerendeMatras"	"{2303B7F7-B514-4c3b-A56C-4D2283FD8D36}"	""	""	""	""	"Erosiewerende matras"	"Een omhulsel met een kern zoals bv. houtsnippers tegen erosie door water of wind."	""	"Erosiewerende matras"	"Een omhulsel met een kern zoals bv. houtsnippers tegen erosie door water of wind."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"ErosiewerendeMatras"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AIMObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"MattenRijsGriendhout"	"{7AF8D009-924A-49fa-A832-DFD6D9577CBC}"	""	""	""	""	"Matten rijs griendhout"	"Vlechtwerk van rijs- of griendhout."	""	"Matten rijs griendhout"	"Vlechtwerk van rijs- of griendhout."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"MattenRijsGriendhout"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AIMObject"	""	""
"CLASS"	"OSLO-Levenscyclus"	"BeheerGrazigeVegetatie"	"{863E019A-78BA-4981-A817-EB1CBB4A4A42}"	""	""	""	""	"Beheer grazige vegetatie"	"Het beheerobject voor de grazige vegetatie."	""	"Beheer grazige vegetatie"	"Het beheerobject voor de grazige vegetatie."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/levenscyclus#"	"BeheerGrazigeVegetatie"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AIMObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"BetonnenKantplaten"	"{D4652E51-E0D8-422a-9358-78F2E6DD80A5}"	"Betuining"	""	""	""	"Betonnen kantplaten"	"Platen uit beton ter bescherming van de talud tegen erosie van water."	""	"Betonnen kantplaten"	"Platen uit beton ter bescherming van de talud tegen erosie van water."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"BetonnenKantplaten"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/installatie#Betuining"	""	""
"CLASS"	"OSLO-Onderdeel"	"BetonnenKantbalken"	"{FCC65E09-A68B-4ac0-B2D3-9CFEE243AFFA}"	"Betuining"	""	""	""	"Betonnen kantbalken"	"Balken uit beton ter bescherming van de talud tegen erosie van water."	""	"Betonnen kantbalken"	"Balken uit beton ter bescherming van de talud tegen erosie van water."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"BetonnenKantbalken"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/installatie#Betuining"	""	""
"CLASS"	"OSLO-Onderdeel"	"VlechttuinMetLatten"	"{A6BBBCDB-5BB5-4241-90EE-24BCA2BD5B75}"	"Betuining"	""	""	""	"Vlechttuin met latten"	"Gevlochten taludbescherming."	""	"Vlechttuin met latten"	"Gevlochten taludbescherming."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"VlechttuinMetLatten"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/installatie#Betuining"	""	""
