"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Waterlopen"	"{52F5F808-4497-443a-817E-AB2743F93737}"	""	""	""	""	""	""	""	""	""	""	""	""	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/waterlopen/ontwerpdocument/"	"alt"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"DATATYPE"	"OSLO-Waterlopen"	"DtcBetuiningHout"	"{84FB40D4-1069-40d5-A349-3C53672AB793}"	""	""	""	""	"Plankenbetuining hout"	"Complex datatype voor een houten plankenbetuining of damwandbetuining."	""	"Plankenbetuining hout"	"Complex datatype voor een houten plankenbetuining of damwandbetuining."	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/waterlopen/ontwerpdocument/alt#"	"DtcBetuiningHout"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Waterlopen"	"DtcBetuiningGerecycleerd"	"{CDDA3D77-BCD3-4ae6-9070-C8D314D0FDB8}"	""	""	""	""	"Plankenbetuining gerecycleerd"	"Complex datatype voor een gerecycleerde plankenbetuining of damwandbetuining."	""	"Plankenbetuining gerecycleerd"	"Complex datatype voor een gerecycleerde plankenbetuining of damwandbetuining."	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/waterlopen/ontwerpdocument/alt#"	"DtcBetuiningGerecycleerd"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Waterlopen"	"DtcBetuiningBeton"	"{A306ECFE-9719-4cbd-B447-9A05DD983FA4}"	""	""	""	""	"Betuining van beton"	"Complex datatype voor een betonnen plankenbetuining of damwandbetuing."	""	"Betuining van beton"	"Complex datatype voor een betonnen plankenbetuining of damwandbetuing."	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/waterlopen/ontwerpdocument/alt#"	"DtcBetuiningBeton"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Waterlopen"	"TeenOnderwatertalud"	"{6BAF2B53-1000-42d9-B3D8-129D5D361966}"	""	""	""	""	"Teenonderwatertalud"	"Snijlijn van een taludvlak met het bodemvlak."	""	"Teenonderwatertalud"	"Snijlijn van een taludvlak met het bodemvlak."	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/waterlopen/ontwerpdocument/alt#"	"TeenOnderwatertalud"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/awv-object/ontwerpdocument/alt#AWVObject"	""	""
"CLASS"	"OSLO-Waterlopen"	"Waterloop"	"{57D10DCF-BB9F-472d-B523-B88D7D6D812C}"	"WaterloopRelatie"	""	""	""	"Waterloop"	"Oorspronklijk natuurlijke watergeul in het landschap waarin water stroomt."	""	"Waterloop"	"Oorspronklijk natuurlijke watergeul in het landschap waarin water stroomt."	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/waterlopen/ontwerpdocument/alt#"	"Waterloop"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/waterlopen/ontwerpdocument/alt#WaterloopRelatie"	""	""
"CLASS"	"OSLO-Waterlopen"	"Kanaal"	"{79487C18-C627-43f5-85D3-2564DC4D7F25}"	"WaterloopRelatie"	""	""	""	"Kanaal"	"Een kanaal is een door de mens gegraven waterweg."	""	"Kanaal"	"Een kanaal is een door de mens gegraven waterweg."	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/waterlopen/ontwerpdocument/alt#"	"Kanaal"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/waterlopen/ontwerpdocument/alt#WaterloopRelatie"	""	""
"CLASS"	"OSLO-Vegetatie"	"BegroeidVoorkomen"	"{09E5710C-6AD7-4d52-B15A-6D3A563007B0}"	""	""	""	""	"Begroeid voorkomen"	"Abstracte die alle gemeenschappelijke eigenschappen omtrent begroeid voorkomen opsomt."	""	"Begroeid voorkomen"	"Abstracte die alle gemeenschappelijke eigenschappen omtrent begroeid voorkomen opsomt."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/vegetatie/ontwerpdocument/alt#"	"BegroeidVoorkomen"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/awv-object/ontwerpdocument/alt#AWVObject"	""	""
"CLASS"	"OSLO-Waterlopen"	"HardhoutenMat"	"{ADAD7DC3-3377-4311-8E12-711826AC95E5}"	"Betuining"	""	""	""	"Hardhouten mat"	"Teenbetuining van hardhouten matten."	""	"Hardhouten mat"	"Teenbetuining van hardhouten matten."	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/waterlopen/ontwerpdocument/alt#"	"HardhoutenMat"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/waterlopen/ontwerpdocument/alt#Betuining"	""	""
"CLASS"	"OSLO-Waterlopen"	"GeprefabriceerdBetonelement"	"{DEB3EBBB-BEAF-40df-83EB-DD0727D6A19A}"	"Betuining"	""	""	""	"Geprefabriceerd betonelement"	"Teenbetuining van geprefabriceerde betonelementen."	""	"Geprefabriceerd betonelement"	"Teenbetuining van geprefabriceerde betonelementen."	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/waterlopen/ontwerpdocument/alt#"	"GeprefabriceerdBetonelement"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/waterlopen/ontwerpdocument/alt#Betuining"	""	""
