"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Waterlopen"	"{52F5F808-4497-443a-817E-AB2743F93737}"	""	""	""	""	""	""	""	""	""	""	""	""	"http://"	"fixme.com"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Installatie"	"Teen_onderwatertalud"	"{6BAF2B53-1000-42d9-B3D8-129D5D361966}"	""	""	""	""	""	""	""	""	"TODO"	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/installatie#"	"Teen_onderwatertalud"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"Waterloop"	"{57D10DCF-BB9F-472d-B523-B88D7D6D812C}"	"WaterloopRelaties"	""	""	""	"Waterloop"	""	""	"Waterloop"	"TODO"	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/onderdeel#"	"Waterloop"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/wegenenverkeer/abstracten#WaterloopRelaties"	""	""
"CLASS"	"OSLO-Onderdeel"	"Kanaal"	"{79487C18-C627-43f5-85D3-2564DC4D7F25}"	"WaterloopRelaties"	""	""	""	"Kanaal"	""	""	"Kanaal"	"TODO"	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/onderdeel#"	"Kanaal"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/wegenenverkeer/abstracten#WaterloopRelaties"	""	""
"CLASS"	"OSLO-Abstracten"	"BegroeidVoorkomen"	"{09E5710C-6AD7-4d52-B15A-6D3A563007B0}"	""	""	""	""	"Begroeid voorkomen"	"Abstracte die alle eigenschappen omtrent begroeid voorkomen opsomt."	""	"Begroeid voorkomen"	"Abstracte die alle eigenschappen omtrent begroeid voorkomen opsomt."	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/abstracten#"	"BegroeidVoorkomen"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"HardhoutenMatten"	"{ADAD7DC3-3377-4311-8E12-711826AC95E5}"	"Betuining"	""	""	""	"Hardhouten matten"	"Teenbetuining van hardhouten matten."	""	"Hardhouten matten"	"Teenbetuining van hardhouten matten."	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/onderdeel#"	"HardhoutenMatten"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/wegenenverkeer/abstracten#Betuining"	""	""
"CLASS"	"OSLO-Onderdeel"	"GeprefabriceerdeBetonelementen"	"{DEB3EBBB-BEAF-40df-83EB-DD0727D6A19A}"	"Betuining"	""	""	""	"Geprefabriceerde betonelementen"	"Teenbetuining van geprefabriceerde betonelementen."	""	"Geprefabriceerde betonelementen"	"Teenbetuining van geprefabriceerde betonelementen."	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/onderdeel#"	"GeprefabriceerdeBetonelementen"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/wegenenverkeer/abstracten#Betuining"	""	""
"CLASS"	"OSLO-Onderdeel"	"Plankenbetuining"	"{B1CE2ED5-D81E-4b9b-AF72-DFD4363AC7BB}"	"Betuining"	""	""	""	"Plankenbetuining"	"Teenbetuining van planken."	""	"Plankenbetuining"	"Teenbetuining van planken."	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/onderdeel#"	"Plankenbetuining"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/wegenenverkeer/abstracten#Betuining"	""	""
"CLASS"	"OSLO-Abstracten"	"Kruinnsteek"	"{D0DCF373-0DCC-4144-8875-D83A1A7CAF6C}"	""	""	""	""	""	""	""	""	"TODO"	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/abstracten#"	"Kruinnsteek"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Abstracten"	"Laag"	"{58E7E3BD-A9A9-4e04-957D-942F897D7ED8}"	""	""	""	""	"Laag"	"abstracte 'Laag' die gemeenschappelijke eigenschappen van de onderliggende verhardings- en funderings-onderdelen bevat."	""	"Laag"	"abstracte 'Laag' die gemeenschappelijke eigenschappen van de onderliggende verhardings- en funderings-onderdelen bevat."	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/abstracten#"	"Laag"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#AWVObject"	""	""
"CLASS"	"OSLO-Abstracten"	"Oeverzone"	"{85CE6468-F121-4ca6-90F6-E8DF2DFDB838}"	""	""	""	""	""	""	""	""	"TODO"	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/abstracten#"	"Oeverzone"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"Palenrij"	"{02772D96-1961-49dc-8647-7DDB0A587B08}"	"Betuining"	""	""	""	"Palenrij"	"Een rij aaneengesloten palen als bescherming van de teen van het onderwatertalud."	""	"Palenrij"	"Een rij aaneengesloten palen als bescherming van de teen van het onderwatertalud."	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/onderdeel#"	"Palenrij"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/wegenenverkeer/abstracten#Betuining"	""	""
"CLASS"	"OSLO-Onderdeel"	"WiepenEnTakkenbossen"	"{E0BC0830-B334-4ae6-ABDC-C64E9E646A8D}"	"Betuining"	""	""	""	"Wiepen en takkenbossen"	"Teenbetuining van wiepen- en takkenbossen."	""	"Wiepen en takkenbossen"	"Teenbetuining van wiepen- en takkenbossen."	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/onderdeel#"	"WiepenEnTakkenbossen"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/wegenenverkeer/abstracten#Betuining"	""	""
"CLASS"	"OSLO-Onderdeel"	"Oeverrol"	"{188FA92E-2D91-48e4-8170-D57364286B08}"	""	""	""	""	"Oeverrol"	"Oeverrollen bestaan uit vezelstoffen die worden samengevoegd tot een cilindrische structuur."	""	"Oeverrol"	"Oeverrollen bestaan uit vezelstoffen die worden samengevoegd tot een cilindrische structuur."	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/onderdeel#"	"Oeverrol"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"Profielelementen"	"{7E2EF56D-D920-42ef-B5F4-CE53FEE9627B}"	""	""	""	""	"Profielelementen"	"Geprefabriceerde elementen die bestaan uit al dan niet gewapende betonelementen die,
samengevoegd, een doorlopend open kanaal vormen."	""	"Profielelementen"	"Geprefabriceerde elementen die bestaan uit al dan niet gewapende betonelementen die,
samengevoegd, een doorlopend open kanaal vormen."	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/onderdeel#"	"Profielelementen"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
