"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"label-nl"	"definition-nl"	"usageNote-nl"	"label-en"	"definition-en"	"usageNote-en"	"equivalent"	"subclass"	"subclass1"	"sameAs"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OTL-VOC"	"{AE17455B-BCCC-42df-86FA-9AEF6246C743}"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://data.vlaanderen.be/ns/"	"wegenenverkeerassets"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OTL-VOC"	"Draagconstructies"	"{C1093B52-E90F-4b82-A3D3-DB7D8AAE1271}"	""	""	""	""	"Draagconstructies"	"Verzameling van alle draagconstructies"	""	"Draagconstructies"	"Verzameling van alle draagconstructies"	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/wegenenverkeerassets#"	"Draagconstructies"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OTL-VOC"	"Zonnepaneel"	"{AA295A49-DA4F-4de1-889A-151AFBE2BAF4}"	""	""	""	""	"Zonnepaneel"	"Ook wel fotovoltaïsche cellen of zonnecellen.
Toestel om elektrische energie op te wekken uit zonlicht met als doel het voeden van een installatie."	""	"Zonnepaneel"	"Ook wel fotovoltaïsche cellen of zonnecellen.
Toestel om elektrische energie op te wekken uit zonlicht met als doel het voeden van een installatie."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/wegenenverkeerassets#"	"Zonnepaneel"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://fixme.com#Voedingspunt, http://fixme.com#AWVObject, http://fixme.com#TypenaamObject"	""	""
"ENUMERATION"	"OTL-VOC"	"GrondToevoegsel"	"{5A1E0D01-3EE6-451f-9101-EE2252F682C9}"	""	""	""	""	""	""	""	"TODO"	"TODO"	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/wegenenverkeerassets#"	"GrondToevoegsel"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OTL-VOC"	"GrondBestemming"	"{602D1C38-CECC-4c5e-8997-436628038F84}"	""	""	""	""	""	""	""	"TODO"	"TODO"	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/wegenenverkeerassets#"	"GrondBestemming"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OTL-VOC"	"GrondHoofdnaamCode"	"{62086B01-B7EF-461c-9F25-2AA52CAAB03F}"	""	""	""	""	""	""	""	"TODO"	"TODO"	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/wegenenverkeerassets#"	"GrondHoofdnaamCode"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OTL-VOC"	"GrondBijmengingHoeveelheidCode"	"{8847F1B4-9C0F-478e-BA01-36F554D8868A}"	""	""	""	""	""	""	""	"TODO"	"TODO"	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/wegenenverkeerassets#"	"GrondBijmengingHoeveelheidCode"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OTL-VOC"	"GrondAfdekking"	"{9AD39FF0-9248-4b30-8BD6-A241B9961693}"	""	""	""	""	"Grond afdekking"	""	""	"Grond afdekking"	"TODO"	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/wegenenverkeerassets#"	"GrondAfdekking"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OTL-VOC"	"GrondSoortWerk"	"{A4F7E70F-5415-4d71-BBCA-5599760EA27C}"	""	""	""	""	""	""	""	"TODO"	"TODO"	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/wegenenverkeerassets#"	"GrondSoortWerk"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OTL-VOC"	"GrondAfgravinguitgraving"	"{A8BD9015-EAF5-4147-8F17-9AAD0E2C2C5D}"	""	""	""	""	"Grond afgravinguitgraving"	""	""	"Grond afgravinguitgraving"	"TODO"	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/wegenenverkeerassets#"	"GrondAfgravinguitgraving"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OTL-VOC"	"GrondSoort"	"{02A3E994-84B7-4455-A23D-D3D589E21DDF}"	""	""	""	""	"Grond soort"	""	""	"Grond soort"	"TODO"	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/wegenenverkeerassets#"	"GrondSoort"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OTL-VOC"	"GrondOphoging"	"{0CE5453B-23F5-49bf-9BF9-CA3D03034AD4}"	""	""	""	""	"Grond ophoging"	""	""	"Grond ophoging"	"TODO"	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/wegenenverkeerassets#"	"GrondOphoging"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OTL-VOC"	"GrondSoortWerk"	"{24F22FD0-5713-4f31-876A-C5040F923B0E}"	""	""	""	""	"Grond soort werk"	""	""	"Grond soort werk"	"TODO"	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/wegenenverkeerassets#"	"GrondSoortWerk"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
