"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"label-nl"	"definition-nl"	"usageNote-nl"	"label-en"	"definition-en"	"usageNote-en"	"equivalent"	"subclass"	"subclass1"	"sameAs"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Bedrijventerrein"	"{8F24DC50-30AF-472a-A095-1CBBD3538995}"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://data.vlaanderen.be/ns/"	"bedrijventerrein"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"DATATYPE"	"OSLO-Bedrijventerrein"	"FunctieWaarde"	"{885B7B4E-5AF5-455c-9C55-5A19EAF3BDC7}"	""	""	""	""	"Functie"	"Dit data type geeft weer welke functies aanwezig zijn binnen een BedrijventerreinGebruiksperceel en de overeenkomstige percentages."	""	"Functie"	"Dit data type geeft weer welke functies aanwezig zijn binnen een BedrijventerreinGebruiksperceel en de overeenkomstige percentages."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/bedrijventerrein#"	"FunctieWaarde"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Bedrijventerrein"	"Plan"	"{DFDFC8DD-7329-4c7e-8A14-EC426A0B4877}"	""	""	""	""	"Plan"	"Een plan waarmee de overheid in een bepaald gebied de bodembestemming vastlegt."	""	"Plan"	"Een plan waarmee de overheid in een bepaald gebied de bodembestemming vastlegt."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/bedrijventerrein#"	"Plan"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Bedrijventerrein"	"EconomischGebied"	"{6EC53DD1-B3E3-4682-A5E3-4CCD8B6A192B}"	"RuimtelijkeEenheid"	""	""	""	"Economisch Gebied"	"Een economisch gebied is een gebied dat afgebakend wordt op basis van dichtheid van hoofdzakelijk bebouwde percelen met economische activiteiten, waarbij de dichtheid wordt uitgedrukt in nabijheid of de afstand tussen deze percelen. De afstand tussen deze percelen, de mix van economische activiteiten en het voorkomen van een gedeelde infrastructuur zijn bepalend voor de differentiatie tussen de types economische gebieden."	""	"Economisch Gebied"	"Een economisch gebied is een gebied dat afgebakend wordt op basis van dichtheid van hoofdzakelijk bebouwde percelen met economische activiteiten, waarbij de dichtheid wordt uitgedrukt in nabijheid of de afstand tussen deze percelen. De afstand tussen deze percelen, de mix van economische activiteiten en het voorkomen van een gedeelde infrastructuur zijn bepalend voor de differentiatie tussen de types economische gebieden."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/bedrijventerrein#"	"EconomischGebied"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.vlaanderen.be/ns/perceel#RuimtelijkeEenheid"	""	""
"ENUMERATION"	"OSLO-Bedrijventerrein"	"Functiewaarde"	"{40CD4153-5618-4c7a-A614-19C8CDD6745E}"	""	""	""	""	""	""	""	"TODO"	"TODO"	""	""	""	""	""	""	""	""	"true"	"https://www.w3.org/2009/08/skos-reference/skos.html#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Bedrijventerrein"	"Beperking"	"{46111BA8-F9B0-4998-B7F4-282D5574640B}"	""	""	""	""	""	""	""	"TODO"	"TODO"	""	""	""	""	""	""	""	""	"true"	"https://www.w3.org/2009/08/skos-reference/skos.html#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Bedrijventerrein"	"Beschikbaarheid"	"{3D53F259-FB73-43bf-AD7E-99D7DBBA82E4}"	""	""	""	""	""	""	""	"TODO"	"TODO"	""	""	""	""	""	""	""	""	"true"	"https://www.w3.org/2009/08/skos-reference/skos.html#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Bedrijventerrein"	"Bebouwing"	"{E22B2456-41BD-4c9a-BC0C-784CFFD66D0F}"	""	""	""	""	""	""	""	"TODO"	"TODO"	""	""	""	""	""	""	""	""	"true"	"https://www.w3.org/2009/08/skos-reference/skos.html#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Bedrijventerrein"	"SchorsingInfo"	"{15013E95-B4F1-4f02-8D8B-4A3C59E70B3C}"	""	""	""	""	"SchorsingInfo"	"Schorsing geeft informatie over een mogelijke schorsing van het plan."	""	"SchorsingInfo"	"Schorsing geeft informatie over een mogelijke schorsing van het plan."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/bedrijventerrein#"	"SchorsingInfo"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Generiek"	"TaalString"	"{527085CB-79BC-4703-925B-A73E38A6182B}"	""	""	""	""	"TaalString"	""	""	"TaalString"	"TODO"	""	""	""	""	""	""	""	""	"true"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#"	"langString"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
