"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"label-nl"	"definition-nl"	"usageNote-nl"	"label-en"	"definition-en"	"usageNote-en"	"equivalent"	"subclass"	"subclass1"	"sameAs"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"MijnDomeinMetAfdaalTags"	"{A3FCB40F-436A-4ed6-A392-97390E805190}"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://data.vlaanderen.be/ns/"	"mijndomein"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"MijnDomeinMetAfdaalTags"	"K07A"	"{2397BBA1-7E56-4123-AFC2-DFAEF15D527A}"	"K07Abase"	""	""	""	"K 07A"	"Definitie K07A etc."	"Gebruik K07A etc."	"K 07A"	"Definitie K07A etc."	"Gebruik K07A etc."	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"K07A"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/mijndomein#K07Abase"	""	""
"CLASS"	"MijnDomeinMetAfdaalTags"	"K07B"	"{9AF08664-EDBE-4c04-A3A5-D47718F01192}"	"K07Bbase"	""	""	""	"K 07B"	"Definitie K07B etc."	"Gebruik K07B etc."	"K 07B"	"Definitie K07B etc."	"Gebruik K07B etc."	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"K07B"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/mijndomein#K07Bbase"	""	""
"CLASS"	"MijnDomeinMetAfdaalTags"	"Heeft07base"	"{B22DA225-168F-43d1-95BA-CBC024701BB6}"	""	""	""	""	"Heeft 07 base"	"Definitie Heeft07base (associatieklasse) etc."	"Gebruik Heeft07base (associatieklasse) etc."	"Heeft 07 base"	"Definitie Heeft07base (associatieklasse) etc."	"Gebruik Heeft07base (associatieklasse) etc."	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"Heeft07base"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetAfdaalTags"	"K27"	"{731EB855-A071-4b5a-AEF8-F886AA082E01}"	"K27base"	""	""	""	"K 27"	"Definitie K27 etc."	"Gebruik K27 etc."	"K 27"	"Definitie K27 etc."	"Gebruik K27 etc."	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"K27"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/mijndomein#K27base"	""	""
"CLASS"	"MijnDomeinMetAfdaalTags"	"Heeft27base"	"{F233EB3C-2973-4631-93DC-FBA856486F55}"	""	""	""	""	"Heeft 27 base"	"Definitie Heeft27base (associatieklasse) etc."	"Gebruik Heeft27base (associatieklasse) etc."	"Heeft 27 base"	"Definitie Heeft27base (associatieklasse) etc."	"Gebruik Heeft27base (associatieklasse) etc."	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"Heeft27base"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetAfdaalTags"	"K07Abase"	"{B96B50F2-9812-4ed4-97E6-CE6470309728}"	""	""	""	""	"K 07A base"	"Definitie K07Abase etc."	"Gebruik K07Abase etc."	"K 07A base"	"Definitie K07Abase etc."	"Gebruik K07Abase etc."	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"K07Abase"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetAfdaalTags"	"K07Bbase"	"{789874C5-928B-4f91-A29C-F833605027EA}"	""	""	""	""	"K 05B base"	"Definitie K07Bbase etc."	"Gebruik K07Bbase etc."	"K 05B base"	"Definitie K07Bbase etc."	"Gebruik K07Bbase etc."	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"K07Bbase"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetAfdaalTags"	"K27base"	"{51AE8BDE-A3A8-4fec-B6F0-4101E4971538}"	""	""	""	""	"K 27 base"	"Definitie K27base etc."	"Gebruik K27base etc."	"K 27 base"	"Definitie K27base etc."	"Gebruik K27base etc."	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"K27base"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"attribute"	"MijnDomeinMetAfdaalTags"	"a07"	"{85A1FF40-64C6-454a-9933-EF42F8329F92}"	""	"Heeft07base"	"{B22DA225-168F-43d1-95BA-CBC024701BB6}"	"String"	"a 07"	"Definitie a07 etc."	"Gebruik a07 etc."	"a 07"	"Definitie a07 etc."	"Gebruik a07 etc."	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"a07"	"http://www.w3.org/2002/07/owl#DatatypeProperty"	"https://data.vlaanderen.be/ns/mijndomein#Heeft07base"	"http://www.w3.org/2001/XMLSchema#string"	""	"1"	"1"
