"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"label-nl"	"definition-nl"	"usageNote-nl"	"label-en"	"definition-en"	"usageNote-en"	"equivalent"	"subclass"	"subclass1"	"sameAs"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"MijnDomeinMetPackageTags2"	"{5F80612C-B977-4838-9540-A6BD24288628}"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://data.vlaanderen.be/ns/"	"mijndomein"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"MijnDomeinMetPackageTags2"	"Heeft27b"	"{6D5B9D29-C586-4c63-B8CB-11A1D0E37B9C}"	""	""	""	""	"Heeft27b"	"Definitie Heeft27b (associatieklasse) etc."	""	"Heeft27b"	"Definitie Heeft27b (associatieklasse) etc."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"Heeft27b"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetPackageTags2"	"Heeft07b"	"{4B5E3E19-A7C0-4b82-93DE-A9478C7BDFC7}"	""	""	""	""	"Heeft07b"	"Definitie Heeft07b (associatieklasse) etc."	""	"Heeft07b"	"Definitie Heeft07b (associatieklasse) etc."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"Heeft07b"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetPackageTags2"	"Heeft27"	"{102CF7F0-A17B-469b-B773-B8C2A85BC381}"	""	""	""	""	"Heeft27"	"Definitie Heef27 (associatieklasse) etc."	""	"Heeft27"	"Definitie Heef27 (associatieklasse) etc."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"Heeft27"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetPackageTags2"	"K27"	"{5C317DC5-C8B7-4794-9D86-75CDB1C62AD8}"	""	""	""	""	"K27"	"Definitie K27 etc."	""	"K27"	"Definitie K27 etc."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"K27"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetPackageTags2"	"K23"	"{994EB263-D064-470c-B6DF-37E302CA303E}"	""	""	""	""	"K23"	"Definitie K23 etc."	""	"K23"	"Definitie K23 etc."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"K23"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetPackageTags2"	"K22"	"{AFE2B9FC-A35F-4057-AAB3-E7127FF6DCD2}"	""	""	""	""	"K22"	"Definitie K22 etc."	""	"K22"	"Definitie K22 etc."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"K22"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetPackageTags2"	"K21"	"{A425D0ED-846F-409b-AA61-3D666F4D7F79}"	""	""	""	""	"K21"	"Definitie K21 etc."	""	"K21"	"Definitie K21 etc."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"K21"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetPackageTags2"	"Heeft26"	"{70F73FD2-0D58-4f59-9A6B-2A9226C19D0C}"	""	""	""	""	"Heeft26"	"Definitie Heeft26 (associatieklasse) etc."	""	"Heeft26"	"Definitie Heeft26 (associatieklasse) etc."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"Heeft26"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetPackageTags2"	"K26"	"{47A3548D-F43B-47ba-8EB2-DF4E561E6B06}"	""	""	""	""	"K26"	"Definitie K26 etc."	""	"K26"	"Definitie K26 etc."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"K26"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetPackageTags2"	"Heeft25"	"{81209C5A-88A8-43fd-BBBB-C7557F0FAD3E}"	""	""	""	""	"Heeft25"	"Definitie Heeft25 (associatieklasse) etc."	""	"Heeft25"	"Definitie Heeft25 (associatieklasse) etc."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"Heeft25"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetPackageTags2"	"K25"	"{EA396C77-D665-43ac-A0CA-DB7A5C513981}"	""	""	""	""	"K25"	"Definitie K25 etc."	""	"K25"	"Definitie K25 etc."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"K25"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetPackageTags2"	"Heeft07"	"{3D9403E5-054D-46fb-83AC-900E4F69F833}"	""	""	""	""	"Heeft07"	"Definitie Heeft07 (associatieklasse) etc."	""	"Heeft07"	"Definitie Heeft07 (associatieklasse) etc."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"Heeft07"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetPackageTags2"	"K07B"	"{3990A0F5-0C1B-40a1-97D0-6A27373C8684}"	""	""	""	""	"K07B"	"Definitie K07B etc."	""	"K07B"	"Definitie K07B etc."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"K07B"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetPackageTags2"	"K07A"	"{CC564BCD-A9A1-41cd-AE06-E1E8B2917351}"	""	""	""	""	"K07A"	"Definitie K07A etc."	""	"K07A"	"Definitie K07A etc."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"K07A"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetPackageTags2"	"Heeft06"	"{A494E6A0-99FF-4ba5-B406-58973957EB06}"	""	""	""	""	"Heeft06"	"Definitie Heeft06 (associatieklasse) etc."	""	"Heeft06"	"Definitie Heeft06 (associatieklasse) etc."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"Heeft06"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetPackageTags2"	"K06B"	"{5FA91ECD-B8AE-445d-A851-D39A844142EB}"	""	""	""	""	"K06B"	"Definitie K06B etc."	""	"K06B"	"Definitie K06B etc."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"K06B"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetPackageTags2"	"K06A"	"{619B0BEB-77CA-47ff-8CFF-16D41E910643}"	""	""	""	""	"K06A"	"Definitie K06A etc."	""	"K06A"	"Definitie K06A etc."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"K06A"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetPackageTags2"	"Heeft04"	"{3387A74D-3EBB-4c1b-B493-4CCBA712B34F}"	""	""	""	""	"Heeft04"	"Definitie Heeft04 (associatieklasse) etc."	""	"Heeft04"	"Definitie Heeft04 (associatieklasse) etc."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"Heeft04"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetPackageTags2"	"K04B"	"{0CC4E945-C14D-4dac-8B27-EA203E36130C}"	""	""	""	""	"K04B"	"Definitie K04B etc."	""	"K04B"	"Definitie K04B etc."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"K04B"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetPackageTags2"	"K04A"	"{6DA6E9FE-2A7E-41ce-8360-FC623F692F4A}"	""	""	""	""	"K04A"	"Definitie K04A etc."	""	"K04A"	"Definitie K04A etc."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"K04A"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetPackageTags2"	"Heeft05"	"{07341DA4-2448-43e1-B254-56BD42596C30}"	""	""	""	""	"Heeft05"	"Definitie Heeft05 (associatieklasse) etc."	""	"Heeft05"	"Definitie Heeft05 (associatieklasse) etc."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"Heeft05"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
